,ADSB_LIST_ALT,ADSB_LIST_RADIUS,FOLL_DIST_MAX,COMPASS_CUS_ROLL,ACRO_RP_EXPO,PILOT_TKOFF_ALT,ACRO_Y_EXPO,PILOT_Y_EXPO,AHRS_CUSTOM_ROLL,IM_STB_COL_1,IM_STB_COL_4,H_CYC_MAX,LOIT_BRK_ACCEL,TMODE_TRIM_AUTO,IM_STB_COL_2,IM_STB_COL_3,EK3_GSF_RST_MAX,ATC_RAT_YAW_P,ATC_ANG_YAW_P,EK2_GSF_RST_MAX,ATC_RAT_YAW_I,ATC_RAT_YAW_D,FHLD_BRAKE_RATE,COMPASS_CUS_YAW,AHRS_CUSTOM_YAW
14:34:50.595,0.0,0.0,1.0,-174.0,-0.5,0.0,-1.0,-0.5,180.0,0.0,68.0,4500.0,25.0,0.0,80.0,49.0,2.0,0.6,3.0,7.0,0.15,0.002,1.0,60.0,-78.0
14:34:55.420,0.0,0.0,1.0,60.0,-0.5,780.0,-1.0,-0.5,-180.0,57.0,100.0,800.0,216.0,0.0,83.0,84.0,7.0,0.485,3.0,9.0,0.2,0.0,1.0,118.0,180.0
14:34:59.795,0.0,0.0,1.0,53.0,-0.5,630.0,-1.0,-0.5,116.0,65.0,0.0,2500.0,93.0,0.0,52.0,56.0,1.0,0.5,3.0,1.0,0.17,0.009,1.0,-93.0,180.0
14:35:03.859,0.0,0.0,1.0,77.0,-0.5,810.0,-1.0,-0.5,-112.0,26.0,84.0,2500.0,25.0,0.0,4.0,100.0,1.0,0.4,3.0,8.0,0.03,0.0,1.0,103.0,-174.0
14:35:09.373,0.0,0.0,1.0,-146.0,-0.5,400.0,-1.0,-0.5,112.0,0.0,28.0,1400.0,162.0,0.0,56.0,100.0,9.0,0.525,3.0,2.0,0.17,0.01,1.0,21.0,180.0
14:35:13.420,0.0,0.0,1.0,90.0,-0.5,940.0,-1.0,-0.5,180.0,0.0,89.0,3000.0,118.0,0.0,0.0,13.0,10.0,0.465,3.0,10.0,0.2,0.009,1.0,180.0,-1.0
14:35:17.859,0.0,0.0,1.0,-16.0,-0.5,1000.0,-1.0,-0.5,127.0,51.0,0.0,3600.0,250.0,0.0,99.0,55.0,1.0,0.385,3.0,10.0,0.2,0.016,1.0,-71.0,109.0
14:35:26.411,0.0,0.0,1.0,-17.0,-0.5,600.0,-1.0,-0.5,-120.0,100.0,66.0,2100.0,25.0,0.0,100.0,0.0,10.0,0.35,3.0,5.0,0.01,0.008,1.0,-180.0,107.0
14:35:32.342,0.0,0.0,1.0,102.0,-0.5,650.0,-1.0,-0.5,-81.0,100.0,30.0,0.0,25.0,0.0,65.0,7.0,7.0,0.18,3.0,10.0,0.01,0.011,1.0,-180.0,35.0
14:35:38.302,0.0,0.0,1.0,-59.0,-0.5,1000.0,-1.0,-0.5,180.0,69.0,90.0,1400.0,25.0,0.0,55.0,37.0,10.0,0.36,3.0,8.0,0.06,0.02,1.0,180.0,180.0
14:35:44.115,0.0,0.0,1.0,87.0,-0.5,710.0,-1.0,-0.5,46.0,9.0,25.0,4500.0,171.0,0.0,0.0,100.0,1.0,0.5,3.0,10.0,0.03,0.018,1.0,180.0,65.0
14:35:48.605,0.0,0.0,1.0,-1.0,-0.5,580.0,-1.0,-0.5,57.0,100.0,3.0,3500.0,250.0,0.0,100.0,14.0,10.0,0.365,3.0,1.0,0.07,0.011,1.0,128.0,-180.0
14:35:54.207,0.0,0.0,1.0,-180.0,-0.5,30.0,-1.0,-0.5,-180.0,0.0,100.0,0.0,241.0,0.0,100.0,62.0,1.0,0.465,3.0,3.0,0.01,0.019,1.0,126.0,-52.0
14:35:58.615,0.0,0.0,1.0,-102.0,-0.5,310.0,-1.0,-0.5,79.0,75.0,88.0,2700.0,79.0,0.0,86.0,100.0,5.0,0.475,3.0,5.0,0.14,0.014,1.0,-117.0,129.0
14:36:04.136,0.0,0.0,1.0,-179.0,-0.5,40.0,-1.0,-0.5,41.0,100.0,100.0,2500.0,204.0,0.0,55.0,100.0,10.0,0.47,3.0,10.0,0.01,0.009,1.0,180.0,180.0
14:36:08.589,0.0,0.0,1.0,180.0,-0.5,530.0,-1.0,-0.5,29.0,36.0,58.0,700.0,133.0,0.0,0.0,42.0,9.0,0.24,3.0,10.0,0.01,0.0,1.0,125.0,-34.0
14:36:19.321,0.0,0.0,1.0,180.0,-0.5,210.0,-1.0,-0.5,-180.0,79.0,100.0,0.0,53.0,0.0,0.0,100.0,7.0,0.575,3.0,3.0,0.01,0.011,1.0,85.0,-115.0
14:36:25.205,0.0,0.0,1.0,8.0,-0.5,1000.0,-1.0,-0.5,-158.0,100.0,100.0,2400.0,70.0,0.0,8.0,0.0,1.0,0.3,3.0,4.0,0.05,0.008,1.0,-155.0,180.0
14:36:30.033,0.0,0.0,1.0,78.0,-0.5,0.0,-1.0,-0.5,-30.0,100.0,89.0,4500.0,114.0,0.0,34.0,20.0,10.0,0.505,3.0,10.0,0.04,0.008,1.0,-128.0,-24.0
14:36:34.312,0.0,0.0,1.0,133.0,-0.5,790.0,-1.0,-0.5,180.0,74.0,100.0,1900.0,29.0,0.0,46.0,52.0,10.0,0.195,3.0,3.0,0.02,0.02,1.0,51.0,180.0
14:36:38.621,0.0,0.0,1.0,180.0,-0.5,0.0,-1.0,-0.5,-40.0,47.0,0.0,4000.0,171.0,0.0,22.0,72.0,4.0,0.195,3.0,10.0,0.18,0.0,1.0,146.0,-180.0
14:36:42.756,0.0,0.0,1.0,169.0,-0.5,460.0,-1.0,-0.5,-90.0,63.0,56.0,2900.0,250.0,0.0,100.0,0.0,10.0,0.29,3.0,10.0,0.2,0.016,1.0,-46.0,64.0
14:36:48.404,0.0,0.0,1.0,-168.0,-0.5,570.0,-1.0,-0.5,-17.0,27.0,100.0,1800.0,25.0,0.0,65.0,13.0,6.0,0.6,3.0,2.0,0.02,0.0,1.0,-31.0,-81.0
14:36:56.358,0.0,0.0,1.0,8.0,-0.5,490.0,-1.0,-0.5,113.0,97.0,69.0,300.0,250.0,0.0,100.0,45.0,4.0,0.6,3.0,5.0,0.18,0.02,1.0,-164.0,180.0
14:37:00.629,0.0,0.0,1.0,-16.0,-0.5,920.0,-1.0,-0.5,-140.0,0.0,0.0,0.0,140.0,0.0,100.0,89.0,4.0,0.18,3.0,1.0,0.06,0.013,1.0,-180.0,-180.0
14:37:04.961,0.0,0.0,1.0,-123.0,-0.5,620.0,-1.0,-0.5,-180.0,58.0,83.0,800.0,161.0,0.0,98.0,49.0,5.0,0.18,3.0,7.0,0.12,0.015,1.0,180.0,-123.0
14:37:10.209,0.0,0.0,1.0,-97.0,-0.5,950.0,-1.0,-0.5,-65.0,75.0,0.0,800.0,104.0,0.0,20.0,0.0,10.0,0.575,3.0,4.0,0.04,0.0,1.0,14.0,179.0
