time_stamp,MODE,lat,lon,alt,relative_alt,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,vx,vy,vz
18:10:49.604,STABILIZE,-35.3632621,149.1652374,583990,6,0.00019669003086164594,0.0014557124814018607,0.027795331552624702,0.0003293561458121985,0.0003504463529679924,0.0025232539046555758,0,1,-1000,0,0,0,0,1,0
18:10:49.804,STABILIZE,-35.3632621,149.1652374,583990,6,0.00019669003086164594,0.0014557124814018607,0.027795331552624702,0.0003293561458121985,0.0003504463529679924,0.0025232539046555758,0,1,-1000,0,0,0,0,1,0
18:10:50.005,STABILIZE,-35.3632621,149.1652374,583990,5,0.00022185327543411404,0.0015015887329354882,0.02760656550526619,0.00031879625748842955,0.00030923934536986053,0.0023729605600237846,0,1,-1000,0,0,0,-1,1,0
18:10:50.205,STABILIZE,-35.3632621,149.1652374,583990,5,0.00022185327543411404,0.0015015887329354882,0.02760656550526619,0.00031879625748842955,0.00030923934536986053,0.0023729605600237846,0,1,-1000,0,0,0,-1,1,0
18:10:50.406,STABILIZE,-35.3632621,149.1652374,583990,5,0.00022185327543411404,0.0015015887329354882,0.02760656550526619,0.00031879625748842955,0.00030923934536986053,0.0023729605600237846,0,1,-1000,0,0,0,-1,1,0
18:10:50.607,STABILIZE,-35.3632621,149.1652374,583990,5,0.00022185327543411404,0.0015015887329354882,0.02760656550526619,0.00031879625748842955,0.00030923934536986053,0.0023729605600237846,0,1,-1000,0,0,0,-1,1,0
18:10:50.807,STABILIZE,-35.3632621,149.1652374,583990,5,0.00022185327543411404,0.0015015887329354882,0.02760656550526619,0.00031879625748842955,0.00030923934536986053,0.0023729605600237846,0,1,-1000,0,0,0,-1,1,0
18:10:51.009,STABILIZE,-35.3632621,149.1652374,583990,5,0.00022185327543411404,0.0015015887329354882,0.02760656550526619,0.00031879625748842955,0.00030923934536986053,0.0023729605600237846,0,1,-1000,0,0,0,-1,1,0
18:10:51.210,STABILIZE,-35.3632621,149.1652374,583990,5,0.00022185327543411404,0.0015015887329354882,0.02760656550526619,0.00031879625748842955,0.00030923934536986053,0.0023729605600237846,0,1,-1000,0,0,0,-1,1,0
18:10:51.411,STABILIZE,-35.3632621,149.1652374,583990,5,0.00022185327543411404,0.0015015887329354882,0.02760656550526619,0.00031879625748842955,0.00030923934536986053,0.0023729605600237846,0,1,-1000,0,0,0,-1,1,0
18:10:51.611,STABILIZE,-35.3632621,149.1652374,583990,5,0.00022185327543411404,0.0015015887329354882,0.02760656550526619,0.00031879625748842955,0.00030923934536986053,0.0023729605600237846,0,1,-1000,0,0,0,-1,1,0
18:10:51.812,STABILIZE,-35.3632621,149.1652374,583990,5,0.00018545503553468734,0.0014942442066967487,0.026302559301257133,0.0002233327249996364,0.0003261837409809232,0.002227175747975707,0,1,-1000,0,0,0,-1,1,0
18:10:52.013,STABILIZE,-35.3632622,149.1652375,583980,0,8.754657028475776e-05,0.0014562752330675721,0.026133310049772263,0.00013734764070250094,0.00021941820159554482,0.0022280339617282152,0,1,-1000,0,0,0,-2,3,1
18:10:52.214,STABILIZE,-35.3632622,149.1652375,583980,0,8.754657028475776e-05,0.0014562752330675721,0.026133310049772263,0.00013734764070250094,0.00021941820159554482,0.0022280339617282152,0,1,-1000,0,0,0,-2,3,1
18:10:52.415,STABILIZE,-35.3632622,149.1652375,583980,0,8.754657028475776e-05,0.0014562752330675721,0.026133310049772263,0.00013734764070250094,0.00021941820159554482,0.0022280339617282152,0,1,-1000,0,0,0,-2,3,1
18:10:52.616,STABILIZE,-35.3632622,149.1652375,583980,0,8.754657028475776e-05,0.0014562752330675721,0.026133310049772263,0.00013734764070250094,0.00021941820159554482,0.0022280339617282152,0,1,-1000,0,0,0,-2,3,1
18:10:52.817,STABILIZE,-35.3632622,149.1652375,583980,0,8.754657028475776e-05,0.0014562752330675721,0.026133310049772263,0.00013734764070250094,0.00021941820159554482,0.0022280339617282152,0,1,-1000,0,0,0,-2,3,1
18:10:53.018,STABILIZE,-35.3632622,149.1652375,583980,0,8.754657028475776e-05,0.0014562752330675721,0.026133310049772263,0.00013734764070250094,0.00021941820159554482,0.0022280339617282152,0,1,-1000,0,0,0,-2,3,1
18:10:53.219,STABILIZE,-35.3632622,149.1652375,583980,0,8.754657028475776e-05,0.0014562752330675721,0.026133310049772263,0.00013734764070250094,0.00021941820159554482,0.0022280339617282152,0,1,-1000,0,0,0,-2,3,1
18:10:53.420,STABILIZE,-35.3632622,149.1652375,583980,0,-0.000622717197984457,0.0011601275764405727,0.025301571935415268,0.0002528417971916497,0.00023233765386976302,0.0020492917392402887,0,1,-1000,0,0,0,-1,1,1
18:10:53.621,STABILIZE,-35.3632622,149.1652375,583980,0,-0.000622717197984457,0.0011601275764405727,0.025301571935415268,0.0002528417971916497,0.00023233765386976302,0.0020492917392402887,0,1,-1000,0,0,0,-1,1,1
18:10:53.822,STABILIZE,-35.3632622,149.1652375,583970,0,-0.000622717197984457,0.0011601275764405727,0.025301571935415268,0.0002528417971916497,0.00023233765386976302,0.0020492917392402887,0,1,-1000,0,0,0,-1,1,1
18:10:54.023,STABILIZE,-35.3632622,149.1652375,583970,0,-0.0007743127644062042,0.0010925884125754237,0.02505727857351303,0.00016926584066823125,0.00022602075478062034,0.0021673711016774178,0,1,-1000,0,0,0,-1,1,1
