,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,EK2_CHECK_SCALE,EK3_CHECK_SCALE,LGR_DEPLOY_ALT,RNGFND1_WSP_MAVG
00:13:59.189,294908.0,0.2,0.7,-8.9,0.25,1.1,0.0,4476.0,650.0,1.0,0.1,50.0,50.0,173.0,0.0
00:14:04.907,189721.0,0.5,1.3,-2.2,0.25,5.1,0.0,21108.0,510.0,1.0,0.1,50.0,50.0,260.0,0.0
00:14:09.642,30813.0,0.2,1.3,-9.9,0.25,4.4,0.0,22386.0,410.0,1.0,0.1,50.0,50.0,636.0,0.0
00:14:14.908,67473.0,0.4,0.9,-2.5,0.25,1.9,0.0,10174.0,310.0,1.0,0.1,50.0,50.0,285.0,0.0
00:14:19.619,137047.0,0.5,1.4,4.9,0.25,2.1,0.0,2533.0,190.0,1.0,0.1,50.0,50.0,260.0,0.0
00:14:24.799,200643.0,0.9,0.5,-4.7,0.25,1.2,0.0,1313.0,110.0,1.0,0.1,50.0,50.0,90.0,0.0
00:14:29.419,229480.0,0.2,0.7,-7.9,0.25,1.3,0.0,5311.0,190.0,1.0,0.1,50.0,50.0,839.0,0.0
00:14:35.170,136894.0,0.5,1.8,0.4,0.25,1.0,0.0,1790.0,290.0,1.0,0.1,50.0,50.0,20.0,0.0
00:14:40.885,2874.0,0.5,0.7,0.6,0.25,2.4,0.0,5994.0,500.0,1.0,0.1,50.0,50.0,72.0,0.0
00:14:45.596,195768.0,1.1,0.7,-8.7,0.25,2.2,0.0,2174.0,110.0,1.0,0.1,50.0,50.0,40.0,0.0
00:14:50.867,257409.0,0.5,0.7,-7.8,0.25,1.0,0.0,2971.0,440.0,1.0,0.1,50.0,50.0,117.0,0.0
00:14:55.570,89300.0,0.7,0.5,-6.8,0.25,0.6,0.0,8028.0,630.0,1.0,0.1,50.0,50.0,117.0,0.0
00:15:00.716,8027.0,0.2,1.8,-5.8,0.25,4.4,0.0,11023.0,350.0,1.0,0.1,50.0,50.0,123.0,0.0
00:15:05.435,31084.0,1.1,0.2,-7.9,0.25,2.8,0.0,12905.0,800.0,1.0,0.1,50.0,50.0,260.0,0.0
00:15:11.101,70192.0,0.3,0.7,8.0,0.25,0.2,0.0,682.0,570.0,1.0,0.1,50.0,50.0,44.0,0.0
00:15:16.862,35940.0,0.2,0.2,4.5,0.25,0.4,0.0,29216.0,690.0,1.0,0.1,50.0,50.0,77.0,0.0
00:15:21.516,10167.0,0.2,1.1,7.5,0.25,0.1,0.0,19642.0,380.0,1.0,0.1,50.0,50.0,202.0,0.0
00:15:26.713,40288.0,0.3,0.7,-9.7,0.25,4.7,0.0,5528.0,900.0,1.0,0.1,50.0,50.0,145.0,0.0
00:15:31.459,160811.0,0.2,0.7,-2.5,0.25,4.4,0.0,1219.0,580.0,1.0,0.1,50.0,50.0,171.0,0.0
00:15:37.236,20118.0,0.3,1.4,-7.1,0.25,0.6,0.0,13870.0,820.0,1.0,0.1,50.0,50.0,76.0,0.0
00:15:42.924,229232.0,0.4,0.3,-2.2,0.25,1.3,0.0,11811.0,110.0,1.0,0.1,50.0,50.0,188.0,0.0
00:15:47.646,2196.0,0.2,0.4,-2.4,0.25,4.4,0.0,14594.0,110.0,1.0,0.1,50.0,50.0,2.0,0.0
00:15:52.926,30825.0,0.2,1.7,4.5,0.25,1.1,0.0,262.0,280.0,1.0,0.1,50.0,50.0,213.0,0.0
00:15:57.569,65016.0,0.2,1.3,5.4,0.25,0.2,0.0,13200.0,110.0,1.0,0.1,50.0,50.0,311.0,0.0
00:16:02.688,57211.0,0.3,0.4,-3.6,0.25,2.8,0.0,19473.0,630.0,1.0,0.1,50.0,50.0,211.0,0.0
00:16:07.399,18664.0,0.5,0.7,-7.2,0.25,4.7,0.0,13101.0,290.0,1.0,0.1,50.0,50.0,125.0,0.0
00:16:12.948,233215.0,0.5,1.5,6.7,0.25,0.3,0.0,8313.0,110.0,1.0,0.1,50.0,50.0,227.0,0.0
00:16:17.633,109665.0,0.2,1.2,-9.2,0.25,2.5,0.0,6773.0,440.0,1.0,0.1,50.0,50.0,9.0,0.0
00:16:22.772,89160.0,1.1,0.4,-8.1,0.25,3.5,0.0,3921.0,150.0,1.0,0.1,50.0,50.0,231.0,0.0
00:16:27.407,187873.0,1.1,1.2,-0.2,0.25,3.5,0.0,3820.0,210.0,1.0,0.1,50.0,50.0,257.0,0.0
00:16:32.942,52983.0,0.2,1.9,-4.1,0.25,0.3,0.0,7395.0,570.0,1.0,0.1,50.0,50.0,94.0,0.0
00:16:37.723,73601.0,0.7,1.3,-3.8,0.25,4.4,0.0,2826.0,410.0,1.0,0.1,50.0,50.0,299.0,0.0
00:16:42.857,6309.0,0.2,0.9,-8.9,0.25,1.6,0.0,5243.0,820.0,1.0,0.1,50.0,50.0,371.0,0.0
00:16:47.626,59311.0,0.2,1.4,-5.3,0.25,0.6,0.0,23913.0,350.0,1.0,0.1,50.0,50.0,93.0,0.0
00:16:52.880,93360.0,1.1,0.5,-7.9,0.25,1.3,0.0,6728.0,160.0,1.0,0.1,50.0,50.0,352.0,0.0
00:16:57.715,96660.0,0.3,1.3,-8.8,0.25,4.1,0.0,718.0,60.0,1.0,0.1,50.0,50.0,241.0,0.0
00:17:02.856,22994.0,0.2,1.5,-8.9,0.25,0.6,0.0,22560.0,320.0,1.0,0.1,50.0,50.0,542.0,0.0
00:17:07.594,8821.0,0.2,0.5,-3.1,0.25,1.2,0.0,5811.0,780.0,1.0,0.1,50.0,50.0,545.0,0.0
00:17:12.760,100636.0,0.2,1.3,-0.4,0.25,0.1,0.0,15362.0,40.0,1.0,0.1,50.0,50.0,585.0,0.0
00:17:17.471,201781.0,0.5,0.3,-7.9,0.25,2.4,0.0,28875.0,750.0,1.0,0.1,50.0,50.0,318.0,0.0
00:17:23.122,59029.0,0.4,0.4,-9.4,0.25,1.1,0.0,8452.0,350.0,1.0,0.1,50.0,50.0,36.0,0.0
00:17:28.757,32488.0,0.3,0.9,5.9,0.25,1.6,0.0,1382.0,710.0,1.0,0.1,50.0,50.0,8.0,0.0
00:17:33.471,665.0,0.2,0.7,0.6,0.25,1.8,0.0,12867.0,320.0,1.0,0.1,50.0,50.0,73.0,0.0
00:17:39.403,98355.0,0.4,0.7,-4.4,0.25,1.0,0.0,1706.0,570.0,1.0,0.1,50.0,50.0,325.0,0.0
00:17:45.210,212466.0,0.3,1.1,-5.9,0.25,1.2,0.0,5927.0,630.0,1.0,0.1,50.0,50.0,378.0,0.0
00:17:50.862,28538.0,0.2,0.5,-5.5,0.25,1.1,0.0,6336.0,810.0,1.0,0.1,50.0,50.0,543.0,0.0
00:17:55.687,16352.0,0.2,0.7,8.5,0.25,4.4,0.0,19084.0,250.0,1.0,0.1,50.0,50.0,108.0,0.0
00:18:00.872,95728.0,0.2,0.4,-7.6,0.25,0.4,0.0,738.0,520.0,1.0,0.1,50.0,50.0,336.0,0.0
00:18:05.757,153481.0,0.2,0.3,-3.7,0.25,1.5,0.0,29737.0,10.0,1.0,0.1,50.0,50.0,72.0,0.0
00:18:10.858,141601.0,0.3,0.5,-1.2,0.25,0.8,0.0,12435.0,530.0,1.0,0.1,50.0,50.0,156.0,0.0
00:18:15.601,35572.0,0.3,0.5,-9.0,0.25,0.4,0.0,15961.0,840.0,1.0,0.1,50.0,50.0,343.0,0.0
00:18:20.915,14858.0,0.9,0.7,-2.3,0.25,1.3,0.0,2803.0,530.0,1.0,0.1,50.0,50.0,552.0,0.0
00:18:25.608,201729.0,1.1,0.5,-4.7,0.25,2.4,0.0,104.0,280.0,1.0,0.1,50.0,50.0,178.0,0.0
00:18:30.858,126124.0,0.3,1.1,-7.4,0.25,0.8,0.0,7073.0,240.0,1.0,0.1,50.0,50.0,235.0,0.0
00:18:35.553,33116.0,0.4,0.4,-4.2,0.25,0.3,0.0,3526.0,580.0,1.0,0.1,50.0,50.0,877.0,0.0
00:18:40.679,224106.0,0.5,0.4,1.0,0.25,1.5,0.0,537.0,60.0,1.0,0.1,50.0,50.0,58.0,0.0
00:18:45.307,220149.0,0.4,1.3,-8.7,0.25,0.6,0.0,9608.0,40.0,1.0,0.1,50.0,50.0,276.0,0.0
00:18:49.984,283264.0,0.5,1.8,5.4,0.25,0.2,0.0,1422.0,40.0,1.0,0.1,50.0,50.0,487.0,0.0
