time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro
18:01:10,-0.0007428976241499186,0.0013792425161227584,0.027212269604206085,0.00024392874911427498,0.00021297039347700775,0.0021414998918771744,583950.0,-35.3632622,149.1652374,0.0,-2.0,1.0,0.0,STABILIZE,0.0,1.0,-1000.0,0.0,0.0,0.0
18:01:11,-0.000857591803651303,0.0011228010213623445,0.02658190888663133,0.00027124119030001265,0.0002048816434883823,0.002113354935621222,583950.0,-35.3632622,149.1652374,0.0,-1.0,1.0,0.0,STABILIZE,0.0,1.0,-1000.0,0.0,0.0,0.25
18:01:12,-0.0009222246590070426,0.000971736095380038,0.025962021201848984,0.00033481032005511224,0.00019570000586099923,0.0019372064853087068,583960.0,-35.3632621,149.1652374,0.0,-1.0,1.0,0.0,STABILIZE,0.0,2.0,-1000.0,0.0,0.0,0.0
18:01:13,-0.00077217145008035,0.0009330784087069333,0.025654349476099014,0.008566750650061294,0.00021651462884619832,0.001983305672183633,583960.0,-35.3632621,149.1652374,0.0,-1.0,1.0,0.0,STABILIZE,0.0,1.0,-1000.0,0.0,0.0,0.0
18:01:14,-0.0007482283981516957,0.0009192010620608926,0.02510240487754345,0.00016708520706743002,0.00022623658878728747,0.0018405304290354252,583950.0,-35.3632621,149.1652375,0.0,-1.0,1.0,0.0,STABILIZE,0.0,1.0,-1000.0,0.5,0.0,0.0
18:01:19,-0.001106184150557965,0.000946348998695612,0.023492145352065563,0.0002711969427764416,0.0003291384782642126,0.0016900626942515373,583930.0,-35.3632622,149.16523755,0.0,-1.0,1.5,1.5,STABILIZE,0.0,2.0,-1000.0,0.0,0.0,0.0
18:01:20,-0.0012908770586363971,0.0009654099121689796,0.023210186511278152,0.00027944319299422204,0.00030704063829034567,0.0016397629515267909,583930.0,-35.3632622,149.1652375,0.0,-1.0,1.0,0.5,STABILIZE,0.0,1.0,-1000.0,0.0,0.0,0.0
18:01:25,-0.0009429226513020695,0.0010405352804809809,0.0222183708101511,0.0002703007310628891,0.0002374020288698375,0.0015015319921076297,583940.0,-35.363262139999996,149.1652375,6.6,-0.6,0.6,0.0,AUTO,0.0,1.0,-1000.0,0.6,0.4,0.8
18:01:26,-0.0008799979113973677,0.0011528374161571264,0.022040341049432755,0.00024385686265304685,0.00026453688042238355,0.0013305149041116238,583940.0,-35.3632621,149.1652375,7.0,0.0,0.0,0.0,AUTO,0.0,2.0,-1000.0,0.0,1.0,1.0
18:01:27,-0.0006050980358850211,0.001506702648475766,0.02172669991850853,0.00029212201479822397,0.00030706169782206415,0.0014807987492531538,583948.0,-35.3632621,149.16523744,10.2,0.0,0.0,0.0,AUTO,0.0,1.4,-1000.0,0.8,0.4,0.0
18:01:28,-0.0004132118192501366,0.001732457079924643,0.021516799926757812,0.00030303274979814887,0.00027217372553423047,0.0014561065472662449,583950.0,-35.3632621,149.1652374,12.0,0.0,0.0,0.0,AUTO,0.0,1.0,-1000.0,0.0,0.0,0.0
18:01:29,0.006694324803538621,0.0007436374490225716,0.021313051134347914,0.015935813542455435,-0.000560098618734628,0.0011282535182544962,584644.0,-35.3632621,149.1652375,710.0,0.0,1.0,-112.8,AUTO,0.0,0.0,-1081.4,16.2,0.0,0.4
18:01:30,0.031004145741462708,-0.002241911832243204,0.02122793346643448,0.045565154403448105,-0.0075280917808413506,0.0027755936607718468,585660.0,-35.363262,149.1652376,1720.0,1.0,9.0,-148.0,AUTO,0.0,-1.0,-1008.0,46.0,-6.0,2.0
18:01:31,0.013133440911769868,0.012518082279711962,-0.03711260966956616,-0.07012469917535782,0.02072284761816263,-0.06548540443181991,587568.0,-35.36326124,149.1652421,3630.4,5.2,46.6,-147.6,AUTO,3.2,-10.4,-1000.6,-69.2,21.6,-65.2
18:01:32,-0.04051521047949791,0.015289639122784138,-0.08634289354085922,-0.04639487341046333,-0.027215486392378807,-0.03088735044002533,588720.0,-35.363261,149.1652457,4780.0,-3.0,28.0,-150.0,AUTO,4.0,-7.0,-1001.0,-45.0,-26.0,-31.0
18:01:33,-0.04518272876739502,-0.010098628979176284,-0.08739876598119736,0.0557345449924469,0.0058258452801965175,-0.00039697459433227775,590636.0,-35.36326122,149.165244,6699.6,-1.2,-44.2,-150.2,AUTO,-4.2,7.2,-1001.8,55.8,6.0,-0.8
18:01:34,0.0011891514295712113,-0.0023547287564724684,-0.0882008746266365,0.0647360309958458,0.015092636458575726,0.003725167829543352,591790.0,-35.3632613,149.1652395,7857.0,0.0,-59.0,-152.0,AUTO,-7.0,9.0,-1003.0,65.0,15.0,3.0
18:01:35,0.051388343796133995,0.008606351539492607,-0.0851865366101265,-0.017743296176195144,-0.004598071705549956,0.002979261381551623,593756.0,-35.36326178,149.16523451999998,9817.8,-6.2,-4.8,-152.4,AUTO,-0.6,3.4,-997.8,-16.8,-4.2,2.6
18:01:36,0.008177717216312885,-0.0006601709173992276,-0.0850270614027977,-0.06427878886461258,-0.014909501187503338,-0.0036375094205141068,594910.0,-35.3632623,149.165235,10977.0,-6.0,22.0,-150.0,AUTO,4.0,-2.0,-1002.0,-63.0,-14.0,-3.0
18:01:37,-0.012335600517690181,-0.00420800787396729,-0.10943308621644973,0.010154176037758589,0.003883825143566355,-0.023173511400818823,596844.0,-35.36326244,149.16523664000002,12909.2,2.0,2.4,-152.6,AUTO,0.0,-0.8,-1000.8,10.6,4.0,-23.2
18:01:38,-0.0015328634763136506,-0.00010282525909133255,-0.12815582752227783,0.01730046421289444,0.007777590304613113,-0.022361334413290024,598020.0,-35.3632622,149.1652365,14084.0,4.0,-6.0,-153.0,AUTO,-2.0,0.0,-1000.0,17.0,8.0,-22.0
18:01:39,0.00869572777301073,0.005973787698894739,-0.1519798994064331,0.0024185804184526207,0.0017884620814584196,-0.01342792995274067,599970.0,-35.36326178,149.16523565999998,16030.8,0.6,-1.4,-153.0,AUTO,-1.0,0.0,-1000.0,3.0,2.0,-13.4
18:01:40,0.0065594499465078115,0.005575403571128845,-0.16755930334329605,-0.003288587322458625,-0.0006073734548408538,-0.013655293732881546,601720.0,-35.36326165,149.16523554999998,17784.5,-1.5,4.0,-153.0,AUTO,0.0,0.0,-999.5,-2.0,0.0,-13.5
18:01:41,0.0036311877192929387,0.004341317457146943,-0.18305720388889313,-0.0006467536295531318,1.4408069546334445e-05,-0.01763550448231399,603285.0,-35.3632616,149.16523585,19348.0,-2.75,5.5,-153.0,AUTO,0.0,0.0,-1000.0,0.25,0.0,-17.25
18:01:42,0.0023414581082761288,0.0037554227747023106,-0.19414860010147095,-0.0002908571041189134,-0.0003975008730776608,-0.018417587503790855,604260.0,-35.3632617,149.1652361,20323.0,-3.0,5.0,-153.0,AUTO,0.0,0.0,-1000.0,0.0,0.0,-18.0
18:01:43,0.0017676264513283968,0.0032165923155844213,-0.2184741109609604,0.0003387488191947341,0.00010719452984631062,-0.019518332928419112,606210.0,-35.363261720000004,149.16523641999999,22272.2,-2.4,3.6,-153.0,AUTO,0.0,0.0,-1000.0,1.0,0.6,-19.2
