,A.BRAKE1
20:39:06.066,-1
20:39:06.268,-1
20:39:06.469,-1
20:39:06.670,-1
20:39:06.871,-1
20:39:07.072,-1
20:39:07.273,-1
20:39:07.474,-1
20:39:07.675,-1
20:39:07.876,-1
20:39:08.077,-1
20:39:08.278,-1
20:39:08.479,-1
20:39:08.680,-1
20:39:08.882,-1
20:39:09.083,-1
20:39:09.284,-1
20:39:09.485,-1
20:39:09.687,-1
20:39:09.889,-1
20:39:10.090,-1
20:39:10.291,-1
20:39:10.492,-1
20:39:10.693,-1
20:39:10.894,-1
20:39:11.095,-1
20:39:11.296,-1
20:39:11.497,-1
20:39:11.698,-1
20:39:11.899,-1
20:39:12.099,-1
20:39:12.301,-1
20:39:12.502,-1
20:39:12.703,-1
20:39:12.905,-1
20:39:13.106,-1
20:39:13.307,-1
20:39:13.508,-1
20:39:13.709,-1
20:39:13.909,-1
20:39:14.113,-1
20:39:14.314,-1
20:39:14.515,-1
20:39:14.716,-1
20:39:14.917,-1
20:39:15.118,-1
20:39:15.319,-1
20:39:15.520,-1
20:39:15.721,-1
20:39:15.923,-1
20:39:16.125,-1
20:39:16.326,-1
20:39:16.526,-1
20:39:16.727,-1
20:39:16.928,-1
20:39:17.129,-1
20:39:17.330,-1
20:39:17.531,-1
20:39:17.731,-1
20:39:17.932,-1
20:39:18.133,-1
20:39:18.334,-1
20:39:18.535,-1
20:39:18.736,-1
20:39:18.937,-1
20:39:19.137,-1
20:39:19.338,-1
20:39:19.539,-1
20:39:19.740,-1
20:39:19.941,-1
20:39:20.142,-1
20:39:20.343,-1
20:39:20.544,-1
20:39:20.745,-1
20:39:20.946,-1
20:39:21.147,-1
20:39:21.348,-1
20:39:21.549,-1
20:39:21.750,-1
20:39:21.952,-1
20:39:22.153,-1
20:39:22.354,-1
20:39:22.555,-1
20:39:22.756,-1
20:39:22.957,-1
20:39:23.158,-1
20:39:23.359,-1
20:39:23.560,-1
20:39:23.761,-1
20:39:23.962,-1
20:39:24.164,-1
20:39:24.365,-1
20:39:24.566,-1
20:39:24.767,-1
20:39:24.968,-1
20:39:25.169,-1
20:39:25.370,-1
20:39:25.571,-1
20:39:25.772,-1
20:39:25.973,-1
20:39:26.175,-1
20:39:26.376,-1
20:39:26.577,-1
20:39:26.778,-1
20:39:26.980,-1
20:39:27.180,-1
20:39:27.382,-1
20:39:27.583,-1
20:39:27.785,-1
20:39:27.986,-1
20:39:28.188,-1
20:39:28.391,-1
20:39:28.593,-1
20:39:28.794,-1
20:39:28.995,-1
20:39:29.196,-1
20:39:29.397,-1
20:39:29.598,-1
20:39:29.800,-1
20:39:30.001,-1
20:39:30.203,-1
20:39:30.403,-1
20:39:30.604,-1
20:39:30.805,-1
20:39:31.006,-1
20:39:31.207,-1
20:39:31.408,-1
20:39:31.609,-1
20:39:31.812,-1
20:39:32.013,-1
20:39:32.214,-1
20:39:32.415,-1
20:39:32.616,-1
20:39:32.816,-1
20:39:33.017,-1
20:39:33.218,-1
20:39:33.419,-1
20:39:33.620,-1
20:39:33.822,-1
20:39:34.024,-1
20:39:34.225,-1
20:39:34.427,-1
20:39:34.628,-1
20:39:34.829,-1
20:39:35.030,-1
20:39:35.231,-1
20:39:35.432,-1
20:39:35.636,-1
20:39:35.838,-1
20:39:36.039,-1
20:39:36.243,-1
20:39:36.444,-1
20:39:36.647,-1
20:39:36.849,-1
20:39:37.051,-1
20:39:37.253,-1
20:39:37.454,-1
20:39:37.658,-1
20:39:37.860,-1
20:39:38.061,-1
20:39:38.263,-1
20:39:38.464,-1
20:39:38.665,-1
20:39:38.866,-1
20:39:39.067,-1
20:39:39.268,-1
20:39:39.469,-1
20:39:39.671,-1
20:39:39.871,-1
20:39:40.073,-1
20:39:40.275,-1
20:39:40.476,-1
20:39:40.677,-1
20:39:40.880,-1
20:39:41.081,-1
20:39:41.282,-1
20:39:41.484,-1
20:39:41.686,-1
20:39:41.888,-1
20:39:42.090,-1
20:39:42.292,-1
20:39:42.493,-1
20:39:42.694,-1
20:39:42.895,-1
20:39:43.096,-1
20:39:43.297,-1
20:39:43.498,-1
20:39:43.698,-1
20:39:43.900,-1
20:39:44.101,-1
20:39:44.303,-1
20:39:44.504,-1
20:39:44.705,-1
20:39:44.906,-1
20:39:45.107,-1
20:39:45.309,-1
20:39:45.510,-1
20:39:45.715,-1
20:39:45.916,-1
20:39:46.120,1
20:39:46.322,1
20:39:46.524,1
20:39:46.725,1
20:39:46.926,1
20:39:47.127,1
20:39:47.328,1
20:39:47.529,1
20:39:47.730,1
20:39:47.931,1
20:39:48.134,-1
20:39:48.336,-1
20:39:48.537,-1
20:39:48.738,-1
20:39:48.939,-1
20:39:49.144,-1
20:39:49.345,-1
20:39:49.546,-1
20:39:49.749,-1
20:39:49.952,-1
20:39:50.155,-1
20:39:50.357,-1
20:39:50.558,-1
20:39:50.760,-1
20:39:50.961,-1
20:39:51.162,-1
20:39:51.363,-1
20:39:51.564,-1
20:39:51.765,-1
20:39:51.966,-1
20:39:52.168,-1
20:39:52.369,-1
20:39:52.570,-1
20:39:52.771,-1
20:39:52.972,-1
20:39:53.173,-1
20:39:53.374,-1
20:39:53.575,-1
20:39:53.776,-1
20:39:53.977,-1
20:39:54.179,-1
20:39:54.381,-1
20:39:54.583,-1
20:39:54.785,-1
20:39:54.986,-1
20:39:55.187,-1
20:39:55.391,-1
20:39:55.593,-1
20:39:55.795,-1
20:39:55.999,-1
20:39:56.201,-1
20:39:56.402,-1
20:39:56.602,-1
20:39:56.803,-1
20:39:57.005,-1
20:39:57.206,-1
20:39:57.407,-1
20:39:57.609,-1
20:39:57.810,-1
20:39:58.011,-1
20:39:58.213,-1
20:39:58.413,-1
20:39:58.615,-1
20:39:58.816,-1
20:39:59.018,-1
20:39:59.219,-1
20:39:59.421,-1
20:39:59.623,-1
20:39:59.824,-1
20:40:00.026,-1
20:40:00.227,-1
20:40:00.428,-1
20:40:00.629,-1
20:40:00.830,-1
20:40:01.031,-1
20:40:01.233,-1
20:40:01.434,-1
20:40:01.635,-1
20:40:01.836,-1
20:40:02.037,-1
20:40:02.239,-1
20:40:02.440,-1
20:40:02.652,-1
20:40:02.854,-1
20:40:03.055,-1
20:40:03.257,-1
20:40:03.459,-1
20:40:03.660,-1
20:40:03.862,-1
20:40:04.064,-1
20:40:04.266,-1
20:40:04.468,-1
20:40:04.669,-1
20:40:04.870,-1
20:40:05.071,-1
20:40:05.272,-1
20:40:05.472,-1
20:40:05.673,-1
20:40:05.874,-1
20:40:06.076,-1
20:40:06.277,-1
20:40:06.478,-1
20:40:06.679,-1
