time_stamp,MODE,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz
20:39:01,STABILIZE,1500.0,0.0,1.0,-1000.0,1.0,0.0,1.0,-0.001088768825866282,0.0009672486339695752,0.0216628173366189,0.00028271996416151524,0.0002808402059599757,0.0016514967428520322,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0
20:39:05,AUTO,1500.0,0.0,1.5,-1000.0,0.0,0.0,1.0,-0.0007514434983022511,0.0009879687568172812,0.02079886756837368,0.0003584841324482113,0.0002583146560937166,0.0014646608615294099,-35.3632622,149.1652375,0.0,-1.0,1.0,-1.0
20:39:07,AUTO,1500.0,0.0,1.0,-1000.0,0.5,0.5,0.5,-0.0006381341663654894,0.0011177035048604012,0.02038267720490694,0.000258361134910956,0.0001415273582097143,0.0013658300740644336,-35.3632621,149.1652375,16.5,0.0,0.0,-1.5
20:39:09,AUTO,1500.0,0.0,2.0,-1000.0,0.0,0.0,0.5,-0.0001762462197802961,0.0016579927178099751,0.019898995757102966,0.0004243043076712638,0.00032157477107830346,0.001349369587842375,-35.3632621,149.1652375,17.0,0.0,0.0,-0.5
20:39:11,AUTO,1500.0,0.0,-0.5,-1015.5,47.0,-6.5,1.5,0.025428790599107742,-0.001251745256013237,0.019517285749316216,0.04643135517835617,-0.007232314441353083,0.0023713194532319903,-35.36326205,149.16523755,1470.0,0.5,7.0,-145.0
20:39:13,AUTO,1500.0,3.5,-8.0,-1002.5,-50.5,-11.5,-36.0,-0.03437481168657541,0.004480722243897617,-0.06426180526614189,-0.05214452184736729,-0.012324789888225496,-0.03631219919770956,-35.36326085,149.16524520000002,4506.0,3.0,35.5,-148.5
20:39:15,AUTO,1500.0,-5.5,12.5,-1003.0,68.5,10.0,-2.5,-0.006151168025098741,0.009494631551206112,-0.11346004158258438,0.0682407021522522,0.009871154092252254,-0.002596315403934568,-35.3632614,149.16523995,7579.5,-14.5,-60.5,-149.5
20:39:17,AUTO,1500.0,2.5,-5.5,-996.0,-81.5,-20.0,53.0,0.03447474166750908,-0.06579921767115593,-0.03334248345345259,-0.08229456655681133,-0.020502407103776932,0.05321028362959623,-35.363264650000005,149.165235,10694.0,8.5,29.0,-148.0
20:39:19,AUTO,1500.0,-5.5,0.5,-1000.5,44.5,11.0,-32.0,-0.005683755029167514,0.02893632836639881,-0.16872625052928925,0.04453745484352112,0.010611599776893854,-0.03231988940387964,-35.36325965,149.16523655,13784.5,10.0,-17.0,-152.5
20:39:21,AUTO,1500.0,3.0,0.5,-1000.0,-10.5,-11.5,-2.0,0.008292361162602901,0.003551436122506857,-0.1639811247587204,-0.011852274183183908,-0.012582810129970312,-0.002384467385127209,-35.3632609,149.16523519999998,16916.0,-16.5,9.5,-151.0
20:39:23,AUTO,1500.0,0.0,0.0,-1000.0,4.5,5.0,-28.5,0.00024980622401926666,-0.0019439453608356416,-0.2016369327902794,0.004455045913346112,0.00478719302918762,-0.029017502442002296,-35.3632623,149.1652364,20037.0,-2.0,2.5,-152.0
20:39:25,AUTO,1500.0,0.0,0.0,-1000.0,1.0,1.5,-19.0,0.004490470280870795,0.004122697748243809,-0.25181715190410614,0.0009002727747429162,0.0011539010447449982,-0.01966757234185934,-35.3632622,149.1652364,23172.0,0.0,2.5,-153.0
20:39:27,AUTO,1500.0,0.0,0.5,-1000.0,28.5,-0.5,20.5,0.00332778156735003,0.005441546440124512,-0.26694194972515106,0.02835456281900406,-0.0015664247621316463,0.021364468149840832,-35.36326215,149.16523654999997,26284.5,-4.5,-0.5,-153.0
20:39:29,AUTO,1500.0,1.0,-1.0,-1000.0,-5.5,1.5,19.5,0.002310379466507584,0.0021094050025567412,-0.2198595553636551,-0.00700526568107307,0.0013596946955658495,0.020069358870387077,-35.3632624,149.1652373,29408.5,-0.5,8.5,-152.0
20:39:31,AUTO,1500.0,0.0,0.0,-999.5,3.5,0.5,14.5,-0.0004600745451170951,0.0009084470802918077,-0.18458225578069687,0.0031508459942415357,-2.240328467451036e-05,0.015134403947740793,-35.3632624,149.1652381,32527.0,0.0,1.5,-153.0
20:39:33,AUTO,1500.0,0.0,0.0,-1000.0,3.5,1.0,12.5,0.0018371992628090084,0.0007713630911894143,-0.15836261957883835,0.0028781600412912667,0.0006948859081603587,0.012415497563779354,-35.3632623,149.165238,35640.0,0.0,0.0,-153.0
20:39:35,AUTO,1500.0,0.0,0.0,-999.5,1.5,2.5,10.0,0.0026628818595781922,0.001268658321350813,-0.13895712047815323,0.0006043376633897424,0.0019214931526221335,0.010399048682302237,-35.3632622,149.16523765,38755.5,0.0,0.0,-153.0
20:39:37,AUTO,1500.0,0.0,0.0,-1000.5,2.0,0.5,7.5,0.0020581959979608655,0.001592243555933237,-0.12395818158984184,0.0011415834887884557,-8.146715117618442e-05,0.008080718107521534,-35.3632621,149.1652375,41874.0,-0.5,1.0,-153.0
20:39:39,AUTO,1500.0,0.0,0.0,-1000.5,3.0,1.0,5.5,0.002041063620708883,0.001413440448231995,-0.11136946082115173,0.0019740000716410577,1.1782802175730467e-05,0.005481344414874911,-35.363262,149.1652374,44984.5,-1.0,1.0,-152.5
20:39:41,BRAKE,1500.0,2.0,2.5,-955.0,-68.0,-5.5,482.5,-0.05565496161580086,0.06259353831410408,0.11885241605341434,-0.06893742270767689,-0.006950639188289642,0.48229651153087616,-35.3632623,149.16523695,48032.5,-19.5,-16.5,-130.0
