time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,lat,lon,relative_alt,vx,vy,vz,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro
16:40:56,-0.0011571095591144903,0.0009341587013165865,0.025030931723969325,0.00021103081858849952,0.00023735498377521123,0.0018748761753418616,STABILIZE,-35.3632621,149.1652375,0.0,-1.0,1.0,1.0,1500.0,0.0,1.0,-1000.0,0.0,0.0,0.0
16:41:02,-0.001130813267081976,0.0009796981466934085,0.024220416322350502,0.00014338362962007523,0.00022029632236808538,0.0018439701525494456,AUTO,-35.3632621,149.1652375,5.0,-1.0,0.0,0.0,1500.0,0.0,1.0,-1000.0,0.0,0.0,0.0
16:41:04,-0.0010144067928195,0.001164060551673174,0.023824515442053478,0.0002657517228120317,0.00022136641200631857,0.0017746980884112418,AUTO,-35.36326209999999,149.1652375,7.666666666666667,0.0,0.0,0.0,1500.0,0.0,1.0,-1000.0,0.5,0.0,0.16666666666666666
16:41:06,0.002655334770679474,0.0002760545175988227,0.023088229820132256,0.006133795715868473,0.004694882780313492,0.0032062181271612644,AUTO,-35.3632621,149.1652375,240.0,0.0,0.0,-79.0,1500.0,0.0,0.0,-1102.0,6.0,5.0,2.0
16:41:08,0.05372488871216774,-0.006873734761029482,-0.00514136953279376,0.03967373073101044,-0.010796844959259033,0.0037585238460451365,AUTO,-35.3632618,149.1652386,2940.0,4.0,29.0,-150.0,1500.0,0.0,-4.0,-1000.0,40.0,-10.0,3.0
16:41:10,-0.0582309328019619,-0.006764937192201614,-0.08672982454299927,0.02853521704673767,-0.003395237261429429,-0.012078129686415195,AUTO,-35.3632611,149.165245,6012.0,-4.0,-19.0,-150.0,1500.0,0.0,3.0,-1000.0,29.0,-2.0,-12.0
16:41:12,0.02496536821126938,0.000670145615004003,-0.08878988027572632,-0.0002867947914637625,-0.004262718837708235,0.01217165868729353,AUTO,-35.3632619,149.1652365,9128.0,-5.0,-24.0,-152.0,1500.0,-2.0,6.0,-999.0,0.0,-3.0,11.0
16:41:14,0.005070697050541639,-0.00044382893247529864,-0.09877509623765945,-0.004326759837567806,0.0023660201113671064,-0.015750152990221977,AUTO,-35.3632623,149.1652347,12237.0,1.0,2.0,-152.0,1500.0,0.0,0.0,-1000.0,-3.0,2.0,-16.0
16:41:16,0.00510449567809701,0.004607277922332287,-0.13983112573623657,0.0011528469622135162,0.0023587425239384174,-0.018797827884554863,AUTO,-35.3632619,149.165235,15359.0,1.0,4.0,-153.0,1500.0,0.0,-1.0,-1000.0,1.0,3.0,-19.0
16:41:18,0.00320400926284492,0.00482159061357379,-0.17837832868099213,-0.002726311795413494,-0.0005620194133371115,-0.017454322427511215,AUTO,-35.3632616,149.1652357,18490.0,-2.0,6.0,-153.0,1500.0,0.0,0.0,-1000.0,-2.0,0.0,-18.0
16:41:20,0.0017616436816751957,0.003390084602870047,-0.21139534562826157,0.00027332885656505823,-0.0010378799634054303,-0.01912626251578331,AUTO,-35.3632617,149.16523645,21261.5,-3.0,4.0,-153.0,1500.0,0.0,0.0,-1000.0,0.6666666666666666,0.3333333333333333,-19.666666666666668
16:41:22,0.002337090438231826,0.0025341196451336145,-0.25195959210395813,0.0014784149825572968,-0.0006937658181414008,-0.019702043384313583,AUTO,-35.3632619,149.1652368,24585.0,-2.0,2.0,-154.0,1500.0,0.0,0.0,-1000.0,2.0,0.0,-20.0
16:41:24,0.010506260208785534,0.0012284531258046627,-0.21967005729675293,-0.0021664428059011698,0.0005372219020500779,0.02421554923057556,AUTO,-35.3632624,149.1652366,27712.0,-3.0,5.0,-153.0,1500.0,0.0,0.0,-999.0,-1.0,1.0,23.0
16:41:26,-0.000736564863473177,0.0017825361574068666,-0.17952769994735718,0.00222559692338109,-9.767682058736682e-05,0.02045406587421894,AUTO,-35.3632624,149.1652378,30824.0,0.0,5.0,-153.0,1500.0,0.0,-1.0,-1000.0,2.0,0.0,20.0
16:41:28,0.001080741174519062,0.0013989312574267387,-0.14955532550811768,-0.00028653861954808235,-0.00028729240875691175,0.01269547175616026,AUTO,-35.3632623,149.165238,33941.0,0.0,0.0,-153.0,1500.0,0.0,0.0,-1000.0,0.0,0.0,12.0
16:41:30,0.0011621493613347411,0.001385241630487144,-0.1266535222530365,-0.0035003875382244587,-0.00028233660850673914,0.010317910462617874,AUTO,-35.3632622,149.1652378,37062.0,0.0,0.0,-153.0,1500.0,0.0,0.0,-1000.0,-2.0,0.0,10.0
16:41:32,0.00212642690166831,0.0014248690567910671,-0.10971744358539581,-0.0026003497187048197,-0.00031793740345165133,0.005718644708395004,AUTO,-35.3632621,149.1652375,40174.0,0.0,0.0,-153.0,1500.0,0.0,0.0,-1000.0,-1.0,0.0,5.0
16:41:37,0.001753135312659045,0.001549508694248895,-0.0978971819082896,0.00015518445676813522,-0.00013810041127726436,0.007392448373138905,AUTO,-35.363262,149.16523743333335,42902.0,-1.0,0.0,-153.0,1500.0,0.0,0.0,-1000.0,1.0,0.6666666666666666,7.0
16:41:39,0.0018158777384087443,0.0013100120898646612,-0.0881146639585495,0.0006653379338483015,0.0005014089110773057,0.0061173103749752045,AUTO,-35.363262,149.1652374,45436.0,-1.0,1.0,-153.0,1500.0,0.0,0.0,-999.6666666666666,1.5,1.1666666666666667,5.666666666666667
16:41:41,-0.029172320986011375,0.025538018283744652,0.11497010663151741,-0.013482812714452544,-0.03156788028233374,0.26897449426663417,AUTO,-35.36326251666667,149.16523658333332,48426.833333333336,-15.833333333333334,-17.166666666666668,-120.83333333333333,1500.0,1.8333333333333333,3.6666666666666665,-946.8333333333334,-12.5,-30.5,268.8333333333333
16:41:43,0.034608780220150945,-0.02911668671295047,0.28621435165405273,0.049915453791618346,0.039023760333657266,-0.03647147193551063,AUTO,-35.3632642,149.16523292,49908.4,13.2,15.4,-33.2,1500.0,-1.4,-2.2,-972.8,50.4,39.6,-35.6
16:41:45,-0.0061910777585580945,-0.03544496589650711,0.21825126310189566,0.5533297657966614,-0.08533843358357747,-0.025076979771256447,AUTO,-35.363261400000006,149.1652378,50009.666666666664,11.333333333333334,9.0,6.333333333333333,1500.0,-1.6666666666666667,30.666666666666668,-1009.6666666666666,556.6666666666666,-84.0,-24.0
16:41:47,0.0005571434545951585,-0.14338510235150656,0.32871297001838684,0.18560492992401123,-0.05192845563093821,-0.01412930324052771,AUTO,-35.3632478,149.1652394,49979.333333333336,163.0,22.0,-1.0,1500.0,-31.5,-4.75,-1005.5,260.75,-48.0,-4.25
16:41:49,0.021529429281751316,-0.19962311287721,0.279763142267863,0.038627038399378456,-0.014616924958924452,-0.009945332848777374,AUTO,-35.363198000000004,149.16524703333332,49939.0,396.3333333333333,53.333333333333336,0.0,1500.0,-84.25,-33.25,-1002.75,-48.75,-12.0,-11.75
16:41:51,0.04464295506477356,-0.19815958042939505,0.25778956214586896,-0.006747527047991753,0.03059083006034295,-0.009221172581116358,AUTO,-35.36310786666667,149.16526233333332,49930.333333333336,598.3333333333334,80.66666666666667,-6.333333333333333,1500.0,-138.33333333333334,-55.666666666666664,-1007.6666666666666,-5.666666666666667,31.333333333333332,-8.0
16:41:53,0.062384143471717834,-0.1600072644650936,0.23937960341572762,-0.005916824331507087,0.017643225844949484,-0.004498847789363936,AUTO,-35.362999200000004,149.16528110000002,50009.5,675.25,91.25,-1.25,1500.0,-138.0,-55.25,-985.75,-4.75,18.0,-3.5
16:41:55,0.06974098707238834,-0.1459490805864334,0.22826524823904037,-0.0017098278428117435,-0.006402600246171157,-0.010391162863622109,AUTO,-35.36289248333333,149.16529911666666,49999.833333333336,679.1666666666666,94.83333333333333,0.3333333333333333,1500.0,-137.66666666666666,-67.0,-986.6666666666666,-0.8333333333333334,-5.166666666666667,-9.666666666666666
16:41:57,0.079104483127594,-0.06664941397806008,0.2165991614262263,0.0962414691845576,0.06123262457549572,-0.01803944919568797,AUTO,-35.36277225,149.1653195,50039.833333333336,633.0,92.0,-4.0,1500.0,-136.33333333333334,-60.5,-988.6666666666666,97.66666666666667,61.833333333333336,-17.166666666666668
16:41:59,0.06183029028276602,0.030047455763754744,0.20783792436122894,0.19550263384977976,0.0343079383407409,-0.012641222526629766,AUTO,-35.3626734,149.1653377,50007.333333333336,444.6666666666667,66.0,-0.16666666666666666,1500.0,-93.5,-41.5,-1004.0,198.16666666666666,35.0,-11.5
16:42:01,0.021196584217250347,0.06665406251947086,0.19914857546488443,0.025030553340911865,0.01785658796628316,-0.0012010015392055113,AUTO,-35.362614549999996,149.16534994999998,49974.333333333336,216.66666666666666,25.166666666666668,-1.3333333333333333,1500.0,-45.5,-21.5,-1008.3333333333334,27.833333333333332,18.333333333333332,-0.5
16:42:03,0.014025730546563864,0.03461206750944257,0.1919848658144474,0.0015304312109947205,-0.016817447962239385,0.0001435646991012618,AUTO,-35.3625921,149.16535285,49971.25,34.5,-0.5,-2.5,1500.0,-8.5,-7.25,-1006.25,0.75,-15.25,1.0
16:42:05,0.007021517517083946,-0.0011220581109228078,0.18540219217538834,-0.008344493806362152,-0.01795011149564137,-0.0012158432121699054,AUTO,-35.362590966666666,149.1653517,49993.166666666664,-0.5,1.3333333333333333,-1.3333333333333333,1500.0,0.16666666666666666,0.8333333333333334,-1001.3333333333334,-7.333333333333333,-17.0,0.0
16:42:07,0.013268766459077597,0.0029354689177125692,0.17779287695884705,-0.0947321243584156,0.03929927170975134,0.0036777326022274792,RTL,-35.362589475,149.165350325,49995.5,19.5,15.75,-0.25,1500.0,-3.5,2.25,-1000.25,-91.0,39.5,4.5
16:42:14,0.007252581873520588,0.10948458189765613,0.17224100480477014,-0.03655213862657547,0.04161311158289512,-0.0054265369738762574,RTL,-35.36259953333333,149.16534828333332,49980.333333333336,-129.33333333333334,2.6666666666666665,0.0,1500.0,25.166666666666668,13.666666666666666,-1002.5,-34.333333333333336,42.0,-4.0
16:42:16,-0.022093328734626994,0.18203112731377283,0.1699498767654101,0.021126259118318558,0.018921701548000176,-0.007565134127313892,RTL,-35.36263941666666,149.16534249999998,49961.5,-329.6666666666667,-22.0,0.3333333333333333,1500.0,70.5,30.333333333333332,-1003.8333333333334,22.833333333333332,19.333333333333332,-5.833333333333333
16:42:18,-0.05937241514523824,0.22000615298748016,0.1657729372382164,-0.013501738042881092,-0.0070087982652088,-0.003923123294953257,RTL,-35.36271751666667,149.16533156666668,49936.833333333336,-541.5,-66.66666666666667,0.3333333333333333,1500.0,111.5,51.166666666666664,-1000.8333333333334,-11.0,-6.333333333333333,-2.6666666666666665
16:42:20,-0.073463241259257,0.1884424885114034,0.16808566699425379,0.002154833637177944,-0.017380214141060907,0.0023625206764942655,RTL,-35.36282963333333,149.16531331666667,49970.0,-686.6666666666666,-99.83333333333333,-2.5,1500.0,136.5,69.83333333333333,-989.3333333333334,5.0,-16.5,3.3333333333333335
16:42:22,-0.081717894723018,0.14798004180192947,0.1681596760948499,-0.0038562072440981865,-0.023269719337501254,-0.0017013198424441118,RTL,-35.36295716666667,149.16529125,50009.833333333336,-722.8333333333334,-107.5,-0.5,1500.0,146.33333333333334,75.5,-986.3333333333334,-1.0,-22.0,-0.5
16:42:24,-0.07996418823798497,0.06735539063811302,0.16979080190261206,-0.0063335287074248,-0.04679841796557108,-0.010777153773233294,RTL,-35.363081900000005,149.16526921666664,50034.833333333336,-655.3333333333334,-98.16666666666667,-0.8333333333333334,1500.0,138.0,73.5,-988.8333333333334,-4.833333333333333,-45.5,-9.333333333333334
16:42:26,-0.06583731186886628,-0.02107320826811095,0.171953355272611,0.18775647754470506,-0.030177726061083376,0.008557052351534367,RTL,-35.36317821666667,149.16525216666665,50005.666666666664,-465.5,-73.16666666666667,1.0,1500.0,98.0,61.166666666666664,-1001.0,190.0,-28.833333333333332,9.5
16:42:28,-0.03375343792140484,-0.06778484831253688,0.1703620826204618,0.051971450448036194,-0.026357211483021576,0.00618689941863219,RTL,-35.36324058333334,149.16524025,49990.0,-236.16666666666666,-40.333333333333336,0.5,1500.0,48.166666666666664,33.666666666666664,-1004.6666666666666,54.0,-24.666666666666668,7.333333333333333
16:42:30,-0.0013984558269536744,-0.04889304252962271,0.16778435558080673,0.0188978078464667,0.020457881968468428,-0.00010361093639706571,RTL,-35.363264449999996,149.1652349833333,49983.0,-50.333333333333336,-7.0,0.16666666666666666,1500.0,9.5,5.333333333333333,-1006.0,21.166666666666668,21.0,0.6666666666666666
16:42:32,0.0034788501216098666,-0.0036811159225180745,0.16662337879339853,0.0012042808036009471,0.014568077012275657,0.0025318399032888315,RTL,-35.36326705,149.16523498333333,49990.0,6.5,4.333333333333333,0.0,1500.0,-0.16666666666666666,-2.1666666666666665,-1002.5,3.3333333333333335,15.333333333333334,3.6666666666666665
16:42:34,0.011642526485957205,-0.008604687405750155,0.16675069431463876,-0.08443224771569173,0.003161327176106473,-0.004243188304826617,RTL,-35.36326606666666,149.16523485000002,49989.833333333336,10.833333333333334,10.5,0.0,1500.0,-1.6666666666666667,-3.1666666666666665,-998.5,-81.83333333333333,3.8333333333333335,-2.6666666666666665
16:42:36,0.004582146318474163,0.0024368571709298217,0.16538994510968527,0.004623586932818095,0.005479550221934915,-0.000659443282832702,RTL,-35.36326416666667,149.16523576666665,49989.833333333336,10.833333333333334,13.166666666666666,0.0,1500.0,-0.3333333333333333,-6.833333333333333,-996.5,6.833333333333333,6.166666666666667,0.5
16:42:38,-0.0016231234767474234,0.0023598067734080055,0.16405987242857614,0.536399190624555,-0.0033549776417203248,0.0016441991901956499,RTL,-35.36326321666667,149.16523786666667,49839.333333333336,5.833333333333333,0.8333333333333334,34.666666666666664,1500.0,0.16666666666666666,14.666666666666666,-953.6666666666666,538.0,-2.1666666666666665,2.5
16:42:40,0.014654473246385654,0.0008841196831781417,0.16372991353273392,1.1011608441670735,0.0009154649936438849,0.004622418840881437,RTL,-35.363262866666666,149.16523853333334,48153.0,4.833333333333333,-7.5,107.0,1500.0,0.0,19.0,-1010.5,1098.8333333333333,1.6666666666666667,5.333333333333333
16:42:42,0.012131820588062206,0.000979747564997524,0.1634999339779218,1.1179982423782349,-0.0007373384626892706,0.004709117172751576,RTL,-35.36326259999999,149.1652388,46067.5,3.0,-9.833333333333334,96.83333333333333,1500.0,0.5,22.833333333333332,-1045.6666666666667,1116.1666666666667,0.3333333333333333,5.333333333333333
16:42:44,0.006095491262385622,0.0012070940138073638,0.1627045621474584,1.1094705363114674,0.0003100648755207658,0.009439621023678532,RTL,-35.36326259999999,149.16523941666665,44222.0,3.1666666666666665,-13.333333333333334,93.83333333333333,1500.0,0.5,19.666666666666668,-1003.5,1107.1666666666667,1.0,10.5
16:42:49,-0.026223696302622557,0.000923441635677591,0.16269198060035706,-0.15689456462860107,0.0057668862864375114,-0.008941265958128497,RTL,-35.363262549999995,149.1652395,42451.5,3.0,-15.0,100.75,1500.0,-2.25,38.5,-980.25,-145.5,6.5,-7.25
16:42:51,-0.027931032702326775,0.0011651848210021854,0.16263671219348907,-0.6189434031955898,-0.0032563083805143833,0.005459623131901026,RTL,-35.3632625,149.16523946,40688.4,3.0,-16.4,97.8,1500.0,0.0,4.4,-998.2,-610.4,-2.2,6.8
16:42:53,-0.025889595970511436,0.0020047666039317846,0.16237816214561462,0.09047923982143402,0.0023842474911361933,0.0015299959341064095,RTL,-35.3632624,149.1652397,38411.0,2.0,-16.0,95.0,1500.0,0.0,40.0,-928.0,101.0,3.0,3.0
