time_stamp,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,VFR_HUD_alt,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,EK2_ALT_SOURCE
13:27:39,AUTO,0.0075354359578341246,0.0054274864960461855,-0.15578293800354004,4.7933877795003355e-05,0.0005485717071375499,-0.015860063799967367,600406.6666666666,-35.36326171666667,149.16523551666666,16372.5,-0.6666666666666666,2.1666666666666665,-151.66666666666666,600.4066569010416,0.0,0.0,-999.8333333333334,0.5,1.0,-15.833333333333334,1500.0,0.0
13:27:51,AUTO,0.016212251658240955,-0.010700696886488004,0.04682936705648899,-0.0008084205910563469,-0.00960831695313876,0.02135845776259278,619251.6666666666,-35.363260733333334,149.16523653333334,35219.833333333336,-14.666666666666666,-12.0,-152.66666666666666,619.2516479492188,1.0,4.333333333333333,-1000.0,0.3333333333333333,-8.666666666666666,21.333333333333332,1500.0,0.0
13:27:55,AUTO,-0.001052894874010235,0.00430851224809885,-0.03941915966570377,0.006122148921713233,2.105634193867445e-05,-0.019017158821225167,625614.0,-35.363261120000004,149.1652366,41579.8,-1.8,-0.4,-153.0,625.6139770507813,0.0,0.0,-1000.2,6.8,0.8,-18.4,1500.0,0.0
13:28:29,ALT_HOLD,0.018085220901411958,0.00015463014301531075,-0.05746908113360405,1.5147536545991898,-0.008733908121939749,-0.005351531319320202,626010.0,-35.3633026,149.16510922499998,41973.0,-1.75,-19.5,167.75,626.0099792480469,-8.75,92.25,-1021.25,1519.0,-7.5,-4.0,1500.0,0.0
13:28:33,AUTO,0.035131774842739105,0.0015283152752090245,-0.05889543704688549,-0.48070914049943286,0.0062374382590254145,9.344611316919327e-05,621065.0,-35.36330455,149.16509181666666,37030.833333333336,-1.5,23.333333333333332,16.666666666666668,621.0649922688802,-0.16666666666666666,-27.833333333333332,-1022.5,-481.3333333333333,6.666666666666667,1.5,1500.0,0.0
13:29:09,ALT_HOLD,0.019911820767447352,-0.05688429453099767,0.8779005606969198,-0.032249900667617716,-0.021203877093891304,0.36482414649799466,625776.6666666666,-35.36297143333333,149.1657193166667,41741.166666666664,496.1666666666667,615.6666666666666,22.333333333333332,625.7766520182291,-132.66666666666666,-108.66666666666667,-854.1666666666666,-32.0,-19.833333333333332,366.3333333333333,1500.0,0.0
13:29:13,AUTO,0.14412548870313913,0.14564663916826248,1.0343828201293945,-0.8040303389231364,0.03546584149201711,0.20642907296617827,619750.0,-35.36280896666667,149.165899,35714.333333333336,289.3333333333333,181.16666666666666,92.33333333333333,619.749989827474,-80.33333333333333,-82.0,-1100.3333333333333,-810.6666666666666,36.833333333333336,208.66666666666666,1500.0,0.0
13:29:17,AUTO,-0.010821290721651167,-0.07749108970165253,1.1329980889956157,0.09514997775355975,0.01335188226463894,-0.0029793987438703575,618841.6666666666,-35.362809983333335,149.16590738333335,34806.333333333336,16.0,23.666666666666668,-6.833333333333333,618.8416544596354,-7.666666666666667,-5.333333333333333,-1002.8333333333334,96.33333333333333,15.333333333333334,-0.6666666666666666,1500.0,0.0
13:29:49,AUTO,0.04399905540049076,0.0037102816277183592,1.189961353937785,-0.23621446887652078,-0.005719491979107261,0.0003886294240752856,617876.6666666666,-35.362387633333334,149.16684861666667,33842.666666666664,-3.5,21.166666666666668,8.333333333333334,617.8766479492188,-6.166666666666667,-13.0,-1082.1666666666667,-235.16666666666666,-2.5,3.1666666666666665,1500.0,0.0
13:30:22,ALT_HOLD,0.020647568628191948,-0.00018537111463956535,-2.3088595867156982,1.0661813989281654,0.004934699099976569,-0.007104252697899938,623060.0,-35.362684775000005,149.166660475,39024.0,-279.75,-186.25,170.5,623.0599670410156,-83.75,6.5,-1014.0,1063.25,8.75,-4.0,1500.0,0.0
13:30:28,AUTO,0.1102512612938881,-0.15086884200572967,-2.2826540946960447,0.09524000883102417,-0.046843815594911575,0.020368400076404215,617896.0,-35.362777980000004,149.16661912000004,33859.8,-79.2,-210.4,-8.4,617.89599609375,-41.8,-22.0,-1005.6,96.2,-42.2,22.6,1500.0,0.0
13:30:38,AUTO,0.05512636061757803,-0.09472791850566864,-2.2390342950820923,0.2570512294769287,-0.06615924555808306,-0.014511761022731662,611672.5,-35.362961225,149.1664299,27635.5,-59.75,-111.75,-14.75,611.6725006103516,-25.25,2.0,-1008.5,263.25,-62.0,-11.0,1500.0,0.0
13:31:21,AUTO,0.00776048912666738,-0.027343381196260452,-1.944363296031952,0.008094894466921687,0.02981063351035118,0.03015502355992794,622695.0,-35.3637773,149.1651696,38663.0,-130.5,-144.5,-142.5,622.6950073242188,-43.0,-8.0,-1006.0,14.0,33.5,32.5,1500.0,0.0
