time_stamp,MODE,lat,lon,relative_alt,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,vx,vy,vz,LAND_SPEED_HIGH,WPNAV_SPEED_DN,RTL_ALT
11:08:47.122,GUIDED,-35.3632621,149.1652374,28,-0.00012267484271433204,0.0015277398051694036,0.02715371921658516,0.00015828461619094014,0.00018558083684183657,0.002272751647979021,0,1,-1000,0,0,0,-1,1,-1,350.0,90.0,1500.0
11:08:47.324,GUIDED,-35.3632621,149.1652374,25,-9.885852341540158e-05,0.001591490232385695,0.026805514469742775,0.00010593593469820917,0.00018393550999462605,0.002369391266256571,0,1,-1000,0,0,0,-1,1,-1,350.0,90.0,1500.0
11:08:47.525,GUIDED,-35.3632621,149.1652374,25,-9.885852341540158e-05,0.001591490232385695,0.026805514469742775,0.00010593593469820917,0.00018393550999462605,0.002369391266256571,0,1,-1000,0,0,0,-1,1,-1,350.0,90.0,1500.0
11:08:47.729,GUIDED,-35.3632621,149.1652374,25,-9.885852341540158e-05,0.001591490232385695,0.026805514469742775,0.00010593593469820917,0.00018393550999462605,0.002369391266256571,0,1,-1000,0,0,0,-1,1,-1,350.0,90.0,1500.0
11:08:47.931,GUIDED,-35.3632621,149.1652374,25,-9.885852341540158e-05,0.001591490232385695,0.026805514469742775,0.00010593593469820917,0.00018393550999462605,0.002369391266256571,0,1,-1000,0,0,0,-1,1,-1,350.0,90.0,1500.0
11:08:48.135,GUIDED,-35.3632621,149.1652374,25,-9.885852341540158e-05,0.001591490232385695,0.026805514469742775,0.00010593593469820917,0.00018393550999462605,0.002369391266256571,0,1,-1000,0,0,0,-1,1,-1,350.0,90.0,1500.0
11:08:48.336,GUIDED,-35.3632621,149.1652374,25,-9.885852341540158e-05,0.001591490232385695,0.026805514469742775,0.00010593593469820917,0.00018393550999462605,0.002369391266256571,0,1,-1000,0,0,0,-1,1,-1,350.0,90.0,1500.0
11:08:48.540,GUIDED,-35.3632621,149.1652374,25,-9.885852341540158e-05,0.001591490232385695,0.026805514469742775,0.00010593593469820917,0.00018393550999462605,0.002369391266256571,0,1,-1000,0,0,0,-1,1,-1,350.0,90.0,1500.0
11:08:48.741,GUIDED,-35.3632621,149.1652374,25,-9.885852341540158e-05,0.001591490232385695,0.026805514469742775,0.00010593593469820917,0.00018393550999462605,0.002369391266256571,0,1,-1000,0,0,0,-1,1,-1,350.0,90.0,1500.0
11:08:48.944,GUIDED,-35.3632621,149.1652375,22,-0.00024941618903540075,0.0015215807361528277,0.02599470689892769,0.00022282934514805675,0.0003536058939062059,0.0021689520217478275,0,2,-1000,0,0,0,-2,1,0,350.0,90.0,1500.0
11:08:49.146,GUIDED,-35.3632622,149.1652375,7,-0.0003279439697507769,0.0013645193539559841,0.025552742183208466,0.00033024552976712584,0.00019432185217738152,0.0021299521904438734,0,1,-1000,0,0,0,-2,3,0,350.0,90.0,1500.0
11:08:49.348,GUIDED,-35.3632622,149.1652375,5,-0.0003279439697507769,0.0013645193539559841,0.025552742183208466,0.00033024552976712584,0.00019432185217738152,0.0021299521904438734,0,1,-1000,0,0,0,-2,2,0,350.0,90.0,1500.0
11:08:49.551,GUIDED,-35.3632622,149.1652375,5,-0.0003279439697507769,0.0013645193539559841,0.025552742183208466,0.00033024552976712584,0.00019432185217738152,0.0021299521904438734,0,1,-1000,0,0,0,-2,2,0,350.0,90.0,1500.0
11:08:49.753,GUIDED,-35.3632622,149.1652375,5,-0.0003279439697507769,0.0013645193539559841,0.025552742183208466,0.00033024552976712584,0.00019432185217738152,0.0021299521904438734,0,1,-1000,0,0,0,-2,2,0,350.0,90.0,1500.0
11:08:49.956,GUIDED,-35.3632622,149.1652375,5,-0.0003279439697507769,0.0013645193539559841,0.025552742183208466,0.00033024552976712584,0.00019432185217738152,0.0021299521904438734,0,1,-1000,0,0,0,-2,2,0,350.0,90.0,1500.0
11:08:50.157,GUIDED,-35.3632622,149.1652375,5,-0.0003279439697507769,0.0013645193539559841,0.025552742183208466,0.00033024552976712584,0.00019432185217738152,0.0021299521904438734,0,1,-1000,0,0,0,-2,2,0,350.0,90.0,1500.0
11:08:50.361,GUIDED,-35.3632622,149.1652375,5,-0.0003279439697507769,0.0013645193539559841,0.025552742183208466,0.00033024552976712584,0.00019432185217738152,0.0021299521904438734,0,1,-1000,0,0,0,-2,2,0,350.0,90.0,1500.0
11:08:50.563,GUIDED,-35.3632622,149.1652375,5,-0.0003279439697507769,0.0013645193539559841,0.025552742183208466,0.00033024552976712584,0.00019432185217738152,0.0021299521904438734,0,1,-1000,0,0,0,-2,2,0,350.0,90.0,1500.0
11:08:50.767,GUIDED,-35.3632622,149.1652375,5,-0.0003279439697507769,0.0013645193539559841,0.025552742183208466,0.00033024552976712584,0.00019432185217738152,0.0021299521904438734,0,1,-1000,0,0,0,-2,2,0,350.0,90.0,1500.0
11:08:50.970,GUIDED,-35.3632622,149.1652375,1,-0.0005955100059509277,0.0013541883090510964,0.024782724678516388,0.00015222764341160655,0.00024913583183661103,0.0019738459959626198,0,1,-1000,1,1,0,0,0,0,350.0,90.0,1500.0
11:08:51.173,GUIDED,-35.3632622,149.1652375,1,-0.0005175213445909321,0.001472385716624558,0.02454245835542679,0.00019104062812402844,0.00013240007683634758,0.0019814609549939632,0,2,-1000,1,0,0,0,0,0,350.0,90.0,1500.0
