time_stamp,MODE,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT
14:47:48,STABILIZE,-35.3632622,149.1652375,0.0,-1.0,1.0,1.0,-0.0013416233123280108,0.001003954152110964,0.02183586359024048,0.0003308749874122441,0.0003022149030584842,0.00149607373168692,0.0,2.0,-1000.0,0.0,1.0,1.0,1500.0
14:47:50,AUTO,-35.3632621,149.1652375,0.0,0.0,0.0,1.0,-0.0012500780867412686,0.001094774343073368,0.02157595070699851,0.00020582787692546844,0.00022016159103562435,0.0013858229309941332,0.0,1.3333333333333333,-1000.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1500.0
14:47:52,AUTO,-35.3632621,149.1652374,0.3333333333333333,0.0,0.0,0.0,-0.0008535816644628843,0.0016052068676799536,0.021219097698728245,0.00029932177858427167,0.00029553286731243134,0.0014090063438440363,0.0,2.0,-1000.0,0.6666666666666666,0.0,1.0,1500.0
14:47:54,AUTO,-35.363262066666664,149.16523753333334,1329.0,0.3333333333333333,3.6666666666666665,-143.0,0.016595275451739628,-5.474552987531448e-05,0.02081025515993436,0.045221117635567985,-0.006213425348202388,0.0018400376041730244,0.0,0.0,-1030.0,45.0,-4.666666666666667,1.0,1500.0
14:47:56,AUTO,-35.36326103333334,149.1652445,4375.0,0.6666666666666666,39.333333333333336,-149.33333333333334,-0.031461951012412705,0.01835287269204855,-0.07009345541397731,-0.04231646889820695,-0.013034242515762648,-0.051540895054737725,3.0,-7.333333333333333,-1008.3333333333334,-41.333333333333336,-12.0,-51.333333333333336,1500.0
14:47:58,AUTO,-35.36326123333333,149.1652415,7462.333333333333,-0.3333333333333333,-54.333333333333336,-151.66666666666666,-0.016187298325045656,-0.005260849216332038,-0.08635508269071579,0.06286335363984108,0.010820763806502024,0.0013712788835012664,-6.0,9.0,-1002.0,63.0,10.666666666666666,1.0,1500.0
14:48:00,AUTO,-35.363262033333335,149.16523526666666,10582.0,-7.333333333333333,8.0,-151.0,0.016629100777208805,0.0022690686164423823,-0.08678517242272694,-0.050907768309116364,-0.018046466323236626,0.005643029619629185,1.3333333333333333,-0.3333333333333333,-999.3333333333334,-49.666666666666664,-17.0,5.0,1500.0
14:48:02,AUTO,-35.36326226666667,149.16523593333332,13689.333333333334,2.6666666666666665,-2.0,-153.0,-0.0003334879778170337,-0.0007063505666640898,-0.12030875931183498,0.009308672199646631,0.005704871534059445,-0.020884254326423008,-1.0,0.0,-1000.0,9.333333333333334,6.0,-20.666666666666668,1500.0
14:48:04,AUTO,-35.3632617,149.16523546666667,16817.666666666668,0.0,3.0,-153.0,0.006463060310731332,0.005843204756577809,-0.15871109068393707,-0.0018595499374593298,0.0005781065944271783,-0.015135791463156542,0.0,0.0,-1000.0,-1.0,0.6666666666666666,-14.666666666666666,1500.0
14:48:07,AUTO,-35.3632617,149.1652364,21897.666666666668,-3.0,4.0,-154.0,0.0014058091910555959,0.0033731135384490094,-0.21557632088661194,-0.000565859799583753,-0.0005161308605844775,-0.01929322878519694,0.0,0.0,-1000.3333333333334,0.6666666666666666,0.0,-18.666666666666668,1500.0
14:48:08,AUTO,-35.36326176666666,149.16523656666664,23075.0,-3.0,3.0,-154.0,0.0015421283120910327,0.0028506803791970015,-0.22993147869904837,0.0002486594603396952,0.0003569720429368317,-0.020296410967906315,0.0,0.0,-1000.0,0.6666666666666666,0.3333333333333333,-20.0,1500.0
14:48:11,AUTO,-35.36326236666667,149.16523666666666,28142.666666666668,-2.0,6.333333333333333,-153.0,0.008720530662685633,0.0008118145051412284,-0.21762827038764954,-0.006871957487116258,0.0004206773204108079,0.02416423335671425,0.3333333333333333,0.0,-999.0,-5.333333333333333,1.0,23.666666666666668,1500.0
14:48:13,AUTO,-35.3632624,149.1652378,31255.0,0.0,5.0,-153.0,-0.0009983493752467136,0.0015871588063115876,-0.1781058410803477,0.00106601242441684,0.00023887979720408717,0.01815600258608659,0.0,-0.3333333333333333,-1000.0,2.0,0.6666666666666666,17.333333333333332,1500.0
14:48:15,AUTO,-35.36326226666667,149.165238,34367.333333333336,0.0,0.0,-153.0,0.0007989654938379923,0.0013230523715416591,-0.14863539238770804,0.00033754009443024796,0.0010872264780725043,0.013310551643371582,0.0,0.0,-999.6666666666666,1.3333333333333333,1.6666666666666667,12.666666666666666,1500.0
14:48:17,AUTO,-35.363262166666665,149.16523766666668,37482.0,0.0,0.0,-153.0,0.001982853631488979,0.0015578742992753785,-0.1266630639632543,0.0014696525565038125,1.8975600445022185e-05,0.01023564487695694,0.0,0.0,-1000.3333333333334,2.0,0.6666666666666666,9.666666666666666,1500.0
14:48:19,AUTO,-35.363262033333335,149.16523743333335,40597.666666666664,-0.6666666666666666,0.3333333333333333,-153.0,0.001839841715991497,0.001640052495834728,-0.10982409119606018,-0.00020785459006826082,0.0009594361181370914,0.0060226088389754295,0.0,0.0,-1000.3333333333334,0.6666666666666666,1.6666666666666667,6.0,1500.0
14:48:21,AUTO,-35.363262,149.1652373,43711.333333333336,-1.0,1.0,-153.0,0.0015889238178109129,0.0011998475529253483,-0.09665257732073466,0.0008221530200292667,0.00022895478953917822,0.00709097816919287,0.0,0.0,-1000.0,1.3333333333333333,1.0,6.666666666666667,1500.0
