time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,VFR_HUD_alt,EK2_ALT_SOURCE
07:49:00,1500.0,0.006453687805333175,0.00034861278254538774,0.020236569922417402,0.011771116667659953,-0.0016656507505103946,0.0016307762707583606,584332.5,-35.36326215,149.165237475,386.75,-0.5,2.25,-36.0,0.0,1.0,-1003.0,11.5,-1.25,0.75,AUTO,584.3325042724609,0.0
07:49:02,1500.0,-0.0035783322528004646,0.018660840578377247,-0.06354943662881851,-0.09726078156381845,0.015008116140961647,-0.0616189930588007,587970.0,-35.36326115,149.1652433,4025.5,2.5,44.0,-145.5,2.5,-10.0,-998.5,-96.5,15.5,-61.5,AUTO,587.969970703125,0.0
07:49:04,1500.0,-0.026463613496161997,-0.008675317279994488,-0.09920982643961906,0.06267983466386795,0.005103043862618506,0.0034732891945168376,591045.0,-35.36326195,149.1652426,7099.0,-6.0,-49.0,-149.0,-4.5,9.0,-1002.0,62.5,6.0,3.0,AUTO,591.0449829101562,0.0
07:49:06,1500.0,0.033381533809006214,-0.009461079258471727,-0.07704117521643639,-0.040358674712479115,-0.017240311950445175,0.02150101773440838,594155.0,-35.36326255,149.16523510000002,10209.0,5.0,3.5,-149.5,-1.0,0.5,-999.0,-39.5,-16.5,21.0,AUTO,594.1549987792969,0.0
07:49:08,1500.0,-0.0007837056182324886,0.012158224824815989,-0.1307743825018406,0.01201698463410139,0.000943903112784028,-0.019600567407906055,597255.0,-35.3632609,149.16523575,13309.0,2.0,-2.5,-151.5,-1.0,-0.5,-1000.0,12.0,1.5,-19.5,AUTO,597.2549743652344,0.0
07:49:10,1500.0,0.006267230026423931,0.003833047696389258,-0.1537955403327942,-0.003987206961028278,-0.0031414321856573224,-0.013629252556711435,600385.0,-35.36326135,149.1652355,16436.0,-6.5,5.0,-151.5,1.0,0.0,-999.5,-3.0,-2.0,-13.5,AUTO,600.3849792480469,0.0
07:49:12,1500.0,0.002803218667395413,0.001455593970604241,-0.19233810901641846,4.429038381204009e-05,0.0013799411244690418,-0.02208619099110365,603505.0,-35.3632619,149.16523615,19556.0,-2.5,4.5,-152.0,0.0,0.0,-1000.0,0.5,1.5,-22.0,AUTO,603.5049743652344,0.0
07:49:14,1500.0,0.0034322027349844575,0.0034277739468961954,-0.23574620485305786,-0.000787954471888952,0.00023059663362801075,-0.02087547443807125,606625.0,-35.3632619,149.1652365,22677.0,-1.0,3.0,-152.5,0.0,0.0,-1000.0,0.0,0.5,-20.5,AUTO,606.6249694824219,0.0
07:49:16,1500.0,0.0001959970686584711,0.005381592782214284,-0.24876972287893295,-0.006366478279232979,0.007196433842182159,0.02851363830268383,609740.0,-35.36326205,149.16523675000002,25793.5,-3.5,1.0,-152.0,0.0,0.0,-999.0,-6.0,8.0,28.0,AUTO,609.739990234375,0.0
07:49:18,1500.0,0.0044245218159630895,0.0011510287877172232,-0.19719070941209793,-0.00531423301436007,0.001275436079595238,0.02008849009871483,612850.0,-35.3632624,149.16523725,28902.5,-1.0,7.0,-152.0,0.0,-0.5,-1000.5,-4.5,2.0,19.5,AUTO,612.8499755859375,0.0
07:49:20,1500.0,0.0004083033309143502,0.0012278982321731746,-0.1629839390516281,0.0017635817639529705,-0.00026463286485522985,0.014518117532134056,615955.0,-35.36326235,149.165238,32011.0,0.0,2.0,-152.0,0.0,0.0,-1000.0,2.5,0.5,14.0,AUTO,615.9549865722656,0.0
07:49:22,1500.0,0.0018877761904150248,0.0011102291173301637,-0.13738921284675598,0.0005464236019179225,-0.001002331788185984,0.012178830802440643,619070.0,-35.363262250000005,149.16523795,35123.5,0.0,0.0,-152.0,0.0,0.0,-1000.0,1.0,0.0,12.0,AUTO,619.0699768066406,0.0
07:49:24,1500.0,0.0028375646797940135,0.0015000181156210601,-0.1179685965180397,-0.002237903681816533,0.0003107461961917579,0.00782132730819285,622175.0,-35.36326215,149.16523765,38233.0,0.0,0.0,-152.0,0.0,0.0,-1000.0,-1.5,1.0,7.0,AUTO,622.1749877929688,0.0
07:49:26,1500.0,-0.06520814213581616,0.0782283262378769,0.05117521807551384,-0.04371806117706001,0.015620761492755264,0.13489422854036093,625160.0,-35.363262399999996,149.16523669999998,41215.5,-19.5,-23.0,-104.5,2.0,6.0,-906.5,-42.5,16.5,134.5,ALT_HOLD,625.1599731445312,0.0
07:49:28,1500.0,-0.060055555775761604,0.06034837104380131,0.2366853952407837,-0.9100549221038818,-0.047264669090509415,-0.055921876803040504,624080.0,-35.363277100000005,149.165215,40138.0,-137.0,-150.0,185.0,21.0,10.5,-928.0,-909.0,-45.5,-55.0,ALT_HOLD,624.0799865722656,0.0
07:49:30,1500.0,0.025291785830631852,-0.030607950873672962,0.19236069917678833,1.3476373851299286,0.027842655777931213,0.0019500098860589787,620360.0,-35.363305100000005,149.16518904999998,36411.5,-137.5,-63.5,106.0,30.0,81.5,-1086.0,1348.5,28.5,2.0,AUTO,620.3599853515625,0.0
07:49:32,1500.0,-0.0046783942088950425,-0.030457865446805954,0.1619184911251068,0.23477162420749664,0.03582660108804703,-0.029140855185687542,620170.0,-35.36331775,149.1651836,36220.0,-5.0,-18.5,-64.5,0.5,14.5,-1052.5,235.0,36.5,-28.5,AUTO,620.1699829101562,0.0
