time_stamp,RTL_ALT,alt,lat,lon,relative_alt,vx,vy,vz,VFR_HUD_alt,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,EK2_ALT_SOURCE
10:53:38,1500.0,583990.0,-35.3632622,149.1652375,24.833333333333332,0.0,0.0,-12.0,583.989980061849,0.0,0.8333333333333334,-1046.6666666666667,3.3333333333333335,-0.3333333333333333,0.5,0.0010824358884444034,0.0010063566508809647,0.021971657561759155,0.0033855836857886366,-0.0003469855582807213,0.0018472116983806093,AUTO,0.0
10:53:46,1500.0,594930.0,-35.36326492,149.16523504,10964.6,14.8,29.8,-148.0,594.9299926757812,1.2,-5.6,-999.4,-65.8,2.8,23.0,0.031016015447676182,-0.057560046762228013,-0.039088313654065135,-0.06679133786819876,0.0021395936608314516,0.023497823625802994,AUTO,0.0
10:54:11,1500.0,628220.0,-35.36326201999999,149.1652374,44252.0,-1.0,1.0,-153.0,628.2199829101562,0.0,0.0,-999.6,-0.4,0.4,7.2,0.002134806662797928,0.0015122514450922608,-0.1253298819065094,-0.0016415440943092108,-0.00018435748061165213,0.007704096287488938,AUTO,0.0
10:54:13,1500.0,630672.5,-35.363262,149.165237375,46704.25,-1.25,0.75,-151.0,630.6724853515625,0.0,0.0,-992.0,-26.5,28.75,71.25,-0.0018821376143023372,0.005352233711164445,-0.10727501101791859,-0.02767166358535178,0.028506899616331793,0.07150968082714826,AUTO,0.0
10:54:48,1500.0,633931.6666666666,-35.363871816666666,149.16539896666666,49967.0,184.16666666666666,-57.5,1.1666666666666667,633.9316609700521,37.5,28.5,-1006.6666666666666,114.16666666666667,57.333333333333336,-0.16666666666666666,-0.00869171905227025,0.14812150473395982,2.9651787678400674,0.11106098319093387,0.05565305488804976,-0.0005586638969058791,RTL,0.0
10:54:53,1500.0,633996.0,-35.363704600000005,149.1653522,50030.6,557.2,-118.2,2.2,633.99599609375,113.4,67.6,-952.2,74.4,183.2,5.0,-0.07398480921983719,0.15572361201047896,2.961460494995117,0.07175743132829666,0.18127014487981796,0.005026571452617645,RTL,0.0
10:55:06,1500.0,633958.0,-35.363265260000006,149.16523744,49992.2,105.6,-7.0,-0.6,633.9579833984375,20.2,2.4,-1001.2,-356.8,-75.2,1.8,-0.036175082251429555,-0.04345564236864448,2.9762051582336424,-0.3607592523097992,-0.07861744645051658,0.0007150704390369355,RTL,0.0
10:55:57,1500.0,598785.0,-35.3632627,149.16523705,14817.0,1.5,-6.0,100.0,598.8566691080729,2.6666666666666665,67.0,-998.0,1394.3333333333333,1.0,8.666666666666666,-0.006203306606039405,0.0036847225856035948,2.9693074226379395,1.3892998099327087,-0.0061751557514071465,0.007110478123649955,RTL,0.0
10:56:34,1500.0,587475.0,-35.3632627,149.16523493333332,3510.5,4.0,16.333333333333332,33.5,587.4749857584635,1.8333333333333333,-30.333333333333332,-993.6666666666666,-295.0,5.666666666666667,2.6666666666666665,-0.020428364087517064,-0.0002569190461751229,2.969434460004171,-0.29150977234045666,0.0017516917238632839,0.0004976948839612305,RTL,0.0
10:56:39,1500.0,585940.0,-35.3632624,149.1652359,1975.0,4.0,19.0,33.0,585.97998046875,-3.0,47.5,-994.5,539.5,3.5,-0.5,-0.0010626696748659015,-0.004288177937269211,2.970266103744507,0.7440572381019592,0.0018722722306847572,-0.0006112214177846909,RTL,0.0
