time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,VFR_HUD_alt,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro,alt,lat,lon,relative_alt,vx,vy,vz,MODE,EK2_ALT_SOURCE
10:43:42,-0.02662288211286068,0.010517618618905544,-0.06295683234930038,-0.02985984832048416,-0.037925317883491516,-0.0270837415009737,588.1499633789062,1500.0,4.0,-9.0,-1008.0,-29.0,-37.0,-27.0,588150.0,-35.3632609,149.1652443,4208.0,2.0,43.0,-147.0,AUTO,0.0
10:44:05,0.0015396709786728024,0.0012250454747118056,-0.1601368524134159,0.0018839886761270463,0.0008091259514912963,0.012518842937424779,618.4449920654297,1500.0,0.0,0.0,-1000.25,2.75,1.5,12.0,618445.0,-35.3632623,149.165238075,34500.25,0.0,0.0,-153.0,AUTO,0.0
10:44:15,0.02002111840993166,-0.04274888094514608,0.28776309490203855,0.053645888715982436,-0.042433221451938154,0.018655009754002094,633.0059814453125,1500.0,1.4,6.8,-960.0,54.4,-41.0,19.0,633006.0,-35.363264400000006,149.16523352,49059.6,-12.8,-21.2,-77.6,AUTO,0.0
10:44:17,0.006776872944707672,0.006805011818263059,0.23079203814268112,-0.05539436638355255,0.021194631641265005,-0.027688694807390373,633.9849751790365,1500.0,-1.5,-7.5,-972.6666666666666,-52.5,21.833333333333332,-26.666666666666668,633985.0,-35.36326243333333,149.16523575,50040.666666666664,17.0,27.833333333333332,-23.166666666666668,AUTO,0.0
10:44:24,0.022100129164755344,-0.18789977580308914,-1.0311632752418518,-0.35195040702819824,-0.0018512653186917305,-0.006457163923187181,633.8949890136719,1500.0,-86.5,-55.5,-999.5,-352.0,-1.0,-6.0,633895.0,-35.3632358,149.16516174999998,49950.5,159.5,-364.0,0.5,AUTO,0.0
10:44:45,0.0059918138819436235,-0.024965643261869747,-1.1154688199361165,-0.252772764613231,-0.0006067389622330666,0.0011047139996662736,633.9266560872396,1500.0,-1.5,-5.5,-1002.0,-249.66666666666666,0.3333333333333333,1.3333333333333333,633926.6666666666,-35.362970616666665,149.16443723333333,49979.5,10.0,-8.5,-2.0,RTL,0.0
10:44:50,0.0022809574438724667,0.08563479408621788,-1.123760998249054,0.03045129030942917,0.044382330030202866,0.014999114442616701,633.9199829101562,1500.0,18.5,31.5,-1006.5,41.0,44.5,15.5,633920.0,-35.3629729,149.164442,49971.5,-22.0,94.0,0.5,RTL,0.0
10:45:11,-0.009508744813501835,0.003105724463239312,-1.1214802265167236,0.6493229866027832,0.19734279811382294,0.0372806042432785,633.969970703125,1500.0,35.0,64.0,-1018.0,659.0,198.0,38.0,633970.0,-35.3632423,149.1651789,50020.0,-78.0,167.0,10.0,RTL,0.0
10:45:58,0.010500501899514347,-0.0031831024098210037,-1.1221742232640584,-0.15576444069544473,0.007270450878422707,-0.0009414029385273656,601.82666015625,1500.0,-2.1666666666666665,24.0,-991.6666666666666,-143.33333333333334,7.666666666666667,1.1666666666666667,601826.6666666666,-35.36326293333334,149.1652371333333,17879.5,-1.0,-2.1666666666666665,96.16666666666667,RTL,0.0
10:46:19,0.007930741179734468,-0.0026225811219774187,-1.1222753286361695,-0.3868342250585556,-0.0030184471514075996,-9.323763661086559e-05,592.9579833984375,1500.0,-0.4,-18.2,-998.0,-390.0,-1.8,2.2,592958.0,-35.36326332,149.16523666,9010.2,13.2,8.6,-0.8,RTL,0.0
10:46:40,0.0055570416152477264,-0.0008668123045936227,-1.1219823360443115,-0.9139875173568726,0.0024555722096314034,0.0014519398876776297,587.3799845377604,1500.0,0.3333333333333333,-36.666666666666664,-1016.0,-912.3333333333334,3.6666666666666665,3.6666666666666665,587380.0,-35.36326376666667,149.1652363,3434.6666666666665,14.666666666666666,8.333333333333334,33.666666666666664,RTL,0.0
