,A.LAND2
14:01:52.303,-1.0
14:01:52.507,-1.0
14:01:52.709,-1.0
14:01:52.911,-1.0
14:01:53.119,-1.0
14:01:53.321,-1.0
14:01:53.523,-1.0
14:01:53.725,-1.0
14:01:53.929,-1.0
14:01:54.133,-1.0
14:01:54.335,-1.0
14:01:54.536,-1.0
14:01:54.738,-1.0
14:01:54.940,-1.0
14:01:55.142,-1.0
14:01:55.346,-1.0
14:01:55.548,-1.0
14:01:55.749,-1.0
14:01:55.952,-1.0
14:01:56.157,-1.0
14:01:56.360,-1.0
14:01:56.561,-1.0
14:01:56.763,-1.0
14:01:56.965,-1.0
14:01:57.166,-1.0
14:01:57.368,-1.0
14:01:57.572,-1.0
14:01:57.774,-1.0
14:01:57.976,-1.0
14:01:58.179,-1.0
14:01:58.382,-1.0
14:01:58.583,-1.0
14:01:58.785,-1.0
14:01:58.987,-1.0
14:01:59.188,-1.0
14:01:59.392,-1.0
14:01:59.596,-1.0
14:01:59.799,-1.0
14:02:00.003,-1.0
14:02:00.204,-1.0
14:02:00.406,-1.0
14:02:00.610,-1.0
14:02:00.811,-1.0
14:02:01.013,-1.0
14:02:01.216,-1.0
14:02:01.420,-1.0
14:02:01.621,-1.0
14:02:01.824,-1.0
14:02:02.027,-1.0
14:02:02.229,-1.0
14:02:02.431,-1.0
14:02:02.634,-1.0
14:02:02.837,-1.0
14:02:03.039,-1.0
14:02:03.241,-1.0
14:02:03.446,-1.0
14:02:03.648,-1.0
14:02:03.850,-1.0
14:02:04.052,-1.0
14:02:04.253,-1.0
14:02:04.455,-1.0
14:02:04.660,-1.0
14:02:04.863,-1.0
14:02:05.064,-1.0
14:02:05.268,-1.0
14:02:05.472,-1.0
14:02:05.674,-1.0
14:02:05.876,-1.0
14:02:06.079,-1.0
14:02:06.282,-1.0
14:02:06.484,-1.0
14:02:06.688,-1.0
14:02:06.890,-1.0
14:02:07.102,-1.0
14:02:07.309,-1.0
14:02:07.512,-1.0
14:02:07.714,-1.0
14:02:07.919,-1.0
14:02:08.124,-1.0
14:02:08.327,-1.0
14:02:08.529,-1.0
14:02:08.730,-1.0
14:02:08.932,-1.0
14:02:09.138,-1.0
14:02:09.340,-1.0
14:02:09.542,-1.0
14:02:09.745,-1.0
14:02:09.946,-1.0
14:02:10.149,-1.0
14:02:10.351,-1.0
14:02:10.554,-1.0
14:02:10.756,-1.0
14:02:10.957,-1.0
14:02:11.163,-1.0
14:02:11.364,-1.0
14:02:11.567,-1.0
14:02:11.768,-1.0
14:02:11.971,-1.0
14:02:12.175,-1.0
14:02:12.378,-1.0
14:02:12.581,-1.0
14:02:12.783,-1.0
14:02:12.983,-1.0
14:02:13.187,-1.0
14:02:13.389,-1.0
14:02:13.591,-1.0
14:02:13.795,-1.0
14:02:13.998,-1.0
14:02:14.201,-1.0
14:02:14.403,-1.0
14:02:14.604,-1.0
14:02:14.807,-1.0
14:02:15.010,-1.0
14:02:15.213,-1.0
14:02:15.417,-1.0
14:02:15.618,-1.0
14:02:15.821,-1.0
14:02:16.023,-1.0
14:02:16.225,-1.0
14:02:16.430,-1.0
14:02:16.634,-1.0
14:02:16.840,-1.0
14:02:17.042,-1.0
14:02:17.244,-1.0
14:02:17.446,-1.0
14:02:17.647,-1.0
14:02:17.849,-1.0
14:02:18.052,-1.0
14:02:18.255,-1.0
14:02:18.457,-1.0
14:02:18.660,-1.0
14:02:18.863,-1.0
14:02:19.066,-1.0
14:02:19.270,-1.0
14:02:19.474,-1.0
14:02:19.676,-1.0
14:02:19.879,-1.0
14:02:20.084,-1.0
14:02:20.287,-1.0
14:02:20.491,-1.0
14:02:20.693,-1.0
14:02:20.895,-1.0
14:02:21.097,-1.0
14:02:21.299,-1.0
14:02:21.501,-1.0
14:02:21.703,-1.0
14:02:21.907,-1.0
14:02:22.109,-1.0
14:02:22.312,-1.0
14:02:22.519,-1.0
14:02:22.721,-1.0
14:02:22.923,-1.0
14:02:23.126,-1.0
14:02:23.328,-1.0
14:02:23.530,-1.0
14:02:23.733,-1.0
14:02:23.936,-1.0
14:02:24.142,-1.0
14:02:24.344,-1.0
14:02:24.548,-1.0
14:02:24.750,-1.0
14:02:24.952,-1.0
14:02:25.153,-1.0
14:02:25.355,-1.0
14:02:25.556,-1.0
14:02:25.760,-1.0
