,A.ALT_HOLD2
08:13:15.080,-1.0
08:13:15.281,-1.0
08:13:15.481,-1.0
08:13:15.682,-1.0
08:13:15.883,-1.0
08:13:16.083,-1.0
08:13:16.284,-1.0
08:13:16.485,-1.0
08:13:16.685,-1.0
08:13:16.886,-1.0
08:13:17.087,-1.0
08:13:17.288,-1.0
08:13:17.488,-1.0
08:13:17.689,-1.0
08:13:17.890,-1.0
08:13:18.090,-1.0
08:13:18.291,-1.0
08:13:18.491,-1.0
08:13:18.692,-1.0
08:13:18.893,-1.0
08:13:19.094,-1.0
08:13:19.295,-1.0
08:13:19.496,-1.0
08:13:19.696,-1.0
08:13:19.897,-1.0
08:13:20.098,-1.0
08:13:20.298,-1.0
08:13:20.499,-1.0
08:13:20.700,-1.0
08:13:20.901,-1.0
08:13:21.101,-1.0
08:13:21.302,-1.0
08:13:21.503,-1.0
08:13:21.703,-1.0
08:13:21.904,-1.0
08:13:22.105,-1.0
08:13:22.306,-1.0
08:13:22.506,-1.0
08:13:22.707,-1.0
08:13:22.907,-1.0
08:13:23.108,-1.0
08:13:23.309,-1.0
08:13:23.509,-1.0
08:13:23.710,-1.0
08:13:23.910,-1.0
08:13:24.111,-1.0
08:13:24.312,-1.0
08:13:24.513,-1.0
08:13:24.713,-1.0
08:13:24.914,-1.0
08:13:25.115,-1.0
08:13:25.315,-1.0
08:13:25.516,-1.0
08:13:25.717,-1.0
08:13:25.917,-1.0
08:13:26.118,0.002
08:13:26.319,0.002
08:13:26.520,0.002
08:13:26.720,0.002
08:13:26.921,-1.0
08:13:27.122,-1.0
08:13:27.323,-1.0
08:13:27.524,0.002
08:13:27.725,0.002
08:13:27.926,0.003
08:13:28.126,0.003
08:13:28.327,0.005
08:13:28.528,0.005
08:13:28.728,0.005
08:13:28.930,0.003
08:13:29.131,0.003
08:13:29.331,0.003
08:13:29.532,0.003
08:13:29.732,0.003
08:13:29.933,0.003
08:13:30.134,0.003
08:13:30.335,0.005
08:13:30.535,0.005
08:13:30.736,0.005
08:13:30.937,0.002
08:13:31.137,-1.0
08:13:31.338,-1.0
08:13:31.538,-1.0
08:13:31.739,-1.0
08:13:31.940,-1.0
08:13:32.140,-1.0
08:13:32.341,-1.0
08:13:32.542,-1.0
08:13:32.743,-1.0
08:13:32.944,-1.0
08:13:33.144,-1.0
08:13:33.346,-1.0
08:13:33.546,-1.0
08:13:33.747,-1.0
08:13:33.948,-1.0
08:13:34.149,-1.0
08:13:34.349,-1.0
08:13:34.550,-1.0
08:13:34.751,-1.0
08:13:34.952,-1.0
08:13:35.152,-1.0
08:13:35.353,-1.0
08:13:35.554,-1.0
08:13:35.754,-1.0
08:13:35.955,-1.0
08:13:36.156,-1.0
08:13:36.356,-1.0
08:13:36.557,-1.0
08:13:36.758,-1.0
08:13:36.959,-1.0
08:13:37.159,-1.0
08:13:37.361,-1.0
08:13:37.561,-1.0
08:13:37.762,-1.0
08:13:37.963,-1.0
08:13:38.163,-1.0
08:13:38.364,-1.0
08:13:38.565,-1.0
08:13:38.765,-1.0
08:13:38.966,-1.0
08:13:39.167,-1.0
08:13:39.368,-1.0
08:13:39.569,-1.0
08:13:39.770,-1.0
08:13:39.970,-1.0
08:13:40.171,-1.0
08:13:40.372,-1.0
08:13:40.572,-1.0
08:13:40.773,-1.0
08:13:40.974,-1.0
08:13:41.174,-1.0
08:13:41.375,-1.0
08:13:41.576,-1.0
08:13:41.777,-1.0
08:13:41.978,-1.0
08:13:42.180,-1.0
08:13:42.381,-1.0
08:13:42.581,-1.0
08:13:42.782,-1.0
08:13:42.983,-1.0
08:13:43.183,-1.0
08:13:43.384,-1.0
08:13:43.584,0.002
08:13:43.785,0.002
08:13:43.986,0.002
08:13:44.187,0.002
08:13:44.388,0.002
08:13:44.588,0.003
08:13:44.789,0.002
08:13:44.990,0.002
08:13:45.190,0.002
08:13:45.391,0.002
08:13:45.592,0.003
08:13:45.793,0.003
08:13:45.993,0.003
08:13:46.194,0.003
08:13:46.395,0.005
08:13:46.595,0.005
08:13:46.796,0.003
08:13:46.997,0.003
08:13:47.198,0.003
08:13:47.398,0.003
08:13:47.599,0.003
08:13:47.800,0.005
08:13:48.001,-1.0
08:13:48.202,-1.0
08:13:48.403,-1.0
08:13:48.603,-1.0
08:13:48.804,-1.0
08:13:49.005,-1.0
08:13:49.206,-1.0
08:13:49.407,-1.0
08:13:49.608,-1.0
08:13:49.808,-1.0
08:13:50.009,-1.0
08:13:50.210,-1.0
08:13:50.410,-1.0
08:13:50.611,-1.0
08:13:50.812,-1.0
08:13:51.013,-1.0
08:13:51.214,-1.0
08:13:51.415,-1.0
08:13:51.616,-1.0
08:13:51.817,-1.0
08:13:52.017,-1.0
08:13:52.218,-1.0
08:13:52.418,-1.0
08:13:52.619,-1.0
08:13:52.820,-1.0
08:13:53.021,-1.0
08:13:53.222,-1.0
08:13:53.422,-1.0
08:13:53.623,-1.0
08:13:53.823,-1.0
08:13:54.024,-1.0
08:13:54.225,-1.0
08:13:54.426,-1.0
08:13:54.626,-1.0
08:13:54.827,-1.0
08:13:55.028,-1.0
08:13:55.228,-1.0
08:13:55.429,-1.0
08:13:55.629,-1.0
08:13:55.830,-1.0
08:13:56.031,-1.0
08:13:56.232,-1.0
08:13:56.432,-1.0
08:13:56.633,-1.0
08:13:56.834,-1.0
08:13:57.034,-1.0
08:13:57.235,-1.0
08:13:57.435,-1.0
08:13:57.636,-1.0
08:13:57.836,-1.0
08:13:58.037,-1.0
08:13:58.238,-1.0
08:13:58.438,-1.0
08:13:58.639,-1.0
08:13:58.840,-1.0
08:13:59.041,-1.0
08:13:59.241,-1.0
08:13:59.442,-1.0
08:13:59.643,-1.0
08:13:59.844,-1.0
08:14:00.044,-1.0
08:14:00.245,-1.0
08:14:00.446,-1.0
08:14:00.646,-1.0
08:14:00.847,-1.0
08:14:01.048,-1.0
08:14:01.249,-1.0
08:14:01.450,-1.0
08:14:01.650,-1.0
08:14:01.851,-1.0
08:14:02.052,-1.0
08:14:02.252,-1.0
08:14:02.453,-1.0
08:14:02.654,-1.0
08:14:02.855,-1.0
08:14:03.056,-1.0
08:14:03.257,-1.0
08:14:03.457,-1.0
08:14:03.658,-1.0
08:14:03.859,-1.0
08:14:04.061,-1.0
08:14:04.262,-1.0
08:14:04.463,-1.0
08:14:04.663,-1.0
08:14:04.864,-1.0
08:14:05.064,-1.0
08:14:05.265,-1.0
08:14:05.467,-1.0
08:14:05.668,-1.0
08:14:05.868,-1.0
08:14:06.069,-1.0
08:14:06.270,-1.0
08:14:06.470,-1.0
08:14:06.671,-1.0
08:14:06.872,-1.0
08:14:07.073,-1.0
08:14:07.274,-1.0
08:14:07.476,-1.0
08:14:07.676,-1.0
08:14:07.877,-1.0
08:14:08.078,-1.0
08:14:08.278,-1.0
08:14:08.479,-1.0
08:14:08.680,-1.0
08:14:08.881,-1.0
08:14:09.082,-1.0
08:14:09.283,-1.0
08:14:09.484,-1.0
08:14:09.684,-1.0
08:14:09.885,0.002
08:14:10.086,0.002
08:14:10.286,0.003
08:14:10.487,0.003
08:14:10.687,0.003
08:14:10.888,0.005
08:14:11.089,0.005
08:14:11.290,0.005
08:14:11.491,0.005
08:14:11.691,0.003
08:14:11.892,0.005
08:14:12.092,0.003
08:14:12.293,0.005
08:14:12.494,0.005
08:14:12.694,0.005
08:14:12.896,0.003
08:14:13.096,-1.0
08:14:13.297,-1.0
08:14:13.498,-1.0
08:14:13.698,-1.0
08:14:13.899,-1.0
08:14:14.100,-1.0
08:14:14.300,-1.0
08:14:14.501,-1.0
08:14:14.702,-1.0
08:14:14.902,-1.0
08:14:15.103,-1.0
08:14:15.304,-1.0
08:14:15.504,-1.0
08:14:15.705,-1.0
08:14:15.906,-1.0
08:14:16.106,-1.0
08:14:16.307,-1.0
08:14:16.507,-1.0
08:14:16.708,-1.0
08:14:16.909,-1.0
08:14:17.109,-1.0
08:14:17.310,-1.0
08:14:17.511,-1.0
08:14:17.712,-1.0
08:14:17.913,-1.0
08:14:18.113,-1.0
08:14:18.314,-1.0
08:14:18.514,-1.0
08:14:18.715,-1.0
08:14:18.916,-1.0
08:14:19.116,-1.0
08:14:19.317,-1.0
08:14:19.517,-1.0
08:14:19.718,-1.0
08:14:19.919,-1.0
08:14:20.119,-1.0
08:14:20.320,-1.0
08:14:20.520,-1.0
08:14:20.721,-1.0
08:14:20.922,-1.0
08:14:21.122,-1.0
08:14:21.323,-1.0
08:14:21.524,-1.0
08:14:21.725,-1.0
08:14:21.925,-1.0
08:14:22.126,-1.0
08:14:22.326,-1.0
08:14:22.527,-1.0
08:14:22.728,-1.0
08:14:22.929,-1.0
08:14:23.129,-1.0
08:14:23.330,-1.0
08:14:23.531,-1.0
08:14:23.731,-1.0
08:14:23.932,-1.0
08:14:24.133,-1.0
08:14:24.333,-1.0
08:14:24.533,-1.0
08:14:24.734,-1.0
08:14:24.935,-1.0
08:14:25.135,-1.0
08:14:25.336,-1.0
08:14:25.537,-1.0
08:14:25.738,-1.0
08:14:25.939,-1.0
08:14:26.139,-1.0
08:14:26.340,-1.0
08:14:26.541,-1.0
08:14:26.742,-1.0
08:14:26.942,-1.0
08:14:27.144,-1.0
08:14:27.345,-1.0
08:14:27.545,-1.0
08:14:27.746,-1.0
08:14:27.946,-1.0
08:14:28.147,-1.0
08:14:28.348,-1.0
08:14:28.548,-1.0
08:14:28.749,-1.0
08:14:28.950,-1.0
08:14:29.151,-1.0
08:14:29.351,-1.0
08:14:29.552,-1.0
08:14:29.753,-1.0
08:14:29.953,-1.0
08:14:30.154,-1.0
08:14:30.354,-1.0
08:14:30.555,-1.0
08:14:30.755,-1.0
08:14:30.957,-1.0
08:14:31.157,-1.0
08:14:31.358,-1.0
08:14:31.559,0.002
08:14:31.759,0.002
08:14:31.960,0.002
08:14:32.161,0.002
08:14:32.361,0.002
08:14:32.562,0.003
08:14:32.763,0.003
08:14:32.964,0.002
08:14:33.165,0.002
08:14:33.366,0.002
08:14:33.566,0.002
08:14:33.767,0.002
08:14:33.968,0.003
08:14:34.169,0.003
08:14:34.370,0.005
08:14:34.571,0.005
08:14:34.772,0.005
08:14:34.972,0.005
08:14:35.173,0.005
08:14:35.373,0.005
08:14:35.574,0.003
08:14:35.775,0.003
08:14:35.976,0.003
08:14:36.177,-1.0
08:14:36.377,-1.0
08:14:36.578,-1.0
08:14:36.779,-1.0
08:14:36.979,-1.0
08:14:37.180,-1.0
08:14:37.381,-1.0
08:14:37.582,-1.0
08:14:37.782,-1.0
08:14:37.983,-1.0
08:14:38.184,-1.0
08:14:38.385,-1.0
08:14:38.585,-1.0
08:14:38.786,-1.0
08:14:38.987,-1.0
08:14:39.188,-1.0
08:14:39.389,-1.0
08:14:39.590,-1.0
08:14:39.790,-1.0
08:14:39.991,-1.0
08:14:40.192,-1.0
08:14:40.392,-1.0
08:14:40.593,-1.0
08:14:40.794,-1.0
08:14:40.994,-1.0
08:14:41.195,-1.0
08:14:41.396,-1.0
08:14:41.597,-1.0
08:14:41.797,-1.0
08:14:41.998,-1.0
08:14:42.199,-1.0
08:14:42.399,0.002
08:14:42.600,0.002
08:14:42.800,0.002
08:14:43.001,0.002
08:14:43.202,0.002
08:14:43.402,0.002
08:14:43.603,0.002
08:14:43.805,0.002
08:14:44.006,0.002
08:14:44.206,0.003
08:14:44.407,0.003
08:14:44.608,0.005
08:14:44.808,0.003
08:14:45.009,0.003
08:14:45.209,0.003
08:14:45.410,0.003
08:14:45.611,0.003
08:14:45.814,0.003
08:14:46.015,0.003
08:14:46.215,0.005
08:14:46.416,0.005
08:14:46.617,0.006
08:14:46.817,0.003
08:14:47.018,0.003
08:14:47.218,-1.0
08:14:47.419,-1.0
08:14:47.620,-1.0
08:14:47.820,-1.0
08:14:48.021,-1.0
08:14:48.222,-1.0
08:14:48.422,-1.0
08:14:48.623,-1.0
08:14:48.824,-1.0
08:14:49.024,-1.0
08:14:49.225,-1.0
08:14:49.426,-1.0
