time_stamp,alt,lat,lon,relative_alt,vx,vy,vz,VFR_HUD_alt,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,EK2_ALT_SOURCE
14:38:56,583970.0,-35.3632621,149.1652374,0.0,0.0,0.0,0.0,583.969970703125,0.0,1.0,-1000.0,0.5,0.5,0.0,AUTO,1500.0,-0.00040297454688698053,0.0017017329228110611,0.02120423223823309,0.00029949884628877044,0.00032944660051725805,0.0014138140832073987,0.0
14:38:58,585605.0,-35.363262,149.1652376,1639.0,0.5,8.5,-146.5,585.60498046875,0.0,-0.5,-1011.5,45.5,-6.5,2.0,AUTO,1500.0,0.02875592652708292,-0.0018161006446462125,0.02110669482499361,0.04554349184036255,-0.007602150784805417,0.002857621992006898,0.0
14:39:00,588665.0,-35.363261,149.1652455,4695.5,-1.5,30.5,-149.5,588.6649780273438,4.0,-7.0,-1003.0,-29.5,-17.0,-39.5,AUTO,1500.0,-0.03742663003504276,0.014610672369599342,-0.08234044536948204,-0.03062912542372942,-0.01848636381328106,-0.03997658286243677,0.0
14:39:02,591740.0,-35.3632613,149.16524005,7774.5,-1.0,-60.5,-150.5,591.739990234375,-7.5,11.0,-1003.0,67.0,15.5,2.0,AUTO,1500.0,-0.0050385016947984695,-0.002643064013682306,-0.09016606584191322,0.06684047728776932,0.01517025614157319,0.002965396619401872,0.0
14:39:04,594860.0,-35.36326235,149.16523469999998,10893.0,-4.5,26.0,-149.0,594.8599853515625,3.5,-3.5,-1000.0,-89.5,-9.0,-6.0,AUTO,1500.0,0.019024969544261694,-0.0018292861350346357,-0.08160348236560822,-0.09028242155909538,-0.010187014238908887,-0.006238577305339277,0.0
14:39:06,597965.0,-35.36326205,149.1652368,13998.5,3.5,-7.0,-153.0,597.9649658203125,-1.5,0.0,-1000.0,19.5,7.5,-23.0,AUTO,1500.0,-0.004063633910845965,0.0013850575051037595,-0.13219168782234192,0.01907289307564497,0.007593707647174597,-0.02323194034397602,0.0
14:39:08,601085.0,-35.3632616,149.1652355,17121.0,-2.0,2.5,-152.0,601.0849914550781,0.0,0.0,-1000.0,-3.5,0.0,-11.5,AUTO,1500.0,0.008810152299702168,0.005812086397781968,-0.16306167840957642,-0.004838998429477215,-0.0015593977295793593,-0.011647215578705072,0.0
14:39:10,604210.0,-35.3632617,149.16523604999998,20244.5,-3.0,5.0,-153.0,604.2099914550781,0.0,0.0,-1000.0,1.0,0.0,-19.5,AUTO,1500.0,0.002131445799022913,0.003526061656884849,-0.1949710100889206,-1.7103971913456917e-05,-0.0005798647762276232,-0.01941326353698969,0.0
14:39:12,607335.0,-35.3632618,149.16523654999997,23366.5,-2.0,3.0,-153.0,607.3349914550781,0.0,0.0,-1000.5,1.5,0.0,-21.0,AUTO,1500.0,0.001729138195514679,0.002866711118258536,-0.23472236841917038,0.0011169208155479282,9.698967915028334e-05,-0.021242939867079258,0.0
14:39:14,610445.0,-35.36326205,149.16523654999997,26484.0,-5.0,-1.0,-153.0,610.4450073242188,0.0,1.0,-1000.5,24.5,-1.5,23.0,AUTO,1500.0,0.006344844354316592,0.003736508311703801,-0.2470523789525032,0.024196689948439598,-0.0032651276560500264,0.023631502874195576,0.0
14:39:16,613565.0,-35.3632624,149.16523725000002,29595.5,0.0,8.0,-153.0,613.5650024414062,0.0,-1.0,-999.5,-4.0,1.5,20.5,AUTO,1500.0,0.002393884933553636,0.0017789894482120872,-0.20067761838436127,-0.005646726698614657,0.0010124732798431069,0.021359783597290516,0.0
14:39:18,616680.0,-35.3632623,149.165238,32713.5,0.0,1.5,-153.0,616.6799926757812,0.0,0.0,-1000.0,2.5,1.0,15.5,AUTO,1500.0,-0.00023277453874470666,0.0011049043969251215,-0.16615860909223557,0.0023338416358456016,0.0004417700110934675,0.016103917732834816,0.0
14:39:20,619795.0,-35.3632622,149.1652379,35825.5,0.0,0.0,-153.0,619.7949829101562,0.0,0.0,-1000.5,3.5,0.0,10.0,AUTO,1500.0,0.0016063702059909701,0.0011337977484799922,-0.1403558999300003,0.0027467647450976074,-0.0006062322063371539,0.01040102681145072,0.0
14:39:22,622905.0,-35.3632621,149.1652375,38937.0,0.0,0.0,-153.0,622.9049682617188,0.0,0.0,-1000.0,0.5,2.0,7.5,AUTO,1500.0,0.0023460976080968976,0.001547202409710735,-0.12109418585896492,-0.00027186371153220534,0.0009557041921652853,0.007863629376515746,0.0
14:39:24,626015.0,-35.36326205,149.1652374,42049.0,-1.0,1.0,-153.0,626.0149841308594,0.0,0.0,-1000.0,0.0,0.5,7.0,AUTO,1500.0,0.0017679274315014482,0.0016167129506357014,-0.10632462427020073,-0.0017318237805739045,0.00032762897899374366,0.007174174301326275,0.0
14:39:26,629125.0,-35.363262,149.1652373,45159.5,-1.0,1.0,-153.0,629.125,0.0,0.0,-1000.0,-1.5,0.5,5.5,AUTO,1500.0,0.001839068776462227,0.001261442608665675,-0.09408538043498993,-0.002891218871809542,-0.0008111917413771152,0.005845164880156517,0.0
14:39:28,632130.0,-35.36326265,149.1652364,48163.5,-26.0,-26.5,-122.5,632.1299743652344,3.0,5.0,-941.5,31.5,-134.5,349.5,AUTO,1500.0,-0.05309664085507393,0.052675141021609306,0.20325960963964462,0.030382869765162468,-0.13560639508068562,0.3494633436203003,0.0
