,LOIT_BRK_DELAY,WPNAV_TER_MARGIN,LOIT_BRK_ACCEL,CHUTE_DELAY_MS,GUID_TIMEOUT,SERVO_ROB_POSMAX,SERVO_ROB_POSMIN,EK2_BCN_DELAY,EK2_FLOW_DELAY,EK3_FLOW_DELAY,BARO_FLTR_RNG,COMPASS_FLTR_RNG,H_RSC_AROT_PCT,BATT2_LOW_TIMER,BATT3_LOW_TIMER,BATT4_LOW_TIMER,BATT5_LOW_TIMER,BATT6_LOW_TIMER,BATT7_LOW_TIMER,BATT8_LOW_TIMER,BATT9_LOW_TIMER,BATT_LOW_TIMER,DISARM_DELAY,OSD_MSG_TIME,EK2_TAU_OUTPUT
15:21:06.335,0.6,0.1,167.0,0.0,0.1,0.0,0.0,100.0,70.0,0.0,100.0,85.0,29.0,15.0,0.0,22.0,0.0,13.0,0.0,43.0,46.0,118.0,0.0,1.0,15.0
15:21:13.027,1.4,0.1,143.0,1861.0,0.1,0.0,0.0,20.0,20.0,230.0,0.0,100.0,0.0,41.0,120.0,0.0,120.0,0.0,102.0,10.0,120.0,91.0,0.0,1.0,25.0
15:21:18.260,1.6,0.1,226.0,4135.0,0.1,0.0,0.0,0.0,130.0,0.0,55.0,14.0,33.0,70.0,10.0,35.0,20.0,51.0,103.0,17.0,57.0,0.0,0.0,1.0,10.0
15:21:24.032,1.3,0.1,133.0,871.0,0.1,0.0,0.0,130.0,0.0,250.0,25.0,100.0,24.0,51.0,32.0,86.0,70.0,49.0,63.0,56.0,1.0,16.0,0.0,1.0,15.0
15:21:30.137,0.0,0.1,250.0,4696.0,0.1,0.0,0.0,30.0,0.0,250.0,55.0,43.0,16.0,120.0,58.0,120.0,3.0,120.0,33.0,113.0,18.0,20.0,0.0,1.0,45.0
15:21:41.280,1.1,0.1,250.0,3170.0,0.1,0.0,0.0,50.0,60.0,230.0,79.0,100.0,28.0,15.0,0.0,82.0,65.0,15.0,33.0,99.0,0.0,0.0,0.0,1.0,50.0
15:21:47.195,1.9,0.1,136.0,5000.0,0.1,0.0,0.0,20.0,90.0,160.0,76.0,44.0,40.0,91.0,0.0,49.0,37.0,35.0,38.0,36.0,5.0,120.0,0.0,1.0,10.0
15:21:53.197,0.7,0.1,179.0,0.0,0.1,0.0,0.0,0.0,50.0,90.0,48.0,100.0,31.0,0.0,71.0,120.0,108.0,7.0,63.0,85.0,119.0,0.0,0.0,1.0,10.0
15:21:59.306,1.3,0.1,58.0,5000.0,0.1,0.0,0.0,60.0,10.0,250.0,0.0,0.0,9.0,0.0,61.0,26.0,120.0,20.0,24.0,0.0,57.0,120.0,0.0,1.0,30.0
15:22:03.744,1.6,0.1,108.0,3949.0,0.1,0.0,0.0,50.0,130.0,210.0,94.0,0.0,0.0,25.0,73.0,19.0,22.0,120.0,90.0,0.0,6.0,120.0,0.0,1.0,30.0
15:22:14.082,1.0,0.1,67.0,1853.0,0.1,0.0,0.0,80.0,60.0,170.0,82.0,45.0,12.0,120.0,120.0,120.0,31.0,90.0,82.0,0.0,120.0,0.0,0.0,1.0,30.0
15:22:19.472,0.0,0.1,56.0,824.0,0.1,0.0,0.0,0.0,130.0,0.0,100.0,33.0,35.0,100.0,2.0,95.0,65.0,68.0,0.0,25.0,11.0,72.0,0.0,1.0,40.0
15:22:26.182,2.0,0.1,25.0,5000.0,0.1,0.0,0.0,90.0,20.0,20.0,1.0,17.0,26.0,55.0,78.0,78.0,68.0,120.0,120.0,0.0,0.0,20.0,0.0,1.0,40.0
15:22:32.369,2.0,0.1,185.0,136.0,0.1,0.0,0.0,40.0,10.0,60.0,95.0,62.0,40.0,2.0,120.0,114.0,102.0,0.0,25.0,38.0,26.0,74.0,0.0,1.0,30.0
15:22:36.843,1.5,0.1,178.0,0.0,0.1,0.0,0.0,30.0,70.0,150.0,51.0,69.0,23.0,13.0,32.0,19.0,65.0,67.0,120.0,8.0,52.0,0.0,0.0,1.0,50.0
