time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,VFR_HUD_alt,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,EK2_ALT_SOURCE
13:34:33,1500.0,0.011354905157350003,-0.00031036350410431626,0.020838360115885735,0.018337302026338875,-0.002986228873487562,0.0018896336667239666,584620.0,-35.363262119999995,149.16523758,683.6,0.0,4.2,-57.0,584.6200073242187,0.0,0.6,-1003.8,18.6,-2.2,1.2,AUTO,0.0
13:34:35,1500.0,-0.04462116211652756,0.037162323482334614,-0.123243298381567,-0.028875865042209625,-0.03912721015512943,-0.05380675382912159,588700.0,-35.3632612,149.16524555,4765.5,-16.0,26.5,-148.5,588.7000122070312,5.5,-4.5,-1002.0,-27.5,-38.0,-54.0,AUTO,0.0
13:34:37,1500.0,0.009590330650098622,-0.02384323626756668,-0.09216665476560593,0.05612093210220337,0.0012820137199014425,0.016781392507255077,591800.0,-35.3632644,149.16524065,7866.5,-1.0,-45.0,-151.5,591.7999877929688,-5.0,8.5,-1002.0,56.0,2.0,15.5,AUTO,0.0
13:34:39,1500.0,0.002391972462646663,0.021124180406332016,-0.0972876250743866,-0.00813827439560555,0.04811416566371918,-0.06366697885096073,594905.0,-35.3632603,149.1652355,10968.5,34.5,-7.5,-150.5,594.9049682617188,-8.5,-3.0,-1004.0,-7.5,48.5,-63.0,AUTO,0.0
13:34:41,1500.0,0.011700826697051525,0.014962053392082453,-0.12559788674116135,-0.008812047773972154,-0.021644407883286476,0.01048979815095663,598025.0,-35.363259400000004,149.16523445,14091.0,-19.0,7.5,-152.0,598.0249938964844,2.0,0.6666666666666666,-999.0,-0.6666666666666666,-18.333333333333332,6.333333333333333,AUTO,0.0
13:34:43,1500.0,-0.00289470748975873,-0.005457949358969927,-0.14479538053274155,0.0007151507306843996,0.0023140128469094634,-0.028896336443722248,601150.0,-35.36326205,149.16523619999998,17212.0,-7.0,6.0,-153.0,601.1499938964844,1.5,0.0,-1000.0,1.5,2.5,-29.0,AUTO,0.0
13:34:45,1500.0,0.00532743358053267,0.003489624708890915,-0.203708253800869,0.0026381646748632193,0.002463855897076428,-0.023489992134273052,604275.0,-35.3632622,149.1652363,20341.5,0.0,1.0,-153.0,604.2749633789062,0.0,0.0,-1000.0,3.5,3.0,-23.5,AUTO,0.0
13:34:47,1500.0,0.002501017297618091,0.003889499115757644,-0.24342882633209229,-0.0013563090178649873,-0.002311425982043147,-0.017270746175199747,607395.0,-35.3632621,149.16523654999997,23462.5,-2.0,4.0,-153.0,607.3949890136719,0.0,0.0,-1000.0,0.0,-1.0,-17.0,AUTO,0.0
13:34:49,1500.0,0.005252858391031623,0.003744708374142647,-0.21783261001110077,0.012947516050189734,-0.009731953963637352,0.03922665864229202,610505.0,-35.363262250000005,149.1652369,26573.5,-6.0,0.5,-153.0,610.5050048828125,0.0,0.5,-1000.5,13.0,-8.5,39.0,AUTO,0.0
13:34:51,1500.0,0.0019865926587954164,0.0003364038639119826,-0.17135200649499893,-0.003323650569655001,0.0012480320874601603,0.016750555485486984,613625.0,-35.3632625,149.16523755,29686.0,0.0,6.0,-153.0,613.625,0.0,-0.5,-1000.5,-2.0,1.5,16.0,AUTO,0.0
13:34:53,1500.0,0.0005567265907302499,0.0019001600448973477,-0.14137113839387894,0.002971356618218124,0.0008299799519591033,0.014060703106224537,616735.0,-35.36326235,149.165238,32796.0,0.0,1.0,-153.0,616.7349853515625,0.0,0.0,-1000.0,3.5,1.5,13.0,AUTO,0.0
13:34:55,1500.0,0.0018633926520124078,0.0013829474337399006,-0.11846505478024483,-0.0014829639112576842,0.0005919564282521605,0.010606019757688046,619845.0,-35.3632622,149.16523784999998,35907.0,0.0,0.0,-153.0,619.844970703125,0.0,0.0,-1000.0,0.0,1.0,10.0,AUTO,0.0
13:34:57,1500.0,0.0020312792621552944,0.001450689509510994,-0.10140815377235413,-0.00082101282896474,-0.00028475438011810184,0.007675486849620938,622955.0,-35.3632621,149.16523755,39017.5,0.0,0.0,-153.0,622.9549865722656,0.0,0.0,-1000.0,0.0,1.0,7.0,AUTO,0.0
13:34:59,1500.0,0.002014275174587965,0.001360485446639359,-0.08807286620140076,9.180203778669238e-05,-0.00046416756231337786,0.009396863635629416,626065.0,-35.363262,149.1652374,42131.5,-1.0,1.0,-153.0,626.0650024414062,0.0,0.0,-1000.0,1.0,0.5,9.5,AUTO,0.0
13:35:01,1500.0,0.0020115908118896186,0.001155403268057853,-0.07646587118506432,8.746481034904718e-05,0.000527490396052599,0.0046230367152020335,629175.0,-35.363262,149.16523734999998,45241.0,-1.0,1.0,-153.0,628.7233276367188,0.0,0.0,-999.5,3.0,1.5,6.5,AUTO,0.0
13:35:03,1500.0,-0.05394568853080273,0.05394890904426575,0.2190207615494728,0.0287774670869112,-0.13149050436913967,0.3578310012817383,632175.0,-35.3632626,149.1652365,48244.0,-25.5,-26.5,-122.0,632.1749572753906,2.0,4.0,-940.0,-33.0,-43.0,464.0,AUTO,0.0
13:35:05,1500.0,0.03646356426179409,-0.02158232592046261,0.29608154296875,0.16961567848920822,0.042270686477422714,-0.0402219258248806,633720.0,-35.363264,149.16523295,49784.5,17.5,22.0,-42.0,633.719970703125,-2.5,-3.0,-971.5,170.0,43.0,-39.5,AUTO,0.0
