time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,alt,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
12:12:38,0.0,1.0,-1000.0,0.0,0.0,0.0,STABILIZE,583970.0,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,-0.00046887813368812203,0.0012701170053333044,0.026939665898680687,0.00023177245748229325,0.0002521475835237652,0.002019154140725732
12:12:40,0.0,1.5,-1000.0,0.0,0.5,0.0,AUTO,583970.0,-35.3632622,149.1652375,2.0,-1.0,1.0,0.0,-0.0008458992427525421,0.0010004946573947866,0.02590891843040784,0.00015962954300145307,0.00028533813504812616,0.002064717079823216
12:12:42,0.0,1.1666666666666667,-1000.0,0.16666666666666666,0.5,0.16666666666666666,AUTO,583978.3333333334,-35.3632622,149.1652375,12.666666666666666,0.0,0.0,-1.3333333333333333,-0.0008558035963991036,0.0010848263821875055,0.025180133990943432,0.00025362549543691176,0.00021950520749669522,0.001911511547708263
12:12:44,0.0,1.1666666666666667,-1023.8333333333334,2.8333333333333335,-0.5,0.5,AUTO,583986.6666666666,-35.3632622,149.1652375,21.666666666666668,0.0,0.0,-5.833333333333333,6.603172126536568e-05,0.0012190604999583836,0.024324189871549606,0.0030093785802212856,-0.0004457611551818748,0.0019566096986333528
12:12:46,0.16666666666666666,-1.1666666666666667,-1030.0,38.166666666666664,-5.5,1.1666666666666667,AUTO,585485.0,-35.36326201666667,149.16523778333337,1518.6666666666667,1.1666666666666667,10.166666666666666,-140.66666666666666,0.026054348292139668,-0.0020373685886928192,0.023730914418896038,0.03790385206229985,-0.006524810698465444,0.0026501872343942523
12:12:48,2.8333333333333335,-7.5,-1003.0,-75.0,-5.0,-45.0,AUTO,588518.3333333334,-35.36326086666667,149.16524478333335,4552.0,3.8333333333333335,30.5,-147.66666666666666,-0.03791375085711479,0.009059859730768949,-0.06566290495296319,-0.07616776538391908,-0.005392672028392553,-0.044490089950462185
12:12:50,-4.333333333333333,12.333333333333334,-1002.8333333333334,67.0,7.0,-4.666666666666667,AUTO,591588.3333333334,-35.36326151666666,149.16523986666667,7624.166666666667,-16.833333333333332,-55.0,-150.5,-0.006059520761482418,0.011012476868927479,-0.11541393399238586,0.06692530152698357,0.006734256787846486,-0.003889020901018133
12:12:52,1.1666666666666667,-3.8333333333333335,-999.3333333333334,-59.666666666666664,-5.166666666666667,24.833333333333332,AUTO,594703.3333333334,-35.36326455,149.16523503333335,10736.166666666666,9.666666666666666,22.333333333333332,-148.66666666666666,0.02925486455205828,-0.04601428875078758,-0.051121073154111706,-0.060513497912324965,-0.005622105052073796,0.026045961771160364
12:12:54,-5.5,-0.3333333333333333,-1001.3333333333334,39.666666666666664,12.166666666666666,-39.666666666666664,AUTO,597796.6666666666,-35.363259416666665,149.1652366666667,13831.833333333334,12.833333333333334,-14.5,-152.83333333333334,-0.010594349276895324,0.03129707152644793,-0.1697751929362615,0.039741468305389084,0.012028466754903397,-0.03920119684577609
12:12:56,3.3333333333333335,0.6666666666666666,-999.6666666666666,-14.0,-11.166666666666666,-0.16666666666666666,AUTO,600925.0,-35.363260749999995,149.16523531666667,16959.166666666668,-17.333333333333332,9.0,-151.66666666666666,0.008154172721939782,0.0028798673495960734,-0.16591900338729224,-0.015335620458548268,-0.012069436876724163,0.0006305217005622884
12:12:58,0.3333333333333333,0.0,-1000.1666666666666,4.666666666666667,4.166666666666667,-28.333333333333332,AUTO,604045.0,-35.36326225,149.16523648333333,20080.833333333332,-2.8333333333333335,1.8333333333333333,-152.83333333333334,-0.0005026604970529055,-0.0024904019034390026,-0.20401315887769064,0.0045380880280087394,0.003964935274173816,-0.028085477650165558
12:13:00,0.0,0.0,-1000.0,1.0,1.3333333333333333,-19.333333333333332,AUTO,607175.0,-35.36326223333334,149.16523643333335,23209.666666666668,-0.16666666666666666,2.1666666666666665,-153.0,0.0044324319654454785,0.003411520776959757,-0.2541727026303609,0.0007937302192052206,0.0006918830137389401,-0.01906452824672063
12:13:02,0.3333333333333333,-0.3333333333333333,-997.5,-7.333333333333333,-3.5,17.333333333333332,AUTO,610151.6666666666,-35.36326226666667,149.16523643333332,26184.5,-5.166666666666667,1.6666666666666667,-152.5,0.0005798924050850474,0.006884550753359993,-0.26958518226941425,-0.008375960149957487,-0.004231647224514745,0.018324622341121238
12:13:04,-1.6666666666666667,0.0,-1000.3333333333334,2.1666666666666665,5.333333333333333,22.333333333333332,AUTO,613230.0,-35.36326306666667,149.16523848333335,29266.333333333332,3.0,1.8333333333333333,-151.66666666666666,-0.004943705474336942,-0.009275406210993728,-0.2246148238579432,0.0014876475712905328,0.004853830905631185,0.023161191182831924
12:13:07,7.333333333333333,1.3333333333333333,-1000.0,12.666666666666666,60.333333333333336,15.0,AUTO,616110.0,-35.363249100000004,149.16522602499998,32146.75,-28.25,22.5,-149.75,0.060423603281378746,0.13365098275244236,-0.1194903776049614,0.017959657940082252,0.05036776000633836,0.008656104560941458
12:13:08,30.666666666666668,2.3333333333333335,-988.0,13.666666666666666,-58.0,19.333333333333332,AUTO,617295.0,-35.36324655,149.1652234,33328.5,-99.5,73.5,-138.5,0.0791776105761528,0.1372726485133171,-0.10288794338703156,0.0022262483835220337,-0.09956679027527571,0.03590015694499016
