time_stamp,MODE,lat,lon,alt,relative_alt,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,vx,vy,vz
12:12:37.327,STABILIZE,-35.3632621,149.1652374,583960,0,-0.0004943604581058025,0.001577796065248549,0.027800220996141434,0.0002959223638754338,0.0003681215166579932,0.002241085283458233,0,1,-1000,0,0,0,-1,1,0
12:12:37.528,STABILIZE,-35.3632621,149.1652374,583960,0,-0.0004943604581058025,0.001577796065248549,0.027800220996141434,0.0002959223638754338,0.0003681215166579932,0.002241085283458233,0,1,-1000,0,0,0,-1,1,0
12:12:37.734,STABILIZE,-35.3632621,149.1652374,583960,0,-0.0004943604581058025,0.001577796065248549,0.027800220996141434,0.0002959223638754338,0.0003681215166579932,0.002241085283458233,0,1,-1000,0,0,0,-1,1,0
12:12:37.936,STABILIZE,-35.3632621,149.1652374,583960,0,-0.0004943604581058025,0.001577796065248549,0.027800220996141434,0.0002959223638754338,0.0003681215166579932,0.002241085283458233,0,1,-1000,0,0,0,-1,1,0
12:12:38.137,STABILIZE,-35.3632621,149.1652374,583960,0,-0.0004943604581058025,0.001577796065248549,0.027800220996141434,0.0002959223638754338,0.0003681215166579932,0.002241085283458233,0,1,-1000,0,0,0,-1,1,0
12:12:38.340,STABILIZE,-35.3632621,149.1652374,583960,0,-0.0004943604581058025,0.001577796065248549,0.027800220996141434,0.0002959223638754338,0.0003681215166579932,0.002241085283458233,0,1,-1000,0,0,0,-1,1,0
12:12:38.542,STABILIZE,-35.3632621,149.1652374,583960,0,-0.0004943604581058025,0.001577796065248549,0.027800220996141434,0.0002959223638754338,0.0003681215166579932,0.002241085283458233,0,1,-1000,0,0,0,-1,1,0
12:12:38.744,STABILIZE,-35.3632621,149.1652374,583960,0,-0.0004943604581058025,0.001577796065248549,0.027800220996141434,0.0002959223638754338,0.0003681215166579932,0.002241085283458233,0,1,-1000,0,0,0,-1,1,0
12:12:38.953,STABILIZE,-35.3632622,149.1652375,583970,0,-0.0005723877111449838,0.0011660403106361628,0.0266561396420002,0.00024893844965845346,0.00024907797342166305,0.0019704834558069706,0,1,-1000,0,0,0,-1,1,0
12:12:39.162,STABILIZE,-35.3632622,149.1652375,583970,0,-0.0005723877111449838,0.0011660403106361628,0.0266561396420002,0.00024893844965845346,0.00024907797342166305,0.0019704834558069706,0,1,-1000,0,0,0,-1,1,0
12:12:39.376,STABILIZE,-35.3632622,149.1652375,583970,0,-0.0005723877111449838,0.0011660403106361628,0.0266561396420002,0.00024893844965845346,0.00024907797342166305,0.0019704834558069706,0,1,-1000,0,0,0,-1,1,0
12:12:39.583,STABILIZE,-35.3632622,149.1652375,583970,0,-0.0005723877111449838,0.0011660403106361628,0.0266561396420002,0.00024893844965845346,0.00024907797342166305,0.0019704834558069706,0,1,-1000,0,0,0,-1,1,0
12:12:39.786,STABILIZE,-35.3632622,149.1652375,583970,0,-0.0005723877111449838,0.0011660403106361628,0.0266561396420002,0.00024893844965845346,0.00024907797342166305,0.0019704834558069706,0,1,-1000,0,0,0,-1,1,0
12:12:39.994,STABILIZE,-35.3632622,149.1652375,583970,0,-0.0005723877111449838,0.0011660403106361628,0.0266561396420002,0.00024893844965845346,0.00024907797342166305,0.0019704834558069706,0,1,-1000,0,0,0,-1,1,0
12:12:40.196,STABILIZE,-35.3632622,149.1652375,583970,0,-0.0005723877111449838,0.0011660403106361628,0.0266561396420002,0.00024893844965845346,0.00024907797342166305,0.0019704834558069706,0,1,-1000,0,0,0,-1,1,0
12:12:40.399,STABILIZE,-35.3632622,149.1652375,583970,0,-0.0005723877111449838,0.0011660403106361628,0.0266561396420002,0.00024893844965845346,0.00024907797342166305,0.0019704834558069706,0,1,-1000,0,0,0,-1,1,0
12:12:40.606,STABILIZE,-35.3632622,149.1652375,583970,0,-0.000768231984693557,0.0010394095443189144,0.026133926585316658,0.00015792378690093756,0.0002539065317250788,0.002097891177982092,0,1,-1000,0,0,0,-1,1,0
12:12:40.810,AUTO,-35.3632622,149.1652375,583970,0,-0.0008670006063766778,0.0009875663090497255,0.02585039660334587,0.00016494514420628548,0.00034873088588938117,0.002023721346631646,0,2,-1000,0,0,0,-1,1,0
12:12:41.014,AUTO,-35.3632622,149.1652375,583970,4,-0.0009024651371873915,0.0009745081188157201,0.025742432102560997,0.0001560196978971362,0.00025337698752991855,0.0020725387148559093,0,1,-1000,0,1,0,-1,1,0
12:12:41.217,AUTO,-35.3632622,149.1652375,583970,4,-0.0009024651371873915,0.0009745081188157201,0.025742432102560997,0.0001560196978971362,0.00025337698752991855,0.0020725387148559093,0,1,-1000,0,1,0,-1,1,0
12:12:41.420,AUTO,-35.3632622,149.1652375,583970,4,-0.0009024651371873915,0.0009745081188157201,0.025742432102560997,0.0001560196978971362,0.00025337698752991855,0.0020725387148559093,0,1,-1000,0,1,0,-1,1,0
12:12:41.622,AUTO,-35.3632622,149.1652375,583970,4,-0.0009024651371873915,0.0009745081188157201,0.025742432102560997,0.0001560196978971362,0.00025337698752991855,0.0020725387148559093,0,1,-1000,0,1,0,-1,1,0
12:12:41.826,AUTO,-35.3632622,149.1652375,583970,4,-0.0009024651371873915,0.0009745081188157201,0.025742432102560997,0.0001560196978971362,0.00025337698752991855,0.0020725387148559093,0,1,-1000,0,1,0,-1,1,0
12:12:42.028,AUTO,-35.3632622,149.1652375,583970,4,-0.0009024651371873915,0.0009745081188157201,0.025742432102560997,0.0001560196978971362,0.00025337698752991855,0.0020725387148559093,0,1,-1000,0,1,0,-1,1,0
