time_stamp,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE
01:11:04,-35.3632622,149.1652374,63.5,-1.0,1.0,0.0,0.0,1.5,-1000.0,0.0,0.0,0.0,1500.0,-0.00027923959714826196,0.0010487729450687766,0.0262604970484972,0.0003678819921333343,0.0003230448055546731,0.002130675478838384,STABILIZE
01:11:14,-35.3632622,149.1652375,49.0,-1.0,2.0,1.0,0.0,1.0,-1000.0,0.0,0.0,0.0,1500.0,-0.0008991467766463757,0.0009691888117231429,0.0224833395332098,0.0001483681844547391,0.0002566794282756746,0.0015495697734877467,STABILIZE
01:11:16,-35.3632622,149.1652375,53.0,-1.0,0.0,0.0,0.0,1.5,-1000.0,0.5,0.5,0.0,73338.0,-0.0007122292299754918,0.000992105109617114,0.022005289793014526,0.0002700244658626616,0.00029850128339603543,0.0015804939903318882,AUTO
01:11:18,-35.3632621,149.1652375,4.0,0.0,0.0,0.0,0.0,1.5,-1000.0,0.5,1.0,0.5,145176.0,-0.0006247785058803856,0.0011452999897301197,0.021581665612757206,0.00018423059373162687,0.00028084838413633406,0.001530278765130788,AUTO
01:11:19,-35.3632621,149.1652374,8.75,0.0,0.0,-0.75,0.0,1.5,-1000.0,0.25,0.25,0.0,62971.0,-0.00037481119215954095,0.0014651136589236557,0.021263673901557922,0.0002922201092587784,0.00026343821082264185,0.0014757714234292507,AUTO
01:11:20,-35.3632621,149.1652375,10.0,0.0,0.0,0.0,0.0,1.0,-1000.0,0.0,0.5,0.5,62971.0,-0.00018974912381963804,0.0016840555472299457,0.02106082160025835,0.00034264972782693803,0.0003283571859356016,0.0014014290063641965,AUTO
01:11:22,-35.36326205,149.1652375,1880.0,0.0,0.0,-144.5,0.0,0.0,-1003.5,0.0,2.5,3.5,58373.5,-0.0004036106984131038,0.0031040365574881434,0.0202822033315897,-0.00020383880473673344,0.0023036985512590036,0.004438610281795263,AUTO
01:11:24,-35.363261449999996,149.1652408,4941.5,8.0,52.0,-146.0,3.5,-11.0,-991.5,-121.5,61.0,-85.0,53776.0,0.04185294546186924,0.008214642060920596,-0.026818410493433475,-0.12246477976441383,0.06058475933969021,-0.08498632162809372,AUTO
01:11:25,-35.3632611,149.165246025,6850.25,-2.0,12.75,-149.0,2.25,-3.5,-1001.5,-40.25,-21.5,-17.0,207588.0,-0.054919276386499405,0.002324727363884449,-0.08807848207652569,-0.041215221397578716,-0.022925058379769325,-0.017258763138670474,AUTO
01:11:26,-35.3632611,149.16524535000002,8002.0,-0.5,-36.5,-149.0,-2.5,5.0,-1001.5,52.5,3.0,-6.0,207588.0,-0.06279010139405727,-0.009007013402879238,-0.09009427577257156,0.05224941857159138,0.00286769843660295,-0.006013484671711922,AUTO
01:11:28,-35.363261449999996,149.16523404999998,11106.5,-10.0,-21.5,-153.0,-3.0,7.0,-1002.0,60.0,3.5,3.5,140425.5,0.06293890811502934,0.013689686544239521,-0.08230755105614662,0.05962103791534901,0.0032112876942846924,0.004154503112658858,AUTO
01:11:30,-35.3632625,149.16523745,14198.5,1.0,10.0,-151.0,1.0,-2.5,-1002.5,5.0,3.5,-30.0,73263.0,-0.02712566964328289,-0.006762048928067088,-0.10401983931660652,0.004116197465918958,0.0037530187400989234,-0.030255118384957314,AUTO
01:11:31,-35.363262,149.16523682500002,16140.5,3.25,-10.25,-152.0,-2.5,0.75,-999.75,21.5,9.25,-22.25,293842.0,-0.00010076008038595319,0.002729769141296856,-0.1403128057718277,0.021322844550013542,0.00907562905922532,-0.022480532061308622,AUTO
01:11:32,-35.3632617,149.1652359,17311.0,0.5,-6.5,-152.0,-2.0,1.0,-999.5,9.0,4.0,-13.5,293842.0,0.011302565224468708,0.007499224040657282,-0.15390880405902863,0.008491399115882814,0.004050460644066334,-0.01348110567778349,AUTO
01:11:34,-35.363261550000004,149.16523565,20432.5,-3.0,6.0,-152.0,0.0,0.0,-1000.0,-2.0,0.0,-15.0,287218.0,0.0038687578635290265,0.0046905705239623785,-0.17780842632055283,-0.0032383182551711798,-0.0010559801885392517,-0.014977801591157913,AUTO
01:11:36,-35.36326175,149.16523635,23550.0,-2.5,3.5,-152.0,0.0,0.0,-1000.0,2.5,0.5,-20.5,280594.0,0.0016156458295881748,0.0029840999050065875,-0.21594467759132385,0.0016021556803025305,0.0006984829669818282,-0.02083539217710495,AUTO
01:11:37,-35.363261824999995,149.165236475,25492.25,-2.75,-0.5,-152.0,0.0,0.0,-1001.25,6.5,1.25,-21.25,107160.0,-0.006394766387529671,0.0031176655320450664,-0.24202996119856834,0.005764864501543343,0.001010529900668189,-0.0215438986197114,AUTO
01:11:38,-35.363262,149.16523625000002,26662.0,-4.0,-2.5,-153.0,0.0,1.0,-999.0,18.5,-0.5,-13.5,107160.0,0.00690220994874835,0.0022813556133769453,-0.25519023835659027,0.01849234849214554,-0.002151212014723569,-0.013911247253417969,AUTO
01:11:40,-35.3632622,149.1652369,29771.0,-1.0,10.0,-152.0,1.0,-1.0,-1000.0,-7.5,0.5,23.5,178032.5,0.0037604753160849214,0.003629947197623551,-0.2315668985247612,-0.008907883428037167,-0.00015307706780731678,0.024280546233057976,AUTO
01:11:42,-35.3632622,149.1652381,32877.5,-1.0,2.5,-152.0,0.0,0.0,-1000.0,2.5,1.0,16.5,248905.0,-0.0016512921429239213,0.001566353370435536,-0.1890229880809784,0.0019200246315449476,0.0003596726164687425,0.017179831862449646,AUTO
