,RTL_ALT,ARMING_ACCTHRESH,ZIGZ_SIDE_DIST,CAM_SERVO_ON,FENCE_RADIUS,MOT_BOOST_SCALE,ATC_SLEW_YAW,CAM_SERVO_OFF,CHUTE_ALT_MIN,RTL_CLIMB_MIN
12:34:16.130,185834.0,0.25,0.1,1000.0,30.0,5.1,17700.0,1000.0,0.0,0.0
12:34:20.205,234296.0,0.25,0.1,1000.0,30.0,2.9,3000.0,1000.0,6491.0,2980.0
12:34:24.226,4602.0,0.25,0.1,1000.0,30.0,1.7,2300.0,1000.0,15975.0,680.0
12:34:28.259,60949.0,0.25,0.1,1000.0,30.0,3.6,500.0,1000.0,19614.0,530.0
12:34:32.280,200.0,0.25,0.1,1000.0,30.0,1.2,500.0,1000.0,26606.0,270.0
12:34:36.310,89766.0,0.25,0.1,1000.0,30.0,4.4,500.0,1000.0,0.0,2620.0
12:34:40.341,128237.0,0.25,0.1,1000.0,30.0,3.9,7400.0,1000.0,32000.0,2440.0
12:34:44.380,13669.0,0.25,0.1,1000.0,30.0,2.2,18000.0,1000.0,6193.0,2820.0
12:34:48.420,265534.0,0.25,0.1,1000.0,30.0,2.6,1600.0,1000.0,32000.0,1020.0
12:34:52.447,132142.0,0.25,0.1,1000.0,30.0,0.0,4000.0,1000.0,32000.0,0.0
12:34:56.496,198139.0,0.25,0.1,1000.0,30.0,1.9,18000.0,1000.0,2950.0,0.0
12:35:00.021,78994.0,0.25,0.1,1000.0,30.0,1.0,14600.0,1000.0,26658.0,0.0
12:35:04.058,300000.0,0.25,0.1,1000.0,30.0,0.0,18000.0,1000.0,27898.0,1650.0
12:35:08.081,112592.0,0.25,0.1,1000.0,30.0,2.0,17100.0,1000.0,11410.0,1350.0
12:35:12.124,292818.0,0.25,0.1,1000.0,30.0,0.3,13200.0,1000.0,15892.0,3000.0
12:35:16.139,200.0,0.25,0.1,1000.0,30.0,0.2,2100.0,1000.0,22329.0,2080.0
12:35:20.169,259043.0,0.25,0.1,1000.0,30.0,5.1,15100.0,1000.0,8986.0,3000.0
12:35:24.193,55267.0,0.25,0.1,1000.0,30.0,4.2,18000.0,1000.0,31443.0,0.0
12:35:28.237,300000.0,0.25,0.1,1000.0,30.0,4.6,8500.0,1000.0,0.0,1210.0
12:35:32.282,300000.0,0.25,0.1,1000.0,30.0,0.0,1500.0,1000.0,22300.0,2140.0
12:35:36.309,139399.0,0.25,0.1,1000.0,30.0,0.2,18000.0,1000.0,22507.0,3000.0
12:35:40.333,118282.0,0.25,0.1,1000.0,30.0,5.1,12400.0,1000.0,18589.0,2130.0
12:35:44.371,300000.0,0.25,0.1,1000.0,30.0,1.6,13500.0,1000.0,6901.0,1220.0
12:35:48.416,94616.0,0.25,0.1,1000.0,30.0,3.4,3000.0,1000.0,8563.0,0.0
12:35:52.448,99628.0,0.25,0.1,1000.0,30.0,0.0,5600.0,1000.0,32000.0,0.0
12:35:56.472,77714.0,0.25,0.1,1000.0,30.0,5.1,10400.0,1000.0,32000.0,1290.0
12:36:00.041,300000.0,0.25,0.1,1000.0,30.0,3.3,18000.0,1000.0,23870.0,3000.0
12:36:04.070,256111.0,0.25,0.1,1000.0,30.0,3.0,10200.0,1000.0,32000.0,1890.0
12:36:08.092,13284.0,0.25,0.1,1000.0,30.0,5.1,500.0,1000.0,16897.0,1450.0
12:36:12.114,83544.0,0.25,0.1,1000.0,30.0,1.5,500.0,1000.0,32000.0,3000.0
12:36:16.144,133933.0,0.25,0.1,1000.0,30.0,0.0,3900.0,1000.0,8278.0,840.0
