time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,RTL_ALT
14:10:38,0.0,1.0,-1000.0,0.0,0.0,0.0,STABILIZE,-9.703163232188672e-05,0.0014468710869550705,0.026360705494880676,0.00030008479370735586,0.00010966570698656142,0.0021778931841254234,-35.3632622,149.1652376,2.0,-2.0,2.0,1.0,1500.0
14:10:51,0.0,1.0,-1000.0,0.25,0.75,0.75,AUTO,-0.0011566490090141694,0.0010008736280724406,0.02188391735156377,0.00033919486061980325,0.00026171122832844657,0.0014873011192927759,-35.3632622,149.1652375,3.0,-1.0,0.3333333333333333,0.0,252289.0
14:10:52,0.0,1.0,-1000.0,0.5,0.5,0.0,AUTO,-0.0011395420297048986,0.0010031898855231702,0.021757532842457294,0.00019517273176461458,0.0003110712568741292,0.001416860322933644,-35.3632622,149.1652375,10.0,-1.0,0.0,0.0,252289.0
14:10:54,0.0,1.0,-1000.0,1.0,0.0,0.0,AUTO,-0.0008125723106786609,0.0014128730399534106,0.021330999210476875,0.00024064476019702852,0.00027843896532431245,0.0014689603121951222,-35.3632621,149.1652375,13.0,0.0,0.0,0.0,141152.5
14:10:56,0.0,0.0,-1119.5,-5.5,4.5,0.5,AUTO,0.0022424624767154455,0.0006970699687371962,0.020817821845412254,-0.006421058438718319,0.004244708688929677,0.000980133074335754,-35.3632621,149.1652375,319.0,0.0,0.5,-86.5,30016.0
14:10:57,0.25,-2.25,-1006.5,43.25,-8.0,2.0,AUTO,0.038770245388150215,-0.004277324245776981,0.020616796799004078,0.043186185881495476,-0.009245660621672869,0.0028046186780557036,-35.363261924999996,149.165238025,1990.25,2.5,16.75,-147.75,299085.0
14:10:58,2.0,-9.5,-991.5,-77.0,63.5,-75.0,AUTO,0.05035661160945892,0.0026018843054771423,-0.018999490421265364,-0.07797422632575035,0.06284987833350897,-0.07512290216982365,-35.363261449999996,149.16524045,3146.0,8.5,48.0,-147.0,299085.0
14:11:00,-7.0,1.0,-1008.0,9.5,73.5,-119.5,AUTO,-0.10195973142981529,0.03749794885516167,-0.1218402348458767,0.00914174783974886,0.0733869019895792,-0.11914830282330513,-35.36325875,149.16524644999998,6181.0,14.0,-33.0,-147.0,192742.0
14:11:02,2.0,27.5,-1007.0,89.5,-15.0,0.5,AUTO,0.04254097677767277,0.05200836434960365,-0.18815357238054276,0.08909104019403458,-0.01646942552179098,0.00107732939068228,-35.363266249999995,149.16523015,9213.5,-93.5,-55.0,-149.5,86399.0
14:11:03,10.25,6.75,-1008.25,21.25,-93.0,120.75,AUTO,0.040407042019069195,-0.09695782046765089,-0.06094936328008771,0.02070521702989936,-0.09407648909837008,0.12163132801651955,-35.363275574999996,149.165227875,11154.0,-43.0,17.5,-153.5,245462.0
14:11:04,-2.5,-10.0,-991.5,31.0,-5.0,53.5,AUTO,0.0581591222435236,-0.13508092612028122,-0.0028498758329078555,0.030984550714492798,-0.005814253352582455,0.054039742797613144,-35.36327575,149.16523,12326.0,52.5,45.0,-147.0,245462.0
