,ADSB_LIST_ALT,ADSB_LIST_RADIUS,FOLL_DIST_MAX,COMPASS_CUS_ROLL,ACRO_RP_EXPO,PILOT_TKOFF_ALT,ACRO_Y_EXPO,PILOT_Y_EXPO,AHRS_CUSTOM_ROLL,IM_STB_COL_1,IM_STB_COL_4,H_CYC_MAX,LOIT_BRK_ACCEL,TMODE_TRIM_AUTO,IM_STB_COL_2,IM_STB_COL_3,EK3_GSF_RST_MAX,ATC_RAT_YAW_P,ATC_ANG_YAW_P,EK2_GSF_RST_MAX,ATC_RAT_YAW_I,ATC_RAT_YAW_D,FHLD_BRAKE_RATE,COMPASS_CUS_YAW,AHRS_CUSTOM_YAW
16:13:58.612,0.0,0.0,1.0,-154.0,-0.5,250.0,-1.0,-0.5,14.0,19.0,13.0,2500.0,233.0,0.0,57.0,67.0,3.0,0.365,3.0,8.0,0.04,0.01,1.0,-63.0,-63.0
16:14:03.348,0.0,0.0,1.0,154.0,-0.5,10.0,-1.0,-0.5,8.0,3.0,62.0,3700.0,89.0,0.0,92.0,4.0,10.0,0.225,3.0,5.0,0.07,0.02,1.0,-161.0,-7.0
16:14:08.237,0.0,0.0,1.0,30.0,-0.5,1000.0,-1.0,-0.5,-30.0,51.0,32.0,1300.0,154.0,0.0,75.0,6.0,5.0,0.47,3.0,6.0,0.07,0.0,1.0,-33.0,-95.0
16:14:13.287,0.0,0.0,1.0,-125.0,-0.5,250.0,-1.0,-0.5,-138.0,73.0,21.0,1300.0,91.0,0.0,87.0,45.0,5.0,0.345,3.0,6.0,0.11,0.01,1.0,-22.0,-22.0
16:14:17.479,0.0,0.0,1.0,-129.0,-0.5,280.0,-1.0,-0.5,-164.0,47.0,35.0,2000.0,47.0,0.0,68.0,31.0,4.0,0.325,3.0,4.0,0.07,0.0,1.0,-6.0,-75.0
16:14:22.322,0.0,0.0,1.0,-125.0,-0.5,80.0,-1.0,-0.5,-175.0,21.0,48.0,2000.0,179.0,0.0,56.0,8.0,7.0,0.53,3.0,3.0,0.03,0.02,1.0,14.0,98.0
16:14:27.476,0.0,0.0,1.0,59.0,-0.5,100.0,-1.0,-0.5,-87.0,69.0,69.0,3900.0,191.0,0.0,8.0,57.0,4.0,0.235,3.0,5.0,0.07,0.0,1.0,6.0,-113.0
16:14:32.397,0.0,0.0,1.0,-153.0,-0.5,290.0,-1.0,-0.5,154.0,4.0,39.0,400.0,241.0,0.0,25.0,3.0,3.0,0.53,3.0,9.0,0.03,0.0,1.0,27.0,-14.0
16:14:38.360,0.0,0.0,1.0,-166.0,-0.5,210.0,-1.0,-0.5,61.0,50.0,84.0,900.0,90.0,0.0,10.0,67.0,10.0,0.285,3.0,7.0,0.07,0.0,1.0,-58.0,-59.0
16:14:43.642,0.0,0.0,1.0,93.0,-0.5,10.0,-1.0,-0.5,-135.0,53.0,47.0,1400.0,117.0,0.0,25.0,8.0,4.0,0.43,3.0,6.0,0.08,0.0,1.0,-10.0,-165.0
16:14:47.717,0.0,0.0,1.0,-127.0,-0.5,130.0,-1.0,-0.5,-142.0,42.0,34.0,2200.0,106.0,0.0,24.0,35.0,4.0,0.375,3.0,5.0,0.06,0.01,1.0,-165.0,-133.0
16:14:52.275,0.0,0.0,1.0,151.0,-0.5,250.0,-1.0,-0.5,-172.0,39.0,11.0,3400.0,139.0,0.0,45.0,55.0,3.0,0.265,3.0,5.0,0.2,0.01,1.0,8.0,-91.0
16:14:57.498,0.0,0.0,1.0,-55.0,-0.5,10.0,-1.0,-0.5,-58.0,22.0,19.0,1100.0,71.0,0.0,6.0,4.0,3.0,0.47,3.0,4.0,0.04,0.01,1.0,112.0,119.0
16:15:02.756,0.0,0.0,1.0,-2.0,-0.5,510.0,-1.0,-0.5,135.0,11.0,63.0,1400.0,136.0,0.0,21.0,21.0,7.0,0.245,3.0,3.0,0.18,0.01,1.0,-171.0,-107.0
16:15:07.747,0.0,0.0,1.0,-157.0,-0.5,990.0,-1.0,-0.5,-163.0,44.0,94.0,2000.0,216.0,0.0,87.0,75.0,3.0,0.225,3.0,5.0,0.04,0.01,1.0,-87.0,109.0
16:15:12.004,0.0,0.0,1.0,-107.0,-0.5,640.0,-1.0,-0.5,91.0,47.0,65.0,2800.0,179.0,0.0,37.0,75.0,4.0,0.205,3.0,10.0,0.1,0.0,1.0,-133.0,-145.0
16:15:17.646,0.0,0.0,1.0,-129.0,-0.5,500.0,-1.0,-0.5,-149.0,1.0,98.0,3600.0,68.0,0.0,45.0,47.0,6.0,0.365,3.0,10.0,0.04,0.0,1.0,-133.0,-56.0
16:15:22.033,0.0,0.0,1.0,-143.0,-0.5,190.0,-1.0,-0.5,-170.0,44.0,61.0,4000.0,199.0,0.0,28.0,4.0,8.0,0.235,3.0,7.0,0.11,0.01,1.0,-71.0,178.0
16:15:27.746,0.0,0.0,1.0,149.0,-0.5,210.0,-1.0,-0.5,165.0,32.0,42.0,2300.0,54.0,0.0,16.0,73.0,9.0,0.445,3.0,10.0,0.17,0.01,1.0,-15.0,-177.0
16:15:31.839,0.0,0.0,1.0,-45.0,-0.5,580.0,-1.0,-0.5,-86.0,50.0,11.0,1700.0,107.0,0.0,67.0,74.0,7.0,0.43,3.0,5.0,0.04,0.01,1.0,-161.0,-64.0
16:15:36.068,0.0,0.0,1.0,-10.0,-0.5,320.0,-1.0,-0.5,-51.0,38.0,29.0,1100.0,216.0,0.0,11.0,58.0,4.0,0.205,3.0,7.0,0.06,0.0,1.0,159.0,-72.0
16:15:41.602,0.0,0.0,1.0,85.0,-0.5,410.0,-1.0,-0.5,-123.0,67.0,15.0,600.0,63.0,0.0,8.0,69.0,4.0,0.205,3.0,3.0,0.08,0.02,1.0,-167.0,-33.0
16:15:45.820,0.0,0.0,1.0,-22.0,-0.5,340.0,-1.0,-0.5,-149.0,44.0,51.0,1500.0,30.0,0.0,63.0,10.0,5.0,0.305,3.0,9.0,0.04,0.01,1.0,-111.0,-26.0
16:15:50.900,0.0,0.0,1.0,-93.0,-0.5,520.0,-1.0,-0.5,-148.0,55.0,22.0,700.0,69.0,0.0,38.0,21.0,7.0,0.525,3.0,8.0,0.13,0.0,1.0,-22.0,-129.0
16:15:55.624,0.0,0.0,1.0,-78.0,-0.5,630.0,-1.0,-0.5,-178.0,15.0,15.0,2900.0,100.0,0.0,70.0,39.0,4.0,0.425,3.0,5.0,0.03,0.01,1.0,-76.0,-103.0
16:15:59.742,0.0,0.0,1.0,-105.0,-0.5,130.0,-1.0,-0.5,6.0,83.0,92.0,1600.0,47.0,0.0,18.0,42.0,5.0,0.335,3.0,6.0,0.18,0.01,1.0,6.0,-115.0
