,A.BRAKE1
16:10:46.319,-1
16:10:46.521,-1
16:10:46.722,-1
16:10:46.923,-1
16:10:47.124,-1
16:10:47.325,-1
16:10:47.527,-1
16:10:47.728,-1
16:10:47.928,-1
16:10:48.130,-1
16:10:48.330,-1
16:10:48.531,-1
16:10:48.733,-1
16:10:48.933,-1
16:10:49.134,-1
16:10:49.335,-1
16:10:49.536,-1
16:10:49.737,-1
16:10:49.939,-1
16:10:50.139,-1
16:10:50.341,-1
16:10:50.542,-1
16:10:50.744,-1
16:10:50.946,-1
16:10:51.148,-1
16:10:51.349,-1
16:10:51.550,-1
16:10:51.751,-1
16:10:51.951,-1
16:10:52.153,-1
16:10:52.354,-1
16:10:52.555,-1
16:10:52.756,-1
16:10:52.957,-1
16:10:53.158,-1
16:10:53.359,-1
16:10:53.560,-1
16:10:53.761,-1
16:10:53.962,1
16:10:54.164,1
16:10:54.364,1
16:10:54.566,1
16:10:54.766,1
16:10:54.967,1
16:10:55.168,1
16:10:55.371,1
16:10:55.572,1
16:10:55.772,1
16:10:55.973,-1
16:10:56.174,-1
16:10:56.375,-1
16:10:56.576,-1
16:10:56.777,-1
16:10:56.978,-1
16:10:57.180,-1
16:10:57.383,-1
16:10:57.584,-1
16:10:57.785,-1
16:10:57.986,-1
16:10:58.188,-1
16:10:58.389,-1
16:10:58.590,-1
16:10:58.791,-1
16:10:58.992,-1
16:10:59.193,-1
16:10:59.395,-1
16:10:59.596,-1
16:10:59.797,-1
16:10:59.998,-1
16:11:00.199,-1
16:11:00.400,-1
16:11:00.601,-1
16:11:00.802,-1
16:11:01.002,-1
16:11:01.203,-1
16:11:01.405,-1
16:11:01.606,-1
16:11:01.808,-1
16:11:02.010,-1
16:11:02.212,-1
16:11:02.416,-1
16:11:02.619,-1
16:11:02.821,-1
16:11:03.023,-1
16:11:03.225,-1
16:11:03.428,-1
16:11:03.629,-1
16:11:03.830,-1
16:11:04.031,-1
16:11:04.232,-1
16:11:04.433,-1
16:11:04.634,-1
16:11:04.835,-1
16:11:05.035,-1
16:11:05.236,-1
16:11:05.438,-1
16:11:05.639,-1
16:11:05.854,-1
16:11:06.055,-1
16:11:06.256,-1
16:11:06.458,-1
16:11:06.660,-1
16:11:06.861,-1
16:11:07.062,-1
16:11:07.264,-1
16:11:07.465,-1
16:11:07.667,-1
16:11:07.868,-1
16:11:08.069,-1
16:11:08.270,-1
16:11:08.471,-1
16:11:08.672,-1
16:11:08.873,-1
16:11:09.074,1
16:11:09.276,1
16:11:09.477,1
16:11:09.678,1
16:11:09.880,1
16:11:10.081,1
16:11:10.284,1
16:11:10.485,1
16:11:10.687,1
16:11:10.887,1
16:11:11.088,-1
16:11:11.290,-1
16:11:11.491,-1
16:11:11.692,-1
16:11:11.893,-1
16:11:12.095,-1
16:11:12.296,-1
16:11:12.497,-1
16:11:12.699,-1
16:11:12.900,-1
16:11:13.102,-1
16:11:13.304,-1
16:11:13.505,-1
16:11:13.705,-1
16:11:13.906,-1
16:11:14.107,-1
16:11:14.309,-1
16:11:14.511,-1
16:11:14.713,-1
16:11:14.916,-1
16:11:15.118,-1
16:11:15.319,-1
16:11:15.520,-1
