time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE
19:13:12,-0.000489619022118859,0.000961196914431639,0.025536908535286784,0.001769904720276827,0.00023006286937743425,0.0019666902226163074,-35.3632621,149.1652375,0.0,-1.0,1.0,-1.0,1500.0,0.0,1.25,-1000.0,0.5,0.25,0.25,STABILIZE
19:13:25,-0.0010658185346983373,0.0009988950138601165,0.02243574025730292,0.0002945021163516988,0.00022308077313937247,0.0015903427071558933,-35.3632622,149.1652375,0.0,-1.0,0.6666666666666666,-0.8333333333333334,1500.0,0.0,-6.166666666666667,-1011.5,0.3333333333333333,0.16666666666666666,0.5,STABILIZE
19:13:27,-0.0007239807455334812,0.0010607586009427905,0.02204457049568494,0.00029235889087431133,0.00026507163420319557,0.0014667881575102608,-35.36326213333333,149.16523748333333,16.0,-0.3333333333333333,0.0,-1.6666666666666667,1500.0,0.0,1.3333333333333333,-1000.0,0.3333333333333333,0.5,0.5,AUTO
19:13:29,-7.740798828308471e-05,0.0014761608326807618,0.021502984315156938,0.003133579494897276,0.0003223916748538613,0.0014532218454405665,-35.3632621,149.1652375,15.2,0.0,1.2,0.2,1500.0,0.0,11.6,-985.0,3.6,0.2,0.6,AUTO
19:13:33,0.02958792882661025,0.010839339345693588,-0.03233628689001004,-0.11394068102041881,0.037363534172376,-0.07335316141446431,-35.363261449999996,149.1652406,3269.5,7.25,48.0,-145.75,1500.0,2.75,-8.75,-997.5,-75.25,25.5,-54.25,AUTO
19:13:35,-0.042014461010694504,0.001965228235349059,-0.1028733104467392,0.06040733680129051,0.0058207097463309765,-0.010061521083116531,-35.3632608,149.1652438,6898.0,-5.0,-51.0,-149.0,1500.0,-5.0,8.0,-1001.0,61.0,6.0,-10.0,AUTO
19:13:52,0.008652853934715191,0.0018198314646724612,-0.227150688568751,-0.001726540659243862,-0.0010964715426477294,0.025978372742732365,-35.36326236666667,149.16523681666666,27608.0,-3.3333333333333335,4.833333333333333,-153.0,1500.0,0.0,0.0,-999.1666666666666,-0.5,0.16666666666666666,25.333333333333332,AUTO
19:13:54,0.00043269675006740727,0.001287839441959347,-0.1855184712580272,-0.00012286206973450526,-0.0001249894849024713,0.016892400437167714,-35.3632624,149.16523792857146,30919.0,0.0,4.285714285714286,-153.0,1500.0,0.0,-0.42857142857142855,-1000.1428571428571,0.5714285714285714,0.2857142857142857,16.285714285714285,AUTO
19:13:56,0.001954686905567845,0.0011917079876487453,-0.15743780136108398,-2.0769191905856133e-05,-0.00016616831999272108,0.013131067312012116,-35.363262283333334,149.16523800000002,34002.0,0.0,0.3333333333333333,-153.0,1500.0,0.0,0.0,-1000.0,0.6666666666666666,0.5,12.5,AUTO
19:13:58,0.0023046392598189414,0.0013182067971987028,-0.13698461403449377,0.0012252982123754919,0.0006336041163497915,0.009662282497932514,-35.36326218333334,149.16523783333335,36959.833333333336,0.0,0.0,-153.0,1500.0,0.0,0.0,-1000.1666666666666,2.1666666666666665,0.8333333333333334,9.333333333333334,AUTO
19:14:00,0.0027911014234026275,0.001497547491453588,-0.12071630731225014,-0.00031625972284624976,0.0010256855263529967,0.00805869527782003,-35.36326209999999,149.16523756666666,40083.5,0.0,0.16666666666666666,-153.0,1500.0,0.0,0.0,-999.6666666666666,0.8333333333333334,1.3333333333333333,7.666666666666667,AUTO
19:14:02,0.002506353620750209,0.0014152040239423513,-0.10777491579453151,0.000648439124537011,-0.00026508661297460395,0.006190004060044885,-35.363262,149.1652375,43199.666666666664,-1.0,1.0,-153.0,1500.0,0.0,0.0,-1000.0,1.1666666666666667,0.6666666666666666,5.666666666666667,AUTO
19:14:04,0.0005531364198153218,0.0027513399836607277,-0.0929612119992574,-0.015159173480545482,0.01486763790793096,0.037027620477601886,-35.363262,149.1652374,46321.166666666664,-1.1666666666666667,0.8333333333333334,-152.16666666666666,1500.0,0.0,0.0,-994.8333333333334,-13.833333333333334,15.5,36.833333333333336,AUTO
19:14:06,0.008014516284068426,-0.02773636703689893,0.2843007172147433,0.0641728116509815,-0.07459064495439331,0.06391951565941174,-35.363264066666666,149.16523401666666,48909.5,-16.5,-23.833333333333332,-86.0,1500.0,1.3333333333333333,6.666666666666667,-956.1666666666666,65.16666666666667,-73.33333333333333,64.16666666666667,AUTO
19:14:08,0.013163504966845116,0.0021330047165974975,0.24282132585843405,-0.00036777198935548466,0.024049865702788036,-0.02993000081429879,-35.3632627,149.16523528333335,49992.166666666664,17.5,27.5,-28.0,1500.0,-2.3333333333333335,-6.5,-976.6666666666666,1.0,24.666666666666668,-28.833333333333332,AUTO
19:14:10,0.005646461232875784,-0.003001800272613764,0.19197349498669306,0.3402135620514552,-0.050681655295193195,-0.02525394471983115,-35.36326125,149.16523921666666,50074.5,-0.3333333333333333,5.333333333333333,8.833333333333334,1500.0,1.3333333333333333,10.166666666666666,-1000.5,341.3333333333333,-49.0,-24.5,AUTO
19:14:12,0.035906824904183544,-0.1112335038681825,0.6795561636487643,0.057001891235510506,-0.04530235876639684,0.6932821969191233,-35.36325728333333,149.16524790000003,49961.5,66.66666666666667,90.66666666666667,-0.3333333333333333,1500.0,-17.166666666666668,-11.666666666666666,-1002.3333333333334,59.333333333333336,-44.0,693.1666666666666,AUTO
