time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE
16:52:20,-0.0008681613447455069,0.001126774897178014,0.02558583952486515,0.00023092213086783886,0.00022270367480814457,0.0021111101377755404,583980.0,-35.3632622,149.1652375,0.0,-1.0,1.0,0.25,0.0,1.0,-1000.0,0.0,0.0,0.6666666666666666,STABILIZE
16:52:22,-0.0010584079660475253,0.0009636313188821077,0.024824675172567368,0.00019997580675408245,0.0002732618770096451,0.001906705554574728,583980.0,-35.3632622,149.1652375,0.0,-1.0,0.75,0.5,0.0,1.6666666666666667,-1000.0,0.0,0.0,0.3333333333333333,STABILIZE
16:52:24,-0.0010813295957632363,0.000925137210288085,0.024159567896276712,0.0002448511077091098,0.0002208136284025386,0.001766415312886238,583980.0,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,0.0,1.5,-1000.0,0.0,0.0,0.0,STABILIZE
16:52:26,-0.0010553749598329887,0.0009297478682128713,0.023650076240301132,0.0002729154221015051,0.00024920421128626913,0.0017002929234877229,583988.0,-35.3632622,149.1652375,4.2,-1.0,0.4,-0.6,0.0,1.25,-1000.0,0.0,0.0,0.0,STABILIZE
16:52:28,-0.0008488811436109245,0.0009481960441917181,0.023185277357697487,0.00031455367570742965,0.00028553191805258393,0.0016890226785714428,584000.0,-35.3632622,149.1652375,14.5,-1.0,0.0,-1.0,0.0,1.0,-1000.0,0.0,1.0,0.5,STABILIZE
16:52:32,-0.0005189585014401624,0.000984969917529573,0.02196558689077695,0.00032322674330013496,0.00025737644561255973,0.0016051970693903665,584030.0,-35.3632622,149.1652375,36.5,-1.0,1.0,-1.6666666666666667,0.0,1.3333333333333333,-1000.0,0.16666666666666666,0.0,0.16666666666666666,AUTO
16:52:34,-0.0003182737054885365,0.001116571482270956,0.021401211619377136,0.00031390095440049964,0.0002813180326484144,0.0015123408326568704,584030.0,-35.3632622,149.1652375,3.6666666666666665,-0.16666666666666666,0.3333333333333333,-0.5,0.0,1.3333333333333333,-1000.0,0.3333333333333333,0.0,0.16666666666666666,AUTO
16:52:36,0.0005373698198430551,0.0013556045523728244,0.020815715193748474,0.0029439412076802305,-0.0012351161373468738,0.001559209602419287,584030.0,-35.3632622,149.1652375,2.6666666666666665,0.0,0.0,-3.0,0.0,1.3333333333333333,-1023.1666666666666,2.8333333333333335,-0.6666666666666666,0.3333333333333333,AUTO
16:52:39,0.018444083724170925,-0.0005238052013737615,0.020159637555480003,0.03596172048710287,-0.004604515060782433,0.0019008244038559497,585212.0,-35.36326206,149.16523758,1188.0,0.6,5.2,-135.0,0.0,-0.4,-1042.6,36.0,-3.6,1.0,AUTO
16:52:41,0.0002112976120163997,0.017924750534196694,-0.05956213059835136,-0.07727235990266006,0.008040801961518204,-0.06217650634547075,587805.0,-35.36326125,149.1652428,3780.0,2.1666666666666665,42.833333333333336,-146.16666666666666,3.6666666666666665,-9.5,-999.8333333333334,-76.33333333333333,8.5,-62.166666666666664,AUTO
16:52:43,-0.049434549361467364,-0.01794464997947216,-0.0780043676495552,0.04970822632312775,0.008030623011291028,0.0037724122870713473,590374.0,-35.363261519999995,149.16524421999998,6348.6,0.6,-40.0,-148.2,-3.8,6.4,-1001.4,49.8,8.2,3.0,AUTO
16:52:45,0.05007964869340261,0.018782992789056152,-0.08726500223080318,0.012232032449295124,0.015912165865302086,-0.016498711775057018,593361.6666666666,-35.363261099999995,149.1652344,9335.166666666666,-2.6666666666666665,-16.833333333333332,-151.0,-3.5,5.0,-999.0,12.833333333333334,16.166666666666668,-16.5,AUTO
16:52:46,-0.011638046358712018,-0.008765944046899676,-0.09330094791948795,-0.025583368813386187,-0.016780711943283677,-0.003340773459058255,595720.0,-35.36326256666667,149.16523586666668,11693.0,-12.666666666666666,23.666666666666668,-149.0,5.333333333333333,-2.6666666666666665,-1003.0,-32.666666666666664,-20.0,0.6666666666666666,AUTO
16:52:47,-0.016155920457094908,-0.012614386156201363,-0.10444261506199837,0.011858624638989568,0.0053785566706210375,-0.024693969637155533,596880.0,-35.36326306666667,149.16523706666666,12858.333333333334,-1.6666666666666667,6.333333333333333,-151.0,1.3333333333333333,-0.6666666666666666,-1001.3333333333334,7.666666666666667,3.0,-21.666666666666668,AUTO
16:52:48,0.005348597051731001,0.0012796254886779934,-0.14266705016295114,0.010574514007506272,0.009481257759034634,-0.022508245116720598,599072.0,-35.3632625,149.16523637999998,15048.4,6.6,-7.0,-152.0,-2.6,0.0,-1000.0,12.6,10.6,-24.0,AUTO
16:52:50,0.00831214051383237,0.0076868765366574126,-0.1740588496128718,-0.004070846868368487,-0.0008777590604343762,-0.012772837188094854,602245.0,-35.36326155,149.16523541666666,18219.833333333332,-0.6666666666666666,4.333333333333333,-152.0,-0.16666666666666666,0.0,-999.6666666666666,-3.0,0.0,-12.666666666666666,AUTO
16:52:52,0.0019947521310920515,0.003439507718818883,-0.2039377217491468,0.00022734680290644368,-0.0003483262359319876,-0.01879723307987054,605368.3333333334,-35.363261566666665,149.16523625,21343.5,-3.0,5.166666666666667,-152.16666666666666,0.0,0.0,-1000.0,0.6666666666666666,0.3333333333333333,-18.5,AUTO
