time_stamp,RTL_ALT,alt,lat,lon,relative_alt,vx,vy,vz,VFR_HUD_alt,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,EK2_ALT_SOURCE
17:42:34,1500.0,597064.0,-35.363260540000006,149.16523736000002,13059.6,27.2,-7.4,-152.4,597.0639770507812,AUTO,-6.6,-3.8,-1003.4,26.6,30.2,-67.2,-0.025736473873257636,0.020478793792426585,-0.14411791265010834,0.025955912098288535,0.030014369077980517,-0.06736977472901344,0.0
17:42:38,1500.0,604030.0,-35.3632623,149.16523646666667,20025.333333333332,-2.3333333333333335,2.3333333333333335,-153.0,604.0299886067709,AUTO,0.3333333333333333,0.0,-999.6666666666666,5.333333333333333,4.666666666666667,-30.0,-0.0006507860671263188,-0.0028058701815704503,-0.20365385711193085,0.004726789270838101,0.004553214336435,-0.029843445246418316,0.0
17:42:44,1500.0,614605.0,-35.3632624,149.16523776666668,30601.666666666668,0.0,6.5,-153.0,614.60498046875,AUTO,0.16666666666666666,-0.6666666666666666,-1000.1666666666666,-1.0,0.16666666666666666,18.5,-0.0006337673651917916,0.001919623095697413,-0.20707236975431442,-0.00185816486676534,-0.00048557567060925066,0.01915648765861988,0.0
17:42:50,1500.0,623965.0,-35.36326215,149.16523755,39957.833333333336,0.0,0.0,-153.0,623.9649861653646,ALT_HOLD,0.0,0.0,-999.8333333333334,1.3333333333333333,0.5,8.166666666666666,0.0023543131343709924,0.001456580978507797,-0.13477992018063864,-0.0002971938035140435,-0.00015927109052427113,0.008688733292122683,0.0
17:43:02,1500.0,620220.0,-35.36331774,149.16514128,36213.8,11.8,17.2,-89.0,620.2199829101562,AUTO,-2.8,10.2,-997.6,-0.6,-2.6,-22.6,0.041856789588928224,-0.01990841031074524,0.10263538211584092,-0.00579516813158989,-0.0035731762647628782,-0.024625641107559205,0.0
17:44:13,1500.0,630740.0,-35.3624044,149.1668909,46738.0,158.0,452.0,134.0,630.739990234375,ALT_HOLD,-93.0,-70.0,-831.0,-328.0,63.0,-39.0,0.10200965404510498,-0.10705361515283585,1.2606920003890991,-0.32990598678588867,0.060604289174079895,-0.04030685871839523,0.0
17:45:13,1500.0,619942.5,-35.362445375,149.166641,35936.75,-14.0,-80.25,-6.75,619.9424896240234,ALT_HOLD,-15.25,-2.0,-993.75,100.0,10.25,3.0,0.002744511846685782,-0.011900248471647501,-1.7813222706317902,0.09458987042307854,0.008544415002688766,0.000579372514039278,0.0
17:45:21,1500.0,610897.5,-35.362458925,149.16660002499998,26891.5,38.5,-45.5,-3.0,610.8974914550781,AUTO,-7.0,-14.5,-1009.5,-279.75,10.75,6.5,0.04413543455302715,0.013449292164295912,-1.7829367220401764,-0.28623081743717194,0.008696606382727623,0.004310135613195598,0.0
17:47:03,1500.0,595775.0,-35.36263645,149.165620775,11770.75,1.0,-44.75,183.25,595.7749938964844,ALT_HOLD,-3.5,-75.0,-1015.5,-1626.75,2.75,-0.25,-0.009203438996337354,-0.0011339240591041744,-1.748925119638443,-1.6307572722434998,-0.00027171889087185264,-0.003985209972597659,0.0
17:47:09,1500.0,592170.0,-35.36263048333334,149.1655977,8165.666666666667,-38.333333333333336,-39.666666666666664,-72.16666666666667,592.1699930826823,AUTO,-9.5,-2.1666666666666665,-1002.6666666666666,9.166666666666666,5.0,1.3333333333333333,-0.018558881400773924,-0.006433017241458098,-1.7491212884585063,0.005420912678043048,0.0025667191948741674,-0.0019104721723124385,0.0
17:47:31,1500.0,595105.0,-35.36267370000001,149.16550725000002,11100.833333333334,3.6666666666666665,-8.333333333333334,-5.166666666666667,595.1050008138021,ALT_HOLD,-0.16666666666666666,3.1666666666666665,-998.8333333333334,145.0,2.6666666666666665,3.5,0.0035040700725706606,-0.0020481790609968207,-1.7705257137616475,0.14076327780882517,0.00026183261070400476,0.00041690860719730455,0.0
17:47:38,1500.0,586227.5,-35.362681425,149.165511,2223.5,23.5,-6.75,68.0,586.2274780273438,AUTO,-1.75,-34.0,-1147.0,-922.0,-5.5,5.25,0.030373340472579002,-0.01882360177114606,-1.7665749490261078,-0.9286451488733292,-0.00800525868544355,0.002163959841709584,0.0
17:47:51,1500.0,588760.0,-35.362678249999995,149.16542214999998,4755.5,-30.25,-13.5,-50.0,588.7599945068359,AUTO,-2.75,-2.0,-1049.0,9.5,-11.25,3.5,-0.023905853740870953,-0.0033250187116209418,-1.5755148231983185,0.004332244396209717,-0.01417308789677918,0.0004570750461425632,0.0
17:48:05,1500.0,594572.5,-35.362757224999996,149.16539662499997,10567.75,-5.75,-21.75,-83.5,594.5724792480469,AUTO,-5.5,-2.0,-1053.5,-56.75,6.75,439.5,0.014086667448282242,-0.014816517475992441,-1.4451509714126587,-0.06057198531925678,0.005069760023616254,0.4368558350834064,0.0
17:48:21,1500.0,617051.6666666666,-35.36270728333333,149.1653244,33045.0,3.0,-157.16666666666666,43.833333333333336,617.0516560872396,ALT_HOLD,-35.0,2.5,-819.3333333333334,274.0,46.166666666666664,-82.66666666666667,-0.12208422397573788,-0.13461138804753622,-1.0122658014297485,0.27264549971247715,0.04436345460514227,-0.08575595015039046,0.0
17:48:31,1500.0,617424.0,-35.36270038,149.16526363999998,33420.8,80.2,41.4,-145.2,617.4239868164062,AUTO,6.2,-19.4,-998.4,-23.0,76.0,-92.6,0.01474135775351897,0.03248570114374161,-1.0005807995796203,-0.02536548599600792,0.07488416582345962,-0.0959310419857502,0.0
17:48:33,1500.0,620178.3333333334,-35.36269395,149.16527448333332,36171.5,-13.333333333333334,46.333333333333336,-148.16666666666666,620.1783142089844,AUTO,10.666666666666666,-1.8333333333333333,-1008.0,37.666666666666664,-47.333333333333336,218.83333333333334,-0.05105978405723969,0.024462875716077786,-0.7147799829641978,0.036106740667795144,-0.049654860670367874,0.21628061681985855,0.0
17:48:50,1500.0,625930.0,-35.362609,149.1652492,41924.0,-12.0,12.0,-12.0,625.9299926757812,AUTO,-7.0,-14.0,-1005.0,-485.0,3.0,-56.0,0.000250340934144333,0.006945868954062462,2.6660330295562744,-0.48934242129325867,0.0007482171058654785,-0.058826275169849396,0.0
