time_stamp,alt,MODE_AUTO,MODE_LOITER,MODE_RTL,MODE_STABILIZE,vx,vy,vz
10:41:55.684,583970,0,0,0,1,-1,1,0
10:41:55.887,583970,0,0,0,1,-1,1,0
10:41:56.088,583970,0,0,0,1,-1,1,0
10:41:56.289,583970,0,0,0,1,-1,1,0
10:41:56.493,583970,0,0,0,1,-1,1,0
10:41:56.694,583970,0,0,0,1,-1,1,0
10:41:56.906,583970,0,0,0,1,-1,1,0
10:41:57.112,583970,0,0,0,1,-1,1,0
10:41:57.314,583970,0,0,0,1,-1,1,0
10:41:57.522,583970,0,0,0,1,-1,1,0
10:41:57.723,583970,0,0,0,1,-1,1,0
10:41:57.926,583970,0,0,0,1,-1,1,0
10:41:58.128,583980,0,0,0,1,-1,0,0
10:41:58.331,583980,0,0,0,1,-1,0,0
10:41:58.533,583980,0,0,0,1,-1,0,0
10:41:58.737,583980,0,0,0,1,-1,0,0
10:42:00.364,583980,0,0,0,1,-1,0,0
10:42:00.576,583980,0,0,0,1,-1,0,0
10:42:00.778,583980,0,0,0,1,-1,0,0
10:42:00.980,583990,0,0,0,1,-1,0,0
10:42:01.183,583990,0,0,0,1,-1,1,0
10:42:01.385,583990,0,0,0,1,-1,1,0
10:42:01.587,583990,0,0,0,1,-1,1,0
10:42:01.796,583990,0,0,0,1,-1,1,0
10:42:02.000,583990,0,0,0,1,-1,1,0
10:42:02.205,583990,0,0,0,1,-1,1,0
10:42:02.412,583990,0,0,0,1,-1,1,0
10:42:02.616,583990,0,0,0,1,-1,1,0
10:42:02.820,583990,0,0,0,1,-1,1,0
10:42:03.023,583990,0,0,0,1,-1,1,0
10:42:03.226,583990,0,0,0,1,-1,1,0
10:42:03.432,583990,0,0,0,1,-1,1,0
10:42:03.639,583990,0,0,0,1,-1,1,0
10:42:03.845,583990,0,0,0,1,-1,1,0
10:42:04.048,583990,0,0,0,1,-1,1,0
10:42:04.249,583980,0,0,0,1,-1,2,0
10:42:04.452,583980,0,0,0,1,-1,2,0
10:42:04.654,583980,0,0,0,1,-1,2,0
10:42:04.863,583980,0,0,0,1,-1,2,0
10:42:05.067,583980,0,0,0,1,-1,2,0
10:42:05.270,583980,0,0,0,1,-1,2,0
10:42:05.473,583980,0,0,0,1,-1,2,0
10:42:05.680,583980,0,0,0,1,-1,2,0
10:42:05.890,583980,0,0,0,1,-1,2,0
10:42:06.092,583980,0,0,0,1,-1,1,0
10:42:06.297,583980,0,0,0,1,-1,1,0
10:42:06.499,583980,0,0,0,1,-1,1,0
10:42:06.701,583980,0,0,0,1,-1,1,0
10:42:06.903,583980,0,0,0,1,-1,1,0
10:42:07.108,583980,0,0,0,1,-1,1,0
10:42:07.314,583980,0,0,0,1,-1,1,0
10:42:07.523,583980,0,0,0,1,-1,1,0
10:42:07.729,583980,0,0,0,1,-1,1,0
10:42:07.936,583980,0,0,0,1,-1,1,0
10:42:08.144,583980,0,0,0,1,-1,1,0
10:42:08.348,583980,0,0,0,1,-1,1,0
10:42:08.550,583980,0,0,0,1,-1,1,0
10:42:08.754,583980,0,0,0,1,-1,1,0
10:42:08.961,583980,0,0,0,1,-1,1,0
10:42:09.169,583980,0,0,0,1,-1,1,0
10:42:09.371,583980,0,0,0,1,-1,1,0
10:42:09.574,583980,0,0,0,1,-1,1,0
