time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro
19:07:34,41780.0,7.644113065907732e-05,0.0015519128646701574,0.02845493145287037,0.00013880286132916808,0.00021998787997290492,0.0023589390330016613,STABILIZE,-35.3632621,149.1652374,21.0,-1.0,1.0,1.0,0.0,1.0,-1000.0,0.0,0.0,0.0
19:07:50,41780.0,-0.0006335385551210493,0.0011116333771497011,0.021458513103425503,0.00021376920631155372,0.00023818656336516142,0.0014849408762529492,AUTO,-35.3632621,149.1652375,0.0,0.0,0.0,1.5,0.0,1.5,-1000.0,0.5,0.0,1.0
19:07:52,41780.0,-0.00022809597430750728,0.0016679343534633517,0.020915809087455273,0.0002636719436850399,0.0002555229584686458,0.001478405436500907,AUTO,-35.3632621,149.1652374,0.0,0.0,0.0,1.0,0.0,1.0,-1000.0,0.5,0.5,1.0
19:07:53,146691.0,0.003929623810108751,0.0010072016521007754,0.020531132351607084,0.008820001807180233,0.0004824055649805814,0.0006592074641957879,AUTO,-35.3632621,149.1652375,549.75,0.0,0.25,-104.75,0.0,0.0,-1093.75,9.25,1.0,0.25
19:07:54,146691.0,0.0261858394369483,-0.0015865064633544534,0.019659667275846004,0.04602294974029064,-0.007460074266418815,0.0018991071847267449,AUTO,-35.36326205,149.1652376,1543.0,0.5,7.0,-144.5,0.0,-0.5,-1014.0,46.0,-6.5,1.0
19:07:56,146691.0,-0.03564315289258957,0.014282114803791046,-0.07968392223119736,-0.01967316959053278,-0.014266928657889366,-0.042814429849386215,AUTO,-35.3632609,149.16524525,4589.5,-0.5,32.5,-148.5,4.5,-8.5,-1004.5,-18.5,-13.0,-42.5
19:07:58,146691.0,-0.007535099779488519,-0.002305938134668395,-0.09509404003620148,0.06592593342065811,0.013663461431860924,0.0021892176009714603,AUTO,-35.363261249999994,149.16524045,7672.5,-2.5,-59.0,-150.0,-6.0,9.0,-1003.0,66.0,14.0,1.0
19:07:59,21200.0,0.05800088681280613,0.005540573911275715,-0.08813446201384068,-0.001018112525343895,-0.008554568164981902,0.011259562452323735,AUTO,-35.3632619,149.165234675,9620.25,-8.0,-10.5,-151.75,-1.5,4.75,-997.5,-0.5,-8.0,10.5
19:08:00,21200.0,0.017180479830130935,-0.0042078179540112615,-0.08310060203075409,-0.0771251805126667,-0.004865065449848771,-0.0058393967628944665,AUTO,-35.36326235,149.16523485,10784.0,-3.5,21.0,-148.5,3.0,-2.0,-1000.0,-76.0,-3.5,-6.0
19:08:02,21200.0,-0.001812200847780332,0.002401655598077923,-0.1345326229929924,0.017677494324743748,0.007916735950857401,-0.02329869195818901,AUTO,-35.363261949999995,149.16523635,13887.0,3.5,-5.5,-152.0,-1.5,0.0,-1000.0,18.0,8.0,-23.0
19:08:04,21200.0,0.007781964959576726,0.005622248398140073,-0.16662470996379852,-0.004552679369226098,-0.00120285659795627,-0.012683563865721226,AUTO,-35.3632616,149.1652355,17010.0,-2.0,2.5,-152.0,0.0,0.0,-999.5,-3.5,-0.5,-12.5
19:08:05,185036.0,0.003784497908782214,0.0037464825436472893,-0.1856168620288372,-0.0014663489710073918,0.0003473520482657477,-0.019157531205564737,AUTO,-35.363261675000004,149.16523585,18953.5,-3.0,5.0,-152.0,0.0,0.0,-1000.0,-0.5,0.5,-19.0
19:08:06,185036.0,0.0026148853357881308,0.003415196784771979,-0.19973274320363998,0.0010048788681160659,-0.00019481478375382721,-0.01960529200732708,AUTO,-35.3632617,149.16523615,20124.0,-3.0,4.5,-152.5,0.0,0.0,-1000.0,1.0,0.0,-19.5
19:08:08,185036.0,0.002506071818061173,0.0032335808500647545,-0.23953019827604294,0.0011231712414883077,0.00016349332872778177,-0.01948651112616062,AUTO,-35.3632618,149.16523654999997,23241.0,-2.0,3.0,-153.0,0.0,0.0,-1000.0,1.0,0.5,-19.0
19:08:10,185036.0,0.005295648705214262,0.0042040691478177905,-0.2452302947640419,0.02260018140077591,-0.003637894056737423,0.026899573393166065,AUTO,-35.36326215,149.16523665,26356.0,-5.0,-0.5,-153.0,0.0,0.5,-1000.5,23.0,-2.5,26.0
19:08:11,15065.0,0.006936675752513111,0.0012102038017474115,-0.21099871769547462,-0.006959153455682099,0.00027790915919467807,0.021607002709060907,AUTO,-35.3632624,149.165236875,28449.5,-1.75,7.25,-152.0,0.5,-0.25,-1000.0,-5.5,1.0,21.0
19:08:12,15065.0,-0.004258025088347495,0.007781427237205207,-0.18253999203443527,-0.05036653205752373,0.0455107823072467,0.12554894108325243,AUTO,-35.3632624,149.16523734999998,29613.5,-0.5,7.0,-149.5,0.0,-1.0,-986.0,-48.5,46.0,125.0
19:08:14,15065.0,0.03986473195254803,-0.047910051420331,0.15764036029577255,0.029335439205169678,0.020457729697227478,-0.03490539640188217,AUTO,-35.3632654,149.1652336,31883.0,0.0,-6.0,-70.0,-0.5,3.0,-970.0,29.5,20.5,-34.5
19:08:16,15065.0,0.006400224287062883,0.013475929386913776,0.12456178292632103,0.5452199131250381,0.00783477257937193,-0.006456470931880176,AUTO,-35.3632621,149.16523715,32782.5,18.0,24.5,-22.0,-1.5,20.5,-981.0,545.5,8.5,-6.0
19:08:17,115236.0,-0.031978080165572464,0.013213652651757002,0.10840031504631042,-0.4207166060805321,-0.04287267196923494,0.0014175993856042624,AUTO,-35.363261050000006,149.16523915000002,32819.0,-0.5,0.0,10.25,1.0,-7.5,-987.5,-419.0,-41.5,1.75
