,A.AUTO1
14:41:55.280,-1
14:41:55.486,-1
14:41:55.688,-1
14:41:55.892,-1
14:41:56.094,-1
14:41:56.299,-1
14:41:56.501,-1
14:41:56.717,-1
14:41:56.919,-1
14:41:57.121,-1
14:41:57.323,-1
14:41:57.525,-1
14:41:57.726,-1
14:41:57.931,-1
14:41:58.133,-1
14:41:58.336,-1
14:41:58.539,-1
14:41:58.745,-1
14:41:58.951,-1
14:41:59.157,-1
14:41:59.360,-1
14:41:59.563,-1
14:41:59.765,-1
14:41:59.970,-1
14:42:00.171,-1
14:42:00.377,-1
14:42:00.581,-1
14:42:00.791,-1
14:42:00.992,-1
14:42:01.194,-1
14:42:01.398,-1
14:42:01.600,-1
14:42:01.806,-1
14:42:02.011,-1
14:42:02.212,-1
14:42:02.413,-1
14:42:02.615,-1
14:42:02.822,-1
14:42:03.025,-1
14:42:03.227,-1
14:42:03.436,-1
14:42:03.658,-1
14:42:03.888,-1
14:42:04.094,-1
14:42:04.298,-1
14:42:04.501,-1
14:42:04.704,-1
14:42:04.905,-1
14:42:05.107,-1
14:42:05.308,-1
14:42:05.512,-1
14:42:05.713,-1
14:42:05.915,-1
14:42:06.119,-1
14:42:06.329,-1
14:42:06.534,-1
14:42:06.740,-1
14:42:06.942,-1
14:42:07.144,-1
14:42:07.346,-1
14:42:07.548,-1
14:42:07.752,-1
14:42:07.954,-1
14:42:08.156,-1
14:42:08.359,-1
14:42:08.563,-1
14:42:08.764,-1
14:42:08.970,-1
14:42:09.172,-1
14:42:09.377,-1
14:42:09.585,-1
14:42:09.790,-1
14:42:09.992,-1
14:42:10.197,-1
14:42:10.402,-1
14:42:10.608,-1
14:42:10.824,-1
14:42:11.025,-1
14:42:11.227,-1
14:42:11.435,-1
14:42:11.644,-1
14:42:11.847,-1
14:42:15.633,-1
14:42:15.836,-1
14:42:16.039,-1
14:42:16.241,-1
14:42:16.444,-1
14:42:16.647,-1
14:42:16.849,-1
14:42:17.057,-1
14:42:17.259,-1
14:42:17.460,-1
14:42:17.670,-1
14:42:17.872,-1
14:42:18.075,-1
14:42:18.281,-1
14:42:18.485,-1
14:42:18.688,-1
14:42:18.899,-1
14:42:19.101,-1
14:42:19.308,-1
14:42:19.512,-1
14:42:19.713,-1
14:42:19.916,-1
14:42:20.121,-1
14:42:20.326,-1
14:42:20.528,-1
14:42:20.730,-1
14:42:20.933,-1
14:42:21.136,-1
14:42:21.339,-1
14:42:21.541,-1
14:42:21.744,-1
14:42:21.947,-1
14:42:22.155,-1
14:42:22.358,-1
14:42:22.562,-1
14:42:22.764,-1
14:42:22.968,-1
14:42:23.170,-1
14:42:23.372,-1
14:42:23.574,-1
14:42:23.775,-1
14:42:23.976,-1
14:42:24.179,-1
14:42:24.383,-1
14:42:24.585,-1
14:42:24.791,-1
14:42:24.994,-1
14:42:25.198,-1
14:42:25.403,-1
14:42:25.604,-1
14:42:25.806,-1
14:42:26.011,-1
14:42:26.213,-1
14:42:26.427,-1
14:42:26.630,-1
14:42:26.832,-1
14:42:27.037,-1
14:42:27.243,-1
14:42:27.446,-1
14:42:27.647,-1
14:42:27.849,-1
14:42:28.051,-1
14:42:28.253,-1
14:42:28.455,-1
14:42:28.658,-1
14:42:28.862,-1
14:42:29.067,-1
14:42:29.274,-1
14:42:29.477,-1
14:42:29.682,-1
14:42:29.895,-1
14:42:30.118,-1
14:42:30.328,-1
14:42:30.556,-1
14:42:30.759,-1
14:42:30.962,-1
14:42:31.164,-1
14:42:31.368,-1
14:42:31.573,-1
14:42:31.775,-1
14:42:31.985,-1
14:42:32.187,-1
14:42:32.389,-1
14:42:32.591,-1
14:42:32.792,-1
14:42:32.996,-1
14:42:33.199,-1
14:42:33.403,-1
14:42:33.605,-1
14:42:33.814,-1
14:42:34.016,-1
14:42:34.234,-1
14:42:34.438,-1
14:42:34.639,-1
14:42:34.843,-1
14:42:35.046,-1
14:42:35.247,-1
14:42:35.450,-1
14:42:35.652,-1
14:42:35.853,-1
14:42:36.058,-1
14:42:36.259,-1
14:42:36.464,-1
14:42:36.665,-1
14:42:36.868,-1
14:42:37.069,-1
14:42:37.271,-1
14:42:37.473,-1
14:42:37.676,-1
14:42:37.877,-1
14:42:38.080,-1
14:42:38.282,-1
14:42:38.484,-1
14:42:38.690,-1
14:42:38.893,-1
14:42:39.096,-1
14:42:39.297,-1
14:42:39.500,-1
14:42:39.702,-1
14:42:39.904,-1
14:42:40.108,-1
14:42:40.312,-1
14:42:40.517,-1
14:42:40.723,-1
14:42:40.925,-1
14:42:41.128,-1
14:42:41.330,-1
14:42:41.531,-1
14:42:41.733,-1
14:42:41.935,-1
14:42:42.141,-1
14:42:42.346,-1
14:42:42.548,-1
14:42:42.749,-1
14:42:42.954,-1
14:42:43.156,-1
14:42:43.362,-1
14:42:43.566,-1
14:42:43.769,-1
14:42:43.971,-1
14:42:44.180,-1
14:42:44.382,-1
14:42:44.585,-1
14:42:44.787,-1
14:42:44.990,-1
14:42:45.193,-1
14:42:45.398,-1
14:42:45.600,-1
14:42:45.810,-1
14:42:46.012,-1
14:42:46.214,-1
14:42:46.417,-1
14:42:46.622,-1
14:42:46.826,-1
14:42:47.028,-1
14:42:47.234,-1
14:42:47.436,-1
14:42:47.637,-1
14:42:51.416,-1
14:42:51.621,-1
14:42:51.822,-1
14:42:52.024,-1
14:42:52.226,-1
14:42:52.431,-1
14:42:52.635,-1
14:42:52.840,-1
14:42:53.043,-1
14:42:53.247,-1
14:42:53.450,-1
14:42:53.661,-1
14:42:53.862,-1
14:42:54.065,-1
14:42:54.270,-1
14:42:54.476,-1
14:42:54.679,-1
14:42:54.883,-1
14:42:55.085,-1
14:42:55.287,-1
14:42:55.496,-1
14:42:55.731,-1
14:42:55.960,-1
14:42:56.162,-1
14:42:56.370,-1
14:42:56.576,-1
14:42:56.778,-1
14:42:56.982,-1
14:42:57.183,-1
14:42:57.385,-1
14:42:57.588,-1
14:42:57.793,-1
14:42:57.997,-1
14:42:58.199,-1
14:42:58.407,-1
14:42:58.611,-1
14:42:58.813,-1
14:42:59.016,-1
14:42:59.218,-1
14:42:59.421,-1
14:42:59.692,-1
14:42:59.911,-1
14:43:00.140,-1
14:43:00.373,-1
14:43:00.580,-1
14:43:00.782,-1
14:43:00.985,-1
14:43:01.186,-1
14:43:01.388,-1
14:43:01.591,-1
14:43:01.793,-1
14:43:01.995,-1
14:43:02.202,-1
14:43:02.404,-1
14:43:02.606,-1
14:43:02.808,-1
14:43:03.015,-1
14:43:03.216,-1
14:43:03.418,-1
14:43:03.629,-1
14:43:03.842,-1
14:43:04.091,-1
14:43:04.334,-1
14:43:04.536,-1
14:43:04.739,-1
14:43:04.940,-1
14:43:05.144,-1
14:43:05.346,-1
14:43:05.547,-1
14:43:05.751,-1
14:43:05.957,-1
14:43:06.160,-1
14:43:06.367,-1
14:43:06.569,-1
14:43:06.770,-1
14:43:06.972,-1
14:43:07.174,-1
14:43:07.376,-1
14:43:07.578,-1
14:43:07.780,-1
14:43:07.982,-1
14:43:08.184,-1
14:43:08.387,-1
14:43:08.590,-1
14:43:08.791,-1
14:43:08.995,-1
14:43:09.197,-1
14:43:09.403,-1
14:43:09.609,-1
14:43:09.821,-1
14:43:10.026,-1
14:43:10.262,-1
14:43:10.465,-1
14:43:10.670,-1
14:43:10.872,-1
14:43:11.078,-1
14:43:11.280,-1
14:43:11.482,-1
14:43:11.686,-1
14:43:11.890,-1
14:43:12.094,-1
14:43:12.296,-1
14:43:12.500,-1
14:43:12.703,-1
14:43:12.905,-1
14:43:13.108,-1
14:43:13.310,-1
14:43:13.512,-1
14:43:13.742,-1
14:43:13.965,-1
14:43:14.190,-1
14:43:14.420,-1
14:43:14.624,-1
14:43:14.827,-1
14:43:15.031,-1
14:43:15.235,-1
14:43:15.437,-1
14:43:15.642,-1
14:43:15.844,-1
14:43:16.046,-1
14:43:16.248,-1
14:43:16.450,-1
14:43:16.651,-1
14:43:16.852,-1
14:43:17.054,-1
14:43:17.257,-1
14:43:17.458,-1
14:43:17.698,-1
14:43:17.927,-1
14:43:18.135,-1
14:43:18.342,-1
14:43:18.551,-1
14:43:18.754,-1
14:43:18.957,-1
14:43:19.159,-1
14:43:19.361,-1
14:43:19.565,-1
14:43:19.767,-1
14:43:19.971,-1
14:43:20.176,-1
14:43:20.380,-1
14:43:20.584,-1
14:43:20.787,-1
14:43:20.990,-1
14:43:21.192,-1
14:43:21.395,-1
14:43:21.596,-1
14:43:21.837,-1
14:43:22.060,-1
14:43:22.282,-1
14:43:22.495,-1
14:43:22.738,-1
14:43:22.943,-1
14:43:23.147,-1
14:43:23.349,-1
14:43:23.551,-1
14:43:27.341,-1
14:43:27.543,-1
14:43:27.745,-1
14:43:27.952,-1
14:43:28.155,-1
14:43:28.356,-1
14:43:28.558,-1
14:43:28.764,-1
14:43:28.965,-1
14:43:29.167,-1
14:43:29.374,-1
14:43:29.585,-1
14:43:29.798,-1
14:43:30.002,-1
14:43:30.224,-1
14:43:30.432,-1
14:43:30.751,-1
14:43:30.955,-1
14:43:31.160,-1
14:43:31.362,-1
14:43:31.564,-1
14:43:31.769,-1
14:43:31.971,-1
14:43:32.175,-1
14:43:32.379,-1
14:43:32.582,-1
14:43:32.784,-1
14:43:32.988,-1
14:43:33.189,-1
14:43:33.396,-1
14:43:33.598,-1
14:43:33.801,-1
14:43:34.006,-1
14:43:34.209,-1
14:43:34.413,-1
14:43:34.617,-1
14:43:34.818,-1
14:43:35.021,-1
14:43:35.222,-1
14:43:35.467,-1
14:43:35.679,-1
14:43:35.961,-1
14:43:36.196,-1
14:43:36.437,-1
14:43:36.642,-1
14:43:36.845,-1
14:43:37.047,-1
14:43:37.249,-1
14:43:37.454,-1
14:43:37.657,-1
14:43:37.859,-1
14:43:38.061,-1
14:43:38.267,-1
14:43:38.470,-1
14:43:38.671,-1
14:43:38.873,-1
14:43:39.078,-1
14:43:39.279,-1
14:43:39.483,-1
14:43:39.686,-1
14:43:39.891,-1
14:43:40.094,-1
14:43:40.296,-1
14:43:40.501,-1
14:43:40.704,-1
14:43:40.906,-1
14:43:41.108,-1
14:43:41.310,-1
14:43:41.549,-1
14:43:41.758,-1
14:43:41.968,-1
14:43:42.188,-1
14:43:42.428,-1
14:43:42.661,-1
14:43:42.897,-1
14:43:43.106,-1
14:43:43.308,-1
14:43:43.511,-1
14:43:43.714,-1
14:43:43.917,-1
14:43:44.123,-1
14:43:44.327,-1
14:43:44.529,-1
14:43:44.731,-1
14:43:44.933,-1
14:43:45.135,-1
14:43:45.339,-1
14:43:45.543,-1
14:43:45.748,-1
14:43:45.950,-1
14:43:46.152,-1
14:43:46.354,-1
14:43:46.556,-1
14:43:46.761,-1
14:43:46.964,-1
14:43:47.170,-1
14:43:47.423,-1
14:43:47.631,-1
14:43:47.851,-1
14:43:48.070,-1
14:43:48.308,-1
14:43:48.515,-1
14:43:48.719,-1
14:43:48.921,-1
14:43:49.123,-1
14:43:49.325,-1
14:43:49.526,-1
14:43:49.729,-1
14:43:49.933,-1
14:43:50.135,-1
14:43:50.339,-1
14:43:50.542,-1
14:43:50.745,-1
14:43:50.947,-1
14:43:51.149,-1
14:43:51.351,-1
14:43:51.553,-1
14:43:51.755,-1
14:43:51.960,-1
14:43:52.164,-1
14:43:52.367,-1
14:43:52.571,-1
14:43:52.776,-1
14:43:52.981,-1
14:43:53.184,-1
14:43:53.386,-1
14:43:53.588,-1
14:43:53.790,-1
14:43:54.005,-1
14:43:54.208,-1
14:43:54.411,-1
14:43:54.615,-1
14:43:54.819,-1
14:43:55.022,-1
14:43:55.225,-1
14:43:55.427,-1
14:43:55.633,-1
14:43:55.836,-1
14:43:56.037,-1
14:43:56.244,-1
14:43:56.448,-1
14:43:56.649,-1
14:43:56.856,-1
14:43:57.062,-1
14:43:57.270,-1
14:43:57.478,-1
14:43:57.682,-1
14:43:57.891,-1
14:43:58.101,-1
14:43:58.304,-1
14:43:58.507,-1
14:43:58.713,-1
14:43:58.921,-1
14:43:59.123,-1
14:43:59.329,-1
14:44:03.126,-1
14:44:03.377,-1
14:44:03.683,-1
14:44:03.919,-1
14:44:04.139,-1
14:44:04.348,-1
14:44:04.563,-1
14:44:04.779,-1
14:44:04.987,-1
14:44:05.193,-1
14:44:05.401,-1
14:44:05.608,-1
14:44:05.810,-1
14:44:06.014,-1
14:44:06.215,-1
14:44:06.417,-1
14:44:06.621,-1
14:44:06.825,-1
14:44:07.032,-1
14:44:07.235,-1
14:44:07.440,-1
14:44:07.643,-1
14:44:07.845,-1
14:44:08.047,-1
14:44:08.249,-1
14:44:08.463,-1
14:44:08.677,-1
14:44:08.887,-1
