time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,lat,lon,relative_alt,vx,vy,vz
15:39:05,1500.0,-0.0009510147113663455,0.0009529267360145847,0.024373969063162804,0.00020177668193355203,0.00023900716526744267,0.001895218117473026,0.0,2.0,-1000.0,0.0,0.0,0.0,STABILIZE,-35.3632622,149.16523753333334,0.0,-1.0,1.6666666666666667,2.0
15:39:13,1500.0,-0.0009233326224299768,0.0009656968371321758,0.022501709560553234,0.0002801598360141118,0.00029006410234918195,0.0016001437713081639,0.0,2.0,-1000.0,0.0,1.0,0.0,STABILIZE,-35.3632622,149.1652375,0.0,-1.0,1.0,-1.0
15:39:15,1500.0,-0.0007927615855199596,0.00108089589048177,0.02201392874121666,0.0003236868263532718,0.0002454864637305339,0.001583332777954638,0.0,1.3333333333333333,-1000.0,0.6666666666666666,0.0,0.0,AUTO,-35.3632622,149.1652375,0.0,0.0,0.0,0.0
15:39:17,1500.0,-0.00030276368973621476,0.0016135612580304344,0.021485595653454464,0.0002941431400055687,0.0002591527299955487,0.0014631369849666953,0.0,1.3333333333333333,-1000.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,AUTO,-35.3632622,149.16523743333332,0.0,0.0,0.0,0.0
15:39:19,1500.0,0.01875221946587165,-0.00030128102904806536,0.02076795573035876,0.04597084348400434,-0.006245751554767291,0.001756728005905946,0.0,0.0,-1028.6666666666667,46.0,-5.333333333333333,1.0,AUTO,-35.363262066666664,149.16523753333334,1286.6666666666667,0.3333333333333333,3.6666666666666665,-141.66666666666666
15:39:21,1500.0,-0.03014250658452511,0.020074982196092606,-0.07538176079591115,-0.0463996355732282,-0.011779825668781996,-0.054583599170049034,4.0,-8.666666666666666,-1007.0,-45.333333333333336,-10.666666666666666,-54.666666666666664,AUTO,-35.363261,149.16524453333332,4331.333333333333,0.3333333333333333,39.666666666666664,-148.33333333333334
15:39:23,1500.0,-0.01776543112161259,-0.007194619160145521,-0.08865376810232799,0.06420708447694778,0.013273381628096104,0.0032979180881132684,-7.0,11.0,-1002.0,64.66666666666667,13.333333333333334,2.3333333333333335,AUTO,-35.3632613,149.1652414,7409.0,0.0,-58.333333333333336,-150.0
15:39:25,1500.0,0.035732304056485496,0.009769093012437224,-0.08934403955936432,-0.08190894375244777,-0.02190977738549312,0.0021535864022249975,2.6666666666666665,-0.6666666666666666,-996.6666666666666,-80.66666666666667,-20.333333333333332,1.3333333333333333,AUTO,-35.363261900000005,149.16523433333333,10543.666666666666,-8.333333333333334,18.0,-149.66666666666666
15:39:27,1500.0,-0.007833533765127262,-0.0038132897267738977,-0.12122112760941188,0.01785868654648463,0.00810357074563702,-0.025151260818044346,-1.0,0.3333333333333333,-1000.3333333333334,18.0,8.333333333333334,-25.0,AUTO,-35.36326246666667,149.16523683333332,13636.0,3.0,-3.3333333333333335,-153.0
15:39:29,1500.0,0.00966956497480472,0.0071112061850726604,-0.1609019935131073,0.00018564206159984073,0.0008145363341706494,-0.014227953429023424,-0.6666666666666666,0.0,-1000.0,0.6666666666666666,1.6666666666666667,-14.333333333333334,AUTO,-35.3632617,149.16523553333332,16763.0,-0.3333333333333333,0.3333333333333333,-153.0
15:39:31,1500.0,0.0033405356419583163,0.003861757771422466,-0.18901325265566507,-0.0020119920761014023,0.00031123139585057896,-0.017513679340481758,0.0,0.0,-1000.0,-1.3333333333333333,1.0,-17.333333333333332,AUTO,-35.3632616,149.1652359,19893.666666666668,-3.0,6.0,-153.0
15:39:33,1500.0,0.00203615155381461,0.0030790557308743396,-0.22790130972862244,0.001132841066767772,-0.0001631003494064013,-0.020133225868145626,0.0,0.0,-1000.0,1.6666666666666667,0.6666666666666666,-20.0,AUTO,-35.36326173333333,149.1652365333333,23018.333333333332,-2.0,3.0,-153.0
15:39:35,1500.0,-0.0006912435631723687,0.004647688707336783,-0.2494963506857554,0.029082455361882847,-0.001779947701531152,0.016808451774219673,0.0,0.6666666666666666,-1001.6666666666666,29.666666666666668,-0.3333333333333333,16.0,AUTO,-35.363262,149.1652366,26138.0,-4.666666666666667,-1.3333333333333333,-153.33333333333334
15:39:37,1500.0,0.003914661162222425,0.0014586967493717868,-0.20358971258004507,-0.006835331829885642,0.0011662861021856468,0.021352233365178108,1.0,-1.0,-1000.0,-6.0,1.6666666666666667,20.333333333333332,AUTO,-35.3632624,149.16523709999998,29255.333333333332,-0.3333333333333333,8.0,-153.0
15:39:39,1500.0,-0.000331298157107085,0.0011679686528320115,-0.1682418237129847,0.001494899586153527,0.0003547113932048281,0.01635768512884776,0.0,0.0,-999.6666666666666,2.0,1.3333333333333333,15.666666666666666,AUTO,-35.3632623,149.165238,32362.333333333332,0.0,2.0,-153.0
15:39:41,1500.0,0.0015763953560963273,0.0010759369858230154,-0.14149985710779825,-0.0002087542088702321,-0.000734109819556276,0.011669449818631014,0.0,0.0,-1000.0,1.0,0.3333333333333333,11.0,AUTO,-35.3632622,149.16523793333332,35476.0,0.0,0.0,-153.0
15:39:43,1500.0,0.002788316380853454,0.0015965665224939585,-0.1217209796110789,-0.0003899865550920367,-0.00040500999117890996,0.00973766203969717,0.0,0.0,-1000.0,0.3333333333333333,0.0,9.333333333333334,AUTO,-35.3632621,149.16523763333333,38593.333333333336,0.0,0.0,-153.0
