,CHUTE_ALT_MIN,RTL_ALT,OA_DB_ALT_MIN,ADSB_LIST_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,RTL_SPEED,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG,RNGFND3_WSP_MAVG,RNGFND4_WSP_MAVG,RNGFND5_WSP_MAVG,RNGFND6_WSP_MAVG,RNGFND7_WSP_MAVG,RNGFND8_WSP_MAVG,RNGFND9_WSP_MAVG,RNGFNDA_WSP_MAVG
08:47:33.151,31031.0,218641.0,0.0,0.0,0.8,1.1,670.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:47:36.669,0.0,224426.0,0.0,0.0,0.7,0.0,1000.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:47:39.697,4216.0,11295.0,0.0,0.0,0.9,1.7,640.0,1.0,0.1,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:47:43.232,0.0,117476.0,0.0,0.0,0.5,1.4,1000.0,1.0,0.1,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:47:47.271,31150.0,300000.0,0.0,0.0,1.1,0.0,800.0,1.0,0.1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:47:51.317,6026.0,300000.0,0.0,0.0,1.1,2.0,530.0,1.0,0.1,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:47:55.356,31965.0,267693.0,0.0,0.0,0.5,0.4,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:47:59.376,6505.0,200.0,0.0,0.0,0.0,0.3,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:48:03.399,17185.0,200.0,0.0,0.0,0.0,0.1,1000.0,1.0,0.1,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:48:07.432,0.0,300000.0,0.0,0.0,0.3,1.2,1000.0,1.0,0.1,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:48:11.461,11075.0,162063.0,0.0,0.0,0.1,1.3,140.0,1.0,0.1,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:48:15.484,16087.0,18431.0,0.0,0.0,1.1,2.0,570.0,1.0,0.1,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:48:19.505,32000.0,78370.0,0.0,0.0,0.1,0.5,550.0,1.0,0.1,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
