,CHUTE_ALT_MIN,RTL_ALT,OA_DB_ALT_MIN,ADSB_LIST_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,RTL_SPEED,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG,RNGFND3_WSP_MAVG,RNGFND4_WSP_MAVG,RNGFND5_WSP_MAVG,RNGFND6_WSP_MAVG,RNGFND7_WSP_MAVG,RNGFND8_WSP_MAVG,RNGFND9_WSP_MAVG,RNGFNDA_WSP_MAVG
06:29:07.242,7282.0,300000.0,0.0,0.0,0.8,0.9,210.0,1.0,0.1,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:29:11.248,19508.0,200.0,0.0,0.0,0.9,1.1,230.0,1.0,0.1,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:29:15.255,15706.0,200.0,0.0,0.0,0.4,0.6,790.0,1.0,0.1,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:29:19.268,0.0,86820.0,0.0,0.0,0.1,2.0,380.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:29:23.277,21146.0,200.0,0.0,0.0,1.1,1.2,0.0,1.0,0.1,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:29:27.301,14594.0,279440.0,0.0,0.0,0.0,1.4,0.0,1.0,0.1,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:29:31.327,32000.0,237583.0,0.0,0.0,1.0,2.0,1000.0,1.0,0.1,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:29:35.336,0.0,40267.0,0.0,0.0,0.0,1.5,960.0,1.0,0.1,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:29:39.354,32000.0,132046.0,0.0,0.0,0.3,2.0,1000.0,1.0,0.1,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:29:43.368,27701.0,111821.0,0.0,0.0,0.4,2.0,420.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:29:47.375,1988.0,200.0,0.0,0.0,1.1,0.0,890.0,1.0,0.1,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:29:51.382,23150.0,200.0,0.0,0.0,0.7,0.0,1000.0,1.0,0.1,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:29:55.402,14449.0,203609.0,0.0,0.0,0.5,1.5,280.0,1.0,0.1,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:29:59.413,13619.0,51728.0,0.0,0.0,0.0,1.8,1000.0,1.0,0.1,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:30:03.441,15067.0,297146.0,0.0,0.0,0.7,0.3,360.0,1.0,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:30:07.466,0.0,300000.0,0.0,0.0,0.8,1.8,810.0,1.0,0.1,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:30:11.485,4511.0,221200.0,0.0,0.0,0.0,0.0,1000.0,1.0,0.1,1650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:30:15.515,26345.0,300000.0,0.0,0.0,1.1,0.1,810.0,1.0,0.1,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:30:19.027,10924.0,200.0,0.0,0.0,1.1,2.0,280.0,1.0,0.1,1950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:30:23.068,25174.0,219319.0,0.0,0.0,0.3,1.3,480.0,1.0,0.1,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:30:27.087,0.0,211034.0,0.0,0.0,0.2,0.0,240.0,1.0,0.1,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:30:31.104,1087.0,119840.0,0.0,0.0,0.0,2.0,50.0,1.0,0.1,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:30:35.141,16855.0,144031.0,0.0,0.0,0.5,0.0,710.0,1.0,0.1,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:30:39.163,32000.0,175665.0,0.0,0.0,0.5,2.0,960.0,1.0,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:30:43.185,15615.0,178923.0,0.0,0.0,0.8,0.1,790.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:30:47.208,20802.0,238072.0,0.0,0.0,0.4,0.0,760.0,1.0,0.1,1450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:30:51.226,5869.0,142106.0,0.0,0.0,1.1,2.0,100.0,1.0,0.1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:30:55.274,0.0,187715.0,0.0,0.0,1.0,0.4,0.0,1.0,0.1,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:30:59.287,17090.0,87652.0,0.0,0.0,0.1,2.0,900.0,1.0,0.1,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:31:03.298,8123.0,42291.0,0.0,0.0,0.7,0.9,160.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:31:07.316,32000.0,110954.0,0.0,0.0,0.2,1.6,250.0,1.0,0.1,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:31:11.336,11270.0,159330.0,0.0,0.0,0.0,2.0,1000.0,1.0,0.1,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
