time_stamp,MODE,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,RTL_ALT
06:28:56,STABILIZE,-35.3632621,149.1652374,18.5,-1.0,0.0,-3.5,0.0,1.0,-1000.0,0.0,0.0,0.0,-0.0005208795482758433,0.0009623919322621077,0.025660081766545773,0.0002719537587836385,0.0003346881567267701,0.001951110374648124,1500.0
06:29:06,AUTO,-35.3632622,149.1652375,1.0,-1.0,0.0,0.0,0.0,1.5,-1000.0,0.5,1.0,0.0,-0.0006651727017015219,0.0009924580226652324,0.021946614608168602,0.00031592167215421796,0.0001905444369185716,0.0015447029727511108,1500.0
06:29:07,AUTO,-35.3632621,149.1652375,0.0,0.0,0.0,0.0,0.0,1.5,-1000.0,0.5,0.75,0.75,-0.0004963545288774185,0.001197169185616076,0.021652130410075188,0.0003401975700398907,0.00023841836082283407,0.0015061885642353445,300000.0
06:29:08,AUTO,-35.3632621,149.1652375,0.0,0.0,0.0,0.0,0.0,2.0,-1000.0,0.0,0.5,0.0,-0.00033005798468366265,0.0013926157844252884,0.021429840475320816,0.00031772025977261364,0.00031545074307359755,0.001437304075807333,300000.0
06:29:10,AUTO,-35.3632621,149.1652375,307.0,0.0,0.0,-86.0,0.0,0.0,-1117.5,-1.5,4.0,0.5,0.0020484128035604954,0.0008176542032742873,0.020919290371239185,-0.0019662295235320926,0.003494092496111989,0.0019373313407413661,300000.0
06:29:11,AUTO,-35.36326195,149.16523795,1974.0,2.25,16.75,-145.75,0.25,-1.75,-1006.25,44.25,-7.75,2.5,0.04035997251048684,-0.004050609029945917,0.02127340715378523,0.04382545966655016,-0.008868414675816894,0.0034157399786636233,200.0
06:29:12,AUTO,-35.3632615,149.16524035,3121.5,8.5,49.0,-145.0,1.0,-9.0,-991.0,-77.5,58.0,-71.0,0.05300633981823921,0.0017992840148508549,-0.019603982102125883,-0.07912339782342315,0.05823976546525955,-0.07147503085434437,200.0
06:29:14,AUTO,-35.3632605,149.1652459,6164.5,-2.0,-30.5,-147.0,-2.5,4.0,-1003.0,48.5,0.0,-27.0,-0.07227952405810356,0.006523549323901534,-0.10585189238190651,0.048546476289629936,-0.0005762480141129345,-0.027501446194946766,200.0
06:29:15,AUTO,-35.363261800000004,149.1652384,8085.75,-20.75,-58.5,-149.5,-4.0,14.0,-1003.75,70.0,8.0,-1.75,0.007297744188690558,0.014145875116810203,-0.12006615288555622,0.06979411467909813,0.007865773513913155,-0.0014712989213876426,200.0
06:29:16,AUTO,-35.36326355,149.16523425000003,9258.0,-30.0,-27.0,-152.0,-0.5,12.0,-1002.5,64.0,-4.5,6.0,0.05863274075090885,0.01631486928090453,-0.11795705556869507,0.06382925435900688,-0.005785911867860705,0.006998106837272644,200.0
06:29:18,AUTO,-35.3632626,149.16523795,12329.5,52.5,23.5,-147.5,-6.5,-13.5,-1010.0,-57.0,96.0,-126.0,-0.03572819661349058,-0.006217897869646549,-0.08485586941242218,-0.05827484466135502,0.0957326889038086,-0.12621329352259636,200.0
06:29:19,AUTO,-35.363258575,149.1652372,14279.0,9.75,-23.25,-152.0,-6.0,1.5,-1001.25,48.0,13.5,-38.5,-0.01707251911284402,0.03804637771099806,-0.18861348181962967,0.04805113188922405,0.013492848724126816,-0.03852123208343983,86820.0
06:29:20,AUTO,-35.36325865,149.16523525,15461.0,-20.0,-16.0,-152.0,-1.0,4.5,-1001.0,56.5,-0.5,-12.0,0.021581170614808798,0.0433298796415329,-0.2057720348238945,0.0565082672983408,-0.0012552239932119846,-0.01216619461774826,86820.0
06:29:22,AUTO,-35.3632621,149.16523675,18560.0,-1.5,10.0,-150.5,1.5,-1.5,-996.5,-63.0,19.5,-47.0,-0.01798122376203537,-0.010321058332920074,-0.1688537746667862,-0.06422655656933784,0.019115233793854713,-0.04697801358997822,86820.0
06:29:23,AUTO,-35.363263200000006,149.16523362499998,20304.25,-24.75,-43.25,-108.5,-0.5,11.25,-944.25,148.25,-95.0,129.75,-0.004992996342480183,0.010693192016333342,0.011917587369680405,0.14802229404449463,-0.09613336063921452,0.13026459701359272,200.0
06:29:24,AUTO,-35.3632646,149.1652307,21011.0,-11.0,-10.0,-71.0,0.0,4.0,-959.0,13.5,3.0,-32.0,0.07163872569799423,-0.03648346662521362,0.021889787167310715,0.012552526779472828,0.0021169278770685196,-0.03220243472605944,200.0
06:29:26,AUTO,-35.3632627,149.1652365,21859.0,15.0,37.0,-18.0,1.0,-8.5,-976.0,-16.5,11.5,-0.5,-0.003552089910954237,0.011752923484891653,0.009304989594966173,-0.01742763165384531,0.011041668243706226,-0.00031890327227301896,200.0
06:29:27,AUTO,-35.36326165,149.165239125,21819.25,-3.0,-4.75,17.75,0.0,-14.0,-996.5,-181.5,-17.25,-3.0,-0.04685263615101576,0.02164022554643452,0.004973132279701531,-0.18216228857636452,-0.017848884221166372,-0.0028575261385412887,279440.0
06:29:28,AUTO,-35.3632621,149.1652378,21695.0,-12.5,-29.0,6.0,-0.5,32.5,-1021.0,295.0,-7.5,-1.0,-0.026094045490026474,0.005955752683803439,0.0030603540362790227,0.29325186531059444,-0.008397237164899707,-0.0014846528647467494,279440.0
06:29:30,AUTO,-35.3632658,149.16522585,21797.5,-34.5,-114.5,-15.0,-21.0,31.5,-1017.5,153.0,-32.0,-817.0,-0.0907214842736721,-0.05530137941241264,-0.6740611493587494,0.15176476165652275,-0.03348486218601465,-0.8176145553588867,279440.0
06:29:31,AUTO,-35.36327165,149.16520409999998,22077.5,-64.5,-218.0,-29.75,-48.25,-10.25,-1016.75,50.0,50.75,-646.25,-0.002623354783281684,-0.12364039197564125,-1.58382448554039,0.049822719767689705,0.04961954173631966,-0.646609254181385,237583.0
06:29:32,AUTO,-35.363276600000006,149.16518515,22345.5,-71.0,-246.5,-42.0,-51.5,-40.0,-1011.0,-67.0,172.0,-4.0,0.04667296074330807,-0.030901236459612846,-1.889478623867035,-0.06778183579444885,0.17185451090335846,-0.003757130354642868,237583.0
06:29:34,AUTO,-35.363286599999995,149.1651415,23040.5,-30.5,-150.5,-22.5,-29.5,-11.5,-995.0,65.5,7.5,-11.0,0.03295205160975456,0.018658668734133244,-1.8333191275596619,0.06440110504627228,0.0069436157937161624,-0.010867760982364416,237583.0
06:29:35,AUTO,-35.363289949999995,149.165124375,23256.25,-16.25,-97.25,-11.5,-18.75,-16.75,-995.5,-52.75,12.5,-3.0,0.02051878976635635,0.030813478399068117,-1.8351341485977173,-0.05335238575935364,0.012270952574908733,-0.0029311838443391025,40267.0
06:29:36,AUTO,-35.36329095,149.16511739999999,23332.0,-8.5,-63.0,-6.5,-11.5,5.0,-995.0,188.5,16.5,-1.0,0.009393025888130069,0.0418702308088541,-1.837698757648468,0.18697964400053024,0.016137320082634687,-0.0002674160059541464,40267.0
06:29:38,AUTO,-35.3632919,149.1651077,23395.333333333332,-29.666666666666668,-74.66666666666667,-5.666666666666667,-15.0,-4.333333333333333,-1016.3333333333334,44.0,-41.0,-5.333333333333333,-0.003765642332533995,-0.10352845241626103,-1.8398565451304119,0.04360125462214152,-0.04216963052749634,-0.005357870463437091,40267.0
06:29:39,AUTO,-35.3632965,149.16509105,23572.0,-59.0,-147.5,-19.5,-33.5,-23.75,-1005.25,-111.25,13.75,-3.5,0.01914134039543569,-0.06758008524775505,-1.8423656225204468,-0.11139770224690437,0.013317782199010253,-0.003688587254146114,132046.0
06:29:40,AUTO,-35.363300249999995,149.16507785,23751.0,-62.0,-170.0,-26.0,-37.5,-9.5,-1005.5,266.0,95.5,-8.5,0.0314877275377512,-0.049843715503811836,-1.843437373638153,0.265956312417984,0.09525195881724358,-0.009191934950649738,132046.0
06:29:42,AUTO,-35.36330709999999,149.1650506,24211.0,-15.0,-56.0,-8.333333333333334,-10.0,-23.333333333333332,-988.6666666666666,-197.33333333333334,-63.333333333333336,3.6666666666666665,0.015080490770439306,0.04386726891001066,-1.8443676630655925,-0.19705506165822348,-0.0646798846622308,0.004235874162986875,132046.0
06:29:43,AUTO,-35.3633079,149.16504563333334,24275.333333333332,-6.666666666666667,-25.666666666666668,-1.0,-4.666666666666667,-19.0,-994.6666666666666,-253.0,-87.0,2.3333333333333335,0.002298208167000363,-0.00790177828942736,-1.8456325928370159,-0.2530037562052409,-0.08811328808466594,0.0027588967544337115,111821.0
06:29:44,AUTO,-35.36330863333333,149.1650430666667,24290.0,-16.333333333333332,-49.0,-2.3333333333333335,-11.0,1.0,-1005.0,161.0,-58.0,-2.6666666666666665,0.00957170850597322,-0.06889775147040685,-1.8466038703918457,0.16116965810457864,-0.05931982398033142,-0.0027300889681403837,111821.0
06:29:46,AUTO,-35.363315166666666,149.1650239,24502.0,-25.0,-106.33333333333333,-15.0,-24.0,-12.666666666666666,-1001.0,91.0,44.666666666666664,2.6666666666666665,0.0369508471339941,-0.0064969185429314775,-1.8498677015304565,0.09064927200476329,0.04462914044658343,0.002705217571929097,111821.0
06:29:47,AUTO,-35.363317933333335,149.16501263333333,24679.666666666668,-0.3333333333333333,-52.666666666666664,-8.0,-8.666666666666666,-21.333333333333332,-988.6666666666666,-168.66666666666666,-5.0,2.3333333333333335,0.025427650349835556,0.05902121961116791,-1.8482813040415447,-0.1692297955354055,-0.0057394302760561304,0.0025494139990769327,200.0
06:29:48,AUTO,-35.3633179,149.16500986666668,24730.0,9.666666666666666,-19.333333333333332,-3.0,-0.3333333333333333,-5.333333333333333,-995.3333333333334,108.0,-81.0,1.3333333333333333,0.008526093248898784,0.02275994703328858,-1.8497250080108643,0.10766709844271342,-0.0823436367015044,0.001595871988683939,200.0
06:29:50,AUTO,-35.3633174,149.16500493333334,24776.333333333332,-10.333333333333334,-22.666666666666668,-1.3333333333333333,-4.666666666666667,-8.0,-999.6666666666666,-5.333333333333333,28.333333333333332,0.3333333333333333,0.0014589570152262847,0.012684226501733065,-1.8500016530354817,-0.005232227345307668,0.0283863910784324,0.00023609341587871313,200.0
06:29:51,AUTO,-35.36331823333333,149.16500363333333,24784.666666666668,-3.6666666666666665,0.6666666666666666,0.0,-0.6666666666666666,-3.3333333333333335,-997.6666666666666,-148.0,-16.666666666666668,1.3333333333333333,0.00863373326137662,0.015156500351925692,-1.8515394926071167,-0.1486059601108233,-0.017690913130839665,0.0015225778721893828,200.0
06:29:52,RTL,-35.36331846666666,149.16500396666666,24781.0,0.0,2.6666666666666665,0.6666666666666666,-0.3333333333333333,-2.0,-1000.0,-2.0,-21.666666666666668,1.3333333333333333,0.010654306039214134,-0.004332630739857753,-1.851710836092631,-0.0023067081347107887,-0.022493929757426184,0.0012348576807805027,200.0
06:29:54,RTL,-35.3633193,149.16500413333333,24770.666666666668,5.333333333333333,-0.3333333333333333,0.0,-0.6666666666666666,-2.3333333333333335,-1000.0,67.33333333333333,38.0,-0.6666666666666666,0.0165614765137434,0.013567378278821707,-1.8526994784673054,0.0670480231444041,0.0378138218075037,-0.0005268505483400077,200.0
06:29:55,RTL,-35.36331906666667,149.16500636666666,24769.333333333332,20.0,30.0,0.6666666666666666,6.666666666666667,-12.666666666666666,-990.0,-307.0,20.666666666666668,2.6666666666666665,0.0097919322627907,0.044894639402627945,-1.8525666793187459,-0.3078109174966812,0.020516437167922657,0.002249295280004541,203609.0
06:29:56,RTL,-35.36331786666667,149.1650101,24768.0,30.0,58.333333333333336,0.0,13.666666666666666,6.333333333333333,-1003.6666666666666,7.333333333333333,29.0,0.6666666666666666,0.0028512186060349145,0.0642767349878947,-1.8523188432057698,0.006839007139205933,0.029065607115626335,0.00011396687477827072,203609.0
06:29:58,RTL,-35.3633099,149.16503590000002,24745.666666666668,60.666666666666664,188.33333333333334,0.6666666666666666,41.666666666666664,26.333333333333332,-1007.0,51.333333333333336,-15.0,3.3333333333333335,-0.03115526835123698,0.12051014105478923,-1.8544888893763225,0.050475249687830605,-0.01588031742721796,0.0026246460620313883,203609.0
06:29:59,RTL,-35.363301799999995,149.16506686666665,24751.0,70.66666666666667,252.33333333333334,-1.0,53.0,36.0,-999.6666666666666,-50.666666666666664,-16.0,6.0,-0.04088242103656133,0.08712224910656612,-1.8531402349472046,-0.051632250348726906,-0.017021264260013897,0.0059222388081252575,51728.0
06:30:00,RTL,-35.363296766666664,149.16508869999998,24759.0,73.33333333333333,272.6666666666667,-1.0,56.666666666666664,33.0,-999.3333333333334,-102.33333333333333,-10.333333333333334,-4.0,-0.03520830782751242,0.07932787140210469,-1.8515604337056477,-0.10312316815058391,-0.011386430046210686,-0.004845854515830676,51728.0
06:30:02,RTL,-35.3632826,149.16515156666665,24783.0,82.0,283.6666666666667,0.0,57.333333333333336,46.666666666666664,-998.6666666666666,60.0,-21.0,5.0,-0.03202839816610018,0.059190782407919564,-1.8528207937876384,0.05927239544689655,-0.021853576724727947,0.004429002447674672,51728.0
06:30:03,RTL,-35.36327433333333,149.16518956666667,24792.333333333332,75.66666666666667,251.0,-0.3333333333333333,52.333333333333336,49.333333333333336,-999.3333333333334,269.0,-36.333333333333336,13.0,-0.018741245071093243,0.0024768128835906587,-1.85188889503479,0.26794276138146716,-0.03768839314579964,0.012491668264071146,297146.0
06:30:04,RTL,-35.36327026666667,149.16520893333333,24798.333333333332,66.0,205.33333333333334,-0.3333333333333333,41.0,41.0,-995.6666666666666,47.666666666666664,-47.333333333333336,9.333333333333334,-0.01574236814243098,-0.03128399265309175,-1.8530752658843994,0.046310619140664734,-0.04827363044023514,0.008630023493121067,297146.0
06:30:06,RTL,-35.36326413333333,149.1652364,24768.333333333332,20.0,45.0,1.6666666666666667,9.333333333333334,0.6666666666666666,-1004.3333333333334,-251.0,46.0,5.333333333333333,-0.0015533309973155458,-0.038984070221583046,-1.8519142866134644,-0.25228701035181683,0.045780605326096215,0.004510893641660611,297146.0
06:30:07,RTL,-35.36326293333334,149.16523966666668,24756.333333333332,9.0,9.666666666666666,-0.3333333333333333,1.6666666666666667,4.333333333333333,-1000.6666666666666,49.666666666666664,13.0,3.0,0.002896266640163958,-0.010259162168949842,-1.8514739274978638,0.0483696311712265,0.012921248562633991,0.0019877321319654584,300000.0
06:30:08,RTL,-35.36326263333333,149.16524006666668,24760.333333333332,5.666666666666667,3.3333333333333335,-0.3333333333333333,0.0,-11.333333333333334,-1003.6666666666666,-198.33333333333334,20.0,0.0,0.004704707108127574,0.0016524174716323614,-1.851444164911906,-0.1997166946530342,0.019774482895930607,-0.0012816583427290122,300000.0
06:30:10,RTL,-35.3632618,149.16524066666668,24771.0,3.0,-1.0,0.0,1.0,-8.333333333333334,-1000.6666666666666,-163.66666666666666,1.6666666666666667,3.3333333333333335,-0.0022921528046329818,-0.005767844306925933,-1.852583885192871,-0.1650803138812383,0.0014356541214510798,0.002501458084831635,300000.0
06:30:11,RTL,-35.363260933333336,149.16523976666667,24772.666666666668,-5.0,-5.666666666666667,0.3333333333333333,0.0,0.6666666666666666,-1002.3333333333334,59.666666666666664,4.666666666666667,3.6666666666666665,-0.010427280484388271,0.0003902451911320289,-1.8534067471822102,0.0584338108698527,0.004445973861341675,0.002728678829347094,221200.0
06:30:12,RTL,-35.3632607,149.1652391,24772.0,-10.333333333333334,-3.6666666666666665,0.0,-1.6666666666666667,-5.333333333333333,-1002.3333333333334,-156.0,4.0,3.6666666666666665,-0.008542746771126986,0.0030690483593692384,-1.852796196937561,-0.1573796570301056,0.003918941753606002,0.0029945109660426774,221200.0
06:30:14,RTL,-35.3632613,149.16523809999998,24739.666666666668,-9.666666666666666,0.0,14.666666666666666,-0.6666666666666666,-2.0,-944.3333333333334,-164.66666666666666,-1.0,3.6666666666666665,0.0006367788494875034,0.002774396833653251,-1.8524679740269978,-0.1657674511273702,-0.0014931267166199784,0.002597286133095622,221200.0
06:30:15,RTL,-35.3632616,149.16523776666668,24060.333333333332,-7.666666666666667,0.0,93.0,1.0,-58.0,-946.0,-722.0,3.0,-0.3333333333333333,0.0015421364854167525,0.003759524474541346,-1.8525917132695515,-0.7208991845448812,0.0026913715119007975,-0.0019394188808898132,300000.0
