,CHUTE_ALT_MIN,OA_DB_ALT_MIN,ADSB_LIST_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,RTL_SPEED,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG,RNGFND3_WSP_MAVG,RNGFND4_WSP_MAVG,RNGFND5_WSP_MAVG,RNGFND6_WSP_MAVG,RNGFND7_WSP_MAVG,RNGFND8_WSP_MAVG,RNGFND9_WSP_MAVG,RNGFNDA_WSP_MAVG,LGR_DEPLOY_ALT,RTL_CONE_SLOPE,EK3_GPS_VACC_MAX,LGR_RETRACT_ALT,EK2_RNG_USE_SPD,EK3_RNG_USE_SPD
12:16:50.678,18070.0,0.0,0.0,0.3,1.3,480.0,1.0,0.1,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,1.0,2.9,308.0,4.5,5.0
12:16:54.745,3507.0,0.0,0.0,0.5,1.1,870.0,1.0,0.1,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,7.1,5.3,33.0,6.0,3.5
12:16:58.861,5388.0,0.0,0.0,0.2,0.3,760.0,1.0,0.1,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,828.0,1.5,5.8,283.0,3.0,3.5
12:17:02.896,2056.0,0.0,0.0,1.1,0.2,240.0,1.0,0.1,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,1.6,0.3,28.0,3.5,2.5
12:17:08.168,9957.0,0.0,0.0,0.5,1.4,940.0,1.0,0.1,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.4,6.9,810.0,3.5,5.0
12:17:13.451,6172.0,0.0,0.0,0.5,0.3,220.0,1.0,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0,2.0,9.8,324.0,3.0,3.5
12:17:18.219,30352.0,0.0,0.0,0.9,0.7,290.0,1.0,0.1,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,7.2,0.3,419.0,4.5,6.0
12:17:23.578,15042.0,0.0,0.0,0.7,0.3,410.0,1.0,0.1,1150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,1.9,10.1,33.0,3.0,3.5
12:17:28.152,17105.0,0.0,0.0,0.9,0.3,380.0,1.0,0.1,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,4.4,4.8,639.0,2.5,3.0
12:17:33.321,22587.0,0.0,0.0,0.5,0.3,900.0,1.0,0.1,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0,1.9,8.8,60.0,3.0,3.5
12:17:37.692,18241.0,0.0,0.0,0.2,1.3,240.0,1.0,0.1,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0,9.0,2.1,112.0,2.5,3.5
12:17:42.352,12039.0,0.0,0.0,0.2,0.9,880.0,1.0,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,1.0,6.9,355.0,3.0,3.0
