time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,alt,lat,lon,relative_alt,vx,vy,vz
19:01:14,-0.0001862415811046958,0.0011815399629995227,0.02585463970899582,0.0002547909098211676,0.0002238915185444057,0.002104193437844515,STABILIZE,0.0,1.0,-1000.0,0.0,0.0,0.0,583980.0,-35.3632622,149.1652375,0.0,-1.0,1.0,-1.0
19:01:18,-0.0006301559915300459,0.0009367878956254572,0.02394948434084654,0.00022583306417800486,0.0002497779205441475,0.0018634688458405435,STABILIZE,0.0,1.0,-1000.0,1.0,0.0,0.0,583970.0,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0
19:01:20,-0.0006078772858018056,0.0009473091486142948,0.02324172342196107,0.00026701189926825464,0.00026681373128667474,0.0017347710090689361,STABILIZE,0.0,1.5,-1000.0,0.5,0.0,0.0,583970.0,-35.3632622,149.1652375,0.0,-1.0,0.5,0.0
19:01:21,-0.0006179733900353312,0.0009560131002217531,0.022955497726798058,0.00021339603699743748,0.00019894976867362857,0.0016123983077704906,STABILIZE,0.0,1.0,-1000.0,0.0,0.0,0.0,583970.0,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0
19:01:26,-0.00038315088022500277,0.0009820392588153481,0.021570224314928055,0.00023834979704891643,0.00024936274470140535,0.001539071323350072,STABILIZE,0.0,2.0,-1000.0,0.6666666666666666,0.6666666666666666,0.0,583975.0,-35.3632622,149.1652375,0.0,-1.0,1.5,0.5
19:01:28,-0.0007261831779032946,0.000997832918073982,0.021013010293245316,0.0002562515146564692,0.0003256983181927353,0.0014170000795274973,AUTO,0.0,1.0,-1000.0,0.3333333333333333,0.6666666666666666,0.0,583960.0,-35.3632622,149.1652375,0.5,-1.0,2.0,1.0
19:01:29,-0.0008149459608830512,0.0010010498226620257,0.0209133792668581,0.0001770640374161303,0.00024969864170998335,0.0014154828968457878,AUTO,0.0,1.0,-1000.0,0.5,0.5,0.5,583950.0,-35.3632622,149.1652375,0.0,-1.0,1.0,1.0
19:01:30,-0.00043030024971812963,0.001195099001051858,0.020685933995991945,0.00026659252762328833,0.00022246892331168056,0.0014937717351131141,AUTO,0.0,1.25,-1000.0,0.75,0.25,0.5,583950.0,-35.3632622,149.1652375,0.0,0.0,0.0,1.0
19:01:31,-0.0002839218795998022,0.0014032114413566887,0.020524082705378532,0.00028171742451377213,0.0003332654305268079,0.001348922902252525,AUTO,0.0,1.5,-1000.0,0.0,0.0,0.5,583950.0,-35.3632622,149.1652375,0.0,0.0,0.0,1.0
19:01:32,0.0011631234156084247,0.0010028554097516462,0.02025677217170596,0.003452642456977628,-0.00276307127205655,0.0017282777989748865,AUTO,0.0,1.0,-1055.25,3.5,-2.0,0.75,583962.5,-35.3632622,149.165237475,12.0,0.0,0.0,-9.5
19:01:33,0.0026172308716923,0.0006871770019643009,0.020059012807905674,-0.002055556746199727,0.003971634665504098,1.8872036889661103e-05,AUTO,0.0,0.0,-1118.5,-1.5,4.0,0.0,584250.0,-35.3632621,149.1652375,294.5,0.0,0.0,-84.0
19:01:34,0.038399326615035534,-0.0038559966924367473,0.01950492011383176,0.04359662625938654,-0.008740634424611926,0.0027940135332755744,AUTO,0.25,-2.0,-1006.75,44.0,-7.25,2.0,585907.5,-35.363261924999996,149.165237975,1951.5,2.25,15.5,-145.75
19:01:35,0.05355485714972019,0.0006227786652743816,-0.018610830884426832,-0.06513588031521067,0.05679106246680021,-0.06732772849500179,AUTO,2.0,-9.5,-991.5,-64.5,57.5,-67.5,587060.0,-35.3632615,149.16524025,3103.5,8.5,46.5,-145.5
19:01:36,-0.05180182121694088,0.006989732850342989,-0.08607838302850723,-0.041841814294457436,-0.0313108351547271,-0.01788889104500413,AUTO,3.5,-4.5,-1002.25,-40.25,-30.0,-18.25,588962.5,-35.363260925,149.16524575,5006.0,-3.0,17.25,-148.25
19:01:37,-0.0633265022188425,-0.011416722554713488,-0.08880938589572906,0.04788372106850147,0.0007841063197702169,-0.0030622270423918962,AUTO,-2.0,5.0,-1002.0,48.0,1.0,-3.0,590115.0,-35.36326115,149.1652456,6159.5,-2.5,-30.5,-148.0
