time_stamp,alt,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE
11:32:47,583946.6666666666,-35.3632621,149.1652374,0.0,-0.6666666666666666,0.6666666666666666,0.0,-0.0003702455433085561,0.0015638683689758182,0.027862073853611946,0.0003428439376875758,0.0003368199395481497,0.0024827290326356888,0.0,1.0,-1000.0,0.0,0.0,0.0,STABILIZE
11:32:49,583960.0,-35.363262150000004,149.165237425,0.0,-1.75,1.0,0.0,-0.000519207154866308,0.0015068357655157645,0.026974258944392204,0.00021253588298956552,0.0002830572387514015,0.0023251015227288008,0.0,0.5,-1001.5,0.0,0.0,0.0,STABILIZE
11:32:51,583975.0,-35.3632622,149.1652374,0.0,-1.0,0.5,-1.0,-0.0007447496561023096,0.001105036159666876,0.025918837015827496,0.00024276694360499582,0.0002393097868965318,0.0020732529616604247,0.0,1.5,-1000.0,0.0,0.0,1.0,STABILIZE
11:32:53,583980.0,-35.3632622,149.1652374,0.0,-1.0,0.6666666666666666,-0.6666666666666666,-0.0008234356355387717,0.0009853499359451234,0.025376453064382076,0.0002625556953717023,0.000281044834991917,0.0018927502096630633,0.0,1.5,-1000.0,0.0,0.0,0.0,STABILIZE
11:32:55,583990.0,-35.3632622,149.16523743333332,5.0,-1.0,1.0,-0.6666666666666666,-0.0007420554175041616,0.000924223568290472,0.024585358798503876,0.0002760862116701901,0.00019758590497076511,0.001880932948552072,0.0,1.25,-1000.0,0.0,0.25,0.25,STABILIZE
11:32:57,583990.0,-35.3632622,149.1652375,3.0,-1.0,1.0,0.0,-0.0007094935863278806,0.0009337830124422908,0.02370783407241106,0.0003485616762191057,0.00024952396051958203,0.0017557108658365905,0.0,1.5,-1000.0,0.0,0.0,0.0,STABILIZE
11:32:59,583980.0,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,-0.0007966099462161461,0.000953509530518204,0.02309512036542098,0.0003557860230406125,0.0002749986791362365,0.0017026729183271527,0.0,1.0,-1000.0,0.0,0.0,0.5,STABILIZE
11:33:03,583970.0,-35.3632622,149.1652375,0.0,-1.0,1.0,1.0,-0.0008912303601391613,0.0009691386367194355,0.022434134036302567,0.0002321497886441648,0.0003454549005255103,0.0016511359717696905,0.0,1.0,-1000.0,0.0,1.0,0.0,AUTO
11:33:04,583960.0,-35.3632622,149.1652375,0.0,-0.2,0.2,1.0,-0.0009209378506056965,0.0010664755012840033,0.02215282879769802,0.0003051624051295221,0.0002745554316788912,0.0016042618779465556,0.0,1.4,-1000.0,0.2,0.0,0.0,AUTO
11:33:05,583960.0,-35.3632622,149.1652375,0.0,0.0,1.0,4.0,-0.00031940164626576006,0.0012137779267504811,0.021979063749313354,0.001797579461708665,0.00025651644682511687,0.0016202221158891916,0.0,40.0,-941.0,2.0,0.0,1.0,AUTO
