time_stamp,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE
06:45:38,162037.0,0.0,1.5,-1000.0,0.5,0.5,0.0,-35.3632622,149.1652375,9.0,-1.0,1.0,0.0,-0.0010418028105050325,0.0009826989844441414,0.020144302397966385,0.0003241451340727508,0.00020118727115914226,0.0012931571109220386,AUTO
06:45:39,23446.0,0.0,1.25,-1000.0,0.75,0.0,0.5,-35.3632621,149.1652375,7.6,-0.2,0.6,0.4,-0.000899885839316994,0.0010548876598477364,0.020048937201499938,0.0002570699667558074,0.00024787738220766187,0.001366252452135086,AUTO
06:45:40,23446.0,0.0,1.0,-1000.0,0.0,0.0,0.5,-35.3632621,149.1652375,2.0,0.0,0.0,0.0,-0.0004868625110248104,0.001389071752782911,0.01984339952468872,0.0003152618883177638,0.00024190402473323047,0.0013055902090854943,AUTO
06:45:42,23446.0,0.0,0.0,-1130.0,7.0,5.0,-1.0,-35.3632621,149.1652375,193.0,0.0,0.0,-70.0,0.003952698316425085,0.00011172080849064514,0.019580187276005745,0.006152781657874584,0.004900003783404827,-0.0007199631072580814,AUTO
06:45:43,224066.0,0.0,0.0,-1065.0,21.75,-1.25,0.25,-35.3632621,149.1652375,874.5,0.25,2.0,-125.75,0.008783566096099094,0.0007603699486935511,0.019188866950571537,0.02071158029139042,-0.002055369011941366,0.0011913132257177494,AUTO
06:45:44,224066.0,0.5,-4.0,-1000.0,22.0,3.0,-19.5,-35.363261800000004,149.1652387,2347.0,4.5,26.5,-147.5,0.047524264082312584,-0.006207267288118601,0.005874706665053964,0.021059507504105568,0.0021239928901195526,-0.019409050815738738,AUTO
06:45:46,224066.0,4.5,1.5,-1001.5,4.0,-63.0,17.5,-35.3632619,149.1652459,5400.0,-17.0,1.0,-149.5,-0.053973907604813576,0.004138047806918621,-0.10679479315876961,0.00354660302400589,-0.06407423689961433,0.017807020340114832,AUTO
06:45:47,170945.0,-4.0,7.0,-1001.0,58.5,4.25,20.75,-35.363262975000005,149.165243475,6951.75,1.75,-43.0,-150.5,-0.023002534551778808,-0.03303013788536191,-0.07240159064531326,0.05798374302685261,0.0038873304292792454,0.02156274695880711,AUTO
06:45:48,170945.0,-8.0,2.5,-999.5,15.0,34.5,-20.0,-35.36326215,149.1652386,8499.0,14.5,-37.5,-151.5,0.01725527411326766,-0.0038632708601653576,-0.08252912014722824,0.014357587962877005,0.034707214683294296,-0.020083882845938206,AUTO
06:45:50,170945.0,0.5,0.0,-1000.5,-10.0,-5.5,1.0,-35.3632611,149.16523475000002,11612.5,-3.5,2.0,-151.5,0.01156565872952342,0.007717351661995053,-0.09998006746172905,-0.010984710417687893,-0.0067147077061235905,0.0012740007368847728,AUTO
06:45:51,46320.0,1.0,0.0,-1000.0,-2.75,-2.25,-11.5,-35.3632614,149.16523505,13164.5,-4.5,5.75,-152.0,0.003549565270077437,0.002518261317163706,-0.10755474679172039,-0.003405946947168559,-0.0032132999040186405,-0.011847780086100101,AUTO
06:45:52,46320.0,0.0,0.0,-1000.0,0.0,1.0,-18.0,-35.36326165,149.1652354,14720.5,-2.0,4.0,-152.5,0.002046038513071835,0.0008662551990710199,-0.125039741396904,-0.0005871553730685264,0.00018104113405570388,-0.018059300258755684,AUTO
06:45:54,46320.0,0.0,0.0,-1000.0,2.5,2.0,-21.0,-35.3632617,149.16523575000002,17839.0,-1.5,3.5,-153.0,0.00465096952393651,0.004331252072006464,-0.16991568356752396,0.002139510470442474,0.001583441684488207,-0.021214131265878677,AUTO
06:45:55,254995.0,0.0,0.0,-999.75,-0.75,0.25,-19.0,-35.3632617,149.165236,19395.25,-2.0,4.5,-153.0,0.004305175272747874,0.004378389334306121,-0.18995795026421547,-0.001999591273488477,-0.000576621649088338,-0.01933649368584156,AUTO
06:45:56,254995.0,0.0,0.0,-1000.0,0.5,0.5,-18.5,-35.36326175,149.1652363,20955.5,-2.5,4.5,-153.0,0.0028771862853318453,0.003783129737712443,-0.2089214026927948,0.00033961745793931186,0.00019102607620880008,-0.0184992840513587,AUTO
06:45:58,254995.0,0.0,0.0,-1000.0,2.0,1.0,-19.0,-35.36326185,149.16523675000002,24069.0,-2.0,3.0,-153.0,0.002384876483120024,0.002769087441265583,-0.24685610830783844,0.0017181264702230692,0.0005195518024265766,-0.019433761946856976,AUTO
06:45:59,206084.0,0.0,0.0,-1001.5,12.0,2.0,17.25,-35.363261975,149.165236825,25627.25,-3.5,1.0,-152.75,-0.002246759075205773,0.005115940060932189,-0.2497730664908886,0.01131102537328843,0.000596779806073755,0.017459264025092125,AUTO
06:46:00,206084.0,0.0,0.0,-999.5,6.5,-1.5,27.5,-35.3632623,149.1652368,27179.0,-4.0,2.5,-153.0,0.008436969481408596,0.0019019895698875189,-0.22053184360265732,0.005713936174288392,-0.002338503021746874,0.028315948322415352,AUTO
06:46:02,206084.0,0.0,-1.0,-987.0,-41.5,42.5,111.0,-35.3632624,149.16523769999998,30279.5,-0.5,5.5,-150.5,-0.004942765459418297,0.006778987590223551,-0.1671546995639801,-0.043018295778892934,0.04229639645200223,0.11153393145650625,AUTO
06:46:03,190627.0,2.75,4.25,-957.25,0.5,-61.75,316.0,-35.363263025,149.165237225,31725.25,-22.5,-19.5,-126.5,-0.042339414823800325,0.03622383833862841,0.09002977050840855,-0.00040204450488090515,-0.06284239597152919,0.31680380925536156,AUTO
