time_stamp,RTL_ALT,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
05:24:26,300000.0,STABILIZE,0.0,1.0,-1000.0,0.0,0.0,0.0,-35.3632621,149.1652374,21.0,-1.0,0.0,-3.0,-0.001070880505722016,0.0009591349225956947,0.023812496103346348,0.00013974652392789721,0.00029608290060423315,0.0017787367105484009
05:24:36,300000.0,AUTO,0.0,1.0,-1000.0,0.0,0.5,0.5,-35.3632622,149.1652375,14.0,-1.0,0.0,-1.0,-0.0007016562449280173,0.0009678292262833565,0.021034340374171734,0.0002779669302981347,0.00027362233959138393,0.0014411527663469315
05:24:37,115106.0,AUTO,0.0,1.75,-1000.0,0.25,0.25,0.75,-35.3632621,149.1652375,15.75,0.0,0.0,-1.0,-0.0006085557106416672,0.0010513435408938676,0.020875362679362297,0.0003312537301098928,0.00023938249796628952,0.0013351172674447298
05:24:38,115106.0,AUTO,0.0,1.5,-1000.0,0.0,1.0,0.5,-35.3632621,149.1652375,15.0,0.0,0.0,0.0,-0.00033807607542257756,0.0013777592102997005,0.020590761676430702,0.0002797066408675164,0.00030475141829811037,0.0012954066041857004
05:24:40,115106.0,AUTO,0.0,0.0,-1119.5,-4.0,3.5,1.5,-35.3632621,149.1652375,315.5,0.0,0.5,-86.5,0.0026764473877847195,0.0006355728619382717,0.020104491151869297,-0.004803894553333521,0.0033057298278436065,0.0023517690715380013
05:24:41,80273.0,AUTO,0.0,-0.25,-1037.5,37.25,-4.5,0.75,-35.363262049999996,149.16523755,1241.25,0.75,5.25,-139.0,0.017956558702280745,-0.000485153665067628,0.019740472082048655,0.036900271428748965,-0.005288191125146113,0.0014534746514982544
05:24:42,80273.0,AUTO,1.5,-9.5,-991.0,-81.0,60.5,-76.0,-35.3632615,149.16524045,3116.5,8.5,48.5,-146.0,0.05096033029258251,0.002533756662160158,-0.02076606173068285,-0.0819890983402729,0.060454404912889004,-0.07617002725601196
05:24:44,80273.0,AUTO,-3.0,5.0,-1002.0,54.0,0.0,-20.0,-35.3632607,149.16524555,6167.0,-3.5,-35.5,-148.0,-0.06653881631791592,0.0031515047885477543,-0.10338874906301498,0.05381791293621063,-0.00031168048735708,-0.020337920635938644
05:24:45,200.0,AUTO,-5.25,12.25,-1002.5,66.25,9.5,-4.5,-35.363261175000005,149.16524120000003,7314.75,-12.0,-59.25,-148.75,-0.02017402183264494,0.007488076342269778,-0.1118535790592432,0.06637377664446831,0.009148654760792851,-0.004735493399493862
05:24:46,200.0,AUTO,1.0,8.5,-1000.5,57.0,-8.0,13.0,-35.363263399999994,149.16523415,9258.0,-25.5,-20.5,-152.0,0.06355131603777409,0.013832875527441502,-0.10863136127591133,0.05664423853158951,-0.00915983330924064,0.013815769692882895
05:24:48,200.0,AUTO,-5.0,-8.5,-1007.0,-9.0,59.0,-100.5,-35.36326205,149.16523795,12326.0,40.5,10.5,-149.5,-0.038679638877511024,0.0034233860205858946,-0.10335719957947731,-0.009492111159488559,0.058593133464455605,-0.10114104300737381
05:24:49,200.0,AUTO,-6.5,-1.5,-1002.0,40.25,19.0,-50.0,-35.36325995,149.165237525,13493.25,20.5,-15.0,-151.75,-0.022434085956774652,0.025447909720242023,-0.16017872467637062,0.039844585582613945,0.018714036094024777,-0.05078251473605633
05:24:50,200.0,AUTO,0.0,3.0,-998.0,6.5,-31.0,23.0,-35.3632595,149.16523510000002,15450.0,-15.0,-5.5,-151.5,0.024309054017066956,0.02283661812543869,-0.17889519780874252,0.005405717995017767,-0.0324885081499815,0.023643539287149906
05:24:52,200.0,AUTO,2.0,0.0,-1000.5,-2.5,1.0,-23.0,-35.3632619,149.16523619999998,18555.5,-9.0,8.0,-151.0,-0.002418656018562615,-0.0041801040060818195,-0.17696112394332886,-0.0040516023291274905,0.0005060442490503192,-0.023473084904253483
05:24:53,294502.0,AUTO,0.25,0.0,-1000.0,5.5,3.75,-27.0,-35.363262175,149.165236475,19727.75,-3.75,2.75,-152.0,-0.001274183625355363,-0.002818178356392309,-0.19710183888673782,0.0053728362545371056,0.003245532570872456,-0.02753886766731739
05:24:54,294502.0,AUTO,0.0,0.0,-1000.0,4.0,4.0,-24.0,-35.3632622,149.1652365,21672.0,0.0,0.5,-152.0,0.00379346520639956,0.0015347979497164488,-0.230815589427948,0.0035645179450511932,0.0036886666202917695,-0.02438471745699644
05:24:56,294502.0,AUTO,0.0,0.0,-1000.0,-0.5,1.0,-17.5,-35.3632622,149.1652365,24788.0,-1.0,4.0,-152.0,0.00317533768247813,0.0033683108631521463,-0.27218809723854065,-0.0011475710780359805,0.000568832183489576,-0.018119990825653076
05:24:57,300000.0,AUTO,0.0,0.5,-1001.75,18.25,2.75,7.75,-35.3632622,149.1652365,25952.75,-3.0,0.25,-151.75,-0.0025877473526634276,0.005151698831468821,-0.2757179066538811,0.017628673929721117,0.0020986306335544214,0.00793555798009038
05:24:58,300000.0,AUTO,0.5,0.0,-999.5,-3.0,0.0,25.0,-35.36326235,149.1652365,27899.5,-2.5,7.0,-151.5,0.010751391761004925,0.002467115642502904,-0.24992041289806366,-0.00462925445754081,-0.0008801027142908424,0.02536908909678459
05:25:00,300000.0,AUTO,0.0,-0.5,-1000.0,0.5,0.5,18.0,-35.3632624,149.16523795,31003.0,0.0,5.5,-152.0,-0.0013926136889494956,0.00140252715209499,-0.20753083378076553,-0.0004048401606269181,-0.0005385773256421089,0.018477236852049828
