,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,EK2_CHECK_SCALE,EK3_CHECK_SCALE,LGR_DEPLOY_ALT,RNGFND1_WSP_MAVG
05:27:25.410,53770.0,1.1,0.8,10.1,0.25,1.9,0.0,14457.0,780.0,1.0,0.1,50.0,50.0,0.0,0.0
05:27:29.436,223146.0,1.1,0.8,-0.6,0.25,0.9,0.0,16779.0,480.0,1.0,0.1,50.0,50.0,242.0,0.0
05:27:33.471,300000.0,0.0,1.6,9.5,0.25,2.9,0.0,20132.0,1000.0,1.0,0.1,50.0,50.0,421.0,0.0
05:27:37.514,206043.0,0.1,0.9,-10.0,0.25,1.4,0.0,0.0,990.0,1.0,0.1,50.0,50.0,628.0,0.0
05:27:41.050,117939.0,1.1,1.1,6.5,0.25,0.0,0.0,17247.0,1000.0,1.0,0.1,50.0,50.0,532.0,0.0
05:27:45.070,73052.0,0.5,0.7,4.5,0.25,4.1,0.0,0.0,1000.0,1.0,0.1,50.0,50.0,232.0,0.0
05:27:49.097,200.0,0.8,0.8,-2.5,0.25,0.0,0.0,32000.0,1000.0,1.0,0.1,50.0,50.0,48.0,0.0
05:27:53.122,198903.0,0.0,1.0,-3.1,0.25,4.8,0.0,0.0,150.0,1.0,0.1,50.0,50.0,224.0,0.0
05:27:57.152,171057.0,0.3,1.8,10.1,0.25,0.0,0.0,20294.0,1000.0,1.0,0.1,50.0,50.0,429.0,0.0
05:28:01.186,265503.0,0.3,2.0,3.4,0.25,2.9,0.0,0.0,220.0,1.0,0.1,50.0,50.0,703.0,0.0
05:28:05.216,110767.0,0.2,0.1,4.9,0.25,0.0,0.0,32000.0,400.0,1.0,0.1,50.0,50.0,0.0,0.0
05:28:09.246,300000.0,0.9,2.0,-6.0,0.25,1.7,0.0,12491.0,1000.0,1.0,0.1,50.0,50.0,416.0,0.0
05:28:13.262,200.0,0.0,0.0,1.1,0.25,3.0,0.0,23370.0,0.0,1.0,0.1,50.0,50.0,510.0,0.0
05:28:17.285,144723.0,0.9,2.0,-5.9,0.25,5.1,0.0,8243.0,300.0,1.0,0.1,50.0,50.0,694.0,0.0
05:28:21.305,99511.0,0.0,2.0,7.5,0.25,0.0,0.0,32000.0,1000.0,1.0,0.1,50.0,50.0,837.0,0.0
05:28:25.324,56175.0,0.6,0.0,8.0,0.25,1.1,0.0,32000.0,740.0,1.0,0.1,50.0,50.0,259.0,0.0
05:28:29.340,200.0,0.0,1.4,-10.0,0.25,5.1,0.0,32000.0,0.0,1.0,0.1,50.0,50.0,730.0,0.0
05:28:33.373,232471.0,1.1,0.9,5.4,0.25,0.6,0.0,5353.0,530.0,1.0,0.1,50.0,50.0,0.0,0.0
05:28:37.407,300000.0,0.0,0.6,-10.0,0.25,2.0,0.0,0.0,0.0,1.0,0.1,50.0,50.0,0.0,0.0
05:28:41.426,200.0,1.1,2.0,-4.0,0.25,4.7,0.0,32000.0,230.0,1.0,0.1,50.0,50.0,0.0,0.0
05:28:45.453,261829.0,0.2,1.0,-10.0,0.25,5.1,0.0,0.0,1000.0,1.0,0.1,50.0,50.0,0.0,0.0
05:28:49.484,197573.0,0.4,1.3,-5.9,0.25,5.1,0.0,32000.0,810.0,1.0,0.1,50.0,50.0,1000.0,0.0
05:28:53.499,5847.0,0.0,1.1,-9.8,0.25,4.5,0.0,11328.0,1000.0,1.0,0.1,50.0,50.0,1000.0,0.0
05:28:57.048,300000.0,0.7,0.0,10.1,0.25,4.3,0.0,0.0,490.0,1.0,0.1,50.0,50.0,318.0,0.0
05:29:01.070,200.0,0.5,2.0,-10.0,0.25,3.4,0.0,0.0,1000.0,1.0,0.1,50.0,50.0,412.0,0.0
05:29:05.094,140464.0,0.5,1.0,-10.0,0.25,3.2,0.0,0.0,140.0,1.0,0.1,50.0,50.0,187.0,0.0
05:29:09.117,200.0,0.5,0.0,10.1,0.25,0.6,0.0,20622.0,0.0,1.0,0.1,50.0,50.0,443.0,0.0
05:29:13.144,159984.0,0.7,1.4,7.7,0.25,1.2,0.0,18508.0,0.0,1.0,0.1,50.0,50.0,467.0,0.0
05:29:17.178,174319.0,0.0,0.0,-6.3,0.25,4.1,0.0,9673.0,990.0,1.0,0.1,50.0,50.0,486.0,0.0
05:29:21.194,200.0,0.0,2.0,-2.9,0.25,0.0,0.0,32000.0,60.0,1.0,0.1,50.0,50.0,302.0,0.0
05:29:25.225,300000.0,0.0,0.7,-10.0,0.25,4.8,0.0,6097.0,250.0,1.0,0.1,50.0,50.0,907.0,0.0
05:29:29.244,63735.0,0.2,1.2,-1.7,0.25,0.3,0.0,27395.0,340.0,1.0,0.1,50.0,50.0,983.0,0.0
05:29:33.268,193131.0,0.7,0.5,-3.9,0.25,2.8,0.0,0.0,1000.0,1.0,0.1,50.0,50.0,0.0,0.0
05:29:37.287,200.0,0.3,1.6,1.9,0.25,3.8,0.0,14561.0,180.0,1.0,0.1,50.0,50.0,664.0,0.0
05:29:41.315,93126.0,1.1,0.9,6.9,0.25,4.6,0.0,24044.0,620.0,1.0,0.1,50.0,50.0,85.0,0.0
05:29:45.346,300000.0,1.1,1.3,-7.0,0.25,0.0,0.0,3798.0,1000.0,1.0,0.1,50.0,50.0,512.0,0.0
05:29:49.381,129296.0,0.0,2.0,10.1,0.25,1.9,0.0,0.0,1000.0,1.0,0.1,50.0,50.0,853.0,0.0
05:29:53.412,174412.0,1.1,2.0,6.3,0.25,4.6,0.0,5226.0,0.0,1.0,0.1,50.0,50.0,1000.0,0.0
05:29:57.435,175581.0,0.5,0.4,10.1,0.25,1.4,0.0,18994.0,0.0,1.0,0.1,50.0,50.0,15.0,0.0
05:30:01.454,200.0,0.0,2.0,10.1,0.25,2.7,0.0,12427.0,480.0,1.0,0.1,50.0,50.0,1000.0,0.0
05:30:05.478,77519.0,0.2,0.2,2.1,0.25,2.6,0.0,32000.0,790.0,1.0,0.1,50.0,50.0,1000.0,0.0
05:30:09.503,178664.0,0.3,1.1,-2.9,0.25,5.1,0.0,32000.0,40.0,1.0,0.1,50.0,50.0,990.0,0.0
05:30:13.034,272890.0,0.1,1.5,10.1,0.25,0.0,0.0,20831.0,360.0,1.0,0.1,50.0,50.0,310.0,0.0
05:30:17.081,247975.0,1.1,1.8,10.1,0.25,3.1,0.0,0.0,1000.0,1.0,0.1,50.0,50.0,48.0,0.0
05:30:21.121,300000.0,0.8,1.7,4.1,0.25,2.5,0.0,22281.0,230.0,1.0,0.1,50.0,50.0,280.0,0.0
05:30:25.148,50129.0,0.6,0.4,4.5,0.25,4.8,0.0,22095.0,340.0,1.0,0.1,50.0,50.0,504.0,0.0
05:30:29.174,88895.0,1.1,0.2,1.7,0.25,4.5,0.0,19053.0,950.0,1.0,0.1,50.0,50.0,993.0,0.0
05:30:33.190,25818.0,0.7,1.6,-10.0,0.25,4.1,0.0,0.0,0.0,1.0,0.1,50.0,50.0,0.0,0.0
05:30:37.217,214565.0,0.3,0.3,10.1,0.25,2.1,0.0,32000.0,610.0,1.0,0.1,50.0,50.0,506.0,0.0
05:30:41.236,66923.0,1.1,0.1,4.1,0.25,4.3,0.0,29640.0,580.0,1.0,0.1,50.0,50.0,786.0,0.0
05:30:45.258,80416.0,0.7,2.0,-0.3,0.25,0.9,0.0,26101.0,0.0,1.0,0.1,50.0,50.0,805.0,0.0
05:30:49.285,200.0,0.9,2.0,1.5,0.25,3.9,0.0,23498.0,420.0,1.0,0.1,50.0,50.0,456.0,0.0
05:30:53.299,200.0,0.6,0.9,-6.5,0.25,0.8,0.0,12619.0,370.0,1.0,0.1,50.0,50.0,1000.0,0.0
05:30:57.338,300000.0,0.2,1.5,10.1,0.25,4.6,0.0,0.0,1000.0,1.0,0.1,50.0,50.0,540.0,0.0
05:31:01.371,198734.0,0.0,2.0,-0.2,0.25,1.7,0.0,13514.0,250.0,1.0,0.1,50.0,50.0,366.0,0.0
05:31:05.405,267547.0,0.8,0.2,6.6,0.25,0.4,0.0,32000.0,580.0,1.0,0.1,50.0,50.0,544.0,0.0
05:31:09.429,91799.0,0.9,2.0,-2.5,0.25,0.0,0.0,11074.0,590.0,1.0,0.1,50.0,50.0,604.0,0.0
05:31:13.453,200.0,0.5,1.8,10.1,0.25,0.0,0.0,22722.0,530.0,1.0,0.1,50.0,50.0,520.0,0.0
