time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,chan4_raw,lat,lon,relative_alt,vx,vy,vz,RTL_ALT
16:39:56,-0.0009684984106570482,0.0009888820350170135,0.025911089032888412,0.00024019269039854407,0.00021256247418932617,0.0019430944230407476,0.0,1.0,-1000.0,0.0,0.0,0.0,STABILIZE,1500.0,-35.3632621,149.1652374,25.5,-1.0,0.0,-2.0,1500.0
16:40:08,-0.0009332590270787477,0.0009940613526850939,0.022126296535134315,0.000321221596095711,0.00025530275888741016,0.0015176937449723482,0.0,2.0,-1000.0,1.0,0.0,1.0,AUTO,1500.0,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,1500.0
16:40:10,-0.0006377511308528483,0.0013958635390736163,0.021696957759559155,0.0002669362002052367,0.00025452589034102857,0.0014804454986006021,0.0,1.0,-1000.0,0.5,0.5,0.0,AUTO,1500.0,-35.3632621,149.1652375,0.0,0.0,0.0,0.0,1500.0
16:40:12,0.0020161676802672446,0.0006784566794522107,0.021266696974635124,-0.0035229711793363094,0.003999359323643148,0.001276486029382795,0.0,0.0,-1118.5,-2.5,4.0,0.5,AUTO,1500.0,-35.3632621,149.1652375,296.5,0.0,0.0,-84.5,1500.0
16:40:14,0.05363357812166214,0.0008818334899842739,-0.017602505395188928,-0.06148173473775387,0.05561148840934038,-0.06539154518395662,1.5,-9.5,-992.5,-61.0,56.0,-65.5,AUTO,1500.0,-35.3632615,149.16524025,3110.5,8.5,47.5,-146.0,1500.0
16:40:16,-0.06283120438456535,-0.02122967317700386,-0.07914464548230171,0.04268776252865791,0.005816858960315585,0.005144803551957011,-1.0,4.0,-1001.5,43.0,6.0,4.0,AUTO,1500.0,-35.3632616,149.16524564999997,6168.5,-2.0,-30.5,-148.5,1500.0
16:40:18,0.030624511651694775,0.03429047577083111,-0.10521505400538445,-0.022302608005702496,0.10117006674408913,-0.09805604070425034,-5.5,6.5,-998.0,-21.5,101.5,-98.5,AUTO,1280.0,-35.363261050000006,149.16523465,9275.5,-1.5,-30.5,-151.5,1500.0
16:40:20,0.0879940539598465,0.058993203565478325,-1.209546983242035,0.17853595316410065,-0.1692560613155365,-0.9867812395095825,14.5,18.5,-1017.0,178.5,-168.0,-987.0,AUTO,1280.0,-35.3632706,149.16523734999998,12193.5,-63.5,86.5,-135.5,1500.0
16:40:22,0.003151431679725647,-0.19550364464521408,-1.9221711158752441,-0.1456027701497078,0.07474474795162678,-0.01389294327236712,-1.5,-17.5,-992.0,-144.5,75.5,-14.0,AUTO,1500.0,-35.3632656,149.16524695,15138.0,47.5,-92.0,-137.5,1500.0
16:40:24,0.00258584508264903,0.08178192749619484,-1.9087153673171997,0.022952476516366005,0.073452178388834,0.018057198263704777,-25.5,-12.0,-1011.0,23.5,73.5,17.0,AUTO,1500.0,-35.36326855,149.16521645,18073.5,-39.5,-92.5,-159.5,1500.0
16:40:26,0.023702633567154408,0.10402357205748558,-1.8197786211967468,0.005422960268333554,-0.12645549327135086,0.07779927551746368,25.0,9.0,-1001.0,5.5,-125.0,77.0,AUTO,1500.0,-35.3632683,149.16521875,21173.0,55.0,115.0,-140.0,1500.0
16:40:28,-0.07419206947088242,-0.08828312903642654,-1.7560095191001892,-0.06354300305247307,-0.0509833600372076,-0.012435150798410177,13.5,1.0,-1004.0,-62.0,-50.0,-12.5,AUTO,1500.0,-35.36325665,149.1652403,24222.0,26.5,35.0,-155.5,1500.0
16:40:30,0.04154129698872566,0.038890158757567406,-1.4841638803482056,0.0364015355007723,0.06547866511391476,0.7828424274921417,-19.5,14.5,-1014.5,36.5,65.5,782.5,AUTO,1954.0,-35.3632671,149.16523610000002,27250.0,-82.0,-26.5,-142.0,1500.0
16:40:32,0.011534291785210371,-0.08040009811520576,-0.046779125928878784,0.062028005719184875,0.04058976657688618,0.7378096580505371,-6.5,-1.0,-995.5,62.5,41.0,737.0,AUTO,1954.0,-35.363272699999996,149.16523445,30229.5,43.5,-10.5,-144.0,1500.0
16:40:34,0.03968098200857639,0.052925292402505875,0.6080927550792694,0.04723278805613518,0.022511763498187065,0.038978032767772675,-9.0,0.0,-1003.5,48.0,23.0,38.0,AUTO,1500.0,-35.363262199999994,149.1652345,33273.5,28.0,0.5,-155.0,1500.0
16:40:36,-0.03748813457787037,-0.01941609289497137,0.6379821598529816,-0.09513378888368607,-0.03287062793970108,-0.03456068504601717,9.0,-10.5,-1007.5,-93.5,-31.5,-34.0,AUTO,1500.0,-35.36326785,149.16523875000001,36354.0,-41.5,31.5,-150.5,1500.0
16:40:38,-0.025008191354572773,-0.023394659161567688,0.5882740616798401,0.059141550213098526,0.04171600379049778,-0.005688606761395931,-17.5,7.0,-1003.0,60.0,42.0,-5.0,AUTO,1500.0,-35.363263399999994,149.1652384,39425.5,79.5,-30.5,-150.5,1500.0
16:40:40,0.09909231588244438,0.03828265704214573,0.5030195564031601,0.025023872731253505,0.018686283845454454,-0.07430519908666611,-1.5,-1.0,-997.5,25.5,19.5,-73.5,AUTO,1500.0,-35.3632537,149.16523325,42556.5,-9.0,12.5,-153.0,1500.0
16:40:42,-0.07250300794839859,0.0019039222970604897,0.28515206277370453,-0.05378830130212009,-0.07907974720001221,-0.21847416460514069,23.0,-4.0,-1012.5,-52.0,-78.0,-217.5,AUTO,1452.0,-35.3632655,149.16524345,45559.0,-82.5,29.5,-148.5,1500.0
