,A.RTL3
13:13:41.629,-1.0
13:13:41.830,-1.0
13:13:42.032,-1.0
13:13:42.233,-1.0
13:13:42.434,-1.0
13:13:42.635,-1.0
13:13:42.836,-1.0
13:13:43.037,-1.0
13:13:43.238,-1.0
13:13:43.439,-1.0
13:13:43.640,-1.0
13:13:43.841,-1.0
13:13:44.042,-1.0
13:13:44.243,-1.0
13:13:44.444,-1.0
13:13:44.645,-1.0
13:13:44.845,-1.0
13:13:45.047,-1.0
13:13:45.248,-1.0
13:13:45.471,-1.0
13:13:45.672,-1.0
13:13:45.874,-1.0
13:13:46.075,-1.0
13:13:46.276,-1.0
13:13:46.478,-1.0
13:13:46.679,-1.0
13:13:46.881,-1.0
13:13:47.084,-1.0
13:13:47.285,-1.0
13:13:47.486,-1.0
13:13:47.687,-1.0
13:13:47.888,-1.0
13:13:48.088,-1.0
13:13:48.289,-1.0
13:13:48.491,-1.0
13:13:48.692,-1.0
13:13:48.893,-1.0
13:13:49.094,-1.0
13:13:49.296,-1.0
13:13:49.517,-1.0
13:13:49.718,-1.0
13:13:49.919,-1.0
13:13:50.120,-1.0
13:13:50.321,-1.0
13:13:50.522,-1.0
13:13:50.723,-1.0
13:13:50.925,-1.0
13:13:51.126,-1.0
13:13:51.327,-1.0
13:13:51.528,-1.0
13:13:51.729,-1.0
13:13:51.930,-1.0
13:13:52.131,-1.0
13:13:52.332,-1.0
13:13:52.533,-1.0
13:13:52.734,-1.0
13:13:52.935,-1.0
13:13:53.137,-1.0
13:13:53.337,-1.0
13:13:53.541,-1.0
13:13:53.742,-1.0
13:13:53.944,-1.0
13:13:54.145,-1.0
13:13:54.347,-1.0
13:13:54.548,-1.0
13:13:54.748,-1.0
13:13:54.950,-1.0
13:13:55.151,-1.0
13:13:55.352,-1.0
13:13:55.553,-1.0
13:13:55.754,-1.0
13:13:55.955,-1.0
13:13:56.156,-1.0
13:13:56.357,-1.0
13:13:56.558,-1.0
13:13:56.759,-1.0
13:13:56.959,-1.0
13:13:57.161,-1.0
13:13:57.362,-1.0
13:13:57.564,-1.0
13:13:57.766,-1.0
13:13:57.968,-1.0
13:13:58.170,-1.0
13:13:58.372,-1.0
13:13:58.573,-1.0
13:13:58.774,-1.0
13:13:58.976,-1.0
13:13:59.179,-1.0
13:13:59.381,-1.0
13:13:59.582,-1.0
13:13:59.783,-1.0
13:13:59.984,-1.0
13:14:00.186,-1.0
13:14:00.387,-1.0
13:14:00.588,-1.0
13:14:00.789,-1.0
13:14:00.990,-1.0
13:14:01.192,-1.0
13:14:01.393,-1.0
13:14:01.594,-1.0
13:14:01.795,-1.0
13:14:01.997,-1.0
13:14:02.198,-1.0
13:14:02.399,-1.0
13:14:02.600,-1.0
13:14:02.802,-1.0
13:14:03.004,-1.0
13:14:03.205,-1.0
13:14:03.467,-1.0
13:14:03.669,-1.0
13:14:03.870,-1.0
13:14:04.071,-1.0
13:14:04.272,-1.0
13:14:04.474,-1.0
13:14:04.675,-1.0
13:14:04.877,-1.0
13:14:05.079,-1.0
13:14:05.280,-1.0
13:14:05.481,-1.0
13:14:05.682,-1.0
13:14:05.884,-1.0
13:14:06.085,-1.0
13:14:06.286,-1.0
13:14:06.487,-1.0
13:14:06.688,-1.0
13:14:06.890,-1.0
13:14:07.091,-1.0
13:14:07.292,-1.0
13:14:07.583,-1.0
13:14:07.784,-1.0
13:14:07.985,-1.0
13:14:08.188,-1.0
13:14:08.390,-1.0
13:14:08.591,-1.0
13:14:08.792,-1.0
13:14:08.993,-1.0
13:14:09.196,-1.0
13:14:09.398,-1.0
13:14:09.599,-1.0
13:14:09.800,-1.0
13:14:10.001,-1.0
13:14:10.202,-1.0
13:14:10.403,-1.0
13:14:10.605,-1.0
13:14:10.806,-1.0
13:14:11.007,-1.0
13:14:11.208,-1.0
13:14:11.410,-1.0
13:14:11.619,-1.0
13:14:11.820,-1.0
13:14:12.021,-1.0
13:14:12.223,-1.0
13:14:12.424,-1.0
13:14:12.625,-1.0
13:14:13.294,-1.0
13:14:13.495,-1.0
13:14:13.696,-1.0
13:14:13.897,-1.0
13:14:14.098,-1.0
13:14:14.299,-1.0
13:14:14.500,-1.0
13:14:14.701,-1.0
13:14:14.903,-1.0
13:14:15.104,-1.0
13:14:15.305,-1.0
13:14:15.508,-1.0
13:14:15.709,-1.0
13:14:15.910,-1.0
13:14:16.162,-1.0
13:14:16.364,-1.0
13:14:16.565,-1.0
13:14:16.767,-1.0
13:14:16.969,-1.0
13:14:17.171,-1.0
13:14:17.373,-1.0
13:14:17.575,-1.0
13:14:17.775,-1.0
13:14:17.977,-1.0
13:14:18.178,-1.0
13:14:18.378,-1.0
13:14:18.580,-1.0
13:14:18.781,-1.0
13:14:18.982,-1.0
13:14:19.183,-1.0
13:14:19.384,-1.0
13:14:19.585,-1.0
13:14:19.787,-1.0
13:14:19.988,-1.0
13:14:20.231,-1.0
13:14:20.433,-1.0
13:14:20.634,-1.0
13:14:20.836,-1.0
13:14:21.037,-1.0
13:14:21.238,-1.0
13:14:21.439,-1.0
13:14:21.640,-1.0
13:14:21.842,-1.0
13:14:22.043,-1.0
13:14:22.244,-1.0
13:14:22.445,-1.0
13:14:22.646,-1.0
13:14:22.847,-1.0
13:14:23.048,-1.0
13:14:23.249,-1.0
13:14:23.451,-1.0
13:14:23.653,-1.0
13:14:23.855,-1.0
13:14:24.056,-1.0
13:14:24.257,-1.0
13:14:24.458,-1.0
13:14:24.659,-1.0
13:14:24.861,-1.0
13:14:25.062,-1.0
13:14:25.263,-1.0
13:14:25.467,-1.0
13:14:25.668,-1.0
13:14:25.870,-1.0
13:14:26.072,-1.0
13:14:26.274,-1.0
13:14:26.475,-1.0
13:14:26.676,-1.0
13:14:26.877,-1.0
13:14:27.079,-1.0
13:14:27.280,-1.0
13:14:27.481,-1.0
13:14:27.682,-1.0
13:14:27.883,-1.0
13:14:28.084,-1.0
13:14:28.285,-1.0
13:14:28.486,-1.0
13:14:28.687,-1.0
13:14:28.888,-1.0
13:14:29.089,-1.0
13:14:29.290,-1.0
13:14:29.492,-1.0
13:14:29.693,-1.0
13:14:29.894,-1.0
13:14:30.097,-1.0
13:14:30.299,-1.0
13:14:30.499,-1.0
13:14:30.700,-1.0
13:14:30.901,-1.0
