,LAND_SPEED_HIGH,PLND_XY_DIST_MAX,PLND_TIMEOUT,AVOID_MARGIN,FOLL_OFS_Z,CAM_TRIGG_DIST,RNGFND1_PWRRNG,RNGFND2_PWRRNG,RNGFND3_PWRRNG,RNGFND4_PWRRNG
13:30:53.816,410.0,0.38432390974812214,1.8805395020875637,2.241872770463273,76.0,704.4152771805818,10093.769729124848,12247.94963123517,7516.655632680333,3138.445520088473
13:30:56.823,170.0,7.445714287295341,14.17437810603454,1.059037408464424,54.0,565.5905850835112,24043.59438348482,26864.350361560868,29500.273047104016,5927.553433650875
13:30:59.828,310.0,9.315335953882235,7.029741207086491,6.131180728607873,50.0,255.6600336361996,4766.890387820333,6061.89662706063,25541.393938548812,20481.754544917236
13:31:02.835,160.0,6.681710693614447,15.078173225252556,7.057648789388031,89.0,468.61043955412526,32560.328614551956,22086.24683426919,15226.82231643209,23553.297771414655
13:31:08.057,250.0,5.264564517252418,13.51229395974817,6.003329005239085,36.0,414.37222870085975,5493.319907382129,24055.863305510295,13342.127651345192,24842.062965668007
13:31:11.063,330.0,6.434232920805173,3.2598820816281826,3.723215922895103,-41.0,874.4670716398188,850.000131145968,24353.37108923266,16164.535391881618,10450.397218785136
13:31:14.071,470.0,2.423326597962806,5.2428403429718,4.060415308035582,90.0,708.0601405632817,4539.077824759189,27300.926592045,32200.94338246676,26144.155752253897
13:31:17.084,20.0,5.110344512602922,16.438275312553966,4.638879905421241,-88.0,575.4902516539507,2521.529462431645,27527.65482795319,31942.385290974613,7545.408441024355
13:31:20.094,230.0,1.1031540936571738,6.768508200244792,4.167498690168429,79.0,10.675733203940663,8102.774034330381,11973.071270610355,4574.833243531915,23549.95733576531
13:31:23.100,150.0,2.7404513184178025,10.836200301484421,4.57218826126536,83.0,351.1818909236315,2531.0581314069777,17800.102297817037,13575.892995755745,17939.234889902258
13:31:26.109,140.0,0.9656204542219216,7.466072783256211,1.409015102426323,20.0,890.8554235658953,24184.771184508885,10037.988615075064,7150.930188722314,18620.715491224328
13:31:29.121,490.0,4.811361060401868,7.2511839835322895,2.11049234409466,16.0,588.5558886752806,14661.692416811875,10960.264227560076,14223.082922384388,27842.30307033022
13:31:32.129,170.0,8.016174286714518,10.910727825267008,8.234703803422002,-55.0,618.919367055733,27227.301362279806,14769.45436654283,14066.097703191388,23398.32919884022
13:31:35.139,200.0,5.8770306991810815,9.53726040855698,7.471218554811521,6.0,890.9392678779296,14706.937301063477,15426.038705180275,6806.158120357951,1383.864982994879
13:31:40.376,190.0,7.2809196904515385,4.766482595291713,4.991120120834974,19.0,17.848936891748046,11657.885152791865,27865.804401833215,17380.016272777375,1518.5676298703852
13:31:43.380,170.0,8.70099601428955,7.100411555515073,9.692295810680179,-79.0,306.0818051713191,20759.92379462165,29526.00147734858,15607.915563824945,9015.012639490114
13:31:46.386,230.0,2.685507911507888,9.705121511994149,7.685289915808224,82.0,35.334289433286095,28620.77188507412,21177.213193043288,19710.945271600674,23449.33441841904
13:31:49.392,40.0,4.963105624981708,16.166510127574263,4.260007193968926,-4.0,822.0708788254502,29147.693441663894,8079.15620558382,12754.925468508132,2706.112664603035
13:31:52.400,320.0,5.971613518134352,13.514155599028308,2.040931774063321,4.0,443.5319175972208,14755.013130743317,27117.63718961857,13321.121249839935,18598.810481400244
13:31:55.410,60.0,4.959195386094073,2.7069840690923597,1.8822017200028354,94.0,603.9229117595155,9024.469052745266,1968.538133471728,7452.13769348738,3564.094028981053
13:31:58.415,80.0,6.973397238526512,13.392873749525005,7.881226081456025,-82.0,249.9013959392429,8509.897014326032,14468.651213778521,12646.591613740256,1451.7814384536568
13:32:01.422,470.0,6.627389635802735,2.1387239633583555,6.319962139314504,10.0,298.84928200694713,9812.219079815577,9863.948929417598,26770.312594445953,28510.95351819318
13:32:04.434,440.0,2.253712472796068,17.449444641323847,7.973650464089456,100.0,567.6107046720338,20856.66740364688,17208.372526173993,24589.862435916642,4450.514798858114
13:32:07.444,310.0,9.749394654264028,18.18697272251226,1.3293657147705673,52.0,203.29415685795038,5660.0257743317325,18649.041143395585,803.4536024881495,27608.873852118642
13:32:10.450,160.0,7.541135481978081,7.733537810977946,2.615319112790385,-65.0,38.8269306415413,11225.735085115208,2416.476225339624,7577.843455449772,2984.7018468148863
