time_stamp,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro,alt,lat,lon,relative_alt,vx,vy,vz,VFR_HUD_alt,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,EK2_ALT_SOURCE
08:50:45,1500.0,0.0,-0.5,-1011.0,45.5,-6.5,1.5,585620.0,-35.363262,149.1652377,1615.0,1.0,8.5,-145.0,585.6199951171875,AUTO,0.029232608154416084,-0.001947155804373324,0.020100395195186138,0.04549059271812439,-0.007804298773407936,0.0026330611435696483,0.0
08:50:47,1500.0,2.0,-8.0,-1003.0,2.5,-50.5,33.5,588665.0,-35.363260600000004,149.16524564999997,4660.5,12.0,32.0,-149.0,588.6649780273438,AUTO,-0.022170279175043106,-0.021653336938470602,-0.03524709306657314,0.001734755001962185,-0.05161674693226814,0.03397415205836296,0.0
08:50:49,1500.0,-3.5,17.5,-1002.5,75.0,5.0,-23.5,591720.0,-35.36326045,149.1652402,7713.5,-43.5,-70.0,-147.5,591.719970703125,AUTO,-0.02451652381569147,0.04617252200841904,-0.17556092888116837,0.07476629316806793,0.005127666052430868,-0.02380318194627762,0.0
08:50:53,1500.0,-11.5,-28.0,-1014.5,-79.5,64.5,-83.5,597840.0,-35.36326085,149.1652388,13833.5,105.0,58.5,-147.0,597.8399658203125,AUTO,-0.00690251961350441,-0.003914237313438207,-0.08696158602833748,-0.08059419691562653,0.06473403796553612,-0.08396071568131447,0.0
08:50:55,1500.0,-6.0,7.0,-999.0,57.5,14.0,-24.0,600985.0,-35.3632499,149.1652392,16975.5,-16.5,-41.0,-152.5,600.9849853515625,AUTO,-0.02975984662771225,0.08063575252890587,-0.2101484015583992,0.05704142712056637,0.013904154300689697,-0.02429286576807499,0.0
08:50:57,1500.0,20.5,6.0,-1013.5,-39.0,-179.5,163.0,604050.0,-35.3632627,149.16523675000002,20043.5,-81.0,42.0,-151.5,604.0499877929688,AUTO,0.036434466019272804,-0.05213922914117575,-0.1364828161895275,-0.04040171019732952,-0.18044130504131317,0.1639419123530388,0.0
08:50:59,1500.0,-17.0,2.5,-1003.5,47.0,49.5,-62.5,607120.0,-35.36326,149.1652378,23114.0,58.5,-64.5,-149.0,607.1199951171875,AUTO,-0.059951167553663254,-0.018767640460282564,-0.1979222372174263,0.04667569696903229,0.048950059339404106,-0.06276662088930607,0.0
08:51:01,1500.0,-5.0,11.5,-1002.0,66.5,15.0,-3.0,610240.0,-35.363255499999994,149.1652204,26232.5,-29.0,-39.5,-155.5,610.239990234375,AUTO,0.05884393863379955,0.07234229519963264,-0.246518112719059,0.06604256108403206,0.014908947283402085,-0.003604560042731464,0.0
08:51:03,1500.0,23.0,-23.0,-1017.5,-209.0,-14.0,-3.5,613250.0,-35.36326355,149.16523315,29242.5,-8.5,137.5,-142.0,613.25,AUTO,0.024498994287569076,-0.07095684111118317,-0.18896222859621048,-0.21057356148958206,-0.015089616179466248,-0.003142803907394409,0.0
08:51:05,1500.0,-11.5,10.0,-1000.0,65.5,34.5,-13.0,616310.0,-35.3632599,149.16524075,32305.5,-10.5,-82.0,-147.5,616.3099975585938,AUTO,-0.09586455672979355,0.027134785428643227,-0.3692169636487961,0.06448520347476006,0.03372798766940832,-0.013765552546828985,0.0
