,A.ALT_HOLD1
13:22:02.020,1
13:22:02.223,1
13:22:02.424,1
13:22:02.625,-1
13:22:02.826,1
13:22:03.027,1
13:22:03.228,1
13:22:03.430,1
13:22:03.632,1
13:22:03.835,1
13:22:04.036,1
13:22:04.238,1
13:22:04.439,1
13:22:04.640,1
13:22:04.841,1
13:22:05.041,1
13:22:05.242,1
13:22:05.443,1
13:22:05.644,1
13:22:05.846,1
13:22:06.048,1
13:22:06.249,1
13:22:06.450,1
13:22:06.651,1
13:22:06.852,1
13:22:07.052,1
13:22:07.253,1
13:22:07.454,1
13:22:07.655,1
13:22:07.857,1
13:22:08.058,1
13:22:08.259,1
13:22:08.460,1
13:22:08.660,1
13:22:08.861,1
13:22:09.063,-1
13:22:09.263,1
13:22:09.465,1
13:22:09.666,1
13:22:09.868,1
13:22:10.068,1
13:22:10.269,1
13:22:10.470,1
13:22:10.672,1
13:22:10.872,1
13:22:11.073,1
13:22:11.274,-1
13:22:11.475,1
13:22:11.677,1
13:22:11.877,1
13:22:12.079,1
13:22:12.280,1
13:22:12.481,1
13:22:12.682,1
13:22:12.883,1
13:22:13.084,1
13:22:13.285,1
13:22:13.486,1
13:22:13.687,1
13:22:13.889,1
13:22:14.090,1
13:22:14.291,1
13:22:14.492,1
13:22:14.693,1
13:22:14.894,1
13:22:15.095,1
13:22:15.296,1
13:22:15.497,1
13:22:15.698,1
13:22:15.900,1
13:22:16.102,1
13:22:16.302,1
13:22:16.504,1
13:22:16.704,1
13:22:16.905,1
13:22:17.106,1
13:22:17.307,1
13:22:17.508,1
13:22:17.710,1
13:22:17.912,1
13:22:18.113,1
13:22:18.314,1
13:22:18.515,1
13:22:18.716,1
13:22:18.917,1
13:22:19.118,1
13:22:19.319,1
13:22:19.520,1
13:22:19.722,1
13:22:19.923,1
13:22:20.125,1
13:22:20.326,1
13:22:20.528,1
13:22:20.729,1
13:22:20.930,1
13:22:21.131,1
13:22:21.332,1
13:22:21.533,1
13:22:21.734,1
13:22:21.935,1
13:22:22.138,1
13:22:22.339,1
13:22:22.540,1
13:22:22.741,1
13:22:22.942,1
13:22:23.143,1
13:22:23.344,1
13:22:23.546,1
13:22:23.748,1
13:22:23.949,1
13:22:24.151,1
13:22:24.353,1
13:22:24.553,1
13:22:24.754,1
13:22:24.955,1
13:22:25.156,1
13:22:25.359,1
13:22:25.561,1
13:22:25.762,1
13:22:25.967,1
13:22:26.169,1
13:22:26.370,1
13:22:26.571,1
13:22:26.772,1
13:22:26.973,1
13:22:27.174,1
13:22:27.375,1
13:22:27.578,1
13:22:27.779,1
13:22:27.980,1
13:22:28.182,1
13:22:28.383,-1
13:22:28.585,1
