,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P
15:37:22.265,11466.0,0.3,0.5,-4.8,0.25,1.3,0.0,11421.0,20.0,1.0
15:37:28.277,70533.0,0.5,0.4,-6.2,0.25,3.7,0.0,8997.0,60.0,1.0
15:37:34.209,32686.0,0.5,0.4,-5.8,0.25,3.4,0.0,13957.0,350.0,1.0
15:37:40.319,168790.0,0.4,0.2,-4.5,0.25,1.3,0.0,6974.0,160.0,1.0
15:37:46.430,2301.0,0.9,0.5,-9.4,0.25,3.2,0.0,12905.0,310.0,1.0
15:37:52.475,2773.0,0.5,1.7,3.3,0.25,4.4,0.0,1509.0,30.0,1.0
15:37:58.636,103375.0,0.3,0.4,5.2,0.25,0.2,0.0,3199.0,670.0,1.0
15:38:04.070,85176.0,0.2,0.3,-7.9,0.25,3.2,0.0,6250.0,130.0,1.0
15:38:10.022,249678.0,0.2,0.4,-3.3,0.25,1.9,0.0,1303.0,700.0,1.0
15:38:16.147,8162.0,0.2,0.7,-7.8,0.25,0.3,0.0,31845.0,500.0,1.0
15:38:22.235,106444.0,0.3,0.2,-9.7,0.25,2.1,0.0,4266.0,110.0,1.0
15:38:28.240,92247.0,0.9,0.4,-8.2,0.25,0.6,0.0,16639.0,110.0,1.0
15:38:34.281,71737.0,0.2,0.2,-5.3,0.25,2.5,0.0,13278.0,110.0,1.0
15:38:40.207,183976.0,0.2,1.2,2.6,0.25,0.8,0.0,2720.0,190.0,1.0
15:38:46.276,110081.0,0.3,1.8,-9.4,0.25,1.1,0.0,7564.0,390.0,1.0
15:38:52.261,35924.0,0.3,0.4,-8.2,0.25,0.8,0.0,12068.0,880.0,1.0
15:38:58.341,69441.0,0.4,1.2,-7.9,0.25,0.6,0.0,1640.0,160.0,1.0
15:39:04.403,25914.0,0.4,1.3,-7.4,0.25,1.1,0.0,3017.0,190.0,1.0
15:39:10.501,90103.0,0.4,0.2,-4.9,0.25,3.5,0.0,19636.0,100.0,1.0
15:39:16.068,129242.0,0.2,1.7,-3.3,0.25,1.5,0.0,7387.0,620.0,1.0
15:39:22.211,159048.0,0.5,0.5,-8.5,0.25,1.1,0.0,1576.0,160.0,1.0
15:39:28.222,2196.0,0.2,1.1,-9.2,0.25,4.4,0.0,9320.0,120.0,1.0
15:39:34.294,144495.0,0.2,0.9,-8.7,0.25,1.6,0.0,4922.0,420.0,1.0
15:39:40.402,22003.0,0.3,0.9,-3.2,0.25,1.6,0.0,3656.0,830.0,1.0
15:39:46.374,69227.0,0.3,0.2,-6.3,0.25,2.1,0.0,7757.0,280.0,1.0
15:39:52.416,77029.0,0.2,0.9,-9.6,0.25,3.5,0.0,1122.0,30.0,1.0
15:39:58.489,158639.0,0.2,1.5,-2.7,0.25,0.2,0.0,2399.0,150.0,1.0
15:40:04.597,58429.0,0.2,0.3,-7.9,0.25,1.3,0.0,1101.0,30.0,1.0
15:40:10.082,30266.0,0.4,0.3,4.8,0.25,0.3,0.0,9141.0,100.0,1.0
15:40:16.264,41468.0,0.5,0.2,-5.3,0.25,1.8,0.0,115.0,630.0,1.0
15:40:22.296,148879.0,0.5,0.2,-6.8,0.25,0.1,0.0,21199.0,160.0,1.0
15:40:28.313,247321.0,0.2,0.4,-6.6,0.25,2.4,0.0,1859.0,40.0,1.0
15:40:34.362,22628.0,0.2,1.7,-3.2,0.25,1.3,0.0,8947.0,10.0,1.0
15:40:40.445,58027.0,0.7,1.2,-7.9,0.25,0.1,0.0,15863.0,240.0,1.0
15:40:46.453,18934.0,0.5,0.2,-4.2,0.25,0.6,0.0,663.0,510.0,1.0
15:40:52.596,186629.0,0.5,0.5,-5.6,0.25,3.8,0.0,3152.0,210.0,1.0
15:40:58.041,111416.0,0.2,1.2,-7.9,0.25,3.2,0.0,4554.0,40.0,1.0
15:41:03.939,9863.0,0.2,0.9,1.0,0.25,1.5,0.0,22821.0,150.0,1.0
15:41:08.959,40408.0,0.7,0.5,-5.9,0.25,0.1,0.0,1201.0,60.0,1.0
15:41:14.413,16482.0,0.2,0.2,-1.2,0.25,3.1,0.0,1757.0,180.0,1.0
15:41:20.398,28143.0,0.3,0.7,-7.2,0.25,0.1,0.0,12367.0,380.0,1.0
15:41:26.406,117937.0,0.3,0.9,-4.4,0.25,2.9,0.0,6193.0,310.0,1.0
15:41:32.363,169132.0,0.2,0.3,-3.7,0.25,0.8,0.0,19792.0,150.0,1.0
15:41:38.439,131102.0,0.3,0.5,-8.5,0.25,0.1,0.0,1823.0,210.0,1.0
15:41:44.417,120133.0,0.7,0.5,-9.6,0.25,2.4,0.0,11632.0,510.0,1.0
15:41:50.520,85827.0,0.2,0.5,-3.7,0.25,1.1,0.0,4797.0,670.0,1.0
15:41:55.957,29650.0,0.9,0.7,-6.2,0.25,1.2,0.0,1331.0,150.0,1.0
15:42:01.117,70942.0,1.1,0.2,-6.5,0.25,0.8,0.0,3639.0,690.0,1.0
15:42:06.194,93884.0,0.3,1.3,0.1,0.25,1.9,0.0,4263.0,470.0,1.0
15:42:12.338,21796.0,0.3,0.3,-6.2,0.25,3.1,0.0,30314.0,100.0,1.0
15:42:18.384,208300.0,0.4,0.5,2.2,0.25,1.8,0.0,1109.0,350.0,1.0
15:42:24.330,124201.0,0.2,0.2,6.8,0.25,2.8,0.0,15388.0,60.0,1.0
15:42:30.355,39439.0,0.4,0.4,-9.9,0.25,2.9,0.0,3570.0,130.0,1.0
15:42:36.558,62886.0,0.2,1.4,-2.4,0.25,1.2,0.0,10794.0,350.0,1.0
15:42:42.077,19037.0,0.2,0.2,-7.1,0.25,1.6,0.0,22483.0,40.0,1.0
15:42:48.080,87161.0,0.5,0.5,-7.6,0.25,0.4,0.0,22934.0,110.0,1.0
