time_stamp,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,RTL_ALT,MODE
01:03:29,-35.3632622,149.1652375,44.5,-1.0,1.0,0.0,0.0,1.0,-1000.0,0.0,0.0,0.0,-0.0009324238053523004,0.0010051388526335359,0.02702106162905693,0.00018197245663031936,0.00023002346279099584,0.002138739451766014,44848.0,STABILIZE
01:03:37,-35.3632622,149.1652375,40.0,-1.0,1.0,0.0,0.0,2.0,-1000.0,0.0,0.0,1.0,-0.0010373054537922144,0.0009898223215714097,0.02407190389931202,0.000458196853287518,0.0002483491552993655,0.0015938481083139777,44848.0,STABILIZE
01:03:39,-35.3632622,149.1652375,1.0,-1.0,1.0,0.0,0.0,1.0,-1000.0,0.5,0.5,0.0,-0.000979315460426733,0.0009875755058601499,0.023433676920831203,0.0003280287201050669,0.0002676108852028847,0.0016043619252741337,44848.0,AUTO
01:03:40,-35.3632621,149.1652375,0.5,0.0,2.25,3.75,0.0,0.5,-1001.75,0.0,0.0,0.75,-0.00031905153082334436,0.0011744592047762126,0.023075047880411148,0.0003554492286639288,0.00021743903926108032,0.00153837981633842,51251.0,AUTO
01:03:41,-35.3632621,149.1652375,0.0,0.0,1.5,4.0,0.0,1.5,-1000.0,0.0,0.5,0.5,1.4379598724190146e-05,0.001365757780149579,0.02277366165071726,0.0003423331363592297,0.0002539200067985803,0.0015491986414417624,51251.0,AUTO
01:03:43,-35.3632621,149.1652375,245.0,0.0,1.5,-77.5,0.0,-0.5,-1120.0,-15.0,4.5,0.0,0.005096707493066788,0.000577856665586296,0.022343207150697708,-0.015569777111522853,0.004567944211885333,0.0012547873193398118,51251.0,AUTO
01:03:45,-35.3632615,149.16524040000002,3035.5,9.0,44.5,-146.0,1.5,-7.5,-994.5,-31.5,53.0,-62.0,0.05482826195657253,-0.0021770845633000135,-0.015340181766077876,-0.03244023211300373,0.052345747128129005,-0.0625628475099802,70953.0,AUTO
01:03:47,-35.36326085,149.16524594999998,6097.5,-2.0,-29.0,-149.0,-2.0,3.5,-1003.0,44.0,0.0,-17.5,-0.06591840833425522,-0.0008732405840419233,-0.09855497628450394,0.04387415200471878,-0.00024139523156918585,-0.017576043028384447,70953.0,AUTO
01:03:49,-35.363262399999996,149.16523545,9202.0,-17.5,-22.0,-154.0,-1.0,9.0,-1000.5,47.5,-10.0,15.5,0.05881156586110592,0.011490531265735626,-0.10296309366822243,0.04742307960987091,-0.010713005322031677,0.01667030155658722,70953.0,AUTO
01:03:50,-35.3632631,149.165235975,11141.25,11.5,16.5,-150.0,0.5,-4.0,-1001.25,-55.25,40.0,-37.5,-0.0006297303480096161,-0.021060366998426616,-0.07056571636348963,-0.05640363250859082,0.039935306180268526,-0.037408412841614336,159435.0,AUTO
