time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,VFR_HUD_alt,alt,lat,lon,relative_alt,vx,vy,vz,EK2_ALT_SOURCE
10:18:49,1500.0,0.002421024527090291,0.0015374422170377027,-0.15163019796212515,0.0030866437203561268,0.003070747402186195,-0.023320083506405354,0.0,0.0,-1000.0,3.3333333333333335,3.0,-23.166666666666668,AUTO,601.288319905599,601288.3333333334,-35.3632618,149.16523578333334,17272.166666666668,-1.5,3.3333333333333335,-153.0,0.0
10:18:55,1500.0,0.008703932981006801,0.0021774528868263587,-0.2184588573873043,0.007668858976103365,-0.0037467133661266416,0.02707326365634799,0.0,0.2,-1000.2,13.8,-3.2,26.8,AUTO,610.7279907226563,610925.0,-35.3632623,149.1652368,26907.25,-4.25,1.25,-153.25,0.0
10:19:07,1500.0,0.0018337108970930178,0.0014346413857614,-0.0967523567378521,-0.0007618729820630202,0.0007904991022466371,0.007778322013715903,0.0,0.0,-999.6666666666666,0.16666666666666666,1.1666666666666667,7.333333333333333,AUTO,624.8949890136719,624895.0,-35.36326208333333,149.1652375,40876.5,-0.5,0.0,-153.0,0.0
10:19:30,1500.0,0.008411877516967555,0.04668043553829193,1.8872056404749553,-0.12883979144195715,-0.017246983324488003,-0.002772873102609689,-6.666666666666667,-20.0,-1002.1666666666666,-132.0,-15.166666666666666,-2.5,AUTO,634.010009765625,634010.0,-35.3633424,149.16563383333335,49992.5,-10.666666666666666,30.0,0.5,0.0
10:20:31,1500.0,-0.006788958232694616,0.00031156154970328015,1.8268819848696392,-0.9236918439467748,0.0019125232550626,-0.0009691138208533326,-1.8333333333333333,-15.166666666666666,-988.3333333333334,-916.8333333333334,5.0,0.5,RTL,607.0883178710938,607088.3333333334,-35.363262416666664,149.16523755,23074.5,8.0,0.0,97.5,0.0
10:20:59,1500.0,0.0006423892336897552,0.0026314097340218723,1.8256154358386993,-0.25783611834049225,0.00042734399903565645,0.002284688875079155,0.5,0.5,-979.5,-250.75,3.75,4.0,RTL,593.2974853515625,593297.5,-35.363261125,149.16523792499999,9282.75,-15.0,-3.5,2.0,0.0
10:21:03,1500.0,-0.015334379393607378,0.0031784474849700928,1.8259199261665344,-1.0112830698490143,0.0008107167668640614,0.0017605609027668834,0.5,-37.0,-993.5,-1009.5,4.5,3.5,RTL,592.0549926757812,592055.0,-35.363262750000004,149.1652375,8037.0,1.0,0.0,37.0,0.0
10:21:06,1500.0,-0.007272413559257984,0.0014364931907039137,1.8257264852523805,0.0989023819565773,0.000874659325927496,-0.00030130441300570967,-0.8,22.6,-994.2,113.0,4.6,1.8,RTL,590.9919921875,590992.0,-35.36326298,149.1652375,6975.2,7.0,0.0,33.4,0.0
10:21:16,1500.0,0.0023347023331249752,0.0007702184308679231,1.8258099953333538,0.28316696981589,0.000982834491878748,0.00019779962409908572,-0.16666666666666666,22.666666666666668,-1000.3333333333334,290.8333333333333,5.0,2.3333333333333335,RTL,587.6666564941406,587666.6666666666,-35.3632626,149.1652375,3652.5,4.0,0.0,32.833333333333336,0.0
10:21:24,1500.0,-0.008573342114686966,0.002252712962217629,1.8261066913604735,1.299525611102581e-05,-0.0011672355700284242,0.0006240076385438442,0.0,0.0,-1000.0,3.0,2.6,2.6,RTL,585.4299926757812,585430.0,-35.36325992,149.16523854000002,1414.2,14.8,0.6,0.0,0.0
