,A.AUTO1
13:50:30.628,-1
13:50:30.829,-1
13:50:31.030,-1
13:50:31.231,-1
13:50:31.432,-1
13:50:31.632,-1
13:50:31.834,-1
13:50:32.036,-1
13:50:32.239,-1
13:50:32.440,-1
13:50:32.641,-1
13:50:32.842,-1
13:50:33.043,-1
13:50:33.244,-1
13:50:33.445,-1
13:50:33.645,-1
13:50:33.847,-1
13:50:34.049,-1
13:50:34.250,-1
13:50:34.451,-1
13:50:34.652,-1
13:50:34.853,-1
13:50:35.054,-1
13:50:35.255,-1
13:50:35.456,-1
13:50:35.657,-1
13:50:35.858,-1
13:50:36.058,-1
13:50:36.262,-1
13:50:36.464,-1
13:50:36.664,-1
13:50:36.865,-1
13:50:37.066,-1
13:50:37.267,-1
13:50:37.468,-1
13:50:37.669,-1
13:50:37.869,-1
13:50:38.070,-1
13:50:38.273,-1
13:50:38.476,-1
13:50:38.676,-1
13:50:38.878,-1
13:50:39.079,-1
13:50:39.279,-1
13:50:39.480,-1
13:50:39.681,-1
13:50:39.882,-1
13:50:40.083,-1
13:50:40.284,-1
13:50:40.486,-1
13:50:40.687,-1
13:50:40.887,-1
13:50:41.088,-1
13:50:41.289,-1
13:50:41.490,-1
13:50:41.691,-1
13:50:41.892,-1
13:50:42.093,-1
13:50:42.294,-1
13:50:42.496,-1
13:50:42.697,-1
13:50:42.898,-1
13:50:43.099,-1
13:50:43.300,-1
13:50:43.501,-1
13:50:43.702,-1
13:50:43.903,-1
13:50:44.105,-1
13:50:44.305,-1
13:50:44.508,-1
13:50:44.708,-1
13:50:44.909,-1
13:50:45.110,-1
13:50:45.311,-1
13:50:45.512,-1
13:50:45.713,-1
13:50:45.914,-1
13:50:46.115,-1
13:50:46.317,-1
13:50:46.518,-1
13:50:46.720,-1
13:50:46.920,-1
13:50:47.121,-1
13:50:47.322,-1
13:50:47.523,-1
13:50:47.724,-1
13:50:47.925,-1
13:50:48.126,-1
13:50:48.326,-1
13:50:48.527,-1
13:50:48.728,-1
13:50:48.929,-1
13:50:49.130,-1
