time_stamp,MODE,lat,lon,relative_alt,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,vx,vy,vz,RTL_ALT,LAND_SPEED
14:23:47.107,GUIDED,-35.3632621,149.1652374,0,0.0001692727382760495,0.0015824767760932446,0.02738908864557743,0.0003782791900448501,0.00035666904295794666,0.002346836496144533,0,1,-1000,0,0,0,-1,1,0,1500.0,50.0
14:23:47.308,GUIDED,-35.3632621,149.1652374,0,0.00014588749036192894,0.0016041130293160677,0.027210067957639694,0.00028787352493964136,0.0003437207196839154,0.0023696343414485455,0,1,-1000,0,0,0,-1,1,0,1500.0,50.0
14:23:47.510,GUIDED,-35.3632621,149.1652374,0,0.00014588749036192894,0.0016041130293160677,0.027210067957639694,0.00028787352493964136,0.0003437207196839154,0.0023696343414485455,0,1,-1000,0,0,0,-1,1,0,1500.0,50.0
14:23:47.712,GUIDED,-35.3632621,149.1652374,0,0.00014588749036192894,0.0016041130293160677,0.027210067957639694,0.00028787352493964136,0.0003437207196839154,0.0023696343414485455,0,1,-1000,0,0,0,-1,1,0,1500.0,50.0
14:23:47.915,GUIDED,-35.3632621,149.1652374,0,0.00014588749036192894,0.0016041130293160677,0.027210067957639694,0.00028787352493964136,0.0003437207196839154,0.0023696343414485455,0,1,-1000,0,0,0,-1,1,0,1500.0,50.0
14:23:48.117,GUIDED,-35.3632621,149.1652374,0,0.00014588749036192894,0.0016041130293160677,0.027210067957639694,0.00028787352493964136,0.0003437207196839154,0.0023696343414485455,0,1,-1000,0,0,0,-1,1,0,1500.0,50.0
14:23:48.320,GUIDED,-35.3632621,149.1652374,0,0.00014588749036192894,0.0016041130293160677,0.027210067957639694,0.00028787352493964136,0.0003437207196839154,0.0023696343414485455,0,1,-1000,0,0,0,-1,1,0,1500.0,50.0
14:23:48.522,GUIDED,-35.3632621,149.1652374,0,0.00014588749036192894,0.0016041130293160677,0.027210067957639694,0.00028787352493964136,0.0003437207196839154,0.0023696343414485455,0,1,-1000,0,0,0,-1,1,0,1500.0,50.0
14:23:48.724,GUIDED,-35.3632621,149.1652374,0,0.00014588749036192894,0.0016041130293160677,0.027210067957639694,0.00028787352493964136,0.0003437207196839154,0.0023696343414485455,0,1,-1000,0,0,0,-1,1,0,1500.0,50.0
14:23:48.928,GUIDED,-35.3632622,149.1652375,0,-0.00021934323012828827,0.001482804655097425,0.02623302862048149,0.00011343008372932673,0.00021895195823162794,0.0022514546290040016,0,2,-1000,1,0,0,-2,2,0,1500.0,50.0
14:23:49.133,GUIDED,-35.3632622,149.1652375,0,-0.00030388071900233626,0.0014414057368412614,0.026096703484654427,0.0002182678144890815,0.00031830830266699195,0.0022490050178021193,0,1,-1000,0,0,0,-2,2,0,1500.0,50.0
14:23:49.334,GUIDED,-35.3632622,149.1652375,0,-7.161423854995519e-05,0.001387211843393743,0.02598985843360424,0.0001911817817017436,0.00024640769697725773,0.0023208349011838436,0,1,-1000,0,0,0,-2,3,2,1500.0,50.0
14:23:49.538,GUIDED,-35.3632622,149.1652375,0,-7.161423854995519e-05,0.001387211843393743,0.02598985843360424,0.0001911817817017436,0.00024640769697725773,0.0023208349011838436,0,1,-1000,0,0,0,-2,3,2,1500.0,50.0
14:23:49.739,GUIDED,-35.3632622,149.1652375,0,-7.161423854995519e-05,0.001387211843393743,0.02598985843360424,0.0001911817817017436,0.00024640769697725773,0.0023208349011838436,0,1,-1000,0,0,0,-2,3,2,1500.0,50.0
14:23:49.942,GUIDED,-35.3632622,149.1652375,0,-7.161423854995519e-05,0.001387211843393743,0.02598985843360424,0.0001911817817017436,0.00024640769697725773,0.0023208349011838436,0,1,-1000,0,0,0,-2,3,2,1500.0,50.0
14:23:50.145,GUIDED,-35.3632622,149.1652375,0,-7.161423854995519e-05,0.001387211843393743,0.02598985843360424,0.0001911817817017436,0.00024640769697725773,0.0023208349011838436,0,1,-1000,0,0,0,-2,3,2,1500.0,50.0
