time_stamp,MODE_LAND,relative_alt,vx,vy,vz
11:42:37.211,0,40,0,0,0
11:42:37.415,0,22,-1,1,0
11:42:37.618,0,22,-1,1,0
11:42:37.820,0,22,-1,1,0
11:42:38.024,0,22,-1,1,0
11:42:38.229,0,22,-1,1,0
11:42:38.433,0,22,-1,1,0
11:42:38.637,0,22,-1,1,0
11:42:38.843,0,22,-1,1,0
11:42:39.050,0,22,-1,1,0
11:42:39.252,0,6,-2,2,0
11:42:39.453,0,3,-2,2,0
11:42:39.654,0,3,-2,2,0
11:42:39.856,0,3,-2,2,0
11:42:40.060,0,3,-2,2,0
11:42:40.264,0,3,-2,2,0
11:42:40.466,0,3,-2,2,0
11:42:40.668,0,3,-2,2,0
11:42:40.870,0,3,-2,2,0
11:42:41.071,0,3,-2,2,0
11:42:41.273,0,0,0,0,0
11:42:41.475,0,0,0,0,0
11:42:41.678,0,0,0,0,0
11:42:41.880,0,0,0,0,0
11:42:42.083,0,0,0,0,0
11:42:42.289,0,0,0,0,0
11:42:42.493,0,0,0,0,0
11:42:42.697,0,0,0,0,0
11:42:42.898,0,0,0,0,0
11:42:43.101,0,0,0,0,0
11:42:43.305,0,0,0,0,0
11:42:43.507,0,25,0,0,-27
11:42:43.710,0,25,0,0,-27
11:42:43.912,0,25,0,0,-27
11:42:44.116,0,25,0,0,-27
11:42:44.317,0,25,0,0,-27
11:42:44.519,0,25,0,0,-27
11:42:44.723,0,25,0,0,-27
11:42:44.925,0,25,0,0,-27
11:42:45.129,0,25,0,0,-27
11:42:45.331,0,1649,5,11,-146
11:42:45.532,0,2414,9,30,-147
11:42:45.734,0,2414,9,30,-147
11:42:45.938,0,2414,9,30,-147
11:42:46.139,0,2414,9,30,-147
11:42:46.342,0,2414,9,30,-147
11:42:46.545,0,2414,9,30,-147
11:42:46.747,0,2414,9,30,-147
11:42:46.950,0,2414,9,30,-147
11:42:47.151,0,2414,9,30,-147
11:42:47.353,0,5087,4,30,-148
11:42:47.556,0,5473,3,15,-148
11:42:47.759,0,5473,3,15,-148
11:42:47.962,0,5473,3,15,-148
11:42:48.163,0,5473,3,15,-148
11:42:48.364,0,5473,3,15,-148
11:42:48.569,0,5473,3,15,-148
11:42:48.770,0,5473,3,15,-148
11:42:48.973,0,5473,3,15,-148
11:42:49.176,0,6846,-7,-51,-148
11:42:49.380,0,8385,-21,-64,-150
11:42:49.582,0,8385,-21,-64,-150
11:42:49.784,0,8385,-21,-64,-150
11:42:49.989,0,8385,-21,-64,-150
11:42:50.191,0,8385,-21,-64,-150
11:42:50.396,0,8385,-21,-64,-150
11:42:50.599,0,8385,-21,-64,-150
11:42:50.802,0,8385,-21,-64,-150
11:42:51.006,0,8385,-21,-64,-150
11:42:51.209,0,9955,-30,-10,-152
11:42:51.410,0,11505,14,50,-148
11:42:51.612,0,11505,14,50,-148
11:42:51.815,0,11505,14,50,-148
11:42:52.017,0,11505,14,50,-148
11:42:52.218,0,11505,14,50,-148
11:42:52.420,0,11505,14,50,-148
11:42:52.625,0,11505,14,50,-148
11:42:52.827,0,11505,14,50,-148
11:42:53.030,0,11505,14,50,-148
11:42:53.233,0,12632,58,36,-147
11:42:53.435,0,14586,16,-35,-152
11:42:53.637,0,14586,16,-35,-152
11:42:53.839,0,14586,16,-35,-152
11:42:54.041,0,14586,16,-35,-152
11:42:54.242,0,14586,16,-35,-152
11:42:54.444,0,14586,16,-35,-152
11:42:54.648,0,14586,16,-35,-152
11:42:54.850,0,14586,16,-35,-152
11:42:55.054,0,14586,16,-35,-152
11:42:55.257,0,16552,-39,-20,-153
11:42:55.459,0,17726,-51,29,-151
11:42:55.661,0,17726,-51,29,-151
11:42:55.863,0,17726,-51,29,-151
11:42:56.064,0,17726,-51,29,-151
11:42:56.267,0,17726,-51,29,-151
11:42:56.469,0,17726,-51,29,-151
11:42:56.671,0,17726,-51,29,-151
11:42:56.873,0,17726,-51,29,-151
11:42:57.077,0,17726,-51,29,-151
11:42:57.278,0,20026,37,13,-151
11:42:57.480,0,20800,37,-22,-152
11:42:57.682,0,20800,37,-22,-152
11:42:57.886,0,20800,37,-22,-152
11:42:58.092,0,20800,37,-22,-152
11:42:58.298,0,20800,37,-22,-152
11:42:58.501,0,20800,37,-22,-152
11:42:58.705,0,20800,37,-22,-152
11:42:58.907,0,20800,37,-22,-152
11:42:59.113,0,21967,20,-55,-151
11:42:59.316,0,23534,-25,-45,-154
11:42:59.517,0,23928,-35,-33,-154
11:42:59.719,0,23928,-35,-33,-154
11:42:59.923,0,23928,-35,-33,-154
11:43:00.128,0,23928,-35,-33,-154
11:43:00.329,0,23928,-35,-33,-154
11:43:00.532,0,23928,-35,-33,-154
11:43:00.733,0,23928,-35,-33,-154
11:43:00.936,0,23928,-35,-33,-154
11:43:01.141,0,25494,-51,47,-151
11:43:01.345,0,26632,-8,91,-146
11:43:01.548,0,27005,20,82,-146
11:43:01.749,0,27005,20,82,-146
11:43:01.953,0,27005,20,82,-146
11:43:02.156,0,27005,20,82,-146
11:43:02.357,0,27005,20,82,-146
11:43:02.558,0,27005,20,82,-146
11:43:02.761,0,27005,20,82,-146
11:43:02.963,0,27005,20,82,-146
11:43:03.170,0,28150,51,-1,-152
11:43:03.372,0,29695,10,-56,-153
11:43:03.574,0,30086,-4,-55,-153
11:43:03.777,0,30086,-4,-55,-153
11:43:03.981,0,30086,-4,-55,-153
11:43:04.183,0,30086,-4,-55,-153
11:43:04.388,0,30086,-4,-55,-153
11:43:04.591,0,30086,-4,-55,-153
11:43:04.796,0,30086,-4,-55,-153
11:43:05.001,0,30086,-4,-55,-153
11:43:05.203,0,31263,-44,-26,-153
11:43:05.405,0,32822,-62,57,-150
11:43:05.607,0,33201,-56,81,-148
11:43:05.808,0,33201,-56,81,-148
11:43:06.011,0,33201,-56,81,-148
11:43:06.212,0,33201,-56,81,-148
11:43:06.415,0,33201,-56,81,-148
11:43:06.618,0,33201,-56,81,-148
11:43:06.821,0,33201,-56,81,-148
11:43:07.026,0,33201,-56,81,-148
11:43:07.229,0,33201,-56,81,-148
11:43:07.430,0,35796,101,47,-149
11:43:07.635,0,36177,102,9,-150
11:43:07.837,0,36177,102,9,-150
11:43:08.041,0,36177,102,9,-150
11:43:08.249,0,36177,102,9,-150
11:43:08.452,0,36177,102,9,-150
11:43:08.653,0,36177,102,9,-150
11:43:08.858,0,36177,102,9,-150
11:43:09.061,0,36177,102,9,-150
11:43:09.263,0,36177,102,9,-150
11:43:09.467,0,38660,-66,-123,-145
11:43:09.669,0,39029,-97,-114,-144
11:43:09.875,0,39029,-97,-114,-144
11:43:10.077,0,39029,-97,-114,-144
11:43:10.280,0,39029,-97,-114,-144
11:43:10.487,0,39029,-97,-114,-144
11:43:10.691,0,39029,-97,-114,-144
11:43:10.895,0,39029,-97,-114,-144
11:43:11.098,0,39029,-97,-114,-144
11:43:11.300,0,40117,-175,-49,-141
11:43:11.503,0,41963,-153,87,-152
11:43:11.708,0,41963,-153,87,-152
11:43:11.916,0,41963,-153,87,-152
11:43:12.117,0,41963,-153,87,-152
11:43:12.320,0,41963,-153,87,-152
11:43:12.523,0,41963,-153,87,-152
11:43:12.725,0,41963,-153,87,-152
11:43:12.928,0,41963,-153,87,-152
11:43:13.539,0,41963,-153,87,-152
11:43:13.742,0,43125,-31,149,-149
11:43:13.943,0,44481,203,135,-113
11:43:14.147,0,44769,243,103,-113
11:43:14.350,0,44769,243,103,-113
11:43:14.555,0,44769,243,103,-113
11:43:14.758,0,44769,243,103,-113
11:43:14.960,0,44769,243,103,-113
11:43:15.168,0,44769,243,103,-113
11:43:15.371,0,44769,243,103,-113
11:43:15.577,0,44769,243,103,-113
11:43:15.781,0,46402,228,-129,-144
11:43:15.984,0,47557,92,-193,-156
11:43:16.186,0,47557,92,-193,-156
11:43:16.389,0,47557,92,-193,-156
11:43:16.593,0,47557,92,-193,-156
11:43:16.797,0,47557,92,-193,-156
11:43:16.999,0,47557,92,-193,-156
11:43:17.203,0,47557,92,-193,-156
11:43:17.407,0,47557,92,-193,-156
11:43:17.609,0,47557,92,-193,-156
11:43:17.810,0,48731,-79,-175,-146
11:43:18.016,0,50054,-272,-51,-110
11:43:18.220,1,50337,-295,-23,-112
11:43:18.481,1,50337,-295,-23,-112
11:43:18.685,1,50337,-295,-23,-112
11:43:18.887,1,50337,-295,-23,-112
11:43:19.089,1,50337,-295,-23,-112
11:43:19.290,1,50337,-295,-23,-112
11:43:19.493,1,50337,-295,-23,-112
11:43:19.695,1,50337,-295,-23,-112
11:43:19.897,1,52882,-128,158,-159
11:43:20.099,1,53279,-60,165,-152
11:43:20.303,1,53279,-60,165,-152
