time_stamp,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE
07:42:39,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,0.0,1.0,-1000.0,0.0,0.0,0.0,200.0,-0.0009455450344830751,0.0009730320889502764,0.021868623793125153,0.0002267912495881319,0.00022431218530982733,0.0015851432690396905,STABILIZE
07:42:41,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,0.0,1.0,-1000.0,1.0,1.0,1.0,200.0,-0.0009573784773238003,0.0009839541162364185,0.02138359844684601,0.00028117222245782614,0.0003095575957559049,0.0014623833121731877,STABILIZE
07:42:45,-35.3632621,149.1652375,5.5,0.0,0.0,0.0,0.0,1.0,-1000.0,0.5,1.0,0.5,200.0,-0.000823838054202497,0.0011310671688988805,0.02054853644222021,0.0002931661729235202,0.0003026071935892105,0.001252506102900952,AUTO
07:42:46,-35.3632621,149.1652375,6.0,0.0,0.0,0.0,0.0,1.0,-1000.0,0.5,0.5,0.5,300000.0,-0.0005885138380108401,0.001319836446782574,0.020387056283652782,0.00028233985358383507,0.00024448758631478995,0.0013157429348211735,AUTO
07:42:47,-35.3632621,149.1652375,6.0,0.0,0.0,0.0,0.0,1.5,-1000.0,0.5,1.0,1.0,300000.0,-0.00019581489323172718,0.0016851752297952771,0.020088277757167816,0.0003617270558606833,0.0003401332360226661,0.0013401293545030057,AUTO
07:42:49,-35.363262,149.1652376,1586.5,1.0,8.0,-146.5,0.0,-0.5,-1012.0,46.0,-6.5,1.5,300000.0,0.028421453200280666,-0.00191015939344652,0.019469459541141987,0.04599559120833874,-0.0076114262919873,0.002257507178001106,AUTO
07:42:50,-35.363261675000004,149.16523940000002,2735.0,6.5,36.75,-147.5,1.25,-6.5,-996.75,-14.0,24.5,-32.5,68611.0,0.050891485065221786,-0.002242990187369287,6.208010017871857e-05,-0.014890538819599897,0.023677843157202005,-0.032618279627058655,AUTO
07:42:51,-35.36326095,149.1652454,4639.0,-5.0,30.0,-149.0,5.5,-5.5,-1003.0,-43.5,-31.5,-34.5,68611.0,-0.041038502007722855,0.02215737383812666,-0.09300829097628593,-0.04497696179896593,-0.032896535471081734,-0.03480377420783043,AUTO
07:42:53,-35.3632614,149.16523975,7714.0,4.0,-58.0,-150.5,-8.0,10.5,-1003.5,66.0,17.5,4.0,68611.0,-0.000710879685357213,-0.007404034724459052,-0.07972075790166855,0.0652819313108921,0.016970647498965263,0.004940087674185634,AUTO
07:42:54,-35.363261249999994,149.16523562499998,8884.25,1.25,-34.25,-152.5,-6.25,6.25,-1001.5,45.0,28.5,-13.25,120846.0,0.042787727899849415,0.007639072297024541,-0.08044066093862057,0.04470963682979345,0.028475373750552535,-0.012980370898731053,AUTO
07:42:55,-35.36326185,149.16523460000002,10826.0,-14.0,21.5,-149.0,4.5,-0.5,-999.5,-65.5,-40.0,15.5,120846.0,0.018937190994620323,0.008957867627032101,-0.09498173743486404,-0.06713016703724861,-0.04125544801354408,0.015775606036186218,AUTO
07:42:57,-35.3632627,149.1652367,13923.0,4.5,-4.0,-152.0,-1.5,0.0,-1000.0,16.5,9.5,-25.5,120846.0,-0.005514866090379655,-0.005402283510193229,-0.12093431502580643,0.015959771815687418,0.00904746726155281,-0.025986011140048504,AUTO
07:42:58,-35.363262275,149.16523619999998,15099.0,5.25,-5.25,-152.0,-2.0,0.0,-1000.0,10.75,9.75,-22.75,88103.0,0.004452116874745116,0.001520203601103276,-0.14013653993606567,0.010393179953098297,0.009539049584418535,-0.023158180993050337,AUTO
07:42:59,-35.3632617,149.1652353,17041.5,-0.5,-7.5,-150.5,-1.0,0.0,-997.0,-84.0,2.0,-12.5,88103.0,-0.028347529470920563,0.0077850306406617165,-0.16449876129627228,-0.08560545742511749,0.0019752932712435722,-0.012512019369751215,AUTO
07:43:01,-35.363264150000006,149.1652301,19541.0,-5.0,12.5,-83.5,1.0,-0.5,-967.0,-18.0,18.0,-25.0,88103.0,0.06379683874547482,-0.031717536970973015,0.04282117448747158,-0.019785434938967228,0.017510164063423872,-0.025620145723223686,AUTO
07:43:02,-35.363263775,149.16523229999999,20088.75,10.75,39.25,-62.5,1.25,-8.0,-975.0,-44.5,30.25,-0.5,200.0,0.03149600885808468,-0.010247669051750563,0.03679919056594372,-0.04595631081610918,0.029815809801220894,-3.706768620759249e-05,AUTO
07:43:03,-35.36326205,149.16523755,20705.0,11.0,32.5,-34.0,0.5,-7.5,-975.5,-12.0,7.0,-0.5,200.0,-0.009851007256656885,0.013268883805721998,0.03481458127498627,-0.013343526516109705,0.006844173418357968,-0.0004730143118649721,AUTO
07:43:05,-35.3632615,149.16523940000002,20768.5,-14.0,-20.5,17.5,0.0,-5.5,-1026.0,-518.5,-4.5,-5.5,200.0,-0.034622274339199066,0.021702053025364876,0.029590957798063755,-0.5206703990697861,-0.006040255015250295,-0.005788494599983096,AUTO
07:43:06,-35.363262825,149.165237,20678.0,-26.5,-30.0,3.0,0.25,14.0,-1021.0,223.25,10.0,-7.75,253551.0,-0.012877353467047215,0.01935135154053569,0.027944904286414385,0.2226688116788864,0.009150150523055345,-0.008289632038213313,AUTO
07:43:07,-35.3632674,149.1652311,20680.0,-63.5,-54.5,-6.0,0.0,20.5,-1004.5,195.0,5.5,-839.5,253551.0,-0.060936929658055305,0.035878442227840424,-0.279872864484787,0.1946304738521576,0.005036567687056959,-0.8399403989315033,AUTO
