,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,EK2_CHECK_SCALE,EK3_CHECK_SCALE,LGR_DEPLOY_ALT,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG,RNGFND3_WSP_MAVG,RNGFND4_WSP_MAVG,RNGFND5_WSP_MAVG,RNGFND6_WSP_MAVG
15:36:59.462,194265.0,1.1,0.8,0.3,0.25,2.8,0.0,32000.0,40.0,1.0,0.1,50.0,50.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0
15:37:03.493,273675.0,0.1,0.0,10.1,0.25,2.8,0.0,29318.0,400.0,1.0,0.1,50.0,50.0,803.0,0.0,0.0,0.0,0.0,0.0,0.0
15:37:07.026,258766.0,0.1,2.0,-8.7,0.25,5.1,0.0,20184.0,160.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15:37:11.049,124762.0,0.4,0.3,10.1,0.25,0.1,0.0,3571.0,0.0,1.0,0.1,50.0,50.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0
15:37:15.075,217434.0,0.1,2.0,7.0,0.25,2.4,0.0,32000.0,570.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
15:37:19.102,164069.0,0.6,0.0,1.3,0.25,0.0,0.0,0.0,1000.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
15:37:23.132,300000.0,0.7,0.3,-10.0,0.25,5.1,0.0,8288.0,740.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
15:37:27.148,200.0,0.3,2.0,0.8,0.25,0.1,0.0,13413.0,1000.0,1.0,0.1,50.0,50.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0
15:37:31.163,200.0,1.1,0.0,-10.0,0.25,1.3,0.0,19775.0,1000.0,1.0,0.1,50.0,50.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0
15:37:35.186,171080.0,0.7,2.0,2.7,0.25,5.0,0.0,2561.0,20.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
15:37:39.204,108307.0,0.8,2.0,3.8,0.25,5.1,0.0,10533.0,0.0,1.0,0.1,50.0,50.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0
15:37:43.218,200.0,0.2,1.1,-4.9,0.25,0.4,0.0,5762.0,960.0,1.0,0.1,50.0,50.0,493.0,0.0,0.0,0.0,0.0,0.0,0.0
15:37:47.240,121478.0,0.1,2.0,-10.0,0.25,5.1,0.0,0.0,0.0,1.0,0.1,50.0,50.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0
15:37:51.262,82757.0,1.1,0.1,1.0,0.25,2.7,0.0,0.0,460.0,1.0,0.1,50.0,50.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0
15:37:55.275,3906.0,0.7,2.0,-5.2,0.25,1.1,0.0,0.0,480.0,1.0,0.1,50.0,50.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0
15:37:59.306,191229.0,0.0,0.6,-10.0,0.25,1.0,0.0,32000.0,1000.0,1.0,0.1,50.0,50.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0
15:38:03.334,79211.0,0.5,0.2,1.3,0.25,3.3,0.0,32000.0,1000.0,1.0,0.1,50.0,50.0,816.0,0.0,0.0,0.0,0.0,0.0,0.0
15:38:07.351,2565.0,1.1,0.4,2.6,0.25,0.0,0.0,14635.0,60.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15:38:11.369,14241.0,1.1,0.8,-10.0,0.25,0.0,0.0,21982.0,740.0,1.0,0.1,50.0,50.0,702.0,0.0,0.0,0.0,0.0,0.0,0.0
15:38:15.385,200.0,0.0,0.0,5.6,0.25,0.0,0.0,21309.0,60.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15:38:19.418,226980.0,0.1,0.9,7.8,0.25,0.2,0.0,32000.0,350.0,1.0,0.1,50.0,50.0,991.0,0.0,0.0,0.0,0.0,0.0,0.0
15:38:23.437,85886.0,0.6,0.0,0.8,0.25,2.8,0.0,15084.0,500.0,1.0,0.1,50.0,50.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0
15:38:27.463,226831.0,0.1,0.9,-9.7,0.25,0.0,0.0,10729.0,860.0,1.0,0.1,50.0,50.0,760.0,0.0,0.0,0.0,0.0,0.0,0.0
15:38:31.493,125057.0,0.8,0.4,6.4,0.25,2.2,0.0,19808.0,460.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
15:38:35.026,300000.0,0.7,0.0,0.6,0.25,0.0,0.0,7031.0,280.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15:38:39.059,215910.0,0.2,1.1,10.1,0.25,4.0,0.0,10189.0,670.0,1.0,0.1,50.0,50.0,612.0,0.0,0.0,0.0,0.0,0.0,0.0
15:38:43.078,82525.0,0.4,0.0,-10.0,0.25,1.5,0.0,19309.0,210.0,1.0,0.1,50.0,50.0,856.0,0.0,0.0,0.0,0.0,0.0,0.0
15:38:47.110,240566.0,0.0,2.0,3.8,0.25,5.1,0.0,9579.0,1000.0,1.0,0.1,50.0,50.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0
15:38:51.142,174152.0,0.3,0.1,-10.0,0.25,4.2,0.0,29977.0,50.0,1.0,0.1,50.0,50.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
15:38:55.165,168407.0,0.7,0.2,-4.0,0.25,1.2,0.0,14769.0,0.0,1.0,0.1,50.0,50.0,760.0,0.0,0.0,0.0,0.0,0.0,0.0
15:38:59.191,223138.0,0.9,1.5,2.6,0.25,0.1,0.0,0.0,140.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15:39:03.209,124191.0,0.7,0.7,-4.2,0.25,2.0,0.0,0.0,650.0,1.0,0.1,50.0,50.0,677.0,0.0,0.0,0.0,0.0,0.0,0.0
15:39:07.239,300000.0,1.1,0.9,2.2,0.25,1.9,0.0,3131.0,1000.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
15:39:11.254,200.0,1.1,0.0,10.1,0.25,0.0,0.0,16820.0,530.0,1.0,0.1,50.0,50.0,577.0,0.0,0.0,0.0,0.0,0.0,0.0
15:39:15.269,4038.0,0.5,2.0,3.8,0.25,4.4,0.0,27007.0,330.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
15:39:19.292,134267.0,0.0,0.0,-7.4,0.25,1.3,0.0,28029.0,0.0,1.0,0.1,50.0,50.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0
15:39:23.315,147180.0,0.0,2.0,4.9,0.25,5.1,0.0,3557.0,500.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
15:39:27.333,37563.0,0.3,1.2,4.5,0.25,4.7,0.0,18387.0,740.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15:39:31.354,180355.0,0.1,2.0,3.4,0.25,3.2,0.0,32000.0,1000.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15:39:35.382,245094.0,0.0,1.1,2.7,0.25,5.1,0.0,27882.0,970.0,1.0,0.1,50.0,50.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0
15:39:39.403,100704.0,0.7,2.0,10.1,0.25,0.9,0.0,8912.0,0.0,1.0,0.1,50.0,50.0,670.0,0.0,0.0,0.0,0.0,0.0,0.0
15:39:43.429,171321.0,0.0,2.0,-3.1,0.25,1.7,0.0,23769.0,860.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15:39:47.447,200.0,0.7,0.7,5.4,0.25,5.1,0.0,23182.0,460.0,1.0,0.1,50.0,50.0,755.0,0.0,0.0,0.0,0.0,0.0,0.0
15:39:51.471,175163.0,0.2,1.4,5.9,0.25,0.4,0.0,32000.0,1000.0,1.0,0.1,50.0,50.0,910.0,0.0,0.0,0.0,0.0,0.0,0.0
15:39:55.492,6265.0,0.4,1.9,6.0,0.25,3.3,0.0,0.0,1000.0,1.0,0.1,50.0,50.0,393.0,0.0,0.0,0.0,0.0,0.0,0.0
15:39:59.038,112250.0,0.3,0.2,10.1,0.25,0.0,0.0,32000.0,60.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15:40:03.054,200.0,1.1,2.0,8.1,0.25,0.0,0.0,9127.0,0.0,1.0,0.1,50.0,50.0,422.0,0.0,0.0,0.0,0.0,0.0,0.0
