,A.BRAKE1
17:32:43.319,-1
17:32:43.520,-1
17:32:43.723,-1
17:32:43.925,-1
17:32:44.126,-1
17:32:44.329,-1
17:32:44.537,-1
17:32:44.742,-1
17:32:44.946,-1
17:32:45.202,-1
17:32:45.437,-1
17:32:45.660,-1
17:32:45.889,-1
17:32:46.096,-1
17:32:46.316,-1
17:32:46.523,-1
17:32:46.725,-1
17:32:46.930,-1
17:32:47.133,-1
17:32:47.336,-1
17:32:47.540,-1
17:32:47.743,1
17:32:47.944,1
17:32:48.146,-1
17:32:48.347,-1
17:32:48.549,-1
17:32:48.752,-1
17:32:48.969,-1
17:32:49.171,-1
17:32:49.377,-1
17:32:49.607,-1
17:32:49.819,-1
17:32:50.020,-1
17:32:50.231,-1
17:32:50.461,-1
17:32:50.701,-1
17:32:50.904,-1
17:32:51.124,-1
17:32:51.341,-1
17:32:51.544,-1
17:32:51.750,-1
17:32:51.954,-1
17:32:52.156,-1
17:32:52.360,-1
17:32:52.562,-1
17:32:52.764,-1
17:32:52.969,-1
17:32:53.172,-1
17:32:53.373,-1
17:32:53.580,-1
17:32:53.782,-1
17:32:53.985,-1
17:32:54.189,-1
17:32:54.390,-1
17:32:54.599,-1
17:32:54.804,-1
17:32:58.599,-1
17:32:58.810,-1
17:32:59.015,-1
17:32:59.218,-1
17:32:59.422,-1
17:32:59.625,-1
17:32:59.829,-1
17:33:00.032,-1
17:33:00.233,-1
17:33:00.438,-1
17:33:00.640,-1
17:33:00.847,-1
17:33:01.050,-1
17:33:01.253,-1
17:33:01.456,-1
17:33:01.657,-1
17:33:01.866,-1
17:33:02.069,-1
17:33:02.270,-1
17:33:02.476,-1
17:33:02.680,-1
17:33:02.883,-1
17:33:03.090,-1
17:33:03.292,-1
17:33:03.495,-1
17:33:03.699,-1
17:33:03.905,-1
17:33:04.109,-1
17:33:04.311,-1
17:33:04.515,-1
17:33:04.723,-1
17:33:04.925,-1
17:33:05.129,-1
17:33:05.331,-1
17:33:05.537,-1
17:33:05.745,-1
17:33:05.950,-1
17:33:06.160,-1
17:33:06.366,-1
17:33:06.571,-1
17:33:06.774,-1
17:33:06.976,-1
17:33:07.181,-1
17:33:07.385,-1
17:33:07.589,-1
17:33:07.792,-1
17:33:08.000,-1
17:33:08.205,-1
17:33:08.407,-1
17:33:08.609,-1
17:33:08.812,-1
17:33:09.014,1
17:33:09.217,1
17:33:09.423,1
17:33:09.624,1
17:33:09.829,1
17:33:10.034,1
17:33:10.237,1
17:33:10.447,1
17:33:10.657,1
17:33:10.860,-1
17:33:11.063,-1
17:33:11.267,-1
17:33:11.471,-1
17:33:11.673,-1
17:33:11.876,-1
17:33:12.077,-1
17:33:12.279,-1
17:33:12.481,-1
17:33:12.685,-1
17:33:12.887,-1
17:33:13.097,-1
17:33:13.301,-1
17:33:13.505,-1
17:33:13.708,-1
17:33:13.909,-1
17:33:14.111,-1
17:33:14.314,-1
17:33:14.522,-1
17:33:14.724,-1
17:33:14.927,-1
17:33:15.136,-1
17:33:15.343,-1
17:33:15.545,-1
17:33:15.751,-1
17:33:15.956,-1
17:33:16.158,-1
17:33:16.360,-1
17:33:16.563,-1
17:33:16.767,-1
17:33:16.970,-1
17:33:17.173,-1
17:33:17.382,-1
17:33:17.584,-1
17:33:17.787,-1
17:33:17.988,-1
17:33:18.191,-1
17:33:18.393,-1
17:33:18.597,-1
17:33:18.798,-1
17:33:19.003,-1
17:33:19.207,-1
17:33:19.409,-1
17:33:19.614,-1
17:33:19.821,-1
17:33:20.026,-1
17:33:20.228,-1
17:33:20.431,-1
17:33:20.635,-1
17:33:20.837,-1
17:33:21.043,-1
17:33:21.247,-1
17:33:21.449,-1
17:33:21.661,-1
17:33:21.865,-1
17:33:22.067,-1
17:33:22.270,-1
17:33:22.473,-1
17:33:22.675,-1
17:33:22.877,-1
17:33:23.079,-1
17:33:23.281,-1
17:33:23.485,-1
17:33:23.687,-1
17:33:23.889,-1
17:33:24.092,-1
17:33:24.294,-1
17:33:24.499,-1
17:33:24.701,-1
17:33:24.904,-1
17:33:25.109,-1
17:33:25.312,-1
17:33:25.533,-1
17:33:25.742,-1
17:33:25.947,-1
17:33:26.150,-1
17:33:26.354,-1
17:33:26.557,-1
17:33:26.761,-1
17:33:26.963,-1
17:33:27.165,-1
17:33:27.368,-1
17:33:27.570,-1
17:33:27.771,-1
17:33:27.978,-1
17:33:28.180,-1
17:33:28.381,-1
17:33:28.583,-1
17:33:28.787,-1
17:33:28.990,-1
17:33:29.192,-1
17:33:29.396,-1
17:33:29.600,-1
17:33:29.808,-1
17:33:30.011,-1
17:33:30.214,-1
17:33:30.418,-1
17:33:30.622,-1
17:33:34.409,-1
17:33:34.612,1
17:33:34.818,-1
17:33:35.024,-1
17:33:35.226,-1
17:33:35.429,-1
17:33:35.631,-1
17:33:35.836,-1
17:33:36.039,-1
17:33:36.241,-1
17:33:36.447,-1
17:33:36.652,-1
17:33:36.856,-1
17:33:37.058,-1
17:33:37.260,-1
17:33:37.465,-1
17:33:37.670,-1
17:33:37.875,-1
17:33:38.083,-1
17:33:38.289,-1
17:33:38.527,-1
17:33:38.739,-1
17:33:38.990,-1
17:33:39.221,-1
17:33:39.443,-1
17:33:39.694,-1
17:33:39.949,-1
17:33:40.171,-1
17:33:40.387,-1
17:33:40.591,-1
17:33:40.796,-1
17:33:40.998,-1
17:33:41.200,-1
17:33:41.403,-1
17:33:41.611,-1
17:33:41.815,-1
17:33:42.021,-1
17:33:42.224,-1
17:33:42.426,-1
17:33:42.629,-1
17:33:42.837,-1
17:33:43.038,-1
17:33:43.243,-1
17:33:43.445,-1
17:33:43.653,-1
17:33:43.863,-1
17:33:44.067,-1
17:33:44.277,-1
17:33:44.506,-1
17:33:44.716,-1
17:33:44.919,-1
17:33:45.121,-1
17:33:45.325,-1
17:33:45.530,-1
17:33:45.732,-1
17:33:45.935,-1
17:33:46.137,-1
17:33:46.338,-1
17:33:46.539,-1
17:33:46.744,-1
17:33:46.948,-1
17:33:47.149,-1
17:33:47.353,-1
17:33:47.558,-1
17:33:47.759,-1
17:33:47.962,-1
17:33:48.164,-1
17:33:48.374,-1
17:33:48.595,-1
17:33:48.824,1
17:33:49.036,1
17:33:49.299,1
17:33:49.597,1
17:33:49.816,1
17:33:50.089,1
17:33:50.294,1
17:33:50.521,1
17:33:50.723,1
17:33:50.925,1
17:33:51.134,-1
17:33:51.344,-1
17:33:51.549,-1
17:33:51.758,-1
17:33:51.961,-1
17:33:52.167,-1
17:33:52.369,-1
17:33:52.574,-1
17:33:52.776,-1
17:33:52.979,-1
17:33:53.182,-1
17:33:53.386,-1
17:33:53.593,-1
17:33:53.796,-1
17:33:53.998,-1
17:33:54.206,-1
17:33:54.408,-1
17:33:54.610,-1
17:33:54.813,-1
17:33:55.016,-1
17:33:55.224,-1
17:33:55.435,-1
17:33:55.653,-1
17:33:55.910,-1
17:33:56.114,-1
17:33:56.320,-1
17:33:56.541,-1
17:33:56.746,-1
17:33:56.948,-1
17:33:57.153,-1
17:33:57.358,-1
17:33:57.561,-1
17:33:57.770,-1
17:33:57.976,-1
17:33:58.179,-1
17:33:58.382,-1
17:33:58.583,-1
17:33:58.785,-1
17:33:58.988,-1
17:33:59.196,-1
17:33:59.398,-1
17:33:59.603,-1
17:33:59.804,-1
17:34:00.014,-1
17:34:00.283,-1
17:34:00.627,-1
17:34:00.832,-1
17:34:01.089,-1
17:34:01.293,-1
17:34:01.497,-1
17:34:01.704,-1
17:34:01.911,-1
17:34:02.113,-1
17:34:02.315,-1
17:34:02.518,-1
17:34:02.719,-1
17:34:02.920,-1
17:34:03.123,-1
17:34:03.326,-1
17:34:03.528,-1
17:34:03.730,-1
17:34:03.934,-1
17:34:04.147,-1
17:34:04.371,-1
17:34:04.625,-1
17:34:04.826,-1
17:34:05.030,-1
17:34:05.269,-1
17:34:05.479,-1
17:34:05.698,-1
17:34:05.912,-1
17:34:06.115,-1
17:34:06.318,-1
17:34:10.120,-1
17:34:10.325,1
17:34:10.528,1
17:34:10.732,1
17:34:10.939,1
17:34:11.142,1
17:34:11.348,1
17:34:11.554,1
17:34:11.759,-1
17:34:11.964,-1
17:34:12.170,-1
17:34:12.372,-1
17:34:12.574,-1
17:34:12.778,-1
17:34:12.979,-1
17:34:13.268,-1
17:34:13.524,-1
17:34:13.745,-1
17:34:13.959,-1
17:34:14.164,-1
17:34:14.395,-1
17:34:14.658,-1
17:34:14.890,-1
17:34:15.093,-1
17:34:15.295,-1
17:34:15.497,-1
17:34:15.699,-1
17:34:15.904,-1
17:34:16.107,-1
17:34:16.310,-1
17:34:16.511,-1
17:34:16.713,-1
17:34:16.914,-1
17:34:17.118,-1
17:34:17.323,-1
17:34:17.533,-1
17:34:17.737,-1
17:34:17.942,-1
17:34:18.143,-1
17:34:18.345,-1
17:34:18.603,-1
17:34:18.820,-1
17:34:19.036,-1
17:34:19.242,-1
17:34:19.456,-1
17:34:19.664,-1
17:34:19.871,-1
17:34:20.082,-1
17:34:20.297,-1
17:34:20.501,-1
17:34:20.709,-1
17:34:20.911,-1
