time_stamp,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz
08:47:24,1500.0,0.0,2.0,-1000.0,0.0,1.0,0.0,STABILIZE,-0.0007012362475506961,0.0009807131718844175,0.022054139524698257,0.0003512896946631372,0.0002927766181528568,0.0015205882955342531,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0
08:47:26,1500.0,0.0,1.5,-1000.0,1.0,0.5,0.0,AUTO,-0.00073070457438007,0.0010128555004484951,0.021594216115772724,0.0003169947594869882,0.00019889624672941864,0.00150390958879143,-35.3632622,149.1652375,4.5,-1.0,1.5,1.0
08:47:27,60886.0,0.0,1.5,-1000.0,0.5,0.5,0.25,AUTO,-0.000638941754004918,0.001222910883370787,0.02130619389936328,0.00030107043858151883,0.00030887816683389246,0.001463554217480123,-35.3632622,149.1652375,1.0,0.0,0.0,1.0
08:47:28,60886.0,0.0,1.0,-1000.0,1.0,0.5,1.0,AUTO,-0.0004762824537465349,0.001417281397152692,0.021115601062774658,0.00028298661345615983,0.00027966054040007293,0.0014523463905788958,-35.3632622,149.1652375,0.0,0.0,0.0,1.0
08:47:30,60886.0,0.0,0.0,-1116.5,-4.0,4.0,0.5,AUTO,0.0021755765192210674,0.0007547298009740189,0.02068768721073866,-0.0050931122386828065,0.0035007419064641,0.0013336818083189428,-35.3632621,149.1652375,310.5,0.0,0.0,-85.0
08:47:32,60886.0,2.5,-10.5,-991.5,-67.5,60.5,-73.0,AUTO,0.05291717313230038,0.0014001326635479927,-0.018937398213893175,-0.06813982035964727,0.060230376198887825,-0.07293848134577274,-35.3632615,149.16524025,3130.5,9.0,47.0,-145.5
08:47:33,60983.0,3.5,-4.5,-1002.25,-41.75,-29.25,-18.75,AUTO,-0.051836540922522545,0.005942913121543825,-0.08692341670393944,-0.04291266715154052,-0.030256784055382013,-0.01849490158201661,-35.363260925,149.16524577500002,5038.5,-2.75,16.5,-148.25
08:47:34,60983.0,-1.5,4.0,-1002.0,49.5,0.0,-2.0,AUTO,-0.06372721679508686,-0.011499937623739243,-0.08998646214604378,0.049246879294514656,-0.0008421143575105816,-0.0020129030162934214,-35.36326115,149.1652455,6195.5,-1.5,-31.5,-148.0
08:47:36,60983.0,-3.5,7.5,-1001.0,50.5,12.5,-5.5,AUTO,0.05936902016401291,0.009336542803794146,-0.08759575337171555,0.0503340158611536,0.012178015895187855,-0.005118808709084988,-35.363261449999996,149.16523469999998,9294.0,-5.0,-23.0,-153.0
08:47:38,60983.0,1.5,-1.5,-1001.5,2.0,2.0,-23.0,AUTO,-0.016025987453758717,-0.006750980392098427,-0.1052059605717659,0.0016225818544626236,0.0015098158619366586,-0.022980020381510258,-35.3632625,149.16523660000001,12394.5,-0.5,8.5,-151.0
08:47:39,52393.0,-1.75,0.0,-999.75,14.75,8.75,-22.25,AUTO,0.0008467960869893432,0.00038642861181870103,-0.13678931817412376,0.014644711278378963,0.008570183301344514,-0.02247311780229211,-35.363262250000005,149.16523637499998,14347.25,3.75,-5.25,-152.0
08:47:40,52393.0,-1.5,0.0,-999.0,5.5,5.5,-16.5,AUTO,0.008784230798482895,0.00520916492678225,-0.15259931981563568,0.005171691183932126,0.00501976499799639,-0.01672832714393735,-35.363261949999995,149.1652358,15518.0,2.5,-3.5,-152.0
08:47:42,52393.0,0.0,0.0,-1000.0,-2.0,0.5,-14.5,AUTO,0.005260175792500377,0.005144303664565086,-0.18143659085035324,-0.002863029658328742,-0.00036061537684872746,-0.014497465919703245,-35.36326165,149.16523565,18635.0,-2.0,5.5,-152.0
08:47:44,52393.0,2.0,11.5,-954.5,125.0,-156.0,127.5,AUTO,-0.004372430499643087,0.009025681298226118,0.07654412649571896,0.12466464191675186,-0.1574532836675644,0.12821901217103004,-35.36326305,149.1652335,21606.0,-32.5,-33.5,-121.5
08:47:45,8014.0,0.25,-2.75,-971.0,-23.25,28.5,-13.75,AUTO,0.048101519234478474,-0.030601605772972107,0.06193184293806553,-0.02436262695118785,0.028060417622327805,-0.01354613815783523,-35.36326472500001,149.165231825,22827.5,4.0,18.25,-74.75
08:47:46,8014.0,0.0,-9.5,-976.5,-38.0,33.5,2.5,AUTO,0.01991123938933015,-0.005477753409650177,0.05809612199664116,-0.03948145732283592,0.03306922037154436,0.002992287860251963,-35.3632639,149.165234,23329.0,18.0,37.5,-55.0
08:47:48,8014.0,-1.0,-5.0,-951.5,-222.0,79.0,-5.0,AUTO,-0.019317717757076025,0.016383963637053967,0.05079740844666958,-0.2236164202913642,0.07784997206181288,-0.0052432233933359385,-35.363261249999994,149.16523975,23958.5,3.5,11.0,-4.0
08:47:50,8014.0,-2.5,-18.0,-1011.0,188.5,-23.5,322.5,AUTO,0.08414940163493156,-0.05700216628611088,0.08364511281251907,0.1882612705230713,-0.02482125349342823,0.3233911283314228,-35.3632599,149.16524075,23703.5,35.0,42.0,0.5
08:47:51,68249.0,-35.75,-14.75,-1009.0,68.0,-54.0,163.0,AUTO,0.01523951767012477,-0.15438059717416763,1.0426615476608276,0.06690292432904243,-0.05526009760797024,0.16342218592762947,-35.363251925,149.16525224999998,23695.5,105.75,140.25,-1.75
08:47:52,68249.0,-50.0,-21.0,-1003.0,224.5,-26.0,-97.0,AUTO,0.020798624493181705,-0.19263065606355667,0.989463746547699,0.22352422773838043,-0.027075291465735063,-0.09718774445354939,-35.36324355,149.1652658,23697.5,157.0,213.0,0.0
