time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,RTL_ALT,lat,lon,relative_alt,vx,vy,vz
18:00:55,-0.0010396304773166777,0.0009737094515003264,0.02281528115272522,0.00027406923472881315,0.0002341580926440656,0.0017411436419934034,0.0,1.0,-1000.0,0.5,0.0,0.0,STABILIZE,1500.0,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0
18:01:03,0.0006008676391502377,0.0012645444949157536,0.021200397051870823,0.008293393126223236,-0.0048431409522891045,0.0018586927326396108,0.0,0.5,-1055.5,9.0,-4.0,0.5,AUTO,1500.0,-35.3632621,149.1652375,4.5,0.0,0.0,-3.5
18:01:07,0.03869435889646411,-0.0042018094536615536,0.02063331613317132,0.04343393072485924,-0.009025894338265061,0.0028912026318721473,0.25,-2.25,-1006.75,43.75,-8.0,2.0,AUTO,1500.0,-35.36326195,149.16523800000002,1956.75,2.5,16.25,-147.0
18:01:10,0.0071814195459107095,0.012079656259932866,-0.15331096077958742,0.004324932388650875,-0.0036723464533376196,-0.011356234982182892,-0.3333333333333333,0.25,-999.6666666666666,4.916666666666667,-2.8333333333333335,-11.25,AUTO,1500.0,-35.36326081666666,149.16523514166667,14992.5,-3.0833333333333335,0.75,-152.58333333333334
18:01:12,0.000665685979280776,6.025897224996394e-05,-0.19017478575309119,0.0016545128989188622,0.0011620657314779237,-0.023852230980992317,0.6666666666666666,0.0,-1000.1666666666666,2.1666666666666665,1.5,-23.666666666666668,AUTO,1500.0,-35.36326193333333,149.16523615000003,19143.666666666668,-3.6666666666666665,5.0,-153.0
18:01:14,0.003431832456650833,0.0031963913158203163,-0.23856154580911001,0.0013748218383019168,0.0016905346128623933,-0.021187972898284595,0.0,0.0,-999.8333333333334,1.8333333333333333,1.8333333333333333,-21.0,AUTO,1500.0,-35.363262,149.16523651666665,22434.833333333332,-1.0,2.6666666666666665,-153.0
18:01:16,-0.0007921198848634958,0.005040923599153757,-0.26059531172116596,0.0027110324687479683,0.0036547749962968132,0.012309183987478415,0.0,0.0,-999.8333333333334,3.5,4.333333333333333,11.833333333333334,AUTO,1500.0,-35.36326205,149.16523673333336,25415.333333333332,-2.6666666666666665,1.6666666666666667,-152.83333333333334
18:01:18,0.004759964830425035,0.0012221791382346834,-0.20583026323999679,-0.005259987307778958,0.000742800991117422,0.020071068512541906,0.42857142857142855,-0.42857142857142855,-1000.1428571428571,-4.0,1.1428571428571428,19.428571428571427,AUTO,1500.0,-35.3632624,149.16523714285717,28892.0,-1.0,7.0,-153.0
18:01:20,-0.00036018296668771654,0.0012187219224870204,-0.17163400948047638,0.002240877179428935,-0.00014651073142886163,0.016234474256634712,0.0,0.0,-1000.0,2.6,0.4,15.6,AUTO,1500.0,-35.36326236000001,149.16523806,31943.2,0.0,2.4,-153.0
18:01:22,0.0015169106579075258,0.0011626953879992168,-0.1466049204270045,0.00018357453518547118,-0.00014290952822193503,0.011911368618408838,0.0,0.0,-999.8333333333334,1.1666666666666667,0.6666666666666666,11.166666666666666,AUTO,1500.0,-35.36326223333334,149.165238,34956.166666666664,0.0,0.0,-153.0
