,LOIT_BRK_DELAY,WPNAV_TER_MARGIN,LOIT_BRK_ACCEL,CHUTE_DELAY_MS,GUID_TIMEOUT,SERVO_ROB_POSMAX,SERVO_ROB_POSMIN,EK2_BCN_DELAY,EK2_FLOW_DELAY,EK3_FLOW_DELAY,BARO_FLTR_RNG,COMPASS_FLTR_RNG,H_RSC_AROT_PCT,BATT2_LOW_TIMER,BATT3_LOW_TIMER,BATT4_LOW_TIMER,BATT5_LOW_TIMER,BATT6_LOW_TIMER,BATT7_LOW_TIMER,BATT8_LOW_TIMER,BATT9_LOW_TIMER,BATT_LOW_TIMER,DISARM_DELAY,OSD_MSG_TIME,EK2_TAU_OUTPUT
16:35:03.253,1.0,0.1,96.0,5000.0,0.1,0.0,0.0,0.0,0.0,240.0,100.0,40.0,34.0,0.0,49.0,120.0,0.0,42.0,0.0,83.0,45.0,120.0,0.0,1.0,35.0
16:35:09.288,0.8,0.1,25.0,2667.0,0.1,0.0,0.0,90.0,40.0,250.0,51.0,24.0,40.0,66.0,120.0,22.0,67.0,102.0,52.0,0.0,110.0,70.0,0.0,1.0,50.0
16:35:15.256,0.0,0.1,195.0,4873.0,0.1,0.0,0.0,60.0,0.0,160.0,96.0,55.0,39.0,120.0,47.0,61.0,4.0,25.0,5.0,55.0,20.0,71.0,0.0,1.0,20.0
16:35:20.208,0.3,0.1,134.0,5000.0,0.1,0.0,0.0,90.0,130.0,0.0,66.0,0.0,6.0,0.0,62.0,40.0,108.0,52.0,34.0,47.0,67.0,9.0,0.0,1.0,20.0
16:35:24.879,1.5,0.1,92.0,2456.0,0.1,0.0,0.0,60.0,90.0,210.0,3.0,19.0,9.0,87.0,56.0,0.0,119.0,57.0,56.0,52.0,108.0,120.0,0.0,1.0,45.0
16:35:32.303,2.0,0.1,196.0,2082.0,0.1,0.0,0.0,70.0,80.0,70.0,17.0,76.0,20.0,87.0,120.0,29.0,120.0,120.0,32.0,33.0,39.0,66.0,0.0,1.0,20.0
16:35:40.339,0.5,0.1,245.0,0.0,0.1,0.0,0.0,20.0,80.0,60.0,100.0,0.0,15.0,5.0,58.0,4.0,5.0,19.0,94.0,54.0,73.0,69.0,0.0,1.0,50.0
16:35:45.765,2.0,0.1,229.0,2543.0,0.1,0.0,0.0,130.0,80.0,250.0,73.0,100.0,0.0,113.0,120.0,47.0,96.0,79.0,43.0,120.0,0.0,26.0,0.0,1.0,40.0
16:35:51.063,0.0,0.1,177.0,5000.0,0.1,0.0,0.0,40.0,30.0,0.0,88.0,25.0,39.0,94.0,88.0,93.0,23.0,80.0,67.0,94.0,120.0,120.0,0.0,1.0,50.0
16:35:55.964,1.0,0.1,250.0,0.0,0.1,0.0,0.0,0.0,20.0,120.0,94.0,100.0,1.0,62.0,56.0,60.0,0.0,36.0,88.0,72.0,97.0,49.0,0.0,1.0,35.0
