,A.LOITER1
17:00:04.912,-1.0
17:00:05.115,-1.0
17:00:05.318,-1.0
17:00:05.521,-1.0
17:00:05.725,-1.0
17:00:05.934,-1.0
17:00:06.136,-1.0
17:00:06.338,-1.0
17:00:06.541,-1.0
17:00:06.744,-1.0
17:00:06.946,-1.0
17:00:07.153,-1.0
17:00:07.356,-1.0
17:00:07.558,-1.0
17:00:07.761,-1.0
17:00:07.964,-1.0
17:00:08.166,-1.0
17:00:08.371,-1.0
17:00:08.580,-1.0
17:00:08.782,-1.0
17:00:08.986,-1.0
17:00:09.190,-1.0
17:00:09.393,-1.0
17:00:09.596,-1.0
17:00:09.802,-1.0
17:00:10.004,-1.0
17:00:10.209,-1.0
17:00:10.412,-1.0
17:00:10.617,-1.0
17:00:10.826,-1.0
17:00:11.030,-1.0
17:00:11.239,-1.0
17:00:11.441,-1.0
17:00:11.646,-1.0
17:00:11.848,-1.0
17:00:12.051,-1.0
17:00:12.256,-1.0
17:00:12.459,-1.0
17:00:12.663,-1.0
17:00:12.866,-1.0
17:00:13.072,-1.0
17:00:13.276,-1.0
17:00:13.478,-1.0
17:00:13.682,-1.0
17:00:13.884,-1.0
17:00:14.086,-1.0
17:00:14.289,-1.0
17:00:14.497,-1.0
17:00:14.701,-1.0
17:00:14.906,-1.0
17:00:15.110,-1.0
17:00:15.314,-1.0
17:00:15.517,-1.0
17:00:15.720,-1.0
17:00:15.922,-1.0
17:00:16.125,-1.0
17:00:16.333,-1.0
17:00:16.535,-1.0
17:00:16.737,-1.0
17:00:16.940,-1.0
17:00:17.144,-1.0
17:00:17.348,-1.0
17:00:17.551,-1.0
17:00:17.754,-1.0
17:00:17.957,0.312
17:00:18.159,0.357
17:00:18.366,0.357
17:00:18.569,0.357
17:00:18.774,0.357
17:00:18.977,0.357
17:00:19.181,0.357
17:00:19.388,0.357
17:00:19.591,-1.0
17:00:19.795,-1.0
17:00:19.997,-1.0
17:00:20.199,-1.0
17:00:20.402,-1.0
17:00:20.605,-1.0
17:00:20.809,-1.0
17:00:21.012,-1.0
17:00:21.217,-1.0
17:00:21.418,-1.0
17:00:21.621,-1.0
17:00:21.823,-1.0
17:00:22.026,-1.0
17:00:22.232,-1.0
17:00:22.438,-1.0
17:00:22.640,-1.0
17:00:22.848,-1.0
17:00:23.054,-1.0
17:00:23.257,-1.0
17:00:23.460,-1.0
17:00:23.662,-1.0
17:00:23.864,-1.0
17:00:24.066,-1.0
17:00:24.272,-1.0
17:00:24.476,-1.0
17:00:24.681,-1.0
17:00:24.884,-1.0
17:00:25.092,-1.0
17:00:25.295,-1.0
17:00:25.499,-1.0
17:00:25.702,-1.0
17:00:25.903,-1.0
17:00:27.305,-1.0
17:00:27.513,-1.0
17:00:27.717,-1.0
17:00:27.921,-1.0
17:00:28.125,-1.0
17:00:28.328,-1.0
17:00:28.531,-1.0
17:00:28.736,-1.0
17:00:28.939,-1.0
17:00:29.141,-1.0
17:00:29.343,-1.0
17:00:29.546,-1.0
17:00:29.749,-1.0
17:00:29.952,-1.0
17:00:30.155,-1.0
17:00:30.358,-1.0
17:00:30.561,-1.0
17:00:30.764,-1.0
17:00:30.967,-1.0
17:00:31.170,-1.0
17:00:31.372,-1.0
17:00:31.576,-1.0
17:00:31.778,-1.0
17:00:31.982,-1.0
17:00:32.188,-1.0
17:00:32.392,-1.0
17:00:32.595,-1.0
17:00:32.798,-1.0
17:00:33.001,-1.0
17:00:33.204,-1.0
17:00:33.407,-1.0
17:00:33.612,-1.0
17:00:33.815,-1.0
17:00:34.018,-1.0
17:00:34.223,-1.0
17:00:34.426,-1.0
17:00:34.628,-1.0
17:00:34.830,-1.0
17:00:35.035,-1.0
17:00:35.238,-1.0
17:00:35.444,-1.0
17:00:35.647,-1.0
17:00:35.852,-1.0
17:00:36.055,-1.0
17:00:36.258,-1.0
17:00:36.462,-1.0
17:00:36.665,-1.0
17:00:36.869,-1.0
17:00:37.076,-1.0
17:00:37.279,-1.0
17:00:37.484,-1.0
17:00:37.689,-1.0
17:00:37.893,-1.0
17:00:38.102,-1.0
17:00:38.304,-1.0
17:00:38.509,-1.0
17:00:38.712,-1.0
17:00:38.915,-1.0
17:00:39.117,-1.0
17:00:39.319,-1.0
17:00:39.524,-1.0
17:00:39.728,-1.0
17:00:39.931,-1.0
17:00:40.135,-1.0
17:00:40.338,-1.0
17:00:40.541,-1.0
17:00:40.744,-1.0
17:00:40.946,-1.0
17:00:41.149,-1.0
17:00:41.351,-1.0
17:00:41.557,-1.0
17:00:41.764,-1.0
17:00:41.966,-1.0
17:00:42.170,-1.0
17:00:42.374,-1.0
17:00:42.577,-1.0
17:00:42.782,-1.0
17:00:42.986,1.0
17:00:43.188,1.0
17:00:43.396,1.0
17:00:43.602,1.0
17:00:43.811,1.0
17:00:44.017,1.0
17:00:44.223,1.0
17:00:44.428,1.0
17:00:44.633,1.0
17:00:44.837,1.0
17:00:45.039,1.0
17:00:45.242,1.0
17:00:45.453,1.0
17:00:45.662,1.0
17:00:45.867,1.0
17:00:46.070,1.0
17:00:46.274,1.0
17:00:46.477,1.0
17:00:46.681,1.0
17:00:46.885,-1.0
17:00:47.087,-1.0
17:00:47.290,-1.0
17:00:47.492,-1.0
17:00:47.696,-1.0
17:00:47.900,-1.0
17:00:48.103,-1.0
17:00:48.306,-1.0
17:00:48.509,-1.0
17:00:48.711,-1.0
17:00:48.914,-1.0
17:00:49.117,-1.0
17:00:49.320,-1.0
17:00:49.525,-1.0
17:00:49.732,-1.0
17:00:49.938,-1.0
17:00:50.140,-1.0
17:00:50.344,-1.0
17:00:50.547,-1.0
17:00:50.753,-1.0
17:00:50.955,-1.0
17:00:51.157,-1.0
17:00:51.359,-1.0
17:00:51.562,-1.0
17:00:51.764,-1.0
17:00:51.969,-1.0
17:00:52.171,-1.0
17:00:52.374,-1.0
17:00:52.579,-1.0
17:00:52.781,-1.0
17:00:52.984,-1.0
17:00:53.186,-1.0
17:00:53.388,-1.0
17:00:53.591,-1.0
17:00:53.796,-1.0
17:00:54.001,-1.0
17:00:54.208,-1.0
17:00:54.413,-1.0
17:00:54.616,-1.0
17:00:54.825,-1.0
17:00:55.027,-1.0
17:00:55.234,-1.0
17:00:55.436,-1.0
17:00:55.640,-1.0
17:00:55.844,-1.0
17:00:56.051,-1.0
17:00:56.255,-1.0
17:00:56.458,-1.0
17:00:56.664,-1.0
17:00:56.869,-1.0
17:00:57.072,1.0
17:00:57.274,1.0
17:00:57.479,1.0
17:00:57.681,1.0
17:00:57.885,1.0
17:00:58.088,1.0
17:00:58.291,1.0
17:00:58.494,1.0
17:00:58.697,1.0
17:00:58.900,1.0
17:00:59.106,1.0
17:00:59.309,1.0
17:01:00.720,1.0
17:01:00.922,1.0
17:01:01.125,1.0
17:01:01.328,1.0
17:01:01.532,1.0
17:01:01.736,1.0
17:01:01.938,1.0
17:01:02.141,-1.0
17:01:02.347,-1.0
17:01:02.551,-1.0
17:01:02.754,-1.0
17:01:02.959,-1.0
17:01:03.161,-1.0
17:01:03.366,-1.0
17:01:03.571,-1.0
17:01:03.778,-1.0
17:01:03.980,-1.0
17:01:04.185,-1.0
17:01:04.390,-1.0
17:01:04.596,-1.0
17:01:04.801,-1.0
17:01:05.005,-1.0
17:01:05.207,-1.0
17:01:05.409,-1.0
17:01:05.611,-1.0
17:01:05.814,-1.0
17:01:06.020,-1.0
17:01:06.223,-1.0
17:01:06.426,-1.0
17:01:06.628,-1.0
17:01:06.832,-1.0
17:01:07.040,-1.0
17:01:07.245,-1.0
17:01:07.449,-1.0
17:01:07.657,-1.0
17:01:07.860,-1.0
17:01:08.063,-1.0
17:01:08.267,-1.0
17:01:08.474,-1.0
17:01:08.677,-1.0
17:01:08.883,-1.0
17:01:09.088,-1.0
17:01:09.290,-1.0
17:01:09.493,-1.0
17:01:09.697,-1.0
17:01:09.901,-1.0
17:01:10.104,-1.0
17:01:10.313,-1.0
17:01:10.517,-1.0
17:01:10.722,-1.0
17:01:10.925,-1.0
17:01:11.129,-1.0
17:01:11.332,-1.0
17:01:11.534,-1.0
17:01:11.737,-1.0
17:01:11.941,-1.0
17:01:12.143,-1.0
17:01:12.346,-1.0
17:01:12.553,-1.0
17:01:12.757,-1.0
17:01:12.962,-1.0
17:01:13.166,-1.0
17:01:13.369,-1.0
17:01:13.571,-1.0
17:01:13.776,-1.0
17:01:13.979,-1.0
17:01:14.183,-1.0
17:01:14.387,-1.0
17:01:14.593,-1.0
17:01:14.796,-1.0
17:01:14.999,-1.0
17:01:15.203,-1.0
17:01:15.406,-1.0
17:01:15.608,-1.0
17:01:15.814,-1.0
17:01:16.019,-1.0
17:01:16.224,-1.0
17:01:16.430,-1.0
17:01:16.633,-1.0
17:01:16.836,-1.0
17:01:17.040,-1.0
17:01:17.243,-1.0
17:01:17.445,-1.0
17:01:17.647,-1.0
17:01:17.849,-1.0
17:01:18.054,-1.0
17:01:18.257,-1.0
17:01:18.463,-1.0
17:01:18.665,-1.0
17:01:18.868,-1.0
17:01:19.071,-1.0
