,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,EK2_CHECK_SCALE,EK3_CHECK_SCALE,LGR_DEPLOY_ALT,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG,RNGFND3_WSP_MAVG,RNGFND4_WSP_MAVG,RNGFND5_WSP_MAVG,RNGFND6_WSP_MAVG
16:42:13.332,257562.0,0.0,2.0,-8.3,0.25,0.0,0.0,30539.0,100.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:42:17.358,148016.0,1.1,2.0,-2.4,0.25,0.9,0.0,7181.0,470.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
16:42:21.389,300000.0,1.0,1.6,2.6,0.25,0.0,0.0,27647.0,630.0,1.0,0.1,50.0,50.0,598.0,0.0,0.0,0.0,0.0,0.0,0.0
16:42:25.406,68857.0,0.3,1.4,10.1,0.25,2.9,0.0,0.0,940.0,1.0,0.1,50.0,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
16:42:29.437,59701.0,0.6,1.8,-10.0,0.25,0.0,0.0,32000.0,560.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:42:33.469,300000.0,0.5,0.3,-7.0,0.25,2.8,0.0,0.0,100.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
16:42:37.496,163307.0,0.0,0.0,-10.0,0.25,0.0,0.0,32000.0,100.0,1.0,0.1,50.0,50.0,561.0,0.0,0.0,0.0,0.0,0.0,0.0
16:42:41.025,65656.0,0.3,1.0,-7.3,0.25,1.8,0.0,4863.0,170.0,1.0,0.1,50.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
16:42:45.063,165934.0,0.4,0.1,1.0,0.25,0.0,0.0,4680.0,1000.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
16:42:49.077,49513.0,1.1,1.2,5.0,0.25,3.8,0.0,0.0,940.0,1.0,0.1,50.0,50.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0
16:42:53.112,238147.0,0.9,1.6,-4.8,0.25,0.0,0.0,3519.0,190.0,1.0,0.1,50.0,50.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0
16:42:57.129,79550.0,1.1,0.5,-10.0,0.25,1.5,0.0,0.0,370.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
16:43:01.173,274117.0,0.8,1.3,0.7,0.25,1.3,0.0,28249.0,160.0,1.0,0.1,50.0,50.0,586.0,0.0,0.0,0.0,0.0,0.0,0.0
16:43:05.206,300000.0,1.0,0.2,10.1,0.25,5.1,0.0,19745.0,1000.0,1.0,0.1,50.0,50.0,422.0,0.0,0.0,0.0,0.0,0.0,0.0
16:43:09.229,135490.0,0.5,0.4,10.1,0.25,2.1,0.0,0.0,1000.0,1.0,0.1,50.0,50.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
16:43:13.246,200.0,0.0,0.0,-2.6,0.25,5.1,0.0,24997.0,450.0,1.0,0.1,50.0,50.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0
16:43:17.267,200.0,1.1,0.7,1.0,0.25,3.4,0.0,0.0,690.0,1.0,0.1,50.0,50.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0
16:43:21.292,153527.0,0.6,1.7,10.1,0.25,4.5,0.0,32000.0,670.0,1.0,0.1,50.0,50.0,791.0,0.0,0.0,0.0,0.0,0.0,0.0
16:43:25.322,184019.0,0.2,1.2,2.5,0.25,0.9,0.0,8016.0,210.0,1.0,0.1,50.0,50.0,548.0,0.0,0.0,0.0,0.0,0.0,0.0
16:43:29.364,300000.0,0.1,1.9,10.1,0.25,0.0,0.0,21897.0,660.0,1.0,0.1,50.0,50.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0
16:43:33.393,263100.0,0.8,1.1,-10.0,0.25,2.1,0.0,0.0,900.0,1.0,0.1,50.0,50.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0
16:43:37.442,273068.0,0.2,1.6,-7.8,0.25,5.1,0.0,2619.0,0.0,1.0,0.1,50.0,50.0,537.0,0.0,0.0,0.0,0.0,0.0,0.0
16:43:41.477,214664.0,1.1,1.5,3.0,0.25,3.2,0.0,22614.0,330.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
16:43:45.510,300000.0,0.3,0.4,0.4,0.25,0.0,0.0,19210.0,620.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:43:49.028,200.0,1.1,1.8,-10.0,0.25,4.7,0.0,10989.0,400.0,1.0,0.1,50.0,50.0,546.0,0.0,0.0,0.0,0.0,0.0,0.0
16:43:53.070,300000.0,1.1,0.0,10.1,0.25,2.9,0.0,30677.0,450.0,1.0,0.1,50.0,50.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
16:43:57.100,300000.0,0.9,1.1,3.5,0.25,5.1,0.0,16298.0,460.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
