time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,chan4_raw,MODE,RTL_ALT
14:20:47,-0.0007871784910093993,0.001084089744836092,0.021586792543530464,0.0002649688394740224,0.00026286151842214167,0.001442011387553066,-35.3632621,149.1652375,3.5,0.0,0.0,0.5,0.0,1.0,-1000.0,0.5,0.5,0.0,1500.0,AUTO,1500.0
14:20:49,-0.00022298705152934417,0.0016067560645751655,0.02108094096183777,0.0003123358474113047,0.0002447561710141599,0.001497768855188042,-35.3632621,149.1652374,12.0,0.0,0.0,0.0,0.0,1.0,-1000.0,0.0,0.0,0.5,1500.0,AUTO,1500.0
14:20:51,0.016452090814709663,-3.128696698695421e-05,0.020310712978243828,0.04783931188285351,-0.006394061725586653,0.0014739838661625981,-35.3632621,149.1652374,1219.0,0.0,2.5,-142.0,0.0,0.0,-1029.0,48.0,-5.0,0.5,1500.0,AUTO,1500.0
14:20:53,-0.02754396293312311,0.017178117763251066,-0.06853334978222847,-0.04037811607122421,-0.01633748598396778,-0.050063908100128174,-35.36326095,149.16524425,4254.0,1.5,43.0,-148.0,4.5,-9.5,-1007.5,-39.0,-15.0,-50.0,1500.0,AUTO,1500.0
14:20:55,-0.018632964696735144,-0.0019216137734474614,-0.0967121534049511,0.06463942304253578,0.011598520446568727,0.0003921489405911416,-35.363261249999994,149.16524135,7329.0,-3.5,-58.0,-149.5,-6.5,11.5,-1002.5,65.0,12.0,0.0,1500.0,AUTO,1500.0
14:20:57,0.02161787636578083,-0.0297495536506176,0.7103480696678162,0.03796455916017294,-0.007190917443949729,0.7060418128967285,-35.3632611,149.16523080000002,10339.0,16.5,-25.0,-144.0,-3.5,8.0,-1004.5,38.0,-6.5,705.5,1761.0,AUTO,1500.0
14:20:59,0.03543376177549362,-0.041932979598641396,2.146378993988037,0.05002119578421116,0.032540179789066315,0.46514463424682617,-35.363259400000004,149.1652343,13300.5,-15.5,53.5,-147.0,-10.0,-2.5,-1015.0,50.0,32.5,464.5,1500.0,AUTO,1500.0
14:21:01,0.04425843432545662,0.07093508541584015,2.2864855527877808,0.05458426475524902,-0.021549198776483536,-0.1525600180029869,-35.36326325,149.16523955,16400.0,-1.5,-30.5,-149.0,3.5,-1.5,-995.5,55.0,-20.5,-152.5,1500.0,AUTO,1500.0
14:21:03,-0.04950341209769249,-0.04563829489052296,2.205012083053589,-0.08275298029184341,0.0078111253678798676,-0.055516067892313004,-35.36326585,149.1652264,19463.0,-32.0,-26.5,-151.5,7.0,-9.0,-1004.5,-81.5,8.0,-55.5,1500.0,AUTO,1500.0
14:21:05,-0.021279847715049982,-0.0020699333399534225,2.136084794998169,0.06201174668967724,0.047652024775743484,-0.007552019786089659,-35.3632646,149.16523575,22540.5,42.5,81.0,-150.5,-19.0,9.0,-1005.0,62.5,48.0,-7.0,1500.0,AUTO,1500.0
