time_stamp,MODE_LAND,relative_alt,vx,vy,vz
10:53:32.033,0,0,0,0,0
10:53:32.235,0,0,-1,2,1
10:53:32.437,0,0,-1,2,1
10:53:32.639,0,0,-1,2,1
10:53:32.841,0,0,-1,2,1
10:53:33.045,0,0,-1,2,1
10:53:33.248,0,0,-1,2,1
10:53:33.450,0,0,-1,2,1
10:53:33.651,0,0,-1,2,1
10:53:33.853,0,0,-1,2,1
10:53:34.055,0,0,-2,2,0
10:53:34.257,0,1,-2,2,0
10:53:34.459,0,1,-2,2,0
10:53:34.660,0,1,-2,2,0
10:53:34.866,0,1,-2,2,0
10:53:35.069,0,1,-2,2,0
10:53:35.272,0,1,-2,2,0
10:53:35.474,0,1,-2,2,0
10:53:35.678,0,1,-2,2,0
10:53:35.880,0,1,-2,2,0
10:53:36.082,0,9,0,0,-1
10:53:36.284,0,10,0,0,0
10:53:36.485,0,10,0,0,0
10:53:36.687,0,10,0,0,0
10:53:36.889,0,10,0,0,0
10:53:37.094,0,10,0,0,0
10:53:37.299,0,10,0,0,0
10:53:37.501,0,10,0,0,0
10:53:37.704,0,10,0,0,0
10:53:37.907,0,10,0,0,0
10:53:38.109,0,10,0,0,0
10:53:38.311,0,14,0,0,-7
10:53:38.514,0,78,0,0,-41
10:53:38.716,0,78,0,0,-41
10:53:38.920,0,78,0,0,-41
10:53:39.123,0,78,0,0,-41
10:53:39.327,0,78,0,0,-41
10:53:39.529,0,78,0,0,-41
10:53:39.732,0,78,0,0,-41
10:53:39.934,0,78,0,0,-41
10:53:40.135,0,1658,1,9,-147
10:53:40.337,0,2426,4,28,-148
10:53:40.538,0,2426,4,28,-148
10:53:40.740,0,2426,4,28,-148
10:53:40.943,0,2426,4,28,-148
10:53:41.144,0,2426,4,28,-148
10:53:41.346,0,2426,4,28,-148
10:53:41.551,0,2426,4,28,-148
10:53:41.754,0,2426,4,28,-148
10:53:41.957,0,3947,4,50,-146
10:53:42.159,0,5099,4,16,-148
10:53:42.360,0,5486,2,-2,-148
10:53:42.563,0,5486,2,-2,-148
10:53:42.765,0,5486,2,-2,-148
10:53:42.968,0,5486,2,-2,-148
10:53:43.172,0,5486,2,-2,-148
10:53:43.374,0,5486,2,-2,-148
10:53:43.576,0,5486,2,-2,-148
10:53:43.785,0,5486,2,-2,-148
10:53:43.987,0,5486,2,-2,-148
10:53:44.191,0,7797,-18,-61,-150
10:53:44.394,0,8578,-24,-46,-152
10:53:44.596,0,8578,-24,-46,-152
10:53:44.798,0,8578,-24,-46,-152
10:53:45.000,0,8578,-24,-46,-152
10:53:45.202,0,8578,-24,-46,-152
10:53:45.404,0,8578,-24,-46,-152
10:53:45.607,0,8578,-24,-46,-152
10:53:45.812,0,8578,-24,-46,-152
10:53:46.015,0,8578,-24,-46,-152
10:53:46.217,0,11303,33,36,-146
10:53:46.419,0,11680,44,30,-147
10:53:46.622,0,11680,44,30,-147
10:53:46.824,0,11680,44,30,-147
10:53:47.026,0,11680,44,30,-147
10:53:47.229,0,11680,44,30,-147
10:53:47.432,0,11680,44,30,-147
10:53:47.634,0,11680,44,30,-147
10:53:47.837,0,11680,44,30,-147
10:53:48.039,0,13223,29,-12,-152
10:53:48.240,0,14800,-7,-16,-153
10:53:48.442,0,14800,-7,-16,-153
10:53:48.643,0,14800,-7,-16,-153
10:53:48.844,0,14800,-7,-16,-153
10:53:49.047,0,14800,-7,-16,-153
10:53:49.249,0,14800,-7,-16,-153
10:53:49.452,0,14800,-7,-16,-153
10:53:49.653,0,14800,-7,-16,-153
10:53:49.859,0,14800,-7,-16,-153
10:53:50.061,0,16749,-18,10,-151
10:53:50.266,0,17916,-13,10,-152
10:53:50.468,0,17916,-13,10,-152
10:53:50.669,0,17916,-13,10,-152
10:53:50.870,0,17916,-13,10,-152
10:53:51.073,0,17916,-13,10,-152
10:53:51.278,0,17916,-13,10,-152
10:53:51.482,0,17916,-13,10,-152
10:53:51.684,0,17916,-13,10,-152
10:53:51.886,0,19481,-5,3,-152
10:53:52.087,0,20655,-1,0,-153
10:53:52.290,0,21046,-1,0,-153
10:53:52.492,0,21046,-1,0,-153
10:53:52.694,0,21046,-1,0,-153
10:53:52.896,0,21046,-1,0,-153
10:53:53.098,0,21046,-1,0,-153
10:53:53.300,0,21046,-1,0,-153
10:53:53.503,0,21046,-1,0,-153
10:53:53.704,0,21046,-1,0,-153
10:53:53.908,0,21046,-1,0,-153
10:53:54.111,0,23778,-1,3,-153
10:53:54.313,0,24172,-1,3,-153
10:53:54.514,0,24172,-1,3,-153
10:53:54.715,0,24172,-1,3,-153
10:53:54.918,0,24172,-1,3,-153
10:53:55.120,0,24172,-1,3,-153
10:53:55.323,0,24172,-1,3,-153
10:53:55.526,0,24172,-1,3,-153
10:53:55.730,0,24172,-1,3,-153
10:53:55.934,0,25727,-3,-1,-153
10:53:56.136,0,26901,-4,1,-153
10:53:56.337,0,27290,-3,4,-152
10:53:56.539,0,27290,-3,4,-152
10:53:56.743,0,27290,-3,4,-152
10:53:56.946,0,27290,-3,4,-152
10:53:57.149,0,27290,-3,4,-152
10:53:57.351,0,27290,-3,4,-152
10:53:57.554,0,27290,-3,4,-152
10:53:57.757,0,27290,-3,4,-152
10:53:57.959,0,27290,-3,4,-152
10:53:58.162,0,30016,0,8,-152
10:53:58.364,0,30406,0,7,-152
10:53:58.566,0,30406,0,7,-152
10:53:58.768,0,30406,0,7,-152
10:53:58.970,0,30406,0,7,-152
10:53:59.171,0,30406,0,7,-152
10:53:59.373,0,30406,0,7,-152
10:53:59.575,0,30406,0,7,-152
10:53:59.777,0,30406,0,7,-152
10:53:59.979,0,31423,0,4,-153
10:54:00.183,0,32982,0,1,-153
10:54:00.385,0,33375,0,0,-153
10:54:00.589,0,33375,0,0,-153
10:54:00.792,0,33375,0,0,-153
10:54:00.997,0,33375,0,0,-153
10:54:01.201,0,33375,0,0,-153
10:54:01.405,0,33375,0,0,-153
10:54:01.607,0,33375,0,0,-153
10:54:01.810,0,33375,0,0,-153
10:54:02.013,0,34931,0,0,-153
10:54:02.215,0,36489,0,0,-153
10:54:02.417,0,36489,0,0,-153
10:54:02.618,0,36489,0,0,-153
10:54:02.820,0,36489,0,0,-153
10:54:03.024,0,36489,0,0,-153
10:54:03.227,0,36489,0,0,-153
10:54:03.431,0,36489,0,0,-153
10:54:03.632,0,36489,0,0,-153
10:54:03.836,0,36489,0,0,-153
10:54:04.038,0,38440,0,0,-153
10:54:04.239,0,39608,0,0,-153
10:54:04.441,0,39608,0,0,-153
10:54:04.645,0,39608,0,0,-153
10:54:04.847,0,39608,0,0,-153
10:54:05.048,0,39608,0,0,-153
10:54:05.252,0,39608,0,0,-153
10:54:05.458,0,39608,0,0,-153
10:54:05.661,0,39608,0,0,-153
10:54:05.866,0,39608,0,0,-153
