,A.RTL1,A.RTL2,A.RTL3,A.ALT_HOLD2
03:01:28.379,-1.0,-1.0,-1.0,-1
03:01:28.582,-1.0,-1.0,-1.0,-1
03:01:28.784,-1.0,-1.0,-1.0,-1
03:01:28.986,-1.0,-1.0,-1.0,-1
03:01:29.196,-1.0,-1.0,-1.0,-1
03:01:29.397,-1.0,-1.0,-1.0,-1
03:01:29.599,-1.0,-1.0,-1.0,-1
03:01:29.801,-1.0,-1.0,-1.0,-1
03:01:30.002,-1.0,-1.0,-1.0,-1
03:01:30.204,-1.0,-1.0,-1.0,-1
03:01:30.406,-1.0,-1.0,-1.0,-1
03:01:30.608,-1.0,-1.0,-1.0,-1
03:01:30.810,-1.0,-1.0,-1.0,-1
03:01:31.011,-1.0,-1.0,-1.0,-1
03:01:31.213,-1.0,-1.0,-1.0,-1
03:01:31.415,-1.0,-1.0,-1.0,-1
03:01:31.716,-1.0,-1.0,-1.0,-1
03:01:31.951,-1.0,-1.0,-1.0,-1
03:01:32.214,-1.0,-1.0,-1.0,-1
03:01:32.426,-1.0,-1.0,-1.0,-1
03:01:32.629,-1.0,-1.0,-1.0,-1
03:01:32.832,-1.0,-1.0,-1.0,-1
03:01:33.035,-1.0,-1.0,-1.0,-1
03:01:33.237,-1.0,-1.0,-1.0,-1
03:01:33.439,-1.0,-1.0,-1.0,-1
03:01:33.642,-1.0,-1.0,-1.0,-1
03:01:33.843,-1.0,-1.0,-1.0,-1
03:01:34.045,-1.0,-1.0,-1.0,-1
03:01:34.247,-1.0,-1.0,-1.0,-1
03:01:34.450,-1.0,-1.0,-1.0,-1
03:01:34.652,-1.0,-1.0,-1.0,-1
03:01:34.854,-1.0,-1.0,-1.0,-1
03:01:35.057,-1.0,-1.0,-1.0,-1
03:01:35.259,-1.0,-1.0,-1.0,-1
03:01:35.461,-1.0,-1.0,-1.0,-1
03:01:35.662,-1.0,-1.0,-1.0,-1
03:01:35.864,-1.0,-1.0,-1.0,-1
03:01:36.066,-1.0,-1.0,-1.0,-1
03:01:36.268,-1.0,-1.0,-1.0,-1
03:01:36.470,-1.0,-1.0,-1.0,-1
03:01:36.672,-1.0,-1.0,-1.0,-1
03:01:36.873,-1.0,-1.0,-1.0,-1
03:01:37.075,-1.0,-1.0,-1.0,-1
03:01:37.322,-1.0,-1.0,-1.0,-1
03:01:37.542,-1.0,-1.0,-1.0,-1
03:01:37.808,-1.0,-1.0,-1.0,-1
03:01:38.036,-1.0,-1.0,-1.0,-1
03:01:38.269,-1.0,-1.0,-1.0,-1
03:01:38.471,-1.0,-1.0,-1.0,-1
03:01:38.673,-1.0,-1.0,-1.0,-1
03:01:38.875,-1.0,-1.0,-1.0,-1
03:01:39.077,-1.0,-1.0,-1.0,-1
03:01:39.279,-1.0,-1.0,-1.0,-1
03:01:39.481,-1.0,-1.0,-1.0,-1
03:01:39.683,-1.0,-1.0,-1.0,-1
03:01:39.885,-1.0,-1.0,-1.0,-1
03:01:40.087,-1.0,-1.0,-1.0,-1
03:01:40.289,-1.0,-1.0,-1.0,-1
03:01:40.491,-1.0,-1.0,-1.0,-1
03:01:40.693,-1.0,-1.0,-1.0,-1
03:01:40.894,-1.0,-1.0,-1.0,-1
03:01:41.100,-1.0,-1.0,-1.0,-1
03:01:41.302,-1.0,-1.0,-1.0,-1
03:01:41.508,-1.0,-1.0,-1.0,-1
03:01:41.710,-1.0,-1.0,-1.0,-1
03:01:41.917,-1.0,-1.0,-1.0,-1
