time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,MODE,RTL_ALT
03:00:58,0.0,1.0,-1000.0,0.0,0.0,1.0,-0.0012845275923609734,0.0009778185922186822,0.023146899417042732,0.00035097752697765827,0.00021481208386830986,0.001629341160878539,-35.3632622,149.1652375,0.0,-1.0,0.0,0.0,STABILIZE,74340.0
03:01:00,0.0,1.3333333333333333,-1000.0,0.0,0.6666666666666666,0.6666666666666666,-0.0009648679988458753,0.0009599415643606335,0.022715209983289242,0.00027880939887836576,0.00024292070884257555,0.0015317772049456835,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,AUTO,74340.0
03:01:02,0.0,1.3333333333333333,-1000.0,0.3333333333333333,0.0,0.6666666666666666,-0.0009816327365115285,0.0010868988853568833,0.02227678708732128,0.00021545511359969774,0.0003451126200767855,0.0015001196491842468,-35.3632621,149.1652375,8.0,0.0,0.0,0.0,AUTO,122969.0
03:01:04,0.0,1.6666666666666667,-1000.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,-0.0003851856939339389,0.0016222969473650057,0.021740980446338654,0.00034380872966721654,0.0003317835507914424,0.001462415714437763,-35.3632621,149.1652375,3.3333333333333335,0.0,0.0,0.0,AUTO,122969.0
03:01:06,0.0,-0.3333333333333333,-1023.0,46.666666666666664,-6.0,1.0,0.02147947872678439,-0.0006128744183418652,0.02118527020017306,0.04625906174381574,-0.007110238230476777,0.00224496319424361,-35.363262033333335,149.16523756666666,1386.3333333333333,0.3333333333333333,6.0,-143.33333333333334,AUTO,122969.0
03:01:07,2.6666666666666665,-11.333333333333334,-994.0,-102.66666666666667,39.0,-70.0,0.034879763261415064,0.00853048792729775,-0.028676094642529886,-0.10370525104614596,0.038989981675210096,-0.07026384398341179,-35.36326136666667,149.1652411,3298.0,7.666666666666667,49.333333333333336,-146.33333333333334,AUTO,4120.0
03:01:08,4.0,-8.0,-1005.6666666666666,-41.333333333333336,-22.666666666666668,-30.666666666666668,-0.033408610771099724,0.008325314149260521,-0.06559359406431516,-0.042673591524362564,-0.024027647993837793,-0.03078030173977216,-35.3632609,149.16524496666668,4440.666666666667,2.3333333333333335,36.333333333333336,-149.33333333333334,AUTO,4120.0
03:01:10,-6.0,13.0,-1003.0,67.0,10.333333333333334,-2.3333333333333335,-0.011160432050625483,0.007048772492756446,-0.10935801764329274,0.06669132659832637,0.010024561546742916,-0.0025638228689786047,-35.36326126666666,149.16524066666668,7514.666666666667,-11.666666666666666,-58.666666666666664,-151.0,AUTO,4120.0
03:01:12,3.0,-3.0,-997.6666666666666,-89.33333333333333,-18.333333333333332,45.0,0.02905281928057472,-0.051112605879704155,-0.04587850968043009,-0.09053277224302292,-0.019146977923810482,0.04534404228130976,-35.3632642,149.16523516666666,10632.666666666666,3.3333333333333335,25.333333333333332,-149.33333333333334,AUTO,47311.0
03:01:14,-5.333333333333333,0.3333333333333333,-1000.3333333333334,35.333333333333336,9.0,-29.333333333333332,-0.002517398757239183,0.02306901601453622,-0.15823770562807718,0.0350219781200091,0.00836470148836573,-0.029312430260082085,-35.363260233333335,149.16523633333335,13728.0,9.666666666666666,-13.333333333333334,-153.66666666666666,AUTO,47311.0
03:01:16,2.0,0.0,-1000.0,-9.0,-9.0,-3.3333333333333335,0.008497459813952446,0.004488777214040359,-0.16227021316687265,-0.010267092225452265,-0.010084690526127815,-0.003164089013201495,-35.36326103333334,149.1652352,16844.666666666668,-12.666666666666666,8.666666666666666,-152.66666666666666,AUTO,47311.0
03:01:17,0.6666666666666666,1.3333333333333333,-986.6666666666666,-62.333333333333336,55.333333333333336,133.33333333333334,-0.04987295468648275,0.009239765796034286,-0.156679334739844,-0.06355760727698605,0.05518951843259856,0.1339552067220211,-35.363262,149.16523573333333,18779.333333333332,-10.333333333333334,-8.666666666666666,-148.0,AUTO,125148.0
03:01:18,0.0,9.333333333333334,-953.6666666666666,129.0,-108.33333333333333,172.66666666666666,-0.012148291803896427,0.014746063078443209,0.029315184180935223,0.1284837449590365,-0.10944090535243352,0.17341788206249475,-35.3632632,149.1652335,19836.0,-28.333333333333332,-36.666666666666664,-123.33333333333333,AUTO,125148.0
03:01:20,0.0,-9.666666666666666,-976.6666666666666,-41.333333333333336,31.0,3.6666666666666665,0.0239632586017251,-0.004608851547042529,0.03248608484864235,-0.04259236281116804,0.030706871921817463,0.004276518011465669,-35.363264066666666,149.16523343333333,21558.0,17.0,39.333333333333336,-55.0,AUTO,125148.0
03:01:22,0.3333333333333333,-7.666666666666667,-946.3333333333334,77.66666666666667,11.666666666666666,3.3333333333333335,-0.01813437168796857,0.017123136048515637,0.027231475338339806,0.07736752678950627,0.0104892171608905,0.003346191563953956,-35.3632614,149.16523983333335,22175.0,3.0,11.333333333333334,-1.6666666666666667,AUTO,2826.0
03:01:24,-12.666666666666666,-9.333333333333334,-1005.0,-221.66666666666666,-32.666666666666664,-128.0,-0.0170198370081683,-0.06449112171928088,0.006431433682640393,-0.2221584419409434,-0.034177002807458244,-0.12784236226677118,-35.363259633333335,149.16523623333333,21933.666666666668,39.0,-35.666666666666664,0.6666666666666666,AUTO,2826.0
03:01:26,-44.0,-36.333333333333336,-996.3333333333334,-209.0,-44.0,54.666666666666664,0.039099084213376045,-0.13939635952313742,-0.45029228925704956,-0.2105221450328827,-0.04522975410024325,0.055295635014772415,-35.363241433333336,149.16522156666667,21861.666666666668,179.66666666666666,-87.66666666666667,1.6666666666666667,AUTO,2826.0
